VALEUR,#le-chevalier,#le-marquis,#la-presidente,#la-fleur,#monsieur-serpolet,#l-amour,#l-esperance,#mercure,#caron,#pluton,#la-vieillesse,#la-migraine,#la-necessite,#la-paralysie,#l-envie,#la-haine,#la-fievre,#le-transport
#pluton,1.6470588235294117,1.2352941176470589,1.2352941176470589,0.4117647058823529,0.4117647058823529,0.8235294117647058,0.8235294117647058,1.3475935828877006,0.4117647058823529,5.882352941176469,0.8403361344537816,0.4117647058823529,0.8403361344537816,0.8403361344537816,0.8403361344537816,0.8403361344537816,0.4117647058823529,0.8403361344537816
#la-vieillesse,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.19251336898395718,0.058823529411764705,0.8403361344537816,15.058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#la-migraine,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.19251336898395718,0.058823529411764705,0.4117647058823529,0.058823529411764705,15.058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#la-necessite,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.19251336898395718,0.058823529411764705,0.8403361344537816,0.058823529411764705,0.058823529411764705,15.058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#la-paralysie,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.19251336898395718,0.058823529411764705,0.8403361344537816,0.058823529411764705,0.058823529411764705,0.058823529411764705,15.058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#l-envie,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.19251336898395718,0.058823529411764705,0.8403361344537816,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,15.058823529411764,15.058823529411764,0.058823529411764705,0.058823529411764705
#l-envie,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.19251336898395718,0.058823529411764705,0.8403361344537816,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,15.058823529411764,15.058823529411764,0.058823529411764705,0.058823529411764705
#la-fievre,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.19251336898395718,0.058823529411764705,0.4117647058823529,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,15.058823529411764,0.058823529411764705
#le-transport,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.19251336898395718,0.058823529411764705,0.8403361344537816,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,15.058823529411764
Successions,#le-chevalier,#le-marquis,#la-presidente,#la-fleur,#monsieur-serpolet,#l-amour,#l-esperance,#mercure,#caron,#pluton,#la-vieillesse,#la-migraine,#la-necessite,#la-paralysie,#l-envie,#la-haine,#la-fievre,#le-transport
#le-chevalier,0.0,0.4666666666666667,0.4,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.5,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-presidente,0.45,0.0,0.0,0.1,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-fleur,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-serpolet,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-amour,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.23076923076923078,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-esperance,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mercure,0.0,0.0,0.0,0.0,0.0,0.1125,0.0125,0.0125,0.0875,0.275,0.05,0.075,0.0375,0.1,0.025,0.0375,0.0625,0.1125
#caron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pluton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333334,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#caron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#caron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#caron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#caron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-envie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
#la-haine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0
#caron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-transport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
