VALEUR,#le-choeur,#dorilas,#climene,#silene,#lisimene,#palemon,#damis,#silvanire,#ergaste,#telamire,#philis,#premiere-bergere,#seconde-bergere,#les-deux-bergeres,#bergers
#damis,0.21052631578947367,0.05482456140350875,0.2779605263157894,1.8714574898785423,2.736842105263158,0.42105263157894735,23.68421052631579,0.3759398496240603,0.7476076555023925,0.5802631578947367,0.8421052631578947,0.21052631578947367,0.21052631578947367,0.21052631578947367,2.960526315789474
#silvanire,0.3684210526315789,0.6629072681704258,1.2866541353383458,0.13013302486986705,1.6246385193753616,0.09398496240601507,0.3759398496240603,15.1578947368421,1.0396445659603553,0.4699248120300753,1.4736842105263157,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
#ergaste,0.2894736842105263,0.91866028708134,1.2248803827751193,2.028892160471108,0.014906146485093863,0.5789473684210527,0.7476076555023925,1.0396445659603553,19.18421052631579,3.3311004784689007,0.6124401913875597,0.2894736842105263,0.2894736842105263,0.2894736842105263,0.2894736842105263
#telamire,0.2631578947368421,0.11228070175438594,0.005263157894736831,1.7133603238866397,0.09797570850202429,0.5263157894736842,0.5802631578947367,0.4699248120300753,3.331100478468899,20.63157894736842,1.0526315789473684,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421
#philis,0.10526315789473684,0.631578947368421,0.8421052631578947,1.368421052631579,1.9453441295546556,0.21052631578947367,0.8421052631578947,1.4736842105263157,0.6124401913875597,1.0526315789473684,30.42105263157895,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684
#premiere-bergere,0.02631578947368421,0.15789473684210525,0.21052631578947367,0.34210526315789475,0.34210526315789475,0.05263157894736842,0.21052631578947367,0.3684210526315789,0.2894736842105263,0.2631578947368421,0.10526315789473684,36.02631578947369,36.02631578947369,36.02631578947369,0.02631578947368421
#premiere-bergere,0.02631578947368421,0.15789473684210525,0.21052631578947367,0.34210526315789475,0.34210526315789475,0.05263157894736842,0.21052631578947367,0.3684210526315789,0.2894736842105263,0.2631578947368421,0.10526315789473684,36.02631578947369,36.02631578947369,36.02631578947369,0.02631578947368421
#premiere-bergere,0.02631578947368421,0.15789473684210525,0.21052631578947367,0.34210526315789475,0.34210526315789475,0.05263157894736842,0.21052631578947367,0.3684210526315789,0.2894736842105263,0.2631578947368421,0.10526315789473684,36.02631578947369,36.02631578947369,36.02631578947369,0.02631578947368421
#bergers,0.02631578947368421,0.15789473684210525,0.21052631578947367,1.265182186234818,0.34210526315789475,0.05263157894736842,2.960526315789474,0.3684210526315789,0.2894736842105263,0.2631578947368421,0.10526315789473684,0.02631578947368421,0.02631578947368421,0.02631578947368421,36.02631578947369
Successions,#le-choeur,#dorilas,#climene,#silene,#lisimene,#palemon,#damis,#silvanire,#ergaste,#telamire,#philis,#premiere-bergere,#seconde-bergere,#les-deux-bergeres,#bergers
#le-choeur,,,,,,,,,,,,,,,
#dorilas,0.07142857142857142,0.07142857142857142,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0
#climene,0.0,0.2413793103448276,0.0,0.0,0.4482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.2413793103448276,0.0,0.0,0.0,0.0,0.0,0.0
