Bibdramatique play,In TC,Best match in TC,Score
molière chez ninon ou le siècle des grands hommes pièce épisodique en prose et en cinq actes,False,molière chez ninon ou la lecture de tartuffe  en un acte et en vers,0.96802074
linnocent malheureux ou la mort de crispe ,False,soliman ou lesclave généreuse ,0.81096005
dom quixote de la manche ,False,arlequin aux enfers ,0.9106238
dom quichot de la manche seconde partie,False,arlequin sauvage ,0.8928632
le fils désavoué ,True,le fils désavoué ,0.99999976
la mort de brute et de porcie ou la vengeance de la mort de césar ,False,la mort des enfants dhérode ou suite de mariane  ,0.8730173
méléagre ,True,méléagre ,1.0000002
lamant qui ne flatte point,True,lamant qui ne flatte point ,0.9999999
crispin musicien ,False,crispin un rival de son maitre ,0.8761741
oreste et pilade ,False,oreste et pylade ,0.8929726
le grand tamerlan et bajazet ,False,tamerlan ou la mort de bajazet ,0.8727704
le dictateur romain ,True,le dictateur romain ,0.99999976
la soeur valeureuse ou laveugle amante ,True,la soeur valeureuse ou laveugle amante ,0.9999998
le thyeste ,False,le tartuffe ou limposteur ,0.8500951
la fille capitaine ,False,la mère drame,0.86108494
le gentilhomme de beauce ,False,le comte de neuilly,0.88631827
le mary sans femme ,False,pour un plaisir mille douleurs proverbe,0.89124334
trigaudin ou martin braillart ,False,grapinian ou arlequin procureur,0.9259501
lamour sentinelle ou le cadenas forcé ,False,le sicilien ou lamour peintre ,0.85816556
labsent chez soy ,False,labsent chez soi,0.87336653
la coifeuse à la mode ,False,la veuve à la mode ,0.84934556
la dame suivante ,False,la reine du barostan ,0.8751243
lesprit folet ,False,lesprit de contradiction ,0.84149814
les fausses vérités ,True,les fausses vérités ,1.0000002
jodelet astrologue ,False,le feint astrologue ,0.8710092
les soupçons sur les apparences héroïco,False,les défauts de paul ,0.822891
pomone  en musique,False,médée  en musique,0.79081076
livret de pomone  en musique,False,barberine drame,0.8157749
arsace roy des parthes,False,arsace roi des parthes ,0.9400244
pirame et thisbé ,False,alzaïde ,0.94800293
régulus ,True,régulus ,1.0000001
scipion lafricain ,True,scipion lafricain ,1.0000004
tamerlan ou la mort de bajazet ,True,tamerlan ou la mort de bajazet ,0.9999999
le martyre de sainte catherine  en prose,False,le martyre de sainte catherine ,0.87836874
agrippa ou le faux tiberinus,False,grapinian ou arlequin procureur,0.85981476
le fantôme amoureux ,False,le dépit amoureux,0.7861335
pausanias ,False,isis  en musique,0.74855125
palinice circeine et florice   tirée de lastrée,False,palinice circeine et florice  ,0.9374001
arlequin bellerophon parodie,False,arlequin mahomet ,0.9554283
lamante ennemie,False,lamant anonyme ,0.85807276
la belle égyptienne ,True,la belle égyptienne ,0.99999976
le fils supposé ,True,le fils supposé ,1.0000004
orante ,True,orante ,1.0
le vassal généreux ,True,le vassal généreux  ,1.0
les prétieuses ridicules  représentée au petit bourbon nouvellement mise en vers,False,le huron ou les trois merlettes folie philosophique,0.8621869
le procès des prétieuses en vers burlesques ,False,le procès des précieuses en vers burlesques ,0.89232874
les véritables prétieuses ,False,les agioteurs ,0.77567345
