Bibdramatique play,Bibdramatique author,In TC,Best match in TC,Best author match in TC,Score
22 - L'Ombre de Molière. Comédie,brécourt de de guillaume marcoureau sieur,True,"207 - L'OMBRE DE MOLIÈRE, INERMÈDE.",barbier p.j.,0.7439024390243902
23 - L'Aveugle clair-voyant. Comédie,brosse,True,358 - L'AVEUGLE CLAIRVOYANT. COMÉDIE,abraham brosse,0.8285714285714285
24 - Le Turne de Virgile. Tragédie.,brosse la,True,"359 - LE TURNE DE VIRGILE, TRAGÉDIE", brosse,0.8666666666666666
"25 - Le Souper de Molière, ou La Soirée d'Auteuil. Fait historique en un acte, mêlé de vaudevilles.",cadet de gassicourt,True,"363 - LE SOUPER DE MOLIÈRE OU LA SOIRÉE D'AUTEUIL, FAIT HISTORIQUE",cadet charles-louis de gassicourt,0.8727272727272727
26 - Phalante. Tragédie.,calprenède coste de de gautier la sieur,True,"1043 - PAHLANTE, TRAGÉDIE",calprenede costes de gautier la,0.6897435897435897
27 - La Virginie. Tragédie.,campistron de jean-galbert,True,"381 - VIRGINIE, TRAGÉDIE", campistron de galbert jean,0.6232323232323231
28 - Les Fragmens de Molière. Comédie.,champmeslé charles chevillet de sieur,True,475 - LES FRAGMENTS DE MOLIÈRE.,champmeslé charles chevillet dit,0.9221846846846846
29 - Zaïde. Tragédie,chapelle la,True,"1044 - ZAÏDE, TRAGÉDIE ",chapelle de jean la,0.7570175438596491
30 - Armetzar ou les amis ennemis. Tragi-comédie,chappuzeau samuel,True,"477 - ARMETZAR OU LES AMIS ENNEMIS, TRAGICOMÉDIE.",  chappuzeau samuel,1.0
31 - L'Advocat duppé. Comédie,chevreau urbain,True,"494 - L'AVOCAT DUPÉ, COMÉDIE",chevreau urbain,0.8499999999999999
32 - Coriolan. Tragédie,chevreau urbain,True,"123 - CORIOLAN, TRAGÉDIE.", abeille gaspard,0.7374999999999999
33 - La Lucresse romaine. Tragédie,chevreau urbain,False,352 - LA PORCIE ROMAINE, boyer claude,0.5189473684210526
34 - Antiochus. Tragi-comédie,corneille thomas,True,"544 - ANTIOCHUS, TRAGI-COMÉDIE", corneille thomas,1.0
35 - Le Baron d'Albikrac. Comédie,corneille thomas,True,"546 - LE BARON D'ALBIKRAC, COMÉDIE.", corneille thomas,1.0
36 - Bellerophon. Tragédie,corneille thomas,True,"1433 - BELLÉROPHON, TRAGÉDIE", philippe quinault,0.65
"37 - Camma, reine de Galatie. Tragédie",corneille thomas,True,"550 - CAMMA, REINE DE GALATIE, TRAGÉDIE", corneille thomas,1.0
38 - Le Charme de la voix. Comédie,corneille thomas,True,"551 - LE CHARME DE LA VOIX, COMÉDIE", corneille thomas,1.0
39 - La Comtesse d'orgueil. Comédie,corneille thomas,True,"553 - LE COMTE d'ESSEX, TRAGÉDIE", corneille thomas,0.6499999999999999
40 - Le Feint astrologue. Comédie,corneille thomas,True,"559 - LE FEINT ASTROLOGUE, COMÉDIE", corneille thomas,1.0
41 - Les Illustres ennemis. Comédie,corneille thomas,True,"563 - LES ILLUSTRES ENNEMIS, COMÉDIE", corneille thomas,1.0
42 - L'Inconnu?. Comédie mêlée d'ornements,corneille thomas,True,"564 - L'INCONNU, COMÉDIE.", corneille thomas,1.0
"43 - Laodice, reine de Cappadoce. Tragédie",corneille thomas,True,"550 - CAMMA, REINE DE GALATIE, TRAGÉDIE", corneille thomas,0.6499999999999999
44 - Médée. Tragédie,corneille thomas,True,"519 - MÉDÉE, TRAGÉDIE", corneille pierre,0.7598039215686275
45 - La Mort d'Annibal. Tragédie.,corneille thomas,True,"568 - LA MORT D'ANNIBAL, TRAGÉDIE", corneille thomas,1.0
46 - La Mort d'Achille. Tragédie,corneille thomas,True,"244 - LA MORT D'ACHILLE et la DISPUTE DES ARMES, TRAGEDIE",  benserade de isaac,0.7749999999999999
47 - Psyché. Tragédie,corneille thomas,False,"544 - ANTIOCHUS, TRAGI-COMÉDIE", corneille thomas,0.43999999999999995
48 - Théodat. Tragédie,corneille thomas,True,"574 - THÉODAT, TRAGÉDIE", corneille thomas,1.0
"49 - La Mort de Molière. Pièce en trois actes, en vers [Pièce historique, en quatre actes en vers, et à spectacle]",cubières de michel,True,355 - L'OMBRE DE MOLIÈRE,brécourt de guillaume marcoureau,0.6194444444444444
50 - Le Soliman,charles d'alibray vion,True,"635 - SOLIMAN, TRAGI-COMÉDIE",charles dalibray de vion,0.6699999999999999
51 - Le Torrismon du Tasse,charles d'alibray vion,False,"442 - LA PERMISSION DE CHASSE, COMÉDIE", carmontelle carrogis de louis,0.46833333333333327
52 - Bélisaire. Tragi-comédie,desfontaines mary nicolas sieur,True,"1354 - BÉLISAIRE, DRAME",d' m. ouzicourt,0.7677419354838709
53 - Eurimédon ou l'Illustre pirate. Tragi-comédie,desfontaines mary nicolas sieur,True,693 - EURIMÉDON OU L'ILLUSTRE PIRATE. TRAGI-COMÉDIE.,desfontaines dit nicolas-marie,0.9032258064516129
"54 - Perside, ou la Suite d'Ibrahim Bassa. Tragédie.",desfontaines,True,"694 - PERSIDE OU LA SUITE D'IBRAHIM BASSA, TRAGÉDIE.",desfontaines dit marie nicolas,1.0
55 - La Véritable Sémiramis. Tragédie,desfontaines mary nicolas sieur,True,"696 - LA VÉRITABLE SÉMIRAMIS, TRAGÉDIE.",desfontaines dit marie nicolas,0.8838709677419354
56 - Manlius. Tragi-comédie,desjardins mademoiselle,True,"700 - MANLIUS, TRAGÉDIE.",de desjardins mademoisele marie-catherine-hortense villedieu,0.815
57 - Roxelane. Tragi-comédie,desmares,True,"704 - ROXELANE, TRAGI-COMÉDIE", desmarres joseph,0.8411764705882352
"58 - Les Noces de Vaugirard, ou Les Naifvetez champestres. Pastorale",discret l.c.d,True,"714 - LES NOCES DE VAUGIRARD, OU LES NAÏVETÉS CHAMPÊTRES, PASTORALE DÉDIÉE À CEUX QUI VEULENT RIRE.",discret l.c.,0.6802469135802469
59 - Les Dames vangées ou La Dupe de soy mesme. Comédie,de donneau jean visé,False,"719 - LES DAMES VENGÉES, COMÉDIE", de donneau jean vizé,0.5616724738675958
60 - La comédie de la comédie et Les amours de Trapolin, dorimond,True,"730 - LES AMOURS DE TRAPOLIN, COMÉDIE",dit dorimond drouin nicolas,0.7083333333333333
61 - Agarite. Tragi-comédie,durval jean-gilbert,False,"663 - LA GAZETTE, COMÉDIE", dancourt,0.39712918660287083
62 - Bérénice. Tragi-comédie en prose.,du pierre ryer,True,"539 - TITE ET BÉRÉNICE, COMÉDIE HEROÏQUE", corneille pierre,0.788235294117647
63 - Cléomédon. Tragi-comédie.,du pierre ryer,True,"789 - ALCIMÉDON, TRAGI-COMÉDIE", du pierre ryer,0.72
64 - Lisandre et Caliste. Tragi-comédie.,du pierre ryer,True,"799 - LISANDRE et CALISTE, TRAGI-COMÉDIE",du pierre ryer,1.0
65 - La Belle Esclave. Tragi-comédie,claude de l'estoille,True,769 - LA BELLE ESCLAVE., bourlain dumaniant jean-andré,0.74
66 - L'Intrigue des filous. Comédie,claude de l'estoille,True,"1122 - L'INTRIGUE DES FILOUS, COMÉDIE",  claude de l'estoile,0.9571428571428571
67 - Les Amours d'Ovide. Pastorale héroïque,gabriel gilbert,True,"920 - LES AMOURS DE DIANE ET D'ENDIMION, TRAGÉDIE.", gabriel gilbert,0.6181818181818182
"68 - Arie et Petus, ou les amours de Neron. Tragedie",gabriel gilbert,False,"920 - LES AMOURS DE DIANE ET D'ENDIMION, TRAGÉDIE.", gabriel gilbert,0.475
69 - Téléphonte. Tragi-comédie,gabriel gilbert,True,"923 - TÉLÉPHONTE, TRAGI-COMÉDIE.", gabriel gilbert,1.0
70 - Le Desniaisé. Comédie,de gillet la tessonnerie,True,"926 - LE DÉNIAISÉ, COMÉDIE",de gillet la tessonerie,0.8124999999999999
71 - Le Triomphe des cinq passions. Tragi-comédie.,de gillet la tessonnerie,False,"925 - LE CAMPAGNARD, COMÉDIE EN CINQ ACTES",de gillet la tessonerie,0.5530172413793103
72 - La Fidelle Tromperie. Tragi-comédie,gougenot,False,"867 - LA FILLE DE MOLIÈRE, COMÉDIE", fournier édouard,0.3855882352941176
73 - Molière chez Ninon ou Le siècle des grands hommes. Pièce épisodique en prose et en cinq actes.,de gouges olympe,True,"942 - MOLIÈRE CHEZ NINON OU LE SIÈCLE DES GRANDS HOMMES, PIÈCE EPISODIQUE ", de gouges olympe,1.0
74 - L'Innocent malheureux ou La Mort de Crispe. Tragédie,grenaille,False,"614 - LE TRIUMVIRAT ou LA MORT DE CICÉRON, TRAGÉDIE", crébillon de jolyot prosper,0.3501742160278745
75 - Dom Quixote de la Manche. Comédie,bouscal de guyon guérin,True,"957 - DON QUICHOTTE DE LA MANCHE, COMÉDIE.",bouscal daniel de guerin,0.7578703703703704
"76 - Dom Quichot de la Manche, seconde partie",bouscal de guyon guérin,False,"957 - DON QUICHOTTE DE LA MANCHE, COMÉDIE.",bouscal daniel de guerin,0.5823717948717948
77 - Le Fils désavoué. Tragi-comédie,bouscal de guyon guérin,True,"959 - LE FILS DÉSAVOUÉ, TRAGI-COMÉDIE.",bouscal daniel de guerin,0.8875
"78 - La Mort de Brute et de Porcie, ou La vengeance de la mort de César. Tragédie",bouscal de guyon guérin,True,"1368 - LA VENGEANCE, COMÉDIE",joseph patrat,0.7652173913043477
79 - Méléagre. Tragédie,alexandre hardy,True,"978 - MÉLÉAGRE, TRAGÉDIE", alexandre hardy,1.0
80 - L'AMANT QUI NE FLATTE POINT,de hauteroche sieur,True,"982 - L'AMANT QUI NE FLATTE POINT, COMÉDIE.", de hauteroche lebreton noël sieur,0.8676470588235293
81 - Crispin musicien. Comédie,de hauteroche sieur,False,1085 - CRISPIN BEL ESPRIT, de françois jean juvénon la thuilerie,0.42105263157894735
82 - Oreste et Pilade. Tragédie,chancel françois-joseph,True,"1067 - ORESTE ET PYLADE, TRAGÉDIE",  de françois-joseph grange-chancel la,0.728173374613003
83 - L'Aveugle clair-voyant. Comédie,grand le marc-antoine,True,358 - L'AVEUGLE CLAIRVOYANT. COMÉDIE,abraham brosse,0.7714285714285714
84 - Le Grand Tamerlan et Bajazet. Tragédie,jean magnon,True,"1139 - TAMERLAN, TRAGÉDIE", jean magnon,1.0
85 - Le Dictateur romain. Tragédie.,andré mareschal,True,"1149 - LE DICTATEUR ROMAIN, TRAGI-COMÉDIE.",andré mareschal,1.0
86 - La Soeur valeureuse ou l'Aveugle amante. Tragi-comédie,andré mareschal,True,"1156 - LA SOEUR VALEUREUSE OU L'AVEUGLE AMANTE, TRAGICOMÉDIE.",andré mareschal,1.0
87 - Le Thyeste. Tragédie,de monléon monsieur,False,"608 - ATRÉE et THYESTE, TRAGÉDIE.", crébillon de jolyot prosper,0.4563025210084033
88 - La Fille capitaine. Comédie,montfleury,False,"1314 - LE MARIAGE DE RIEN, COMÉDIE",antoine dit jacob montfleury,0.4842105263157895
89 - Le Gentilhomme de Beauce. Comédie,antoine jacob montfleury,False,"1314 - LE MARIAGE DE RIEN, COMÉDIE",antoine dit jacob montfleury,0.5196428571428571
90 - Le Mary sans femme. Comédie,antoine jacob montfleury,False,"1314 - LE MARIAGE DE RIEN, COMÉDIE",antoine dit jacob montfleury,0.5518796992481203
91 - Le Mary sans femme. Comédie,antoine jacob montfleury,False,"1314 - LE MARIAGE DE RIEN, COMÉDIE",antoine dit jacob montfleury,0.5518796992481203
92 - Trigaudin ou Martin Braillart. Comédie,montfleury,False,"1314 - LE MARIAGE DE RIEN, COMÉDIE",antoine dit jacob montfleury,0.4448275862068965
93 - L'Amour sentinelle ou Le Cadenas forcé. Comédie,clerselier de denis nanteuil,False,"859 - L'AMOUR FANTASQUE OU LE JUGE DE SOI MÊME, COMÉDIE", albert fiot henri,0.4075
94 - L'Absent chez soy. Comédie,antoine d'ourville,True,1351 - L'ABSENT CHEZ SOI,antoine le métel ouville,0.8312499999999999
95 - La Coifeuse à la mode. Comédie,antoine d'ourville,False,"726 - LA VEUVE À LA MODE, COMÉDIE", de donneau jean vizé,0.5714285714285714
96 - La Dame suivante. Comédie,antoine d'ouville,False,"536 - LA SUIVANTE, COMÉDIE", corneille pierre,0.5080882352941176
97 - L'Esprit folet. Comédie,antoine d'ouville,False,"1634 - LES PRÉCIEUSES RIDICULES, COMÉDIE",antoine baudeau de somaize,0.3789230769230769
98 - Les Fausses Vérités. Comédie,antoine d'ourville,True,"1352 - LES FAUSSES VÉRITÉS, COMÉDIE",antoine le métel ouville,0.8749999999999999
99 - Jodelet astrologue. Comédie,antoine d'ourville,True,"774 - JODELET, COMÉDIE",antoine-jean bourlin dit dumaniant,0.7970588235294117
100 - Les Soupçons sur les apparences. Héroïco-comédie,antoine d'ourville,True,"1353 - LES SOUPÇONS SUR LES APPARENCES, COMÉDIE",antoine le métel ouville,0.8749999999999999
"101 - Pomone, pastorale en musique",perrin pierre,True,"1447 - ROLAND, TRAGÉDIE EN MUSIQUE", philippe quinault,0.611111111111111
"102 - Livret de Pomone, pastorale en musique",perrin pierre,False,"369 - ACHILLE ET POLIXÈNE, TRAGÉDIE EN MUSIQUE", campistron de galbert jean,0.5068100358422939
"103 - Arsace, Roy des Parthes",de jean le prade royer,True,"1412 - ARSACE, ROI DES PARTHES, TRAGÉDIE.",de jean le prade royer,0.9391304347826086
104 - Pirame et Thisbé. Tragédie,jacques pradon,True,"1677 - PYRAME ET THISBÉ, TRAGÉDIE", de théophile viau,0.634313725490196
105 - Régulus. Tragédie,jacques pradon,True,"729 - RÉGULUS, TRAGÉDIE EN TROIS ACTES ET EN VERS.",claude-joseph dorat,0.7789473684210526
106 - Scipion l'Africain. Tragédie,jacques pradon,True,"1416 - SCIPION L'AFRICAIN, TRAGÉDIE",nicolas pradon,0.8928571428571428
107 - Tamerlan ou la Mort de Bajazet. Tragédie,jacques pradon,True,"1139 - TAMERLAN, TRAGÉDIE", jean magnon,0.7642857142857142
108 - Le Martyre de sainte Catherine. Tragédie en prose,de jean la puget serre,True,"1419 - LE MARTYRE DE SAINTE CATHERINE, TRAGÉDIE",de jean la puget serre,1.0
109 - Agrippa ou le Faux Tiberinus,philippe quinault,True,"1427 - AGRIPPA ROI D'ALBE OU LE FAUX TIBERINUS, TRAGI-COMÉDIE", philippe quinault,0.8025641025641026
110 - Le Fantôme amoureux. Tragi-comédie,philippe quinault,True,"1438 - LE FANTOME AMOUREUX, TRAGI-COMÉDIE", philippe quinault,0.9299999999999999
111 - Pausanias. Tragédie,philippe quinault,False,"1435 - LA COMÉDIE SANS COMÉDIE, COMÉDIE", philippe quinault,0.58
"112 - Palinice, Circeine et Florice. Tragi-comédie pastorale tirée de l'Astrée",de rayssiguier,True,"1470 - PALINICE, CIRCEINE ET FLORICE, TRAGI-COMÉDIE PASTORALE",de rayssiguier,1.0
"113 - Arlequin, Bellerophon. Parodie",dominique,False,"191 - ALBERT DURER, PIÈCE EN UN ACTE", audiffret louis-dominique-laurent,0.4448275862068965
114 - L'Amante ennemie,sallebray,False,"1587 - LA BELLE ÉGYPTIENNE, COMÉDIE", de monsieur sallebray,0.51
115 - La Belle Égyptienne. Tragi-comédie,sallebray,True,"1587 - LA BELLE ÉGYPTIENNE, COMÉDIE", de monsieur sallebray,1.0
116 - Le Fils supposé. Comédie,de georges scudéry,True,"1619 - LE FILS SUPPOSÉ, COMÉDIE.", de georges scudery,0.9684210526315788
117 - Orante. Tragi-comédie,de georges scudéry,True,"1622 - ORANTE, TRAGI-COMÉDIE", de georges scudery,0.868421052631579
118 - Le Vassal généreux. Tragi-comédie,de georges scudéry,True,1624 - LE VASSAL GÉNÉREUX - TRAGI-COMÉDIE, de georges scudery,0.9684210526315788
"119 - Les Prétieuses Ridicules. Comédie représentée au Petit Bourbon, nouvellement mise en vers.",antoine baudeau de somaize,True,"1286 - LES PRÉCIEUSES RIDICULES, COMÉDIE", dit jean-baptiste moliere pocquelin,0.7023333333333334
120 - Le Procès des Prétieuses en vers burlesques. Comédie.,antoine baudeau de somaize,True,"1635 - LE PROCÈS DES PRÉCIEUSES EN VERS BURLESQUES, COMÉDIE",antoine baudeau de somaize,0.9681818181818183
121 - Les Véritables Prétieuses. Comédie.,antoine baudeau de somaize,True,"1634 - LES PRÉCIEUSES RIDICULES, COMÉDIE",antoine baudeau de somaize,0.6359999999999999
