Bibdramatique play,Bibdramatique author,In TC,Best match in TC,Best author match in TC,Score
27 - La Virginie. Tragédie.,Jean-Galbert de Campistron,False,"381 - VIRGINIE, TRAGÉDIE",Jean Galbert de CAMPISTRON (1656-1713),0.5717703349282296
28 - Les Fragmens de Molière. Comédie.,"Charles Chevillet, sieur de Champmeslé",True,475 - LES FRAGMENTS DE MOLIÈRE.,"CHAMPMESLÉ, Charles Chevillet dit",0.7260964912280701
29 - Zaïde. Tragédie,La Chapelle,True,"1044 - ZAÏDE, TRAGÉDIE ","LA CHAPELLE, Jean de",0.6583333333333333
30 - Armetzar ou les amis ennemis. Tragi-comédie,Samuel Chappuzeau,True,"477 - ARMETZAR OU LES AMIS ENNEMIS, TRAGICOMÉDIE.",Samuel CHAPPUZEAU (1625-1701) ,0.78
31 - L'Advocat duppé. Comédie,Urbain Chevreau,False,"494 - L'AVOCAT DUPÉ, COMÉDIE","CHEVREAU, Urbain",0.5874999999999999
32 - Coriolan. Tragédie,Urbain Chevreau,True,"123 - CORIOLAN, TRAGÉDIE.","ABEILLE, Gaspard (1648-1718)",0.7214285714285714
33 - La Lucresse romaine. Tragédie,Urbain Chevreau,False,352 - LA PORCIE ROMAINE,Claude BOYER (1618-1698),0.49144736842105263
34 - Antiochus. Tragi-comédie,Thomas Corneille,True,"544 - ANTIOCHUS, TRAGI-COMÉDIE",Thomas CORNEILLE (1625-1709),0.7857142857142857
35 - Le Baron d'Albikrac. Comédie,Thomas Corneille,True,"546 - LE BARON D'ALBIKRAC, COMÉDIE.",Thomas CORNEILLE (1625-1709),0.7857142857142857
36 - Bellerophon. Tragédie,Thomas Corneille,True,"1433 - BELLÉROPHON, TRAGÉDIE",Philippe QUINAULT (1635-1688),0.6040229885057472
"37 - Camma, reine de Galatie. Tragédie",Thomas Corneille,True,"550 - CAMMA, REINE DE GALATIE, TRAGÉDIE",Thomas CORNEILLE (1625-1709),0.7857142857142857
38 - Le Charme de la voix. Comédie,Thomas Corneille,True,"551 - LE CHARME DE LA VOIX, COMÉDIE",Thomas CORNEILLE (1625-1709),0.7857142857142857
39 - La Comtesse d'orgueil. Comédie,Thomas Corneille,True,"554 - LA COMTESSE D'ORGUEIL, COMÉDIE",Thomas CORNEILLE (1625-1709),0.7857142857142857
40 - Le Feint astrologue. Comédie,Thomas Corneille,True,"559 - LE FEINT ASTROLOGUE, COMÉDIE",Thomas CORNEILLE (1625-1709),0.7857142857142857
41 - Les Illustres ennemis. Comédie,Thomas Corneille,True,"563 - LES ILLUSTRES ENNEMIS, COMÉDIE",Thomas CORNEILLE (1625-1709),0.7857142857142857
42 - L'Inconnu?. Comédie mêlée d'ornements,Thomas Corneille,True,"564 - L'INCONNU, COMÉDIE.",Thomas CORNEILLE (1625-1709),0.7857142857142857
"43 - Laodice, reine de Cappadoce. Tragédie",Thomas Corneille,True,"565 - LAODICE, REINE DE CAPPADOCE, TRAGÉDIE",Thomas CORNEILLE (1625-1709),0.7857142857142857
44 - Médée. Tragédie,Thomas Corneille,True,"519 - MÉDÉE, TRAGÉDIE","CORNEILLE, Pierre (1606-1684)",0.614367816091954
45 - La Mort d'Annibal. Tragédie.,Thomas Corneille,True,"568 - LA MORT D'ANNIBAL, TRAGÉDIE",Thomas CORNEILLE (1625-1709),0.7857142857142857
46 - La Mort d'Achille. Tragédie,Thomas Corneille,True,"244 - LA MORT D'ACHILLE et la DISPUTE DES ARMES, TRAGEDIE",Isaac de BENSERADE (1613-1691) ,0.7096774193548386
47 - Psyché. Tragédie,Thomas Corneille,False,"1288 - PSYCHÉ, TRAGÉDIE-BALLET","MOLIERE, Jean-Baptiste Pocquelin dit (1622-1673)",0.3605769230769231
48 - Théodat. Tragédie,Thomas Corneille,True,"574 - THÉODAT, TRAGÉDIE",Thomas CORNEILLE (1625-1709),0.7857142857142857
"49 - La Mort de Molière. Pièce en trois actes, en vers [Pièce historique, en quatre actes en vers, et à spectacle]",Michel de Cubières,True,"630 - LA MORT DE MOLIÈRE, PIÈCE EN TROIS ACTES, EN VERS.",Michel de CUBIÈRES-PALMÉZEAUX (1752-1820),0.7804878048780487
50 - Le Soliman,Charles Vion d'Alibray,False,"635 - SOLIMAN, TRAGI-COMÉDIE","DALIBRAY, Charles Vion de",0.504
51 - Le Torrismon du Tasse,Charles Vion d'Alibray,False,"442 - LA PERMISSION DE CHASSE, COMÉDIE",Louis Carrogis de CARMONTELLE (1717-1806),0.4449186991869918
52 - Bélisaire. Tragi-comédie,"Nicolas Mary, sieur Desfontaines",True,"1354 - BÉLISAIRE, DRAME","OUZICOURT, M. d'",0.7281249999999999
53 - Eurimédon ou l'Illustre pirate. Tragi-comédie,"Nicolas Mary, sieur Desfontaines",True,693 - EURIMÉDON OU L'ILLUSTRE PIRATE. TRAGI-COMÉDIE.,"DESFONTAINES, Nicolas-Marie dit",0.7281249999999999
"54 - Perside, ou la Suite d'Ibrahim Bassa. Tragédie.",Desfontaines,True,"694 - PERSIDE OU LA SUITE D'IBRAHIM BASSA, TRAGÉDIE.","DESFONTAINES, Nicolas Marie dit",0.7387096774193548
55 - La Véritable Sémiramis. Tragédie,"Nicolas Mary, sieur Desfontaines",True,"696 - LA VÉRITABLE SÉMIRAMIS, TRAGÉDIE.","DESFONTAINES, Nicolas Marie dit",0.7281249999999999
56 - Manlius. Tragi-comédie,Mademoiselle Desjardins,True,"700 - MANLIUS, TRAGÉDIE.","DESJARDINS, Marie-Catherine-Hortense, Mademoisele de Villedieu",0.7677419354838709
57 - Roxelane. Tragi-comédie,Desmares,True,"704 - ROXELANE, TRAGI-COMÉDIE","DESMARRES, Joseph (1603-1687)",0.7206896551724138
"58 - Les Noces de Vaugirard, ou Les Naifvetez champestres. Pastorale",L.C.D Discret,False,"714 - LES NOCES DE VAUGIRARD, OU LES NAÏVETÉS CHAMPÊTRES, PASTORALE DÉDIÉE À CEUX QUI VEULENT RIRE.","DISCRET, L.C.",0.38024691358024687
59 - Les Dames vangées ou La Dupe de soy mesme. Comédie,Jean Donneau de Visé,False,"859 - L'AMOUR FANTASQUE OU LE JUGE DE SOI MÊME, COMÉDIE",FIOT Albert Henri (16..-1...),0.3828427249789739
60 - La comédie de la comédie et Les amours de Trapolin,"Dorimond (Nicolas Drouin, dit)",True,"731 - LA COMÉDIE DE LA COMÉDIE, COMÉDIE","DORIMOND, Nicolas Drouin dit",0.8899999999999999
61 - Agarite. Tragi-comédie,Jean-Gilbert Durval,False,311 - LA CRITIQUE,"BOISSY, Louis de  (1694-1758)",0.33887147335423196
62 - Bérénice. Tragi-comédie en prose.,Pierre du Ryer,True,"539 - TITE ET BÉRÉNICE, COMÉDIE HEROÏQUE","CORNEILLE, Pierre (1606-1684)",0.7724137931034483
63 - Cléomédon. Tragi-comédie.,Pierre du Ryer,True,"795 - CLÉOMÉDON, TRAGI-COMÉDIE.","DU RYER, Pierre",0.74
64 - Lisandre et Caliste. Tragi-comédie.,Pierre du Ryer,True,"799 - LISANDRE et CALISTE, TRAGI-COMÉDIE","DU RYER, Pierre",0.74
65 - La Belle Esclave. Tragi-comédie,Claude de L'Estoille,True,769 - LA BELLE ESCLAVE.,Jean-André BOURLAIN DUMANIANT (1752-1828),0.7292682926829268
66 - L'Intrigue des filous. Comédie,Claude de L'Estoille,True,"1122 - L'INTRIGUE DES FILOUS, COMÉDIE",Claude de L'ESTOILE (1597-1652) ,0.8218749999999999
67 - Les Amours d'Ovide. Pastorale héroïque,Gabriel Gilbert,False,"486 - LES AMOURS DE CALOTIN, COMÉDIE","CHEVALIER, Jean Simonin dit",0.4898989898989899
"68 - Arie et Petus, ou les amours de Neron. Tragedie",Gabriel Gilbert,False,"477 - ARMETZAR OU LES AMIS ENNEMIS, TRAGICOMÉDIE.",Samuel CHAPPUZEAU (1625-1701) ,0.37999999999999995
69 - Téléphonte. Tragi-comédie,Gabriel Gilbert,True,"923 - TÉLÉPHONTE, TRAGI-COMÉDIE.",Gabriel GILBERT (1620-1680),0.7999999999999999
70 - Le Desniaisé. Comédie,Gillet de la Tessonnerie,False,"926 - LE DÉNIAISÉ, COMÉDIE",GILLET DE LA TESSONERIE,0.5874999999999999
71 - Le Triomphe des cinq passions. Tragi-comédie.,Gillet de la Tessonnerie,False,"1191 - LE TRIOMPHE DE L'AMOUR, COMÉDIE.","MARIVAUX, Pierre de (1688-1763)",0.42491657397107896
72 - La Fidelle Tromperie. Tragi-comédie,Gougenot,False,"981 - LA SYBILLE, PARODIE.",HARNY DE GUERVILLE,0.36666666666666664
73 - Molière chez Ninon ou Le siècle des grands hommes. Pièce épisodique en prose et en cinq actes.,Olympe de Gouges,True,"942 - MOLIÈRE CHEZ NINON OU LE SIÈCLE DES GRANDS HOMMES, PIÈCE EPISODIQUE ",Olympe de GOUGES (1748-1793),0.8178571428571428
74 - L'Innocent malheureux ou La Mort de Crispe. Tragédie,Grenaille,False,"614 - LE TRIUMVIRAT ou LA MORT DE CICÉRON, TRAGÉDIE",Prosper Jolyot de CRÉBILLON (1674-1762),0.3380863039399624
75 - Dom Quixote de la Manche. Comédie,Guyon Guérin de Bouscal,True,"957 - DON QUICHOTTE DE LA MANCHE, COMÉDIE.","GUERIN de BOUSCAL, Daniel",0.6063703703703704
"76 - Dom Quichot de la Manche, seconde partie",Guyon Guérin de Bouscal,False,"957 - DON QUICHOTTE DE LA MANCHE, COMÉDIE.","GUERIN de BOUSCAL, Daniel",0.43087179487179483
77 - Le Fils désavoué. Tragi-comédie,Guyon Guérin de Bouscal,True,"959 - LE FILS DÉSAVOUÉ, TRAGI-COMÉDIE.","GUERIN de BOUSCAL, Daniel",0.736
"78 - La Mort de Brute et de Porcie, ou La vengeance de la mort de César. Tragédie",Guyon Guérin de Bouscal,True,"1368 - LA VENGEANCE, COMÉDIE","PATRAT, Joseph",0.7391304347826086
79 - Méléagre. Tragédie,Alexandre Hardy,True,"978 - MÉLÉAGRE, TRAGÉDIE","HARDY, Alexandre (1570?-1632?)",0.7999999999999999
80 - L'AMANT QUI NE FLATTE POINT,Sieur de Hauteroche,True,"982 - L'AMANT QUI NE FLATTE POINT, COMÉDIE.","Noël Lebreton HAUTEROCHE, sieur de (1617-1707)",0.7521739130434782
81 - Crispin musicien. Comédie,Sieur de Hauteroche,False,1085 - CRISPIN BEL ESPRIT,Jean François Juvénon de La Thuilerie (1650-1688),0.41122448979591836
82 - Oreste et Pilade. Tragédie,François-Joseph Chancel,True,"1067 - ORESTE ET PYLADE, TRAGÉDIE",François-Joseph de LA GRANGE-CHANCEL (1677-1758) ,0.7217286914765906
83 - L'Aveugle clair-voyant. Comédie,"Le Grand, Marc-Antoine",True,358 - L'AVEUGLE CLAIRVOYANT. COMÉDIE,"BROSSE, Abraham",0.7409090909090909
84 - Le Grand Tamerlan et Bajazet. Tragédie,Jean Magnon,True,"1139 - TAMERLAN, TRAGÉDIE","MAGNON, Jean (1620-1662)",0.7625
85 - Le Dictateur romain. Tragédie.,André Mareschal,True,"1149 - LE DICTATEUR ROMAIN, TRAGI-COMÉDIE.","MARESCHAL, André",0.71875
86 - La Soeur valeureuse ou l'Aveugle amante. Tragi-comédie,André Mareschal,True,"1156 - LA SOEUR VALEUREUSE OU L'AVEUGLE AMANTE, TRAGICOMÉDIE.","MARESCHAL, André",0.71875
87 - Le Thyeste. Tragédie,Monsieur de Monléon,False,"608 - ATRÉE et THYESTE, TRAGÉDIE.",Prosper Jolyot de CRÉBILLON (1674-1762),0.41674208144796376
88 - La Fille capitaine. Comédie,Montfleury,False,"867 - LA FILLE DE MOLIÈRE, COMÉDIE",Édouard FOURNIER (1819-1880),0.39571428571428574
89 - Le Gentilhomme de Beauce. Comédie,Antoine Jacob Montfleury,False,"722 - LE GENTILHOMME GUESPIN, COMÉDIE",Jean DONNEAU DE VIZÉ (1638-1710),0.465625
90 - Le Mary sans femme. Comédie,Antoine Jacob Montfleury,False,"437 - LE MARI ABSENT, PROVERBE","CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle (1717-1806)",0.4159866220735785
91 - Le Mary sans femme. Comédie,Antoine Jacob Montfleury,False,"437 - LE MARI ABSENT, PROVERBE","CARMONTELLE, Louis Carrogis, dit Louis de Carmontelle (1717-1806)",0.4159866220735785
92 - Trigaudin ou Martin Braillart. Comédie,Montfleury,False,"1276 - GEORGE DANDIN ou LE MARI CONFONDU, COMÉDIE ",Molière,0.3670588235294117
93 - L'Amour sentinelle ou Le Cadenas forcé. Comédie,Denis Clerselier de Nanteuil,False,"859 - L'AMOUR FANTASQUE OU LE JUGE DE SOI MÊME, COMÉDIE",FIOT Albert Henri (16..-1...),0.38422413793103444
94 - L'Absent chez soy. Comédie,Antoine d'Ourville,True,1351 - L'ABSENT CHEZ SOI,"OUVILLE, Antoine le Métel",0.74025
95 - La Coifeuse à la mode. Comédie,Antoine d'Ourville,False,"726 - LA VEUVE À LA MODE, COMÉDIE","DONNEAU DE VIZÉ, Jean (1638-1710)",0.5272727272727273
96 - La Dame suivante. Comédie,Antoine d'Ouville,False,"536 - LA SUIVANTE, COMÉDIE","CORNEILLE, Pierre (1606-1684)",0.4685344827586207
97 - L'Esprit folet. Comédie,Antoine d'Ouville,False,"1446 - LES RIVALES, COMÉDIE","QUINAULT, Philippe (1635-1688)",0.3630769230769231
98 - Les Fausses Vérités. Comédie,Antoine d'Ourville,True,"1352 - LES FAUSSES VÉRITÉS, COMÉDIE","OUVILLE, Antoine le Métel",0.7839999999999999
99 - Jodelet astrologue. Comédie,Antoine d'Ourville,True,"774 - JODELET, COMÉDIE","DUMANIANT, Antoine-Jean Bourlin dit",0.7857142857142857
100 - Les Soupçons sur les apparences. Héroïco-comédie,Antoine d'Ourville,True,"1353 - LES SOUPÇONS SUR LES APPARENCES, COMÉDIE","OUVILLE, Antoine le Métel",0.7839999999999999
"101 - Pomone, pastorale en musique",Pierre Perrin,False,"1447 - ROLAND, TRAGÉDIE EN MUSIQUE",Philippe QUINAULT (1635-1688),0.585823754789272
"102 - Livret de Pomone, pastorale en musique",Pierre Perrin,False,"369 - ACHILLE ET POLIXÈNE, TRAGÉDIE EN MUSIQUE","CAMPISTRON, Jean Galbert de (1656-1713)",0.46749379652605455
"103 - Arsace, Roy des Parthes",Jean Le Royer de Prade,True,"1412 - ARSACE, ROI DES PARTHES, TRAGÉDIE.","PRADE, Jean Le Royer de",0.7695652173913043
104 - Pirame et Thisbé. Tragédie,Jacques Pradon,True,"1677 - PYRAME ET THISBÉ, TRAGÉDIE","VIAU, Théophile de (1590-1626)",0.6376470588235293
105 - Régulus. Tragédie,Jacques Pradon,True,"729 - RÉGULUS, TRAGÉDIE EN TROIS ACTES ET EN VERS.","DORAT, Claude-Joseph",0.745
106 - Scipion l'Africain. Tragédie,Jacques Pradon,True,"1416 - SCIPION L'AFRICAIN, TRAGÉDIE","PRADON, Nicolas",0.72
107 - Tamerlan ou la Mort de Bajazet. Tragédie,Jacques Pradon,True,"1139 - TAMERLAN, TRAGÉDIE","MAGNON, Jean (1620-1662)",0.725
108 - Le Martyre de sainte Catherine. Tragédie en prose,Jean Puget de la Serre,True,"1419 - LE MARTYRE DE SAINTE CATHERINE, TRAGÉDIE","PUGET DE LA SERRE, Jean",0.7391304347826086
109 - Agrippa ou le Faux Tiberinus,Philippe Quinault,True,"1427 - AGRIPPA ROI D'ALBE OU LE FAUX TIBERINUS, TRAGI-COMÉDIE",Philippe QUINAULT (1635-1688),0.6060123784261715
110 - Le Fantôme amoureux. Tragi-comédie,Philippe Quinault,True,"1438 - LE FANTOME AMOUREUX, TRAGI-COMÉDIE",Philippe QUINAULT (1635-1688),0.733448275862069
111 - Pausanias. Tragédie,Philippe Quinault,False,"1435 - LA COMÉDIE SANS COMÉDIE, COMÉDIE",Philippe QUINAULT (1635-1688),0.3834482758620689
"112 - Palinice, Circeine et Florice. Tragi-comédie pastorale tirée de l'Astrée",De Rayssiguier,True,"1470 - PALINICE, CIRCEINE ET FLORICE, TRAGI-COMÉDIE PASTORALE",DE RAYSSIGUIER,0.7642857142857142
"113 - Arlequin, Bellerophon. Parodie",Dominique,False,"191 - ALBERT DURER, PIÈCE EN UN ACTE",Louis-Dominique-Laurent AUDIFFRET (1790-1869),0.4448275862068965
114 - L'Amante ennemie,Sallebray,False,"900 - L'AMANT ANONYME, COMÉDIE","GENLIS, Stéphanie-Félicité Du Crest de (1746-1830)",0.44399999999999995
115 - La Belle Égyptienne. Tragi-comédie,Sallebray,True,"1587 - LA BELLE ÉGYPTIENNE, COMÉDIE","SALLEBRAY, Monsieur de (16..-16..)",0.7264705882352941
116 - Le Fils supposé. Comédie,Georges de Scudéry,True,"1619 - LE FILS SUPPOSÉ, COMÉDIE.","SCUDERY, Georges de (1601-1667)",0.8064516129032258
117 - Orante. Tragi-comédie,Georges de Scudéry,True,"1622 - ORANTE, TRAGI-COMÉDIE","SCUDERY, Georges de (1601-1667)",0.7064516129032258
118 - Le Vassal généreux. Tragi-comédie,Georges de Scudéry,True,1624 - LE VASSAL GÉNÉREUX - TRAGI-COMÉDIE,"SCUDERY, Georges de (1601-1667)",0.8064516129032258
"119 - Les Prétieuses Ridicules. Comédie représentée au Petit Bourbon, nouvellement mise en vers.",Antoine Baudeau de Somaize,True,"1286 - LES PRÉCIEUSES RIDICULES, COMÉDIE","MOLIERE, Jean-Baptiste Pocquelin dit (1622-1673)",0.694
120 - Le Procès des Prétieuses en vers burlesques. Comédie.,Antoine Baudeau de Somaize,True,"1635 - LE PROCÈS DES PRÉCIEUSES EN VERS BURLESQUES, COMÉDIE","SOMAIZE, Antoine BAUDEAU DE",0.6904040404040405
121 - Les Véritables Prétieuses. Comédie.,Antoine Baudeau de Somaize,True,"1636 - LES VÉRITABLES PRÉCIEUSES, COMÉDIE","SOMAIZE, Antoine BAUDEAU DE",0.6683760683760684
