Bibdramatique play,In TC,Best match in TC,Score
"68 - Arie et Petus, ou les amours de Neron. Tragedie",False,"356 - ARMETZAR OU LES AMIS ENNEMIS, TRAGICOMÉDIE.",0.5
69 - Téléphonte. Tragi-comédie,True,"802 - TÉLÉPHONTE, TRAGI-COMÉDIE.",1.0
70 - Le Desniaisé. Comédie,False,"805 - LE DÉNIAISÉ, COMÉDIE",0.75
71 - Le Triomphe des cinq passions. Tragi-comédie.,False,"1070 - LE TRIOMPHE DE L'AMOUR, COMÉDIE.",0.5517241379310345
72 - La Fidelle Tromperie. Tragi-comédie,False,"860 - LA SYBILLE, PARODIE.",0.5
73 - Molière chez Ninon ou Le siècle des grands hommes. Pièce épisodique en prose et en cinq actes.,True,"821 - MOLIÈRE CHEZ NINON OU LE SIÈCLE DES GRANDS HOMMES, PIÈCE EPISODIQUE ",1.0
74 - L'Innocent malheureux ou La Mort de Crispe. Tragédie,False,"493 - LE TRIUMVIRAT ou LA MORT DE CICÉRON, TRAGÉDIE",0.4390243902439024
75 - Dom Quixote de la Manche. Comédie,False,"836 - DON QUICHOTTE DE LA MANCHE, COMÉDIE.",0.8148148148148149
"76 - Dom Quichot de la Manche, seconde partie",False,"836 - DON QUICHOTTE DE LA MANCHE, COMÉDIE.",0.5641025641025641
77 - Le Fils désavoué. Tragi-comédie,True,"838 - LE FILS DÉSAVOUÉ, TRAGI-COMÉDIE.",1.0
"78 - La Mort de Brute et de Porcie, ou La vengeance de la mort de César. Tragédie",True,"1247 - LA VENGEANCE, COMÉDIE",1.0
79 - Méléagre. Tragédie,False,"857 - MÉLÉAGRE, TRAGÉDIE",0.8888888888888888
80 - L'AMANT QUI NE FLATTE POINT,True,"861 - L'AMANT QUI NE FLATTE POINT, COMÉDIE.",1.0
81 - Crispin musicien. Comédie,False,964 - CRISPIN BEL ESPRIT,0.5
82 - Oreste et Pilade. Tragédie,False,"946 - ORESTE ET PYLADE, TRAGÉDIE",0.8823529411764706
83 - L'Aveugle clair-voyant. Comédie,True,237 - L'AVEUGLE CLAIRVOYANT. COMÉDIE,1.0
84 - Le Grand Tamerlan et Bajazet. Tragédie,False,"1411 - LES MUSES GALANTES, BALLET.",0.4642857142857143
85 - Le Dictateur romain. Tragédie.,True,"1028 - LE DICTATEUR ROMAIN, TRAGI-COMÉDIE.",1.0
86 - La Soeur valeureuse ou l'Aveugle amante. Tragi-comédie,True,"1035 - LA SOEUR VALEUREUSE OU L'AVEUGLE AMANTE, TRAGICOMÉDIE.",1.0
87 - Le Thyeste. Tragédie,False,"1493 - LE TÊTE-À-TÊTE, COMÉDIE.",0.5384615384615384
88 - La Fille capitaine. Comédie,False,"746 - LA FILLE DE MOLIÈRE, COMÉDIE",0.55
89 - Le Gentilhomme de Beauce. Comédie,False,"601 - LE GENTILHOMME GUESPIN, COMÉDIE",0.625
90 - Le Mary sans femme. Comédie,False,"316 - LE MARI ABSENT, PROVERBE",0.5217391304347826
91 - Le Mary sans femme. Comédie,False,"316 - LE MARI ABSENT, PROVERBE",0.5217391304347826
92 - Trigaudin ou Martin Braillart. Comédie,False,"708 - GRAPINIAN, OU ARLEQUIN PROCUREUR",0.3548387096774194
93 - L'Amour sentinelle ou Le Cadenas forcé. Comédie,False,"738 - L'AMOUR FANTASQUE OU LE JUGE DE SOI MÊME, COMÉDIE",0.475
94 - L'Absent chez soy. Comédie,True,1230 - L'ABSENT CHEZ SOI,0.9375
95 - La Coifeuse à la mode. Comédie,False,"605 - LA VEUVE À LA MODE, COMÉDIE",0.7142857142857143
96 - La Dame suivante. Comédie,False,"415 - LA SUIVANTE, COMÉDIE",0.625
97 - L'Esprit folet. Comédie,False,"1325 - LES RIVALES, COMÉDIE",0.46153846153846156
98 - Les Fausses Vérités. Comédie,True,"1231 - LES FAUSSES VÉRITÉS, COMÉDIE",1.0
99 - Jodelet astrologue. Comédie,False,"438 - LE FEINT ASTROLOGUE, COMÉDIE",0.65
100 - Les Soupçons sur les apparences. Héroïco-comédie,True,"1232 - LES SOUPÇONS SUR LES APPARENCES, COMÉDIE",1.0
"101 - Pomone, pastorale en musique",False,"1326 - ROLAND, TRAGÉDIE EN MUSIQUE",0.7777777777777778
"102 - Livret de Pomone, pastorale en musique",False,"248 - ACHILLE ET POLIXÈNE, TRAGÉDIE EN MUSIQUE",0.6129032258064516
"103 - Arsace, Roy des Parthes",True,"1291 - ARSACE, ROI DES PARTHES, TRAGÉDIE.",0.9130434782608696
104 - Pirame et Thisbé. Tragédie,False,"1556 - PYRAME ET THISBÉ, TRAGÉDIE",0.8823529411764706
105 - Régulus. Tragédie,False,"1294 - RÉGULUS, TRAGÉDIE",0.875
106 - Scipion l'Africain. Tragédie,True,"1295 - SCIPION L'AFRICAIN, TRAGÉDIE",1.0
107 - Tamerlan ou la Mort de Bajazet. Tragédie,True,"1292 - TAMERLAN OU LA MORT DE BAJAZET, TRAGÉDIE",1.0
108 - Le Martyre de sainte Catherine. Tragédie en prose,True,"1298 - LE MARTYRE DE SAINTE CATHERINE, TRAGÉDIE",1.0
109 - Agrippa ou le Faux Tiberinus,False,"1306 - AGRIPPA ROI D'ALBE OU LE FAUX TIBERINUS, TRAGI-COMÉDIE",0.717948717948718
110 - Le Fantôme amoureux. Tragi-comédie,False,"1317 - LE FANTOME AMOUREUX, TRAGI-COMÉDIE",0.9
111 - Pausanias. Tragédie,False,"922 - PAHLANTE, TRAGÉDIE",0.4444444444444444
"112 - Palinice, Circeine et Florice. Tragi-comédie pastorale tirée de l'Astrée",True,"1349 - PALINICE, CIRCEINE ET FLORICE, TRAGI-COMÉDIE PASTORALE",1.0
"113 - Arlequin, Bellerophon. Parodie",False,456 - ARLEQUIN JALOUX,0.55
114 - L'Amante ennemie,False,"779 - L'AMANT ANONYME, COMÉDIE",0.6
115 - La Belle Égyptienne. Tragi-comédie,True,"1466 - LA BELLE ÉGYPTIENNE, COMÉDIE",1.0
116 - Le Fils supposé. Comédie,True,"1498 - LE FILS SUPPOSÉ, COMÉDIE.",1.0
117 - Orante. Tragi-comédie,False,"1501 - ORANTE, TRAGI-COMÉDIE",0.8571428571428572
118 - Le Vassal généreux. Tragi-comédie,True,1503 - LE VASSAL GÉNÉREUX - TRAGI-COMÉDIE,1.0
"119 - Les Prétieuses Ridicules. Comédie représentée au Petit Bourbon, nouvellement mise en vers.",True,"1165 - LES PRÉCIEUSES RIDICULES, COMÉDIE",0.92
120 - Le Procès des Prétieuses en vers burlesques. Comédie.,True,"1514 - LE PROCÈS DES PRÉCIEUSES EN VERS BURLESQUES, COMÉDIE",0.9545454545454546
121 - Les Véritables Prétieuses. Comédie.,True,"1515 - LES VÉRITABLES PRÉCIEUSES, COMÉDIE",0.9230769230769231
