Bibdramatique play,In TC,Best match in TC,Score
27 - Les Fragmens de Molière. Comédie.,False,"400 - MÉLITE OU LES FAUSSES LETTRES, COMÉDIE",0.9497105000942558
28 - Zaïde. Tragédie,False,1019 - CONVERSATIONS DE MADAME LA MARQUISE DE MAINTENON,0.9430966554854281
29 - Armetzar ou les amis ennemis. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8897374401663272
30 - L'Advocat duppé. Comédie,False,"1203 - LORENZACCIO, DRAME",0.9403420810019906
31 - Coriolan. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9189790947951557
32 - La Lucresse romaine. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9173921198130017
33 - Antiochus. Tragi-comédie,False,"1468 - MOLIÈRE, DRAME.",0.941434411577262
34 - Le Baron d'Albikrac. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9344049355422492
35 - Bellerophon. Tragédie,False,"1203 - LORENZACCIO, DRAME",0.9398586275366567
"36 - Camma, reine de Galatie. Tragédie",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9101622600744192
37 - Le Charme de la voix. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8562238199634822
38 - La Comtesse d'orgueil. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9085950790536391
39 - Le Feint astrologue. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.7441300476827071
40 - Les Illustres ennemis. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8845038020196296
41 - L'Inconnu?. Comédie mêlée d'ornements,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8935810604460903
"42 - Laodice, reine de Cappadoce. Tragédie",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9385850620833591
43 - Médée. Tragédie,False,"809 - ONDINE, COMÉDIE.",0.945337989314072
44 - La Mort d'Annibal. Tragédie.,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.94223759110705
45 - La Mort d'Achille. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9339863721994408
46 - Psyché. Tragédie,False,1019 - CONVERSATIONS DE MADAME LA MARQUISE DE MAINTENON,0.942015370967212
47 - Théodat. Tragédie,False,"820 - MOLIÈRE CHEZ NINON OU LE SIÈCLE DES GRANDS HOMMES, PIÈCE EPISODIQUE ",0.9479550792552165
"48 - La Mort de Molière. Pièce en trois actes, en vers [Pièce historique, en quatre actes en vers, et à spectacle]",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.7835106235873558
49 - Le Soliman,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.857482968396826
50 - Le Torrismon du Tasse,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8479015396576379
51 - Bélisaire. Tragi-comédie,False,"1203 - LORENZACCIO, DRAME",0.9223871678772025
52 - Eurimédon ou l'Illustre pirate. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8834563455427414
"53 - Perside, ou la Suite d'Ibrahim Bassa. Tragédie.",False,"594 - LA DEVINERESSE, OU LES FAUX ENCHANTEMENTS, COMÉDIE",0.9477533658775045
54 - La Véritable Sémiramis. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.91238446136827
55 - Manlius. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9067981427867378
56 - Roxelane. Tragi-comédie,False,"1203 - LORENZACCIO, DRAME",0.9497123064960769
"57 - Les Noces de Vaugirard, ou Les Naifvetez champestres. Pastorale",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9147666040157866
58 - Les Dames vangées ou La Dupe de soy mesme. Comédie,False,"1203 - LORENZACCIO, DRAME",0.8799844711222601
59 - La comédie de la comédie et Les amours de Trapolin,False,"589 - LE PÈRE DE FAMILLE, COMÉDIE.",0.9443165760287757
60 - Agarite. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9468668143469112
61 - Bérénice. Tragi-comédie en prose.,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8933379357956507
62 - Cléomédon. Tragi-comédie.,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8516811322108113
63 - Lisandre et Caliste. Tragi-comédie.,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9372984680176136
64 - La Belle Esclave. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.889697839936551
65 - L'Intrigue des filous. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9053026750814576
66 - Les Amours d'Ovide. Pastorale héroïque,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9405554081260064
"67 - Arie et Petus, ou les amours de Neron. Tragedie",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8663025259218835
68 - Téléphonte. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8952763572441892
69 - Le Desniaisé. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8937404742742117
70 - Le Triomphe des cinq passions. Tragi-comédie.,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9030160397992881
71 - La Fidelle Tromperie. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8639387117856365
72 - Molière chez Ninon ou Le siècle des grands hommes. Pièce épisodique en prose et en cinq actes.,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8263938938721638
73 - L'Innocent malheureux ou La Mort de Crispe. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8827649092842705
74 - Dom Quixote de la Manche. Comédie,False,"1203 - LORENZACCIO, DRAME",0.8937213314817153
"75 - Dom Quichot de la Manche, seconde partie",False,"1203 - LORENZACCIO, DRAME",0.8933571578726088
76 - Le Fils désavoué. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9058713319140191
"77 - La Mort de Brute et de Porcie, ou La vengeance de la mort de César. Tragédie",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8239959660504645
78 - Méléagre. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9368385372278608
79 - L'AMANT QUI NE FLATTE POINT,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9394910788753693
80 - Crispin musicien. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8629559057120281
81 - Oreste et Pilade. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.837389933249359
82 - L'Aveugle clair-voyant. Comédie,False,"964 - HERCULE, TRAGÉDIE.",0.9498026702493912
83 - Le Grand Tamerlan et Bajazet. Tragédie,False,"1203 - LORENZACCIO, DRAME",0.9222492420582036
84 - Le Dictateur romain. Tragédie.,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9469828346509752
85 - La Soeur valeureuse ou l'Aveugle amante. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.900841384605541
86 - Le Thyeste. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8715839161703285
87 - La Fille capitaine. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9389621713512682
88 - Le Gentilhomme de Beauce. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.882336287626552
89 - Le Mary sans femme. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9135702064999532
90 - Le Mary sans femme. Comédie,False,"1077 - LA DESTRUCTION DE LA LIGUE, ou LA RÉDUCTION DE PARIS.",0.9396667301605908
91 - Trigaudin ou Martin Braillart. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8919142984271151
92 - L'Amour sentinelle ou Le Cadenas forcé. Comédie,False,"589 - LE PÈRE DE FAMILLE, COMÉDIE.",0.9416512277039781
93 - L'Absent chez soy. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9424857413609422
94 - La Coifeuse à la mode. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8868083586568525
95 - La Dame suivante. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9207890961548821
96 - L'Esprit folet. Comédie,False,"1203 - LORENZACCIO, DRAME",0.9197962938035626
97 - Les Fausses Vérités. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9073777736985241
98 - Jodelet astrologue. Comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9398610482041418
99 - Les Soupçons sur les apparences. Héroïco-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.943203154149898
"100 - Pomone, pastorale en musique",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9440224677955691
"101 - Livret de Pomone, pastorale en musique",False,"1223 - LE PRÉJUGÉ À LA MODE, COMÉDIE.",0.9491684793673585
"102 - Arsace, Roy des Parthes",False,"1203 - LORENZACCIO, DRAME",0.9023037639780146
103 - Pirame et Thisbé. Tragédie,False,"1203 - LORENZACCIO, DRAME",0.9211011238929853
104 - Régulus. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.891487306980911
105 - Scipion l'Africain. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9164769233326131
106 - Tamerlan ou la Mort de Bajazet. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8362099808587904
107 - Le Martyre de sainte Catherine. Tragédie en prose,False,"383 - WALLSTEIN, TRAGÉDIE",0.9449845667934822
108 - Agrippa ou le Faux Tiberinus,False,"594 - LA DEVINERESSE, OU LES FAUX ENCHANTEMENTS, COMÉDIE",0.943074813035646
109 - Le Fantôme amoureux. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9406856164744917
110 - Pausanias. Tragédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9085799341954304
"111 - Palinice, Circeine et Florice. Tragi-comédie pastorale tirée de l'Astrée",False,"594 - LA DEVINERESSE, OU LES FAUX ENCHANTEMENTS, COMÉDIE",0.9433153067157833
"112 - Arlequin, Bellerophon. Parodie",False,"954 - CANENTE, TRAGÉDIE",0.9496479361508713
113 - L'Amante ennemie,False,"1203 - LORENZACCIO, DRAME",0.8791366614939775
114 - La Belle Égyptienne. Tragi-comédie,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8930391956961589
115 - Le Fils supposé. Comédie,False,"1203 - LORENZACCIO, DRAME",0.9217152099269531
116 - Orante. Tragi-comédie,False,"1203 - LORENZACCIO, DRAME",0.887948739212941
117 - Le Vassal généreux. Tragi-comédie,False,"1203 - LORENZACCIO, DRAME",0.8799163979457781
"118 - Les Prétieuses Ridicules. Comédie représentée au Petit Bourbon, nouvellement mise en vers.",False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.8831996425094343
119 - Le Procès des Prétieuses en vers burlesques. Comédie.,False,"893 - UBU ROI, DRAME",0.9494318585098627
120 - Les Véritables Prétieuses. Comédie.,False,"1540 - SYLVANIRE ou la MORTE VIVE, FABLE BOCAGÈRE",0.9147124491950014
