Play Name,First closest,Average distance,First distance,Cast Matching 1,Second closest,Cast Matching 2
Le Pauvre Bougre et le Bon Génie,Les Fêtes de l'Amour et de Bacchus,0.0604194857916103,1.9,"[('tous1', ('tous2', 1.0)), ('le-garçon1', ('le-gascon2', 0.9)), ('le-pauvre-bougre1', ('le-choeur2', 0)), ('le-bon-genie1', ('les-deux-choeurs2', 0))]",Les Papilllotes,"(1.0, [('tous1', ('tous2', 1.0)), ('le-bon-genie1', ('madame-de-saint-pol2', 0)), ('le-garçon1', ('ninon2', 0)), ('le-pauvre-bougre1', ('le-domestique2', 0))])"
Un Mécontent,L'Homme qui ne Peut pas Siffler,0.013531799729364006,1.0,"[('un-homme1', ('un-homme2', 1.0))]",A la Mer !,"(1.0, [('un-homme1', ('un-homme2', 1.0))])"
Les Papilllotes,Le Mariage de Scarron,0.16713515397547873,3.0,"[('ensemble1', ('ensemble2', 1.0)), ('ninon1', ('ninon2', 1.0)), ('tous1', ('tous2', 1.0)), ('moliere1', ('babet2', 0)), ('d-estrees1', ('monsieur-villarceaux2', 0)), ('germain1', ('maugin2', 0)), ('madame-de-coulanges1', ('mademoiselle-d-aubigne2', 0)), ('saint-pol1', ('choeur2', 0)), ('longueville1', ('monsieur-de-villarceaux2', 0)), ('madame-de-lafayette1', ('menage2', 0)), ('un-domestique1', ('le-notaire2', 0)), ('le-laquais1', ('girault2', 0)), ('saint-evremont1', ('scarron2', 0))]",Molière chez Ninon ou La Lecture de Tartuffe,"(3.0, [('ninon1', ('ninon2', 1.0)), ('tous1', ('tous2', 1.0)), ('moliere1', ('moliere2', 1.0)), ('madame-de-lafayette1', ('la-fontaine2', 0)), ('un-domestique1', ('le-prince2', 0)), ('saint-evremont1', ('boileau2', 0)), ('d-estrees1', ('laforet2', 0)), ('le-laquais1', ('racine2', 0)), ('germain1', ('chapelle2', 0)), ('delaunay1', ('un-valet2', 0)), ('saint-pol1', ('un-page2', 0)), ('longueville1', ('saint-alban2', 0)), ('ensemble1', ('un-seigneur2', 0)), ('madame-de-coulanges1', ('corneille2', 0))])"
Une Séduction,Le Petit Maître par Philosophie,0.1189594498119532,3.0,"[('la-comtesse1', ('la-comtesse2', 1.0)), ('le-marquis1', ('le-marquis2', 1.0)), ('dupre1', ('dupre2', 1.0)), ('laurence1', ('le-chevalier2', 0))]",Le Jeune Docteur,"(3.0, [('la-comtesse1', ('la-comtesse2', 1.0)), ('le-marquis1', ('le-marquis2', 1.0)), ('ernest1', ('ernest2', 1.0)), ('madame-dupre1', ('la-marquis2', 0)), ('dupre1', ('la-couturiere2', 0)), ('sophie1', ('un-domestique2', 0)), ('gersaint1', ('la-baronne2', 0)), ('laurence1', ('le-docteur2', 0))])"
"Anaximandre, Comédie.",Argenis et Poliarque ou Théocrine,0.0020297699594046007,1.0,"[('anaximandre1', ('anaximandre2', 1.0)), ('melidore1', ('timonide2', 0)), ('phrosine1', ('menocrite2', 0)), ('aspasie1', ('eristene2', 0)), ('pretresse1', ('sacrificateur2', 0))]",Artaxerxe,"(1.0, [('aspasie1', ('aspasie2', 1.0)), ('melidore1', ('ochus2', 0)), ('phrosine1', ('tissapherne2', 0)), ('anaximandre1', ('artaxerxe2', 0)), ('pretresse1', ('darie2', 0))])"
Molière et ses Amis ou La Soirée d'Auteuil,Le Souper de Molière,0.14377537212449257,7.0,"[('laforet1', ('laforet2', 1.0)), ('la-fontaine1', ('la-fontaine2', 1.0)), ('mignard1', ('mignard2', 1.0)), ('chapelle1', ('chapelle2', 1.0)), ('tous1', ('tous2', 1.0)), ('moliere1', ('moliere2', 1.0)), ('lulli1', ('lulli2', 1.0)), ('isabelle1', ('les-villageois2', 0)), ('despreaux1', ('antoine2', 0))]",Molière chez Ninon ou La Lecture de Tartuffe,"(5.0, [('laforet1', ('laforet2', 1.0)), ('la-fontaine1', ('la-fontaine2', 1.0)), ('chapelle1', ('chapelle2', 1.0)), ('tous1', ('tous2', 1.0)), ('moliere1', ('moliere2', 1.0)), ('isabelle1', ('racine2', 0)), ('lulli1', ('le-prince2', 0)), ('despreaux1', ('un-page2', 0)), ('mignard1', ('un-seigneur2', 0))])"
Dialogue de la Prude et de la Coquette,La Comédie à l'Impromptu,0.04939106901217862,1.0,"[('angelique1', ('angelique2', 1.0)), ('iris1', ('frontin2', 0))]",Le Centenaire de Molière,"(1.0, [('angelique1', ('angelique2', 1.0)), ('iris1', ('momus2', 0))])"
Adam,Les Vierges Sages et les Vierges Folles,0.021608592692828152,6.0,"[('daniel1', ('daniel2', 1.0)), ('nabuchodonosor1', ('nabuchodonosor2', 1.0)), ('isaïe1', ('isaïe2', 1.0)), ('moïse1', ('moïse2', 1.0)), ('jeremie1', ('jeremie2', 1.0)), ('david1', ('david2', 1.0)), ('eve1', ('virgile2', 0)), ('balaam1', ('le-christ2', 0)), ('dieu1', ('des-femmes2', 0)), ('aaron1', ('reponse2', 0)), ('salomon1', ('israël2', 0)), ('habacuc1', ('les-marchands2', 0)), ('abel1', ('elisabeth2', 0)), ('satan1', ('jean-baptiste2', 0)), ('caïn1', ('simeon2', 0)), ('adam1', ('sibylle2', 0)), ('le-juif1', ('les-folles2', 0)), ('abraham1', ('abacuc2', 0))]",Adam et Eve,"(3.0, [('adam1', ('adam2', 1.0)), ('satan1', ('satan2', 1.0)), ('eve1', ('eve2', 1.0)), ('caïn1', ('la-voix-de-dieu2', 0)), ('abraham1', ('raphaël2', 0)), ('aaron1', ('uriel2', 0)), ('moïse1', ('gabriel2', 0)), ('dieu1', ('moloch2', 0)), ('abel1', ('michel2', 0))])"
Les Aventures de Ninette,"L'Ecole du Piston, Comédie",0.033722372575552544,1.0,"[('henri1', ('henri2', 1.0)), ('ninette1', ('eugene2', 0)), ('deuxieme-petite-fille1', ('le-capitaine2', 0)), ('le-marchand-de-tisane1', ('le-ministre2', 0)), ('la-maman1', ('l-adjudant2', 0)), ('le-paysan1', ('le-general2', 0)), ('l-homme1', ('bagonet2', 0)), ('premiere-petite-fille1', ('capitaine2', 0))]","Un Homme dans la Maison, Comédie","(1.0, [('l-homme1', ('l-homme2', 1.0)), ('henri1', ('irma2', 0)), ('la-maman1', ('le-capitaine2', 0)), ('ninette1', ('lemorandel2', 0))])"
Les Bonnes Gens,Les Comédiens Esclaves,0.08051420838971583,2.0,"[('arlequin1', ('arlequin2', 1.0)), ('le-roi1', ('le-roi2', 1.0)), ('second-hussard1', ('le-docteur2', 0)), ('madame-guillaume1', ('mezettin2', 0)), ('un-hussard1', ('scaramouche2', 0)), ('guillaume1', ('acmet2', 0))]",La Vie Est un Songe,"(2.0, [('arlequin1', ('arlequin2', 1.0)), ('le-roi1', ('le-roi2', 1.0)), ('guillaume1', ('ulric2', 0)), ('second-hussard1', ('sophronie2', 0)), ('madame-guillaume1', ('roderic2', 0)), ('un-hussard1', ('federic2', 0))])"
Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],Fragment d'une Comédie Intitulée Chapelain Décoiffé.,0.0033829499323410014,2.0,"[('chapelain1', ('chapelain2', 1.0)), ('la-serre1', ('la-serre2', 1.0))]","Pradon, Sifflé, Battu et Content","(1.0, [('chapelain1', ('chapelain2', 1.0)), ('la-serre1', ('dutremblet2', 0))])"
Fragment d'une Comédie Intitulée Chapelain Décoiffé.,Fragment d'une Comédie Intitulée Chapelain Décoiffé [2],0.0033829499323410014,2.0,"[('chapelain1', ('chapelain2', 1.0)), ('la-serre1', ('la-serre2', 1.0))]","Pradon, Sifflé, Battu et Content","(1.0, [('chapelain1', ('chapelain2', 1.0)), ('cassaigne1', ('tous2', 0)), ('la-serre1', ('dutremblet2', 0))])"
Le Club des Dames ou Le Retour de Descartes,Le Jeune Docteur,0.22313591447158265,5.0,"[('la-comtesse1', ('la-comtesse2', 1.0)), ('un-domestique1', ('un-domestique2', 1.0)), ('le-marquis1', ('le-marquis2', 1.0)), ('la-marquise1', ('la-marquise2', 1.0)), ('la-baronne1', ('la-baronne2', 1.0)), ('madame-de-merval1', ('la-marquis2', 0)), ('le-tourangeau1', ('guillaume2', 0)), ('une-femme1', ('ernest2', 0)), ('descartes1', ('julie2', 0)), ('le-chevalier1', ('le-docteur2', 0)), ('la-vicomtesse1', ('la-couturiere2', 0))]",La Devineresse,"(4.0, [('la-comtesse1', ('la-comtesse2', 1.0)), ('le-marquis1', ('le-marquis2', 1.0)), ('la-marquise1', ('la-marquise2', 1.0)), ('le-chevalier1', ('le-chevalier2', 1.0)), ('la-baronne1', ('du-clos2', 0)), ('un-domestique1', ('mademoiselle-du-verdier2', 0)), ('madame-de-merval1', ('picard2', 0)), ('une-femme1', ('monsieur-de-troufignac2', 0)), ('descartes1', ('madame-de-clerimont2', 0)), ('le-tourangeau1', ('le-financier2', 0)), ('la-vicomtesse1', ('la-tete2', 0))])"
Dialogue d'Alcippe et de Dionice,La Fête Séculaire de Corneille,0.012371931181132804,1.0,"[('alcipe1', ('alcipe2', 1.0)), ('drionice1', ('philiste2', 0))]",La Lacrymanie,"(1.0, [('alcipe1', ('alcipe2', 1.0)), ('drionice1', ('lisimon2', 0))])"
La Déroute des Précieuses,La Belle Egyptienne,0.031061631196949192,1.9090909090909092,"[('le-poete1', ('le-poete2', 1.0)), ('precieuses1', ('precieuse2', 0.9090909090909091)), ('hymen1', ('isabelle2', 0)), ('le-colporteur-criant1', ('le-senechal2', 0)), ('colporteur-portant1', ('un-de-la-troupe2', 0)), ('l-amour1', ('la-vieille2', 0)), ('les-galants1', ('ferdinand2', 0))]",La Ressource Comique,"(1.0, [('le-poete1', ('le-poete2', 1.0)), ('hymen1', ('ensemble2', 0)), ('l-amour1', ('le-chevalier2', 0)), ('precieuses1', ('lucile2', 0)), ('colporteur-portant1', ('platinet2', 0)), ('les-galants1', ('valere2', 0)), ('le-colporteur-criant1', ('madame-argante2', 0))])"
Dialogue des Yeux et de la Bouche,Cartouche ou Les Voleurs,0.0006427604871447903,0.95,"[('la-bouche1', ('la-mouche2', 0.95)), ('les-yeux1', ('valere2', 0))]","Argélie, Reine de Thessalie","(0, [('clytie1', ('les-yeux2', 0)), ('argelie1', ('la-bouche2', 0))])"
Dialogue entre Voltaire et Rousseau,Le Roi Attend,0.0013531799729364006,1.0,"[('voltaire1', ('voltaire2', 1.0)), ('rousseau1', ('laforet2', 0))]",La Fête de Bellébat,"(1.0, [('voltaire1', ('voltaire2', 1.0)), ('rousseau1', ('l-orateur2', 0))])"
Le Jeu d'Esmorée,Les Libellistes,0.016200571342655238,1.0,"[('robert1', ('robert2', 1.0)), ('esmoree1', ('berte2', 0)), ('la-reine1', ('scharfmann2', 0)), ('damiette1', ('le-tendre2', 0)), ('le-roi-maure1', ('la-douceur2', 0)), ('l-astrologue1', ('le-baron2', 0)), ('le-roi-chretien1', ('vander-alte2', 0))]","Laodamie, Reine D'Epire.","(1.0, [('la-reine1', ('la-reine2', 1.0)), ('l-astrologue1', ('phenix2', 0)), ('damiette1', ('milon2', 0)), ('robert1', ('la-princesse2', 0)), ('le-roi-chretien1', ('sostrate2', 0)), ('le-roi-maure1', ('phedre2', 0)), ('esmoree1', ('gelon2', 0))])"
Le Jus du Pelerin,Le Festin de Pierre,0.0013048521167601005,1.0,"[('le-pelerin1', ('le-pelerin2', 1.0)), ('rogaut1', ('un-pelerin2', 0)), ('guiot1', ('philemon2', 0)), ('warnier1', ('belinde2', 0)), ('le-vilain1', ('amarille2', 0)), ('guyot1', ('oriane2', 0)), ('gautier1', ('l-ombre2', 0))]","Poquelin, Père et Fils","(0.9285714285714286, [('rogaut1', ('rohaut2', 0.9285714285714286)), ('guyot1', ('jeannot2', 0)), ('gautier1', ('lubin2', 0)), ('guiot1', ('clabaud2', 0)), ('le-vilain1', ('moliere2', 0)), ('warnier1', ('chiffonne2', 0)), ('le-pelerin1', ('poquelin2', 0))])"
La Matinée du Comédien Français,La Saignée,0.06749790579289902,2.0,"[('sophie1', ('sophie2', 1.0)), ('le-comte1', ('le-comte2', 1.0)), ('belval1', ('madame-dormel2', 0)), ('verville1', ('dormel-fils2', 0)), ('la-fleur1', ('monsieur-et-madame-dormel2', 0))]",Le Mariage Inattendu de Chérubin,"(2.0, [('la-fleur1', ('la-fleur2', 1.0)), ('le-comte1', ('le-comte2', 1.0)), ('verville1', ('la-duchesse2', 0)), ('sophie1', ('le-duc2', 0)), ('belval1', ('figaro2', 0))])"
Farce Nouvelle Tres Bonne et Fort Joyeuse à Trois Personnages d'un Pardonneur d'un Triacleur et d'une Tavernière,"Argélie, Reine de Thessalie",0.0,0,"[('clytie1', ('le-triacleur2', 0)), ('argelie1', ('la-taverniere2', 0)), ('timagene1', ('le-pardonneur2', 0))]",Coriolan,"(0, [('aufide1', ('le-pardonneur2', 0)), ('albin1', ('le-triacleur2', 0)), ('coriolan1', ('la-taverniere2', 0))])"
Farce Nouvelle Fort Joyeuse du Pont aux Anes,Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore,0.0040595399188092015,1.0,"[('la-femme1', ('la-femme2', 1.0)), ('le-mari1', ('le-cure2', 0)), ('le-bucheron1', ('le-clerc2', 0)), ('messire-domine-de1', ('jenin2', 0))]",Arlequin Misanthrope,"(1.0, [('la-femme1', ('la-femme2', 1.0)), ('le-mari1', ('arlequin2', 0)), ('messire-domine-de1', ('mezzetin2', 0)), ('le-bucheron1', ('une-bergere2', 0))])"
Le Portier du Parnasse,Climène,0.06887592091414824,3.9166666666666665,"[('thalie1', ('thalie2', 1.0)), ('apollon1', ('apollon2', 1.0)), ('melpomene1', ('melpomene2', 1.0)), ('terpsicore1', ('terpsichore2', 0.9166666666666666)), ('barbaro1', ('clio2', 0)), ('mademoiselle-giroflee1', ('uranie2', 0)), ('apolllon1', ('calliope2', 0)), ('tomverd1', ('acanthe2', 0)), ('tranchet1', ('polymnie2', 0)), ('l-abbe1', ('climene2', 0)), ('des-accents1', ('euterpe2', 0)), ('polichinelle1', ('erato2', 0))]",Les Amours de Jupiter et de Sémélé,"(3.0, [('thalie1', ('thalie2', 1.0)), ('apollon1', ('apollon2', 1.0)), ('melpomene1', ('melpomene2', 1.0)), ('barbaro1', ('hymenee2', 0)), ('terpsicore1', ('euterpe2', 0)), ('tomverd1', ('atys2', 0)), ('des-accents1', ('la-jeunesse2', 0)), ('polichinelle1', ('momus2', 0)), ('mademoiselle-giroflee1', ('junon2', 0)), ('tranchet1', ('venus2', 0)), ('apolllon1', ('jalousie2', 0)), ('l-abbe1', ('un-des-amours2', 0))])"
Le Prix d'un Moment,Les Sauvages ou Le Roi Bienfaisant.,0.01410801647608143,1.0,"[('louis1', ('louis2', 1.0)), ('le-vieillard1', ('otambo2', 0)), ('serre-fort1', ('guerriers-et-illinois2', 0)), ('dumont1', ('vieillards-cherokis2', 0)), ('va-le-galop1', ('choeur-general2', 0))]",Arlequin Misanthrope,"(1.0, [('le-vieillard1', ('le-vieillard2', 1.0)), ('louis1', ('arlequin2', 0)), ('va-le-galop1', ('mezzetin2', 0)), ('serre-fort1', ('une-bergere2', 0)), ('dumont1', ('un-berger2', 0))])"
La Réception de Monseigneur le Vicomte d'Argenson,"Argélie, Reine de Thessalie",0.0,0,"[('cleon1', ('la-nation-huronne2', 0)), ('arcas1', ('la-nation-algonquine2', 0)), ('ismene1', ('le-genie-des-forets2', 0)), ('argelie1', ('captif-de-la-nation-des-nez-perces2', 0)), ('timagene1', ('le-genie-interprete2', 0)), ('dione1', ('le-premier-etranger2', 0)), ('phoenix1', ('le-second-etranger2', 0)), ('clytie1', ('le-premier-captif-huron2', 0))]",Coriolan,"(0, [('virgilie1', ('la-nation-algonquine2', 0)), ('virgile1', ('le-second-etranger2', 0)), ('camille1', ('le-premier-etranger2', 0)), ('sabine1', ('le-genie-des-forets2', 0)), ('albin1', ('le-premier-captif-huron2', 0)), ('aufide1', ('le-genie-interprete2', 0)), ('coriolan1', ('captif-de-la-nation-des-nez-perces2', 0))])"
La Résurrection du Sauveur,Jésus-Christ,0.026886104423316865,2.0,"[('caïphe1', ('caïphe2', 1.0)), ('pilate1', ('pilate2', 1.0)), ('le-recitant1', ('madeleine2', 0)), ('un-soldat1', ('un-membre-de-la-suite-de-caïphe2', 0)), ('passant1', ('judas2', 0)), ('levi1', ('le-docteur2', 0)), ('longin1', ('le-pretre2', 0)), ('joseph1', ('l-un-d-eux2', 0)), ('nicodeme1', ('le-peuple2', 0))]",Hurlubrelu,"(1.9, [('joseph1', ('joseph2', 1.0)), ('un-soldat1', ('le-soldat2', 0.9)), ('levi1', ('le-porte-faix2', 0)), ('caïphe1', ('le-perruquier2', 0)), ('nicodeme1', ('le-notaire2', 0)), ('passant1', ('javotte2', 0)), ('pilate1', ('le-cabaretier2', 0)), ('le-recitant1', ('germain2', 0)), ('longin1', ('le-garçon2', 0))])"
Farce Nouvelle Très Bonne et Fort Joyeuse de la Resurrection de Jenin Landore,Farce Nouvelle Fort Joyeuse du Pont aux Anes,0.010148849797023005,1.0,"[('la-femme1', ('la-femme2', 1.0)), ('le-mari1', ('le-cure2', 0)), ('le-bucheron1', ('le-clerc2', 0)), ('messire-domine-de1', ('jenin2', 0))]",Janot,"(1.0, [('le-clerc1', ('le-clerc2', 1.0)), ('le-cure1', ('le-caporal2', 0)), ('la-femme1', ('madame-ragot2', 0)), ('jenin1', ('le-patissier2', 0))])"
Les Sauvages ou Le Roi Bienfaisant.,Phèdre,0.0497783630818137,2.0,"[('choeur-general1', ('choeur-general2', 1.0)), ('choeur-des-femmes1', ('choeur-des-femmes2', 1.0)), ('altemar1', ('phedre2', 0)), ('vieillards1', ('hippolite-et-chasseurs2', 0)), ('choeur-de-cherokis1', ('oenone2', 0)), ('otambo1', ('hippolite2', 0)), ('roanoke1', ('un-coriphee_choeurs2', 0)), ('idamir1', ('choeurs-de-femmes2', 0)), ('illinois1', ('le-peuple_les-grands2', 0)), ('esraim1', ('choeur-du-peuple2', 0)), ('louis1', ('le-choeur2', 0)), ('louise1', ('thesee2', 0)), ('ontario1', ('un-coriphee2', 0)), ('un-osage1', ('la-grande-pretresse2', 0)), ('alphanor1', ('choeur-de-guerriers2', 0)), ('cherokis1', ('un-chasseur2', 0)), ('vieillards-cherokis1', ('la-pretresse2', 0)), ('choeur-d-osages1', ('choeur-de-chasseurs2', 0)), ('choeur1', ('choeur-de-pretresses2', 0)), ('florida1', ('le-peuple2', 0)), ('idamis1', ('phedre_hippolite2', 0))]",La Toison D'Or.,"(1.9285714285714286, [('choeur1', ('choeur2', 1.0)), ('idamis1', ('idamas2', 0.9285714285714286)), ('vieillards1', ('pollux2', 0)), ('cherokis1', ('l-amour2', 0)), ('choeur-des-femmes1', ('venus2', 0)), ('esraim1', ('orphee2', 0)), ('alphanor1', ('nerine2', 0)), ('louise1', ('jason2', 0)), ('otambo1', ('medee2', 0)), ('idamir1', ('aetes2', 0))])"
