Play,Closest play Spacy,Closest distance Spacy,Closest play Manual,Closest distance Manual,Closest play Doc_embedding,Closest distance Doc_embedding
allainval-hiver,boissy-je-ne-sais-quoi,0.0133,barre-despres-piis-resnier-l-opera-de-province,0.0236,lebeau-de-schosne-assemblee,0.007
allais-bon-bougre,rochefort-dupeuty-livry-madame-gregoire,0.03,beissier-proprietaire-et-locataire,0.0319,duvert-huron,0.0171
allais-mecontent,depret-le-marquis-ernest,0.0355,depret-le-marquis-ernest,0.0387,depret-le-marquis-ernest,0.0143
allais-une-idee-lumineuse,diderot-reve-d-alembert,0.0413,plaute-aululaire,0.0492,archambault-on-fait-ce-qu-on-peut,0.0144
allary-les-lilas-blancs,zola-therese-raquin,0.0174,valentin-le-soir-de-fiancailles,0.0343,zola-therese-raquin,0.0061
ancelot-arago-papillotes,ancelot-auger-une-seduction,0.0094,regnard-distrait,0.0168,flaubert-le-candidat,0.0056
ancelot-auger-une-seduction,patrat-heureuse-erreur,0.0081,colleville-sophie-derville,0.0122,regnard-serenade,0.0036
andrieux-anaximandre,hoffman-original,0.0085,donneau-de-vise-mere-coquette,0.0145,rochon-heureusement,0.0063
andrieux-la-comedienne,dancourt-enfants-de-paris,0.009,pg-fausse-invite,0.0265,andrieux-le-reve-du-mari,0.0072
andrieux-le-reve-du-mari,hauteroche-amant-flatte-point,0.0064,anseaume-tableau-parlant,0.013,anseaume-tableau-parlant,0.0033
andrieux-les-etourdis,dancourt-enfants-de-paris,0.0076,poisson-amour-secret,0.0133,andrieux-le-reve-du-mari,0.0043
andrieux-moliere-et-ses-amis,cadet-gassicourt-souper-de-moliere,0.008,regnard-joueur,0.0141,anseaume-tableau-parlant,0.0041
anomyme-dialogue-de-la-prude-et-de-la-coquette,graffigny-phaza,0.0163,crebillonf-nuit-et-le-moment,0.0215,crebillonf-nuit-et-le-moment,0.0083
anonyme-adam,beze-abraham,0.0203,voltaire-zaire,0.0295,aure-dipne,0.0101
anonyme-aventures-de-ninette,zola-therese-raquin,0.0411,beissier-la-nuit-de-noel,0.0706,aude-ecole-tragique,0.0113
anonyme-bonnes-gens,gillet-francion,0.012,aure-dipne,0.0196,la-harpe-moliere,0.0059
anonyme-chapelain-decoiffe-2,anonyme-chapelain-decoiffe,0.014,anonyme-chapelain-decoiffe,0.0325,anonyme-chapelain-decoiffe,0.0098
anonyme-chapelain-decoiffe,anonyme-chapelain-decoiffe-2,0.014,anonyme-chapelain-decoiffe-2,0.0325,anonyme-chapelain-decoiffe-2,0.0098
anonyme-club-des-dames,palissot-cercle,0.0115,saint-foix-cabale,0.0303,moliere-impromptu-versailles,0.0095
anonyme-d-alcippe-et-de-drionice,rayssiguier-palinice,0.0166,anomyme-dialogue-de-la-prude-et-de-la-coquette,0.0229,donneau-de-vise-zelinde,0.008
anonyme-deroute-des-precieuses,pure-deroute-des-precieuses,0.0,pure-deroute-des-precieuses,0.0,pure-deroute-des-precieuses,0.0
anonyme-dialogue-des-yeux-et-de-la-bouche,sorel-dialogue-des-yeux-et-de-la-bouche,0.0004,sorel-dialogue-des-yeux-et-de-la-bouche,0.0044,sorel-dialogue-des-yeux-et-de-la-bouche,0.0008
anonyme-dialogue-rousseau-voltaire,bary-de-l-exhortation,0.0351,vallee-forte-romaine,0.0413,bary-du-bel-esprit,0.0199
anonyme-dialogue-sur-les-vacances,saint-evremond-comedie-des-academiciens,0.0206,saint-evremond-comedie-des-academiciens,0.0318,mongin-promenades-de-paris,0.0085
anonyme-jeu-d-esmoree,boyer-tiridate,0.0231,voltaire-saul,0.0338,boissy-comte-de-neuilly,0.0087
anonyme-jus-du-pelerin,turnebe-contents,0.0363,musset-carmosine,0.0603,gueullette-caracataca,0.0154
anonyme-la-complainte-de-la-femme-coupee,scheler-aiguilleur,0.037,adenis-gaiete-marseillaise,0.0782,scheler-aiguilleur,0.0256
anonyme-le-normand-et-le-gascon,anonyme-dialogue-sur-les-vacances,0.0418,sacy-le-revenant,0.0769,poinsinet-fra-maconnes,0.0243
anonyme-matinee-comedien-francais,lesage-turcaret,0.0111,genlis-amant-anonyme,0.0203,alain-legrand-epreuve-reciproque,0.004
anonyme-melisse,corneillet-berger-extravagant,0.0072,cinq-auteurs-comedie-des-tuileries,0.0083,corneillep-andromede,0.0036
anonyme-ouverture-de-la-seance,gueudeville-dialogues-de-lahontan-1704,0.0343,gueudeville-dialogues-de-lahontan-1704,0.0464,ecker-franc-macon-prisonnier,0.0101
anonyme-pardonneur,cyrano-pedant-joue,0.027,anonyme-resurrection-jenin-landore,0.0376,poisson-le-poete-basque,0.0179
anonyme-pont-aux-anes,regnard-bal,0.0495,musset-on-ne-saurait-penser-a-tout,0.0535,musset-on-ne-saurait-penser-a-tout,0.0207
anonyme-portier-du-parnasse,la-croix-guerre-comique,0.0149,giraudoux-impromptu-de-paris,0.025,brecourt-ombre-de-moliere,0.0075
anonyme-prix-d-un-moment,gouges-moliere-ninon,0.0182,genest-joseph,0.029,schelandre-tyr-sidon-i,0.0073
anonyme-reception-argenson,lagarde-l-hermitte-le-politicomane,0.0363,aubignac-pucelle-prose,0.0584,ecker-franc-macon-prisonnier,0.0153
anonyme-resurrection-du-sauveur,voltaire-saul,0.0347,voltaire-saul,0.0395,cyrano-pedant-joue,0.011
anonyme-resurrection-jenin-landore,boursault-deux-freres-gemeaux,0.0286,anonyme-pardonneur,0.0376,dancourt-bon-soldat,0.0165
anonyme-sauvages-civilises,bohaire-siege-de-paris,0.0138,laignelot-agis,0.0315,cahusac-zoroastre,0.0094
anonyme-serail-de-de-lys,piron-nouvelle-messaline,0.037,verdie-la-mort-de-guillaumet,0.0342,verdie-la-mort-de-guillaumet,0.0073
anonyme-sermon-joyeux,duhomme-chapelle-boileau,0.032,anonyme-pardonneur,0.0438,montfleury-impromptu-conde,0.0173
anonyme-theatre-de-la-societe-de-la-rue-du-perron,la-harpe-moliere,0.0291,du-ryer-argenis-poliarque,0.0656,chalmeton-la-bourboule,0.0192
anonyme-vierges-folles-vierges-sages,anonyme-resurrection-du-sauveur,0.0438,anonyme-resurrection-du-sauveur,0.056,giraudoux-impromptu-de-paris,0.024
anonyme-voila-bien-le-diable,barre-radet-candide,0.019,barre-radet-candide,0.0219,dufresny-mal-assortis,0.0048
anonyme-zelamire,dumaniant-francais-en-huronie,0.0079,legouve-laurence-orzano,0.0109,romagnesi-riccoboni-sauvages,0.0048
anseaume-cendrillon,taconet-epoux-par-chicane,0.0203,dorneval-jugement-de-paris,0.0454,bideau-de-montigny-semiramis,0.0095
anseaume-chinois,fagan-sylphe-suppose,0.0189,piis-cassandre-astrologue,0.0285,barre-radet-candide,0.008
anseaume-ressource-comique,dufresny-negligent,0.0067,poisson-actrice-nouvelle,0.015,beaumarchais-barbier-de-seville,0.0034
anseaume-tableau-parlant,biancolelli-ecole-galante,0.0059,blemont-moliere-auteuil,0.0108,andrieux-le-reve-du-mari,0.0033
arago-mademoiselle-lange,genlis-tendresse-maternelle,0.02,voltaire-femme-qui-a-raison,0.0245,patrat-vengeance,0.0059
archambault-ce-n-est-pas,archambault-hurlubrelu,0.0241,archambault-jocrisse-change,0.0171,archambault-janot-battus,0.0059
archambault-comedie-a-l-impromptu,dancourt-colin-maillard,0.0135,dancourt-colin-maillard,0.0234,scribe-les-dervis,0.0046
archambault-etrennes,voltaire-femme-qui-a-raison,0.0144,barre-radet-desfontaines-marige-de-scarron,0.0224,carriere-doisin-journee-de-titus,0.0082
archambault-hurlubrelu,archambault-jocrisse-change,0.0143,archambault-janot-battus,0.0216,archambault-jocrisse-change,0.0082
archambault-janot-battus,archambault-jocrisse-change,0.0161,archambault-hurlubrelu,0.0216,archambault-jocrisse-change,0.0053
archambault-janot-degraisseur,archambault-jocrisse-change,0.0288,archambault-ce-n-est-pas,0.0416,archambault-ce-n-est-pas,0.0062
archambault-jocrisse-change,archambault-hurlubrelu,0.0143,archambault-ce-n-est-pas,0.0171,archambault-janot-battus,0.0053
archambault-on-fait-ce-qu-on-peut,marivaux-joie-imprevue,0.0142,beaumarchais-barbier-de-seville,0.0198,bertin-d-andilly-l-anglais-a-paris,0.0052
arene-naze,beissier-le-bapteme-d-une-rose,0.056,scheler-aiguilleur,0.0882,jouy-les-bancs-de-la-promenade,0.0265
aristophane-guepes,piron-arlequin-decalion,0.0103,cyrano-pedant-joue,0.0215,giraudoux-amphitryon-38,0.0072
armand-cri-nature,cailhava-egoisme,0.0072,regnard-legataire,0.0087,quinault-les-rivales,0.0032
arnault-horatius-cocles,ronsin-ligues-des-fanatiques,0.0169,saint-aignan-martyre-marie-antoinette,0.0415,racine-esther,0.017
arnault-lucrece,desjardins-manlius,0.0057,lagrange-chancel-oreste,0.0124,saurin-spartacus,0.0028
artaud-centenaire-moliere,dufresny-negligent,0.0093,moliere-femmes-savantes,0.0143,regnard-vendanges,0.0052
aubignac-pucelle-prose,la-calprenede-hermenegilde,0.0083,baro-celinde,0.0288,la-calprenede-hermenegilde,0.0057
aubignac-pucelle,tristan-mariane,0.0055,regnault-marie-stuard,0.011,boursault-marie-stuard,0.0044
aubryet-hommage-a-racine,bornier-racine,0.0211,bornier-racine,0.0286,bornier-racine,0.0154
aude-ecole-tragique,deville-pierre-bagnolet-et-claude-bagnolet-son-fils,0.0183,musset-il-ne-faut-jurer-de-rien,0.0275,scribe-potemkin,0.0041
audiffret-albert-durer,laboullaye-cormon-corneille-rotrou,0.0198,gouges-cherubin,0.0381,gouges-moliere-ninon,0.0072
audiffret-comedie-au-chateau,pain-appartement-a-louer,0.0244,giraudoux-impromptu-de-paris,0.0342,dufresny-regnard-suite-foire-saint-germain,0.0043
audiffret-epreuve,depret-le-marquis-ernest,0.0184,bouilly-descartes,0.0256,chauvin-ruses-et-trucs,0.0078
audinot-musicomanie,archambault-on-fait-ce-qu-on-peut,0.0179,dufresny-negligent,0.0205,beaunoir-sculpteur,0.0067
auger-mort-de-caton,scudery-mort-de-cesar,0.0081,scudery-mort-de-cesar,0.0099,corneillep-mort-pompee,0.0046
aure-dipne,mairet-illustre-corsaire,0.0079,baro-prince-fugitif,0.0101,corneillep-illusion-comique,0.0032
aure-genevieve-69,du-ryer-clitophon,0.0053,du-ryer-clitophon,0.0058,crebillon-atree-thyeste,0.0032
aure-genevieve-70,quinault-coups-de-l-amour,0.008,quinault-coups-de-l-amour,0.0131,mairet-illustre-corsaire,0.0038
baculard-coligni,gudin-lothaire,0.0068,carrion-nizas-pierre-le-grand,0.015,nadal-antiochus,0.0071
balzac-vautrin,gouges-moliere-ninon,0.011,saurin-mariage-de-julie,0.0225,dancourt-femme-d-intrigues,0.0035
banville-ancien-pierrot,banville-les-fourberies-de-nerine,0.0356,villard-clown,0.0465,legouve-polixene,0.0213
banville-feuilleton-d-aristophane,billard-pleureur-malgre-lui,0.0183,billard-pleureur-malgre-lui,0.0279,billard-pleureur-malgre-lui,0.0107
banville-la-perle,musset-les-nuits,0.0218,musset-les-nuits,0.0271,hugo-burgraves,0.0084
banville-le-beau-leandre,hervilly-moliere-en-prison,0.0133,grandval-temperament,0.0177,gensoul-rougemont-arlequin-a-alger,0.0074
banville-les-fourberies-de-nerine,monselet-arene-ilote,0.0269,banville-le-beau-leandre,0.022,hugo-hernani,0.0102
baptiste-du-moutier-mascara-de-foire-saint-germain,dorimond-comedie-de-la-comedie,0.0499,regnard-souhaits,0.0754,regnard-souhaits,0.0294
barante-arlequin-misanthrope,dufresny-regnard-chinois,0.0091,ponsart-moliere-a-vienne,0.0216,fatouville-arlequin-empereur-dans-la-lune,0.0048
barante-dufresny-fees,giraudoux-ondine,0.0264,adenisj-la-double-meprise,0.0405,barante-dufresny-pasquin-marforio,0.0061
barante-dufresny-pasquin-marforio,fatouville-arlequin-empereur-dans-la-lune,0.009,cadet-gassicourt-souper-de-moliere,0.0257,fatouville-arlequin-empereur-dans-la-lune,0.0034
barante-la-fontaine-de-sapience,mongin-promenades-de-paris,0.0124,moliere-precieuses-ridicules,0.0213,barante-arlequin-misanthrope,0.0053
barbier-faucon,corneillet-amour-a-la-mode,0.0067,corneillet-amour-a-la-mode,0.0112,quinault-mere-coquette,0.0038
barbier-mort-de-cesar,bernard-brutus,0.0068,pellegrin-tibere,0.0073,bernard-brutus,0.0034
barbier-ombre-de-moliere,desmarets-visionnaires,0.013,corneillep-illusion-comique,0.0195,voltaire-scythes,0.0088
baro-celinde,tristan-mort-de-chrispe,0.0065,puget-de-la-serre-pandoste-i,0.0136,puget-de-la-serre-le-pyrame,0.0068
baro-clarimonde,baro-parthenie,0.0021,baro-parthenie,0.0023,baro-parthenie,0.0012
baro-clorise,tristan-mort-de-chrispe,0.0047,sallebray-l-amante-ennemie,0.0052,corneillep-veuve-34,0.0028
baro-parthenie,baro-clarimonde,0.0021,baro-clarimonde,0.0023,baro-clarimonde,0.0012
baro-prince-fugitif,baro-clarimonde,0.0043,baro-clarimonde,0.01,baro-parthenie,0.0019
baro-saint-eustache,desfontaines-saint-genest,0.0041,baro-parthenie,0.0065,du-ryer-lisandre-caliste,0.002
barquebois-rapiniere,lesage-turcaret,0.0074,corneillet-baron-d-albikrac,0.0208,dancourt-sancho,0.0048
barre-despres-piis-resnier-l-opera-de-province,piis-cassandre-astrologue,0.0137,piis-cassandre-astrologue,0.0195,fabre-d-eglantine-philinte-de-moliere,0.006
barre-radet-candide,radet-raboteau-avare-ami,0.0164,anonyme-voila-bien-le-diable,0.0219,cadet-gassicourt-souper-de-moliere,0.0043
barre-radet-desfontaines-colombine-mannequin,zola-therese-raquin,0.0148,about-risette,0.0128,masson-le-proces-du-baiser,0.0068
barre-radet-desfontaines-marige-de-scarron,anseaume-ressource-comique,0.0131,archambault-etrennes,0.0224,dupaty-luce-salverte-bievre,0.0043
barriere-le-bout-d-elan-de-l-amour,aicard-smilis,0.0225,donnay-eux,0.0397,allary-les-lilas-blancs,0.0087
barriere-le-jardinier-et-son-seigneur,taconet-ecosseuses,0.0448,archambault-janot-battus,0.0368,labiche-l-avocat-d-un-grec,0.0184
barthe-amateur,saurin-anglomane,0.0121,saurin-anglomane,0.0132,dorat-la-feinte-par-amour,0.0057
bary-de-l-adresse,bary-du-beau-rendezvous,0.0368,bary-de-la-feintise,0.0455,bary-de-la-discretion,0.0114
bary-de-l-ajustement,moliere-critique-ecole-des-femmes,0.0401,veronneau-l-impuissance,0.0675,marivaux-felicie,0.0159
bary-de-l-art-de-se-faire-aimer,perrault-dialogue-de-l-amour-et-de-l-amitie,0.0133,robinet-panegyrique-ecole-des-femmes,0.0271,bary-du-duel,0.0079
bary-de-l-entrevue-amoureuse,anonyme-club-des-dames,0.0291,anonyme-club-des-dames,0.0661,sorel-la-ruelle-mal-assortie,0.0149
bary-de-l-entrevue-politique,anonyme-reception-argenson,0.0463,anonyme-reception-argenson,0.1117,anonyme-reception-argenson,0.0181
bary-de-l-exhortation,gueudeville-dialogues-de-lahontan-1704,0.0175,puget-de-la-serre-martyre-sainte-catherine,0.0512,sorel-dialogue-des-yeux-et-de-la-bouche,0.0097
bary-de-l-exil,bary-du-duel,0.021,gueudeville-dialogues-de-lahontan-1704,0.0261,bary-du-retour-des-esprits,0.0093
bary-de-l-inclination-bizarre,gueudeville-dialogues-de-lahontan-1704,0.0374,bary-de-l-art-de-se-faire-aimer,0.0701,bary-de-la-feintise,0.0114
bary-de-l-indulgence,bary-de-libre-abord,0.0321,bary-de-l-art-de-se-faire-aimer,0.0467,bary-de-la-discretion,0.013
bary-de-la-belle-resistance,rousseau-prisonniers-de-guerre,0.0287,bary-de-la-raillerie,0.0785,donneau-de-vise-vengeance-des-marquis,0.0182
bary-de-la-belle-taille,sorel-dialogue-des-yeux-et-de-la-bouche,0.0428,bary-de-l-art-de-se-faire-aimer,0.0627,bary-de-la-roture,0.0193
bary-de-la-campagne,anonyme-dialogue-des-yeux-et-de-la-bouche,0.0417,bary-de-l-art-de-se-faire-aimer,0.0446,bary-de-la-simplicite-des-habits,0.0092
bary-de-la-ceremonie,sacy-secretaire,0.0644,carmontelle-auteur-avantageux,0.0752,durant-qui-court-deux-lievres,0.0281
bary-de-la-colere,bary-du-bon-office,0.0328,bary-de-l-art-de-se-faire-aimer,0.0358,bary-de-la-curiosite,0.0116
bary-de-la-contrariete,moliere-critique-ecole-des-femmes,0.0229,bary-du-bel-esprit,0.0467,bary-du-beau-rendezvous,0.0133
bary-de-la-curiosite,bary-de-libre-abord,0.0313,bary-de-libre-abord,0.0716,bary-de-la-colere,0.0116
bary-de-la-danse,bary-des-vendanges,0.0536,bary-du-bel-esprit,0.0976,anonyme-dialogue-rousseau-voltaire,0.0318
bary-de-la-discretion,sorel-la-ruelle-mal-assortie,0.0312,anomyme-dialogue-de-la-prude-et-de-la-coquette,0.0416,bary-de-l-adresse,0.0114
bary-de-la-dissimulation,bary-de-l-exhortation,0.0273,bary-du-bon-office,0.0459,bary-du-retour-des-esprits,0.0158
bary-de-la-feintise,bary-du-duel,0.0286,bary-de-libre-abord,0.0401,moliere-critique-ecole-des-femmes,0.0111
bary-de-la-guerre,anonyme-dialogue-des-yeux-et-de-la-bouche,0.056,gueudeville-dialogues-de-lahontan-1704,0.0678,bary-du-badinage,0.0166
bary-de-la-memoire,bary-du-beau-rendezvous,0.0353,bary-du-beau-rendezvous,0.042,sorel-la-ruelle-mal-assortie,0.0137
bary-de-la-pudeur,anonyme-dialogue-des-yeux-et-de-la-bouche,0.0327,anonyme-dialogue-des-yeux-et-de-la-bouche,0.0471,bary-de-l-entrevue-amoureuse,0.0189
bary-de-la-raillerie,bary-du-beau-rendezvous,0.0529,bary-de-libre-abord,0.0627,bary-du-cours,0.0166
bary-de-la-roture,bary-du-beau-rendezvous,0.0268,bary-du-beau-rendezvous,0.0402,bary-du-beau-rendezvous,0.0084
bary-de-la-simplicite-des-habits,bary-des-fontaines-et-des-ruisseaux,0.0432,bary-de-la-pudeur,0.0528,bary-de-la-campagne,0.0092
bary-de-libre-abord,bary-des-vendanges,0.0288,rousseau-prisonniers-de-guerre,0.0391,bary-de-la-curiosite,0.0139
bary-des-beaux-cheveux,bary-de-la-pudeur,0.0547,bary-de-la-pudeur,0.0893,bary-de-la-feintise,0.0188
bary-des-beaux-yeux,bary-de-la-discretion,0.0496,brecourt-ombre-de-moliere,0.116,bary-de-l-inclination-bizarre,0.0285
bary-des-belles-mains,anonyme-dialogue-des-yeux-et-de-la-bouche,0.0586,bary-de-la-contrariete,0.0993,bary-des-tailles-contestees,0.0176
bary-des-fleurs,perrault-dialogue-de-l-amour-et-de-l-amitie,0.037,bary-de-l-art-de-se-faire-aimer,0.0474,durant-a-bon-chat-bon-rat,0.0296
bary-des-fontaines-et-des-ruisseaux,anonyme-dialogue-des-yeux-et-de-la-bouche,0.0292,anonyme-dialogue-des-yeux-et-de-la-bouche,0.0534,bary-du-beau-rendezvous,0.0121
bary-des-tailles-contestees,anonyme-dialogue-des-yeux-et-de-la-bouche,0.0401,bary-de-l-indulgence,0.0512,bary-de-l-exil,0.0152
bary-des-vendanges,bary-du-beau-rendezvous,0.0279,bary-de-libre-abord,0.069,moliere-critique-ecole-des-femmes,0.015
bary-du-badinage,rotrou-cleagenor,0.0351,baro-celinde,0.0401,bary-de-l-exhortation,0.0101
bary-du-bal,crebillonf-nuit-et-le-moment,0.0347,anomyme-dialogue-de-la-prude-et-de-la-coquette,0.0481,bary-de-la-discretion,0.0131
bary-du-beau-rendezvous,bary-de-l-art-de-se-faire-aimer,0.0248,bary-de-la-roture,0.0402,bary-de-la-roture,0.0084
bary-du-beau-sein,genlis-flacons,0.0407,corneillet-circe,0.1042,dancourt-ete-des-coquettes,0.0258
bary-du-bel-esprit,bary-du-beau-rendezvous,0.0288,nizas-sauvage-en-france,0.0412,bary-des-vendanges,0.0193
bary-du-bon-office,bary-de-la-colere,0.0328,bary-de-la-dissimulation,0.0459,robinet-panegyrique-ecole-des-femmes,0.0188
bary-du-comperage,pellet-desbarreaux-moliere-a-toulouse,0.043,carriere-doisin-cafe-litteraire,0.1131,gouges-moliere-ninon,0.0182
bary-du-compliment,bary-de-libre-abord,0.043,robinet-panegyrique-ecole-des-femmes,0.0666,durant-a-bon-chat-bon-rat,0.0203
bary-du-cours,bary-de-la-contrariete,0.0415,graffigny-phaza,0.0735,bary-de-la-raillerie,0.0166
bary-du-duel,bary-de-l-exil,0.021,bary-de-l-exil,0.0292,robinet-panegyrique-ecole-des-femmes,0.0078
bary-du-festin,bary-de-la-campagne,0.0815,genlis-troisieme-dialogue,0.0971,eschyle-sept-contre-thebes,0.0377
bary-du-mauvais-choix,crebillonf-nuit-et-le-moment,0.0332,crebillonf-nuit-et-le-moment,0.0368,du-ryer-berenice,0.0159
bary-du-proces,bary-de-l-adresse,0.0538,bary-de-l-adresse,0.0557,bary-de-l-adresse,0.0178
bary-du-retour-des-esprits,bary-de-l-exhortation,0.0218,gueudeville-dialogues-de-lahontan-1704,0.0348,bary-du-duel,0.0093
bary-du-roman,bary-du-retour-des-esprits,0.0633,bary-du-retour-des-esprits,0.0977,bary-du-retour-des-esprits,0.0445
bayart-romieu-moliere-au-theatre,andrieux-moliere-et-ses-amis,0.0082,anseaume-tableau-parlant,0.0147,clairville-siraudin-moreau-la-societe-du-doigt-dans-l-oeil,0.0069
beaumarchais-autre-tartuffe,armand-cri-nature,0.0089,mercier-liberateur,0.015,sacy-mysterieux,0.0048
beaumarchais-barbier-de-seville,regnard-distrait,0.0104,gouges-cherubin,0.0164,anseaume-ressource-comique,0.0034
beaunoir-amour-queteur,carmontelle-boudoir,0.0265,bideau-de-montigny-semiramis,0.0394,bideau-de-montigny-semiramis,0.013
beaunoir-cacophonie,gueullette-caracataca,0.0112,coupigny-arlequin-jaloux,0.0217,marivaux-denouement-imprevu,0.0056
beaunoir-libellistes,garniert-bon-pere,0.0123,pixerecourt-victor,0.023,sacy-merlin-percepteur,0.005
beaunoir-prince-ramoneur,cubieres-palmezeaux-diligence-de-lyon,0.016,beaumarchais-barbier-de-seville,0.0227,depret-monsieur-cambrefort,0.0054
beaunoir-sculpteur,regnard-distrait,0.0094,boissy-homme-du-jour,0.0221,quinault-docteur-de-verre,0.0047
beaunoir-venus,restif-jugement-de-paris,0.0151,genlis-voyageur,0.0273,fagan-sylphe-suppose,0.0121
becque-corbeaux,becque-enlevement,0.0107,becque-enlevement,0.0154,becque-enlevement,0.0027
becque-domino-a-quatre,legrand-cartouche,0.029,giraudoux-cantique-des-cantiques,0.0336,becque-execution,0.0143
becque-enlevement,becque-corbeaux,0.0107,becque-corbeaux,0.0154,becque-corbeaux,0.0027
becque-execution,legrand-cartouche,0.0269,garniert-dedit,0.0498,beaunoir-sculpteur,0.0102
becque-les-honnetes-femmes,becque-corbeaux,0.0147,renard-plaisir-de-rompre,0.0229,renard-le-pain-du-menage,0.0071
becque-veuve,becque-corbeaux,0.018,masson-le-proces-du-baiser,0.0334,guyot-de-merville-consentement-force,0.0059
beissier-antigone,silvestre-sapho,0.0263,silvestre-sapho,0.0325,chabanon-toison-d-or,0.0216
beissier-chasseurs-et-l-ours,lesage-dorneval-ile-gougou,0.0244,beissier-guignol-en-enfer,0.0476,duvert-huron,0.0145
beissier-docteur-cornibus,beissier-guignol-en-enfer,0.0253,beissier-guignol-en-enfer,0.0305,beissier-guignol-en-enfer,0.0089
beissier-guignol-en-enfer,beissier-guignol-et-la-cabaretiere,0.0219,beissier-docteur-cornibus,0.0305,beissier-docteur-cornibus,0.0089
beissier-guignol-et-la-cabaretiere,beissier-guignol-en-enfer,0.0219,beissier-guignol-en-enfer,0.0434,beissier-guignol-en-enfer,0.0149
beissier-l-oiseau-bleu,hugues-cendrillon,0.0361,genlis-colombe,0.0379,plaute-casina,0.0144
beissier-la-nuit-de-noel,zola-therese-raquin,0.0164,carrance-vingt-minutes-d-arret,0.0462,beissier-ma-soeur-claire,0.0075
beissier-le-bapteme-d-une-rose,duvauchel-samedi-soir,0.0505,banville-feuilleton-d-aristophane,0.09,duvauchel-samedi-soir,0.0315
beissier-les-deux-pigeonnes,biez-le-premier-billet,0.0232,aicard-smilis,0.0321,zola-therese-raquin,0.0089
beissier-les-noces-de-guignol,labiche-leroy-il-est-de-la-police,0.02,vierne-moliere-enfant,0.0347,labiche-jolly-baron-de-fourchevif,0.0131
beissier-locataire,beissier-proprietaire-et-locataire,0.0002,beissier-proprietaire-et-locataire,0.0001,beissier-proprietaire-et-locataire,0.0
beissier-ma-soeur-claire,beissier-un-bon-placement,0.0171,nougaret-il-n-y-a-plus-d-enfants,0.0254,beissier-un-bon-placement,0.0044
beissier-proprietaire-et-locataire,beissier-locataire,0.0002,beissier-locataire,0.0001,beissier-locataire,0.0
beissier-un-bon-placement,garniert-joueuses,0.0135,adenisj-la-double-meprise,0.027,beissier-ma-soeur-claire,0.0044
benserade-cleopatre,la-calprenede-mort-mitrhidate,0.0058,benserade-mort-achille,0.0071,corneillep-cinna-43,0.0029
benserade-mort-achille,benserade-cleopatre,0.0064,benserade-cleopatre,0.0071,racine-thebaide-64,0.0032
