Id,Title,Closest_Title,Closest_id,Closest_similarity
fre000403,Sémiramis,Sémiramis,fre000130,1.0
fre000420,La Mort de Molière,La Mort de Molière,fre000421,1.0
fre000421,La Mort de Molière,La Mort de Molière,fre000420,1.0
fre000425,Soliman,Soliman,fre000783,1.0
fre000427,"Nouveau Prologue, et Nouveaux Divertissements","Nouveau Prologue, et Nouveaux Divertissements",fre000457,1.0
fre000434,La Comédie des Comédiens,La Comédie des Comédiens,fre001345,1.0
fre000457,"Nouveau Prologue, et Nouveaux Divertissements","Nouveau Prologue, et Nouveaux Divertissements",fre000427,1.0
fre000475,Les Vendanges de Suresnes,Les Vendanges de Suresnes,fre000592,1.0
fre000511,La Mère Coquette,La Mère Coquette,fre001177,1.0
fre000516,Régulus,Régulus,fre001149,1.0
fre000580,Bérénice,Bérénice,fre000361,1.0
fre000585,Esther,Esther,fre001065,1.0
fre000589,Saül,Saül,fre001070,1.0
fre000591,Thémistocle,Thémistocle,fre000650,1.0
fre000592,Les Vendanges de Suresnes,Les Vendanges de Suresnes,fre000475,1.0
fre000539,Le Dédit,Le Dédit,fre000668,1.0
fre000556,La Belle Esclave,La Belle Esclave,fre000884,1.0
fre000559,Le Français en Huronie,Le Français en Huronie,fre000558,1.0
fre000558,Le Français en Huronie,Le Français en Huronie,fre000559,1.0
fre000566,A Bon Chat Bon Rat,A Bon Chat Bon Rat,fre000229,1.0
fre000596,Le Huron,Le Huron,fre000957,1.0
fre000646,Le Bon Père,Le Bon Père,fre000665,1.0
fre000650,Thémistocle,Thémistocle,fre000591,1.0
fre000680,Bradamante,Bradamante,fre000363,1.0
fre000665,Le Bon Père,Le Bon Père,fre000646,1.0
fre000668,Le Dédit,Le Dédit,fre000539,1.0
fre000671,L'Epreuve,L'Epreuve,fre000064,1.0
fre000684,Agar dans le Désert,Agar dans le Désert,fre001373,1.0
fre000707,Sémiramis,Sémiramis,fre000130,1.0
fre000721,Agis,Agis,fre000841,1.0
fre000723,Théodat,Théodat,fre000388,1.0
fre000755,Méléagre,Méléagre,fre000834,1.0
fre000775,Cendrillon,Cendrillon,fre000042,1.0
fre000783,Soliman,Soliman,fre000425,1.0
fre000789,Molière,Molière,fre000793,1.0
fre000793,Molière,Molière,fre000789,1.0
fre000884,La Belle Esclave,La Belle Esclave,fre000556,1.0
fre000806,Le Comte d'Essex,Le Comte d'Essex,fre000367,1.0
fre001459,Soliman,Soliman,fre000425,1.0
fre000834,Méléagre,Méléagre,fre000755,1.0
fre000841,Agis,Agis,fre000721,1.0
fre000887,Don Juan ou Le Festin de Pierre,Don Juan ou Le Festin de Pierre,fre001003,1.0
fre000858,Iphigénie,Iphigénie,fre001193,1.0
fre000865,Polixène,Polixène,fre000007,1.0
fre000872,Artaxerce,Artaxerce,fre000189,1.0
fre001466,Idoménée,Idoménée,fre000400,1.0
fre000893,Médée,Médée,fre000335,1.0
fre000907,Sophonisbe,Sophonisbe,fre000349,1.0
fre000914,La Généreuse Allemande,La Généreuse Allemande,fre000913,1.0
fre000913,La Généreuse Allemande,La Généreuse Allemande,fre000914,1.0
fre000924,La Colonie,La Colonie,fre001303,1.0
fre000929,L'Ecole des Mères,L'Ecole des Mères,fre001077,1.0
fre000930,L'Epreuve,L'Epreuve,fre000064,1.0
fre000942,La Méprise,La Méprise,fre001283,1.0
fre000956,Hercule Mourant,Hercule Mourant,fre001250,1.0
fre000957,Le Huron,Le Huron,fre000596,1.0
fre000995,Amphitryon,Amphitryon,fre001127,1.0
fre001003,Don Juan ou Le Festin de Pierre,Don Juan ou Le Festin de Pierre,fre000887,1.0
fre001009,Le Festin de Pierre,Le Festin de Pierre,fre000374,1.0
fre001017,Le Médecin Volant,Le Médecin Volant,fre000180,1.0
fre001021,Les Précieuses Ridicules,Les Précieuses Ridicules,fre001361,1.0
fre001037,Un Livre Leste,Un Livre Leste,fre001041,1.0
fre001041,Un Livre Leste,Un Livre Leste,fre001037,1.0
fre001065,Esther,Esther,fre000585,1.0
fre001067,Mariamne,Mariamne,fre001430,1.0
fre001070,Saül,Saül,fre000589,1.0
fre001077,L'Ecole des Mères,L'Ecole des Mères,fre000929,1.0
fre001113,Thésée,Thésée,fre001183,1.0
fre001127,Amphitryon,Amphitryon,fre000995,1.0
fre001148,Phèdre et Hippolyte,Phèdre et Hippolyte,fre001196,1.0
fre001149,Régulus,Régulus,fre000516,1.0
fre001159,La Déroute des Précieuses,La Déroute des Précieuses,fre000023,1.0
fre001177,La Mère Coquette,La Mère Coquette,fre000511,1.0
fre001180,Roland,Roland,fre000394,1.0
fre001183,Thésée,Thésée,fre001113,1.0
fre001185,Alexandre le Grand,Alexandre le Grand,fre001184,1.0
fre001184,Alexandre le Grand,Alexandre le Grand,fre001185,1.0
fre001187,Andromaque,Andromaque,fre001186,1.0
fre001186,Andromaque,Andromaque,fre001187,1.0
fre001189,Bajazet,Bajazet,fre001364,1.0
fre001190,Bérénice,Bérénice,fre000361,1.0
fre001192,Esther,Esther,fre000585,1.0
fre001193,Iphigénie,Iphigénie,fre000858,1.0
fre001196,Phèdre et Hippolyte,Phèdre et Hippolyte,fre001148,1.0
fre001198,Les Plaideurs,Les Plaideurs,fre001197,1.0
fre001197,Les Plaideurs,Les Plaideurs,fre001198,1.0
fre001200,La Thébaïde,La Thébaïde,fre001199,1.0
fre001199,La Thébaïde,La Thébaïde,fre001200,1.0
fre001205,Le Bal,Le Bal,fre000236,1.0
fre001250,Hercule Mourant,Hercule Mourant,fre000956,1.0
fre001251,Iphigénie,Iphigénie,fre000858,1.0
fre001283,La Méprise,La Méprise,fre000942,1.0
fre001303,La Colonie,La Colonie,fre000924,1.0
fre001307,Dialogue,Dialogue,fre001311,1.0
fre001311,Dialogue,Dialogue,fre001307,1.0
fre001318,Molière,Molière,fre000789,1.0
fre001336,Tyr et Sydon,Tyr et Sydon,fre001337,1.0
fre001337,Tyr et Sydon,Tyr et Sydon,fre001336,1.0
fre001345,La Comédie des Comédiens,La Comédie des Comédiens,fre000434,1.0
fre001349,La Mort de César,La Mort de César,fre000077,1.0
fre001357,Agamemnon,Agamemnon,fre000186,1.0
fre001358,Médée,Médée,fre000335,1.0
fre001361,Les Précieuses Ridicules,Les Précieuses Ridicules,fre001021,1.0
fre001364,Bajazet,Bajazet,fre001189,1.0
fre001373,Agar dans le Désert,Agar dans le Désert,fre000684,1.0
fre001406,Le Festin de Pierre,Le Festin de Pierre,fre000374,1.0
fre001430,Mariamne,Mariamne,fre001067,1.0
fre001432,La Mort de César,La Mort de César,fre000077,1.0
fre001434,Oedipe,Oedipe,fre000341,1.0
fre001443,Saül,Saül,fre000589,1.0
fre001445,Sémiramis,Sémiramis,fre000130,1.0
fre001447,Sophonisbe,Sophonisbe,fre000349,1.0
fre000017,Adam,Horace,fre000332,0.99372
fre000332,Horace,Adam,fre000017,0.99372
fre000338,Le Menteur,Le Tuteur,fre000472,0.99196
fre000472,Le Tuteur,Le Menteur,fre000338,0.99196
fre001257,La Ceinture Magique,La Serpette Magique,fre001295,0.99174
fre001295,La Serpette Magique,La Ceinture Magique,fre001257,0.99174
fre000099,La Mère,La Belle Mère,fre000662,0.99157
fre000662,La Belle Mère,La Mère,fre000099,0.99157
fre000926,Le Dénouement Imprévu,Le Retour Imprévu,fre001218,0.99145
fre001218,Le Retour Imprévu,Le Dénouement Imprévu,fre000926,0.99145
fre000068,Geneviève ou L'Innocence Reconnue Tragédie Chrétienne,Geneviève ou L'Innocence Reconnue Tragédie,fre000069,0.99076
fre000069,Geneviève ou L'Innocence Reconnue Tragédie,Geneviève ou L'Innocence Reconnue Tragédie Chrétienne,fre000068,0.99076
fre000693,Les Flacons,Les Claqueurs,fre001082,0.99074
fre001082,Les Claqueurs,Les Flacons,fre000693,0.99074
fre000369,Darius,Marius,fre000477,0.99069
fre000477,Marius,Darius,fre000369,0.99069
fre000273,Le Sourd,Le Bal,fre000236,0.99062
fre000981,Le Malheur Imprévu,Le Retour Imprévu,fre001218,0.99041
fre000722,Les Trois Aveugles,Les Deux Pucelles,fre001248,0.99032
fre001248,Les Deux Pucelles,Les Trois Aveugles,fre000722,0.99032
fre001100,Les Tuteurs,Les Troqueurs,fre001556,0.99018
fre001556,Les Troqueurs,Les Tuteurs,fre001100,0.99018
fre000249,Le Diamant,Le Railleur,fre000918,0.99
fre000918,Le Railleur,Le Diamant,fre000249,0.99
fre000647,Les Deux Billets,Les Deux Pucelles,fre001248,0.98997
fre000563,Monsieur de Bievre,Monsieur de Pourceaugnac,fre001020,0.98991
fre001020,Monsieur de Pourceaugnac,Monsieur de Bievre,fre000563,0.98991
fre001118,L'Ecole des Pères,L'Ecole des Mères,fre000929,0.98988
fre001007,Les Fâcheux,Les Deux Tonneaux,fre001417,0.98986
fre001417,Les Deux Tonneaux,Les Fâcheux,fre001007,0.98986
fre000393,Monsieur Badin,Monsieur Lamentin,fre000528,0.98967
fre000528,Monsieur Lamentin,Monsieur Badin,fre000393,0.98967
fre000639,Le Potache,Le Cibisme,fre000875,0.98929
fre000875,Le Cibisme,Le Potache,fre000639,0.98929
fre001214,Le Joueur,Le Menteur,fre000338,0.98915
fre000871,Les Bavardes,Les Sauvages,fre001231,0.98909
fre001231,Les Sauvages,Les Bavardes,fre000871,0.98909
fre000496,La Veuve Coquette,La Mère Coquette,fre000511,0.989
fre000629,Les Enfants,Les Rivales,fre001555,0.98899
fre001555,Les Rivales,Les Enfants,fre000629,0.98899
fre000461,Le Mari Retrouvé,Le Bon Père,fre000646,0.98891
fre000286,Le Faux Noble,Le Faux Sincère,fre000545,0.98879
fre000545,Le Faux Sincère,Le Faux Noble,fre000286,0.98879
fre000123,Les Enfants Trouvés,Les Epoux Malheureux,fre001536,0.98848
fre001536,Les Epoux Malheureux,Les Enfants Trouvés,fre000123,0.98848
fre001521,La Dame en Noir,La Joueuse,fre000547,0.9883
fre000547,La Joueuse,La Dame en Noir,fre001521,0.9883
fre000079,Célinde,Zélinde,fre000514,0.98824
fre000514,Zélinde,Célinde,fre000079,0.98824
fre000554,Le Modéré,Le Cibisme,fre000875,0.98823
fre001136,La Boîte de Pandore,La Fièvre de Palmerin,fre001309,0.98816
fre001309,La Fièvre de Palmerin,La Boîte de Pandore,fre001136,0.98816
fre000081,La Clorise,La Saignée,fre000676,0.98807
fre000676,La Saignée,La Clorise,fre000081,0.98807
fre000805,Le Clarionte,Le Mari Retrouvé,fre000461,0.98804
fre001488,Le Principal Témoin,Le Cibisme,fre000875,0.98796
fre000819,Daphné,Irène,fre001428,0.98792
fre001428,Irène,Daphné,fre000819,0.98792
fre000182,Les Mots à la Mode,La Veuve à la Mode,fre000513,0.98774
fre000362,Le Berger Extravagant,Le Faux Noble,fre000286,0.98774
fre000513,La Veuve à la Mode,Les Mots à la Mode,fre000182,0.98774
fre000537,Le Chevalier Joueur,Le Railleur,fre000918,0.98774
fre000827,Les Trois Freres Rivaux,Les Enfants Trouvés,fre000123,0.98761
fre000672,Les Etrennes,Les Abderites,fre001031,0.98757
fre001031,Les Abderites,Les Etrennes,fre000672,0.98757
fre000438,Le Diable Boiteux,Le Fils Désavoué,fre000736,0.98755
fre000736,Le Fils Désavoué,Le Diable Boiteux,fre000438,0.98755
fre000473,Les Vacances,Les Préjugés,fre000989,0.98752
fre000989,Les Préjugés,Les Vacances,fre000473,0.98752
fre000645,Le Bon Ménage,Le Bon Père,fre000646,0.98744
fre001242,Le Bélissaire,Le Bon Père,fre000646,0.98725
fre000614,Le Sylphe Supposé,Le Fils Supposé,fre001347,0.98715
fre001347,Le Fils Supposé,Le Sylphe Supposé,fre000614,0.98715
fre001392,La Veuve Indécise,La Méprise,fre000942,0.98709
fre001534,Le Bon Mari,Le Bon Père,fre000646,0.98708
fre001538,La Permission de Chasse,La Joueuse,fre000547,0.98703
fre000536,Les Adieux des Officiers,Les Fâcheux,fre001007,0.98703
fre000544,Le Faux Instinct,Le Faux Noble,fre000286,0.98698
fre001537,Le Fripon Orgueilleux,Le Diable Boiteux,fre000438,0.98697
fre000193,Judith,Irène,fre001428,0.98694
fre001288,La Noblesse,La Clorise,fre000081,0.98686
fre001239,Amélie,Saül,fre000589,0.98683
fre001004,L'Ecole des Femmes,L'Ecole des Pères,fre001118,0.98659
fre000664,Le Bon Papa,Le Bon Père,fre000646,0.98655
fre000691,La Curieuse,La Joueuse,fre000547,0.98655
fre000157,Les Dehors Trompeurs,Les Fausses Vérités,fre001087,0.9863
fre001087,Les Fausses Vérités,Les Dehors Trompeurs,fre000157,0.9863
fre000085,La Rapinière,La Trésorière,fre000731,0.98624
fre000731,La Trésorière,La Rapinière,fre000085,0.98624
fre000941,Le Legs,Le Bal,fre000236,0.98624
fre000065,Dorothée,Mérope,fre001431,0.98622
fre001431,Mérope,Dorothée,fre000065,0.98622
fre001520,Le Compliment,Le Bal,fre000236,0.98621
fre000857,La Folle,La Joueuse,fre000547,0.98619
fre000199,Tyridate,Tiridate,fre001454,0.98615
fre001454,Tiridate,Tyridate,fre000199,0.98615
fre000701,"La Tendresse Maternelle, Comédie en un Acte","La Hollande Malade, Comédie en un Acte",fre001137,0.98612
fre001137,"La Hollande Malade, Comédie en un Acte","La Tendresse Maternelle, Comédie en un Acte",fre000701,0.98612
fre000634,Le Mouchoir,Le Chevalier Joueur,fre000537,0.98598
fre000164,Le Rival Favorable,Le Clarionte,fre000805,0.98585
fre000054,Les Guêpes,Les Bavardes,fre000871,0.98573
fre000276,Le Suisse Malade,Le Railleur,fre000918,0.98563
fre000534,"La Naissance d'Amadis, Comédie en un Acte","La Tendresse Maternelle, Comédie en un Acte",fre000701,0.98559
fre000532,"La Baguette de Vulcain, Comédie en un Acte","La Naissance d'Amadis, Comédie en un Acte",fre000534,0.98536
fre000442,Les Enfants de Paris,Les Enfants,fre000629,0.9852
fre000248,Les Deux Chapeaux,Les Deux Pucelles,fre001248,0.98513
fre001319,Le Roi Attend,Le Berger Extravagant,fre000362,0.98509
fre000154,Le Babillard,Le Railleur,fre000918,0.98508
fre001393,Le Fidèle Esclave,La Belle Esclave,fre000556,0.98502
fre000268,Le Poulet,Le Bon Ménage,fre000645,0.98501
fre000262,Le Pari,Le Favori,fre000489,0.985
fre000489,Le Favori,Le Pari,fre000262,0.985
fre001548,Les Gueux,Les Claqueurs,fre001082,0.98484
fre001525,Les Heures,Les Préjugés,fre000989,0.98482
fre000450,La Folle Enchère,La Cour Bergère,fre000911,0.98475
fre000911,La Cour Bergère,La Folle Enchère,fre000450,0.98475
fre001291,La Répétition,La Mère,fre000099,0.98471
fre000625,Les Célèbres,Les Nouvellistes,fre001289,0.98469
fre000728,Le Tempérament,Le Bon Père,fre000646,0.98469
fre001289,Les Nouvellistes,Les Célèbres,fre000625,0.98469
fre000917,Le Mauzolée,Le Diamant,fre000249,0.98456
fre001232,La Rancune,La Clorise,fre000081,0.98456
fre000356,La Veuve,La Belle Mère,fre000662,0.9845
fre001245,La Céliane,La Thébaïde,fre001200,0.98445
fre000862,Etéocle,Thémistocle,fre000591,0.98439
fre000424,Le Pédant Joué,Le Fils Désavoué,fre000736,0.98432
fre001290,La Quine,La Céliane,fre001245,0.98427
fre001383,La Mort de Chrispe,La Boîte de Pandore,fre001136,0.98426
fre000260,Le Mari Absent,Le Bon Mari,fre001534,0.98421
fre000732,La Pêche à la Ligne,La Méprise,fre000942,0.98417
fre001081,Le Sauvage en France,Le Railleur,fre000918,0.98412
fre000682,Pénélope,Horace,fre000332,0.98396
fre001047,Hector,Saül,fre000589,0.98396
fre000351,La Suivante,La Noblesse,fre001288,0.98392
fre000212,La Ferme Partagée,La Folle Enchère,fre000450,0.98388
fre001114,Aricie,Irène,fre001428,0.98385
fre000432,Le Chevalier à la Mode,Le Chevalier Joueur,fre000537,0.98379
fre001513,Guignol en Enfer,Le Sourd,fre000273,0.98377
fre000749,Le Marchand de Merde,Le Chevalier Joueur,fre000537,0.98376
fre001253,Les Sosies,Les Fausses Vérités,fre001087,0.98374
fre001278,Le Gascon Joué,Le Pédant Joué,fre000424,0.9837
fre000669,Les Deux Pâtés,Les Machabées,fre000847,0.98365
fre000847,Les Machabées,Les Deux Pâtés,fre000669,0.98365
fre000313,Astarbe,Armide,fre001165,0.98345
fre001165,Armide,Astarbe,fre000313,0.98345
fre001256,Le Café,Le Sourd,fre000273,0.98336
fre000523,Les Couplets en Procès,Les Deux Pucelles,fre001248,0.98335
fre000503,La Devineresse,La Clorise,fre000081,0.98325
fre000080,Clarimonde,Dorothée,fre000065,0.98309
fre001296,Les Songes,Les Rivales,fre001555,0.98309
fre000339,La Mort de Pompée,La Mort de Cochon,fre000488,0.98308
fre000488,La Mort de Cochon,La Mort de Pompée,fre000339,0.98308
fre001243,La Belle Alphrède,La Boîte de Pandore,fre001136,0.98301
fre000237,Les Bons,Les Sincères,fre000952,0.98299
fre000952,Les Sincères,Les Bons,fre000237,0.98299
fre001026,Le Tartuffe,Le Potache,fre000639,0.98295
fre001448,Tancrède,Saül,fre000589,0.98295
fre000352,Suréna,Horace,fre000332,0.98292
fre000711,Le Déniaisé,Le Pédant Joué,fre000424,0.98291
fre000070,Le Coligny,Le Rideau,fre001397,0.98289
fre001397,Le Rideau,Le Coligny,fre000070,0.98289
fre000195,La Mort des Enfants de Brute,La Mort de Sénèque,fre001384,0.98288
fre001384,La Mort de Sénèque,La Mort des Enfants de Brute,fre000195,0.98288
fre000076,Le Faucon,Le Babillard,fre000154,0.98282
fre001380,Thélamire,Agis,fre000721,0.98281
fre000474,Les Vendanges,Les Nouvellistes,fre001289,0.98274
fre000278,Les Voyageurs,Les Troqueurs,fre001556,0.98273
fre000336,Mélite,Mérope,fre001431,0.98272
fre000458,La Loterie,La Clorise,fre000081,0.98268
fre000811,La Mort de Mitridate,La Mort de Chrispe,fre001383,0.98249
fre000131,Le Séducteur,Le Menteur,fre000338,0.98242
fre000976,Les Gourmandes,Les Abderites,fre001031,0.98242
fre001501,Une Séduction,La Répétition,fre001291,0.98238
fre000143,La Petite Rosange,La Rapinière,fre000085,0.98236
fre001351,Le Prince Déguisé,Le Chevalier Joueur,fre000537,0.98228
fre001526,Le Mariage des Fleurs,Le Mariage de Rien,fre001050,0.98227
fre001050,Le Mariage de Rien,Le Mariage des Fleurs,fre001526,0.98227
fre001416,Le Dépostaire,Le Bélissaire,fre001242,0.98219
fre001018,Mélicerte,Astarbe,fre000313,0.98215
fre000254,Les Faux Indifférents,Les Sincères,fre000952,0.98214
fre000258,Le Lièvre,Le Railleur,fre000918,0.98208
fre000406,Un Monsieur qui ne Veut Plus Fumer,Un Monsieur qui Est Condamné à Mort,fre000633,0.98197
fre000633,Un Monsieur qui Est Condamné à Mort,Un Monsieur qui ne Veut Plus Fumer,fre000406,0.98197
fre000601,Les Sept Contre Thèbes Traduction Nouvelle de Leconte de Lisle,Les Trachiniennes Traduction Nouvelle de Leconte de Lisle,fre001371,0.98194
fre000704,Le Manuscrit,Le Pédant Joué,fre000424,0.98194
fre001371,Les Trachiniennes Traduction Nouvelle de Leconte de Lisle,Les Sept Contre Thèbes Traduction Nouvelle de Leconte de Lisle,fre000601,0.98194
fre000494,Roxelane,Clarimonde,fre000080,0.98191
fre001279,La Harangue,La Céliane,fre001245,0.9819
fre000149,La Belle Invisible,La Répétition,fre001291,0.98188
fre001329,La Fausse Apparence,La Méprise,fre000942,0.9818
fre000833,Amasis,Clarimonde,fre000080,0.98165
fre000943,La Mère Confidente,La Suivante,fre000351,0.98162
fre000448,La Foire de Besons,La Mort de Sénèque,fre001384,0.9816
fre000003,Lyncée,Célinde,fre000079,0.98155
fre000548,La Malade sans Maladie,Le Suisse Malade,fre000276,0.98151
fre000586,Lisandre et Caliste,Tanis et Zélide,fre001449,0.98149
fre001449,Tanis et Zélide,Lisandre et Caliste,fre000586,0.98149
fre000546,Le Jaloux Honteux,Les Epoux Malheureux,fre001536,0.98147
fre001281,Les Lois,Les Gueux,fre001548,0.98147
fre000344,La Place Royale,La Maison de Campagne,fre000460,0.9814
fre000460,La Maison de Campagne,La Place Royale,fre000344,0.9814
fre001352,Le Vassal Généreux,Le Marchand de Merde,fre000749,0.98138
fre001304,Les Hommes,Les Bons,fre000237,0.98135
fre000444,Les Fées.,Les Poches.,fre000987,0.98124
fre000987,Les Poches.,Les Fées.,fre000444,0.98124
fre000387,Stilicon,Saül,fre000589,0.98118
fre001101,Le Rien,Le Mariage de Rien,fre001050,0.98111
fre001425,Les Guèbres,Les Bavardes,fre000871,0.98104
fre000459,Madame Artus,Marius,fre000477,0.98101
fre000308,Le Pédagogue Amoureux,Le Fantome Amoureux,fre001172,0.981
fre001172,Le Fantome Amoureux,Le Pédagogue Amoureux,fre000308,0.981
fre000141,Le Barbier de Pézenas,Le Barbier de Bagdad,fre001095,0.98086
fre001095,Le Barbier de Bagdad,Le Barbier de Pézenas,fre000141,0.98086
fre001515,"La Nuit de Noël, Comédie","La Partie de Bridge, Comédie",fre000110,0.98075
fre000110,"La Partie de Bridge, Comédie","La Nuit de Noël, Comédie",fre001515,0.98075
fre000041,Zélamire,Pandore,fre001439,0.98068
fre000931,Les Fausses Confidences,Les Faux Indifférents,fre000254,0.98068
fre001439,Pandore,Zélamire,fre000041,0.98068
fre000043,Le Chinois Poli en France,Le Sauvage en France,fre001081,0.98065
fre001062,La Nuit Vénitienne,La Feinte Heureuse,fre001308,0.98064
fre001308,La Feinte Heureuse,La Nuit Vénitienne,fre001062,0.98064
fre001514,"Ma Soeur Claire, Comédie","Un Bon Placement, Comédie",fre001509,0.98053
fre001509,"Un Bon Placement, Comédie","Ma Soeur Claire, Comédie",fre001514,0.98053
fre001069,Le Paradis Terrestre,Le Jeune Homme Blême,fre001124,0.98042
fre001124,Le Jeune Homme Blême,Le Paradis Terrestre,fre001069,0.98042
fre000689,"La Cloison, Comédie","La Mère Rivale, Comédie",fre000697,0.98041
fre000697,"La Mère Rivale, Comédie","La Cloison, Comédie",fre000689,0.98041
fre001532,L'Aveugle Avare,L'Avare,fre000996,0.98039
fre000996,L'Avare,L'Aveugle Avare,fre001532,0.98039
fre000044,La Ressource Comique,La Ceinture Magique,fre001257,0.98038
fre001436,Oreste,Agis,fre000721,0.98036
fre000364,"Camma, Reine de Galatie","Vasta, Reine de Bordélie",fre001123,0.98032
fre001123,"Vasta, Reine de Bordélie","Camma, Reine de Galatie",fre000364,0.98032
fre001046,David,Horace,fre000332,0.98019
fre000207,Le Souper de Molière,Le Songe de Molière,fre000970,0.98018
fre000970,Le Songe de Molière,Le Souper de Molière,fre000207,0.98018
fre001294,Le Secrétaire,Le Dépostaire,fre001416,0.98016
fre001559,Madeleine,Daphné,fre000819,0.98013
fre000100,Veuve !,Gustave !,fre001519,0.98012
fre001519,Gustave !,Veuve !,fre000100,0.98012
fre000928,La Double Inconstance,La Répétition,fre001291,0.98011
fre000776,La Maison des Dimanches,La Maison de Campagne,fre000460,0.98008
fre001138,"Le Sot Vengé, Comédie en un Acte","Les Souhaits, Comédie en un Acte",fre001221,0.98007
fre001221,"Les Souhaits, Comédie en un Acte","Le Sot Vengé, Comédie en un Acte",fre001138,0.98007
fre000730,César,Canente,fre000844,0.98004
fre000844,Canente,César,fre000730,0.98004
fre000005,L'Avare Amoureux,L'Amour Pris aux Cheveux,fre000660,0.98002
fre000660,L'Amour Pris aux Cheveux,L'Avare Amoureux,fre000005,0.98002
fre000681,Joseph,David,fre001046,0.97994
fre001066,Hérode,Mérope,fre001431,0.9799
fre000428,Le Bon Soldat,Le Bon Ménage,fre000645,0.97989
fre000724,Phaza,Astarbe,fre000313,0.97987
fre000437,La Désolation des Joueuses,La Déroute des Précieuses,fre000023,0.97984
fre001382,Mariane,Célinde,fre000079,0.97982
fre001023,Psyché,Daphné,fre000819,0.97981
fre000892,Mon Futur,Le Compliment,fre001520,0.97979
fre001178,Persée,Armide,fre001165,0.97972
fre000764,Le Magister,Le Cibisme,fre000875,0.97971
fre000577,Alcionée,Dorothée,fre000065,0.97968
fre000098,Une Exécution,Une Séduction,fre001501,0.97959
fre000441,Les Eaux de Bourbon,Les Guèbres,fre001425,0.97958
fre001035,Les Deux Dumas,Les Deux Pucelles,fre001248,0.97948
fre000469,Le Retour des Officiers,Le Bélissaire,fre001242,0.97945
fre001051,Natalie,Irène,fre001428,0.97943
fre001080,Le Préjugé à la Mode,Le Retour du Distrait,fre001292,0.97943
fre001292,Le Retour du Distrait,Le Préjugé à la Mode,fre001080,0.97943
fre000492,Mirame,Dorothée,fre000065,0.97941
fre000451,Les Fonds Perdus,Les Enfants Trouvés,fre000123,0.9794
fre000531,"L'Augmentation de la Baguette, Comédie en un Acte","La Tendresse Maternelle, Comédie en un Acte",fre000701,0.9794
fre000192,Le Jeune Marius,Le Bon Père,fre000646,0.97934
fre000326,Cinna (1682),Médée (1682),fre000334,0.97934
fre000334,Médée (1682),Cinna (1682),fre000326,0.97934
fre000715,Ondine,Astrée,fre000817,0.97934
fre000817,Astrée,Ondine,fre000715,0.97934
fre000927,La Dispute,La Répétition,fre001291,0.97934
fre000139,Les Druides,Les Vendanges,fre000474,0.97928
fre000771,Phèdre,Dorothée,fre000065,0.97924
fre000290,Le Coupe Enchantée,Le Bon Ménage,fre000645,0.97922
fre001246,Cléagénor et Doristée,Hilas et Zélis,fre001407,0.97909
fre001407,Hilas et Zélis,Cléagénor et Doristée,fre001246,0.97909
fre000641,Trop Vieux,Le Diable Boiteux,fre000438,0.97899
fre001483,Le Gora,Le Bal,fre000236,0.97897
fre001516,"L'Oiseau Bleu, Saynète","Le Cambrioleur, Saynète",fre001517,0.97896
fre001517,"Le Cambrioleur, Saynète","L'Oiseau Bleu, Saynète",fre001516,0.97896
fre000868,La Nouveauté,La Noblesse,fre001288,0.97886
