TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,yearPrinted,datePremiered,dateWriting,Genre,Type,in_TD
TD40,adolphe_d_ennery_eugene_cormon-idee_du_mari,L'Idée du mari,Adolphe D'ENNERY - Eugène CORMON,Adolphe D'Ennery,Eugène Cormon,Q137819,,1834-07-12,,Comédie,,TD40
TD41,adolphe_d_ennery_eugene_cormon-marjolaine,Marjolaine,Adolphe D’ENNERY - Eugène CORMON,Adolphe D'Ennery,Eugène Cormon,Q137819,,1844-01-18,,Vaudeville,,TD41
TD42,adolphe_d_ennery_eugene_cormon_romain_chapelain-roman_comique,Le Roman comique,Adolphe D’ENNERY - Eugène CORMON - Romain CHAPELAIN,Adolphe D'Ennery,Eugène Cormon,Q137819,,1846-04-04,,Vaudeville,,TD42
TD43,adolphe_d_ennery_eugene_grange-donjon_de_vincennes,Le Donjon de Vincennes,Adolphe D’ENNERY - Eugène GRANGÉ,Adolphe D'Ennery,Eugène Grangé,Q137819,,1855-11-08,,,,TD43
TD44,adolphe_d_ennery_eugene_grange-femme_de_lettres,Une Femme de lettres,Adolphe D'ENNERY - Eugène GRANGÉ,Adolphe D'Ennery,Eugène Grangé,Q137819,,1837-11-14,,Vaudeville,,TD44
TD45,adolphe_d_ennery_eugene_grange-gras_et_maigre,Gras et maigre,Adolphe D'ENNERY - Eugène GRANGÉ,Adolphe D'Ennery,Eugène Grangé,Q137819,,1838-02-25,,,,TD45
TD46,adolphe_d_ennery_eugene_grange-tour_de_faction,Le Tour de faction,Adolphe D'ENNERY - Eugène GRANGÉ,Adolphe D'Ennery,Eugène Grangé,Q137819,,1837-07-20,,Vaudeville,,TD46
TD47,adolphe_d_ennery_gustave_lemoine-article_213_ou_le_mari_doit_protection,L’Article 213,Adolphe D’ENNERY - Gustave LEMOINE,Adolphe D'Ennery,Gustave Lemoine,Q137819,1502,1846-11-16,,Comédie,,TD47
TD48,adolphe_d_ennery_gustave_lemoine-citerne_d_albi,La Citerne d’Albi,Adolphe D’ENNERY - Gustave LEMOINE,Adolphe D'Ennery,Gustave Lemoine,Q137819,,1841-09-20,,,,TD48
TD49,adolphe_d_ennery_gustave_lemoine-grace_de_dieu_ou_la_nouvelle_fanchon,La Grâce de Dieu,Adolphe D’ENNERY - Gustave LEMOINE,Adolphe D'Ennery,Gustave Lemoine,Q137819,,1841-01-16,,,,TD49
TD50,adolphe_d_ennery_gustave_lemoine-sentinelle_ou_huit_ans_de_faction,La Sentinelle,Adolphe D'ENNERY - Gustave LEMOINE,Adolphe D'Ennery,Gustave Lemoine,Q137819,,1837-05-14,,Comédie,,TD50
TD51,adolphe_d_ennery_jean_baptiste_pierre_lafitte-angelus,L’Angélus,Adolphe D’ENNERY - Jean-Baptiste-Pierre LAFITTE,Adolphe D'Ennery,Jean-Baptiste-Pierre Lafitte,Q137819,,1846-11-10,,,,TD51
TD52,adolphe_d_ennery_jean_francois_bayard_dumanoir-suzette,Suzette,Adolphe D'ENNERY - Jean-François BAYARD - DUMANOIR,Adolphe D'Ennery,Jean-François Bayard,Q137819,,1837-12-18,,Comédie,,TD52
TD53,adolphe_d_ennery_julien_de_mallian-marie_jeanne,Marie-Jeanne,Adolphe D’ENNERY - Julien DE MALLIAN,Adolphe D'Ennery,Julien De Mallian,Q137819,,1845-11-11,,,,TD53
TD54,adolphe_d_ennery_marc_fournier-paillasse,Paillasse,Adolphe D’ENNERY - Marc FOURNIER,Adolphe D'Ennery,Marc Fournier,Q137819,,1850-11-09,,,,TD54
TD55,albert_lambert_pere-collaboration,Une Collaboration,Albert LAMBERT père,Albert Lambert Père,,Q28197175,,1888-01-15,,Comédie,vers,TD55
TD56,albert _fabrice_labrousse-fleurette_ou_le_premier_amour_de_henri_iv,Fleurette,ALBERT - Fabrice LABROUSSE,Albert,Fabrice Labrousse,Q27179277,,1855-03-11,,,,TD56
TD57,alexandre_dumas_fils-ami_des_femmes,L'Ami des femmes,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1864-03-05,,Comédie,,TD57
TD58,alexandre_dumas_fils-bijou_de_la_reine,Le Bijou de la reine,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1855,,Comédie,,TD58
TD59,alexandre_dumas_fils-dame_aux_camelias,La Dame aux Camélias,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1852-02-02,,Vaudeville,,TD59
TD60,alexandre_dumas_fils-demi_monde,Le Demi-Monde,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1835-03-20,,Comédie,prose,TD60
TD61,alexandre_dumas_fils-diane_de_lys,Diane de Lys,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1853-11-15,,,,TD61
TD62,alexandre_dumas_fils-etrangere,L'Étrangère,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1876-02-14,,Comédie,,TD62
TD63,alexandre_dumas_fils-fils_naturel,Le Fils naturel,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1858-01-16,,Comédie,,TD63
TD64,alexandre_dumas_fils-francillon,Francillon,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1887-01-17,,,,TD64
TD65,alexandre_dumas_fils-idees_de_madame_aubray,Les idées de madame Aubray,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1867-03-16,,Comédie,,TD65
TD66,alexandre_dumas_fils-monsieur_alphonse,Monsieur Alphonse,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1873-11-26,,,,TD66
TD67,alexandre_dumas_fils-pere_prodigue,Un Père prodigue,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1859-11-30,,Comédie,,TD67
TD68,alexandre_dumas_fils-princesse_de_bagdad,La Princesse de Bagdad,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1881-01-31,,,,TD68
TD69,alexandre_dumas_fils-princesse_georges,La princesse Georges,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1871-12-02,,,,TD69
TD70,alexandre_dumas_fils-question_d_argent,La Question d'argent,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1857-01-31,,Comédie,,TD70
TD71,alexandre_dumas_fils-visite_de_noces,Une visite de noces,Alexandre DUMAS Fils,Alexandre Dumas Fils,,Q169150,,1871-10-10,,Comédie,,TD71
TD72,alexandre_dumas_pere-alchimiste,L'Alchimiste,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1839-04-10,,,vers,TD72
TD73,alexandre_dumas_pere-angele,Angèle,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1833-12-28,,,prose,TD73
TD74,alexandre_dumas_pere-antony,Antony,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1831-05-03,,,prose,TD74
TD75,alexandre_dumas_pere-blancs_et_les_bleus,Les Blancs et les Bleus,Alexandre DUMAS Père,Alexandre Dumas Père,,Q38337,,1869-03-10,,,,TD75
