id,Name,id_similar,Name_similar,Intersection_size,Intersection,ngram Similarity,Similar,Matching,MatchingScore
fre000122,biancolelli-ecole-galante,fre000127,biancollelli-arlequin-gentilhomme,8,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""scaramouche"", ""ledocteur"", ""lachanteuse"", ""mezzetin""]",0.0102330869812393,False,"[[""ledocteur1"", ""ledocteur2""], [""leandre1"", ""octave2""], [""arlequin1"", ""arlequin2""], [""pierrot1"", ""leandre2""], [""lachanteuse1"", ""lachanteuse2""], [""octave1"", ""pierrot2""], [""mezzetin1"", ""mezzetin2""], [""scaramouche1"", ""scaramouche2""]]",0.625
fre000122,biancolelli-ecole-galante,fre000540,dufresny-depart-des-comediens,6,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""lachanteuse"", ""mezzetin""]",0.0015708862416546,False,"[[""arlequin1"", ""arlequin2""], [""pierrot1"", ""octave2""], [""lachanteuse1"", ""lachanteuse2""], [""mezzetin1"", ""mezzetin2""], [""octave1"", ""leandre2""]]",0.5
fre000122,biancolelli-ecole-galante,fre001032,mongin-promenades-de-paris,6,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""scaramouche"", ""mezzetin""]",0.0023821812839957,False,"[[""pierrot1"", ""pierrot2""], [""scaramouche1"", ""arlequin2""], [""octave1"", ""octave2""], [""leandre1"", ""scaramouche2""], [""mezzetin1"", ""mezzetin2""]]",0.5
fre000127,biancollelli-arlequin-gentilhomme,fre000128,biancollelli-foire-galante,6,"[""colombine"", ""pierrot"", ""arlequin"", ""ledocteur"", ""scaramouche"", ""lachanteuse""]",0.0018473505104521,False,"[[""lachanteuse1"", ""arlequin2""], [""pierrot1"", ""ledocteur2""], [""scaramouche1"", ""pierrot2""], [""colombine1"", ""colombine2""]]",0.167
fre000127,biancollelli-arlequin-gentilhomme,fre000533,dufresny-regnard-chinois,6,"[""colombine"", ""pierrot"", ""arlequin"", ""octave"", ""mezzetin"", ""isabelle""]",0.0035480138835325,False,"[[""isabelle1"", ""arlequin2""], [""colombine1"", ""colombine2""], [""mezzetin1"", ""octave2""], [""arlequin1"", ""mezzetin2""], [""pierrot1"", ""isabelle2""]]",0.167
fre000127,biancollelli-arlequin-gentilhomme,fre000540,dufresny-depart-des-comediens,7,"[""colombine"", ""pierrot"", ""arlequin"", ""leandre"", ""octave"", ""mezzetin"", ""lachanteuse""]",0.0021203554119547,False,"[[""leandre1"", ""octave2""], [""arlequin1"", ""arlequin2""], [""pierrot1"", ""lachanteuse2""], [""colombine1"", ""colombine2""], [""lachanteuse1"", ""pierrot2""], [""octave1"", ""leandre2""]]",0.286
fre000127,biancollelli-arlequin-gentilhomme,fre001032,mongin-promenades-de-paris,7,"[""colombine"", ""pierrot"", ""arlequin"", ""scaramouche"", ""leandre"", ""octave"", ""mezzetin""]",0.0040380926742268,False,"[[""scaramouche1"", ""leandre2""], [""octave1"", ""mezzetin2""], [""pierrot1"", ""octave2""], [""mezzetin1"", ""colombine2""], [""leandre1"", ""arlequin2""], [""arlequin1"", ""pierrot2""]]",0.0
fre000127,biancollelli-arlequin-gentilhomme,fre001203,regnard-arlequin-bonnes-fortunes,6,"[""colombine"", ""pierrot"", ""arlequin"", ""ledocteur"", ""mezzetin"", ""isabelle""]",0.0115271761911415,False,"[[""colombine1"", ""ledocteur2""], [""pierrot1"", ""pierrot2""], [""ledocteur1"", ""isabelle2""], [""arlequin1"", ""arlequin2""], [""mezzetin1"", ""mezzetin2""]]",0.5
fre000127,biancollelli-arlequin-gentilhomme,fre001207,regnard-coquette,6,"[""colombine"", ""pierrot"", ""arlequin"", ""octave"", ""mezzetin"", ""isabelle""]",0.0089042631562089,False,"[[""pierrot1"", ""pierrot2""], [""colombine1"", ""isabelle2""], [""arlequin1"", ""arlequin2""], [""octave1"", ""colombine2""], [""isabelle1"", ""octave2""], [""mezzetin1"", ""mezzetin2""]]",0.5
fre000157,boissy-dehors-trompeurs,fre000160,boissy-homme-du-jour,9,"[""lisette"", ""celiante"", ""lacomtesse"", ""lemarquis"", ""lebaron"", ""champagne"", ""lucile"", ""monsieurdeforlis"", ""lelaquais""]",0.5559843573119275,True,"[[""lacomtesse1"", ""lacomtesse2""], [""lemarquis1"", ""lemarquis2""], [""lelaquais1"", ""lelaquais2""], [""champagne1"", ""champagne2""], [""lebaron1"", ""lebaron2""], [""monsieurdeforlis1"", ""monsieurdeforlis2""], [""lisette1"", ""lisette2""], [""celiante1"", ""celiante2""], [""lucile1"", ""lucile2""]]",1.0
fre000187,boyer-amours-jupiter-semele,fre000819,la-fontaine-daphne,7,"[""melpomene"", ""thalie"", ""apollon"", ""lamour"", ""jupiter"", ""momus"", ""venus""]",0.0005636382851305,False,"[[""melpomene1"", ""jupiter2""], [""thalie1"", ""thalie2""], [""jupiter1"", ""apollon2""], [""momus1"", ""momus2""], [""venus1"", ""venus2""]]",0.429
fre000187,boyer-amours-jupiter-semele,fre000536,dufresny-adieux-des-officiers,6,"[""lamour"", ""jupiter"", ""momus"", ""junon"", ""venus"", ""undesamours""]",0.0019397136982581,False,"[[""venus1"", ""undesamours2""], [""jupiter1"", ""momus2""], [""lamour1"", ""lamour2""], [""momus1"", ""venus2""]]",0.167
fre000207,cadet-gassicourt-souper-de-moliere,fre000296,chazet-dubois-moliere-chez-ninon,6,"[""laforet"", ""tous"", ""moliere"", ""boileau"", ""chapelle"", ""lafontaine""]",0.0063353791328449,False,"[[""boileau1"", ""boileau2""], [""lafontaine1"", ""moliere2""], [""tous1"", ""lafontaine2""], [""laforet1"", ""laforet2""], [""moliere1"", ""chapelle2""]]",0.333
fre000213,campistron-achille,fre000322,corneillep-andromede,6,"[""mercure"", ""melpomene"", ""lechoeur"", ""jupiter"", ""venus"", ""junon""]",0.0006422312950135,False,"[[""jupiter1"", ""venus2""], [""mercure1"", ""mercure2""], [""venus1"", ""jupiter2""], [""junon1"", ""melpomene2""], [""lechoeur1"", ""lechoeur2""]]",0.333
fre000213,campistron-achille,fre000819,la-fontaine-daphne,7,"[""mercure"", ""melpomene"", ""thalie"", ""lechoeur"", ""jupiter"", ""venus"", ""unberger""]",0.0014034102869974,False,"[[""mercure1"", ""melpomene2""], [""thalie1"", ""mercure2""], [""jupiter1"", ""jupiter2""], [""lechoeur1"", ""venus2""], [""melpomene1"", ""lechoeur2""]]",0.143
fre000213,campistron-achille,fre001176,quinault-isis,6,"[""mercure"", ""melpomene"", ""thalie"", ""lechoeur"", ""jupiter"", ""junon""]",0.0020308986726626,False,"[[""jupiter1"", ""mercure2""], [""melpomene1"", ""jupiter2""], [""mercure1"", ""junon2""], [""lechoeur1"", ""lechoeur2""]]",0.167
fre000243,carmontelle-condamnez-sans-entendre,fre000274,carmontelle-statue,6,"[""lemarquis"", ""lebaron"", ""lacomtesse"", ""mademoiselledericheviere"", ""lechevalier"", ""lelaquais""]",0.7060152499293985,True,"[[""lacomtesse1"", ""lacomtesse2""], [""lemarquis1"", ""lemarquis2""], [""mademoiselledericheviere1"", ""mademoiselledericheviere2""], [""lelaquais1"", ""lelaquais2""], [""lechevalier1"", ""lechevalier2""], [""lebaron1"", ""lebaron2""]]",1.0
fre000287,chabanon-toison-d-or,fre001258,rousseaujb-jason,6,"[""medee"", ""jason"", ""orphee"", ""choeur"", ""lamour"", ""venus""]",0.0026041666666666,False,"[[""choeur1"", ""lamour2""], [""orphee1"", ""orphee2""], [""jason1"", ""venus2""], [""lamour1"", ""jason2""], [""medee1"", ""medee2""]]",0.333
fre000301,chevalier-amours-de-calotin,fre001778,palaprat-le-muet,6,"[""lemarquis"", ""lebaron"", ""lechevalier"", ""lelaquais"", ""lacomtesse"", ""lisette""]",0.0071388965899639,False,"[[""lebaron1"", ""lacomtesse2""], [""lisette1"", ""lebaron2""], [""lemarquis1"", ""lemarquis2""], [""lechevalier1"", ""lechevalier2""]]",0.333
fre000301,chevalier-amours-de-calotin,fre000302,chevalier-barbons-amoureux,6,"[""ragotin"", ""guillot"", ""lisette"", ""beatrix"", ""policarpe"", ""boniface""]",0.0062547179984902,False,"[[""beatrix1"", ""lisette2""], [""boniface1"", ""policarpe2""], [""ragotin1"", ""guillot2""], [""lisette1"", ""beatrix2""], [""policarpe1"", ""boniface2""], [""guillot1"", ""ragotin2""]]",0.0
fre000322,corneillep-andromede,fre001176,quinault-isis,6,"[""melpomene"", ""lechoeur"", ""neptune"", ""junon"", ""mercure"", ""jupiter""]",0.0013055966576725,False,"[[""jupiter1"", ""jupiter2""], [""junon1"", ""lechoeur2""], [""mercure1"", ""mercure2""], [""lechoeur1"", ""junon2""], [""melpomene1"", ""neptune2""]]",0.333
fre000322,corneillep-andromede,fre001178,quinault-persee,8,"[""cassiope"", ""persee"", ""cephee"", ""phinee"", ""lechoeur"", ""venus"", ""andromede"", ""mercure""]",0.0021193624957612,False,"[[""phinee1"", ""phinee2""], [""cephee1"", ""cassiope2""], [""lechoeur1"", ""andromede2""], [""mercure1"", ""cephee2""], [""cassiope1"", ""persee2""], [""venus1"", ""venus2""]]",0.25
fre000324,corneillep-cid,fre000325,corneillep-cid-37,12,"[""chimene"", ""elvire"", ""linfante"", ""leonor"", ""page"", ""lecomte"", ""dondiegue"", ""donrodrigue"", ""donarias"", ""donfernand"", ""donsanche"", ""donalonse""]",0.6368234089951231,True,"[[""donalonse1"", ""donalonse2""], [""elvire1"", ""elvire2""], [""donsanche1"", ""donsanche2""], [""dondiegue1"", ""dondiegue2""], [""donarias1"", ""donarias2""], [""page1"", ""page2""], [""lecomte1"", ""lecomte2""], [""donrodrigue1"", ""donrodrigue2""], [""leonor1"", ""leonor2""], [""chimene1"", ""chimene2""], [""donfernand1"", ""donfernand2""], [""linfante1"", ""linfante2""]]",1.0
fre000326,corneillep-cinna,fre000327,corneillep-cinna-43,9,"[""emilie"", ""fulvie"", ""cinna"", ""evandre"", ""auguste"", ""maxime"", ""euphorbe"", ""polyclete"", ""livie""]",0.6344422574295764,True,"[[""emilie1"", ""emilie2""], [""livie1"", ""livie2""], [""auguste1"", ""auguste2""], [""polyclete1"", ""polyclete2""], [""cinna1"", ""cinna2""], [""maxime1"", ""maxime2""], [""euphorbe1"", ""euphorbe2""], [""evandre1"", ""evandre2""], [""fulvie1"", ""fulvie2""]]",1.0
fre000334,corneillep-medee,fre000335,corneillep-medee-39,9,"[""pollux"", ""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon"", ""aegee"", ""theudas""]",0.6790677784904854,True,"[[""theudas1"", ""theudas2""], [""nerine1"", ""nerine2""], [""creuse1"", ""creuse2""], [""cleone1"", ""cleone2""], [""pollux1"", ""pollux2""], [""creon1"", ""creon2""], [""aegee1"", ""aegee2""], [""medee1"", ""medee2""], [""jason1"", ""jason2""]]",1.0
fre000334,corneillep-medee,fre000381,corneillet-medee,6,"[""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon""]",0.001806684733514,False,"[[""creuse1"", ""creuse2""], [""nerine1"", ""cleone2""], [""creon1"", ""creon2""], [""medee1"", ""medee2""], [""jason1"", ""jason2""]]",0.667
fre000335,corneillep-medee-39,fre000381,corneillet-medee,6,"[""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon""]",0.0018245796950345,False,"[[""nerine1"", ""nerine2""], [""creuse1"", ""creuse2""], [""creon1"", ""creon2""], [""medee1"", ""medee2""], [""jason1"", ""jason2""]]",0.833
fre000336,corneillep-melite,fre000337,corneillep-melite-33,7,"[""eraste"", ""melite"", ""philandre"", ""cloris"", ""cliton"", ""lanourrice"", ""lisis""]",0.3344583560152422,True,"[[""eraste1"", ""eraste2""], [""philandre1"", ""philandre2""], [""lanourrice1"", ""lanourrice2""], [""cliton1"", ""cliton2""], [""cloris1"", ""cloris2""], [""melite1"", ""melite2""], [""lisis1"", ""lisis2""]]",1.0
fre000356,corneillep-veuve,fre000357,corneillep-veuve-34,12,"[""alcidon"", ""philiste"", ""lanourrice"", ""chrysante"", ""doris"", ""geron"", ""clarice"", ""celidan"", ""polymas"", ""doraste"", ""lycas"", ""listor""]",0.613077485791458,True,"[[""doraste1"", ""doraste2""], [""alcidon1"", ""alcidon2""], [""celidan1"", ""celidan2""], [""polymas1"", ""polymas2""], [""geron1"", ""geron2""], [""clarice1"", ""clarice2""], [""lanourrice1"", ""lanourrice2""], [""lycas1"", ""lycas2""], [""philiste1"", ""philiste2""], [""doris1"", ""doris2""], [""chrysante1"", ""chrysante2""]]",0.917
fre000366,corneillet-circe,fre001168,quinault-cadmus-hermione,7,"[""mars"", ""lamour"", ""tousensemble"", ""melisse"", ""venus"", ""lesoleil"", ""jupiter""]",0.0010150465727251,False,"[[""mars1"", ""jupiter2""], [""tousensemble1"", ""mars2""], [""lamour1"", ""lamour2""], [""lesoleil1"", ""lesoleil2""]]",0.286
fre000374,corneillet-festin-pierre,fre001003,moliere-dom-juan,11,"[""sganarelle"", ""gusman"", ""donjuan"", ""charlotte"", ""pierrot"", ""laramee"", ""doncarlos"", ""laviolette"", ""donlouis"", ""monsieurdimanche"", ""lastatue""]",0.032034450162798,False,"[[""laviolette1"", ""laviolette2""], [""pierrot1"", ""pierrot2""], [""laramee1"", ""laramee2""], [""lastatue1"", ""lastatue2""], [""doncarlos1"", ""doncarlos2""], [""sganarelle1"", ""sganarelle2""], [""donlouis1"", ""donlouis2""], [""monsieurdimanche1"", ""monsieurdimanche2""], [""charlotte1"", ""charlotte2""], [""gusman1"", ""gusman2""], [""donjuan1"", ""donjuan2""]]",1.0
fre000374,corneillet-festin-pierre,fre001009,moliere-festin-de-pierre,11,"[""sganarelle"", ""gusman"", ""donjuan"", ""charlotte"", ""pierrot"", ""laramee"", ""doncarlos"", ""laviolette"", ""donlouis"", ""monsieurdimanche"", ""lastatue""]",0.0465827859987866,False,"[[""laviolette1"", ""laviolette2""], [""pierrot1"", ""pierrot2""], [""laramee1"", ""laramee2""], [""lastatue1"", ""lastatue2""], [""doncarlos1"", ""doncarlos2""], [""sganarelle1"", ""sganarelle2""], [""donlouis1"", ""donlouis2""], [""monsieurdimanche1"", ""monsieurdimanche2""], [""charlotte1"", ""charlotte2""], [""gusman1"", ""gusman2""], [""donjuan1"", ""donjuan2""]]",1.0
fre000378,corneillet-inconnu,fre000457,dancourt-inconnu,17,"[""thalie"", ""lemarquis"", ""lamontagne"", ""virgine"", ""olimpe"", ""lacomtesse"", ""lamour"", ""lajeunesse"", ""lechevalier"", ""comus"", ""labohemienne"", ""petitbohemien"", ""levicomte"", ""cascaret"", ""lecomedien"", ""alcidon"", ""aminte""]",0.1729672720081737,False,"[[""lemarquis1"", ""lechevalier2""], [""olimpe1"", ""olimpe2""], [""lamour1"", ""lamour2""], [""lacomtesse1"", ""lacomtesse2""], [""levicomte1"", ""levicomte2""], [""labohemienne1"", ""lamontagne2""], [""virgine1"", ""virgine2""], [""cascaret1"", ""cascaret2""], [""aminte1"", ""thalie2""], [""petitbohemien1"", ""petitbohemien2""], [""lamontagne1"", ""aminte2""], [""comus1"", ""comus2""], [""lajeunesse1"", ""lajeunesse2""], [""lechevalier1"", ""alcidon2""], [""alcidon1"", ""lemarquis2""], [""lecomedien1"", ""lecomedien2""]]",0.588
fre000381,corneillet-medee,fre001183,quinault-thesee,6,"[""lechoeur"", ""unhabitant"", ""deuxbergeres"", ""medee"", ""arcas"", ""cleone""]",0.0018720405241713,False,"[[""deuxbergeres1"", ""cleone2""], [""medee1"", ""medee2""], [""lechoeur1"", ""lechoeur2""], [""cleone1"", ""arcas2""]]",0.333
fre000398,crebillon-catilina,fre001441,voltaire-rome-sauvee,6,"[""catilina"", ""lentulus"", ""ciceron"", ""caton"", ""crassus"", ""cethegus""]",0.0034969737726967,False,"[[""ciceron1"", ""ciceron2""], [""crassus1"", ""catilina2""], [""caton1"", ""caton2""], [""catilina1"", ""lentulus2""], [""cethegus1"", ""crassus2""], [""lentulus1"", ""cethegus2""]]",0.333
fre000420,cubieres-palmezeaux-mort-de-moliere-3a,fre000421,cubieres-palmezeaux-mort-de-moliere-4a,14,"[""moliere"", ""lesbin"", ""chapelle"", ""laforet"", ""lamoliere"", ""isabelle"", ""baron"", ""lesemainier"", ""angelique"", ""cleante"", ""ledocteur"", ""ledomestique"", ""montausier"", ""pirlon""]",0.4590876176683562,True,"[[""ledocteur1"", ""ledocteur2""], [""lamoliere1"", ""lamoliere2""], [""lesemainier1"", ""lesemainier2""], [""pirlon1"", ""pirlon2""], [""laforet1"", ""laforet2""], [""baron1"", ""baron2""], [""ledomestique1"", ""ledomestique2""], [""montausier1"", ""montausier2""], [""lesbin1"", ""lesbin2""], [""isabelle1"", ""isabelle2""], [""chapelle1"", ""chapelle2""], [""moliere1"", ""moliere2""]]",0.857
fre000434,dancourt-comedie-comediens,fre001210,regnard-divorce,7,"[""unlaquais"", ""isabelle"", ""mezzetin"", ""jupiter"", ""pierrot"", ""mercure"", ""lechevalier""]",0.0103816206863404,False,"[[""mercure1"", ""isabelle2""], [""pierrot1"", ""mercure2""], [""mezzetin1"", ""lechevalier2""], [""jupiter1"", ""mezzetin2""], [""isabelle1"", ""pierrot2""]]",0.0
fre000436,dancourt-deroute-pharaon,fre000437,dancourt-desolation-des-joueuses,7,"[""lacomtesse"", ""clitandre"", ""lecaissier"", ""lintendante"", ""eraste"", ""lemarquis"", ""merlin""]",0.1741795286120243,False,"[[""eraste1"", ""eraste2""], [""lacomtesse1"", ""lacomtesse2""], [""lemarquis1"", ""lemarquis2""], [""lecaissier1"", ""lecaissier2""], [""lintendante1"", ""lintendante2""], [""clitandre1"", ""clitandre2""]]",0.857
fre000437,dancourt-desolation-des-joueuses,fre000445,dancourt-femme-d-intrigues,7,"[""lisette"", ""angelique"", ""dorante"", ""unlaquais"", ""eraste"", ""lemarquis"", ""lechevalier""]",0.0109305652349337,False,"[[""eraste1"", ""eraste2""], [""lisette1"", ""lechevalier2""], [""angelique1"", ""dorante2""], [""unlaquais1"", ""unlaquais2""], [""lechevalier1"", ""lemarquis2""], [""dorante1"", ""angelique2""]]",0.286
fre000438,dancourt-diable-boiteux,fre000445,dancourt-femme-d-intrigues,6,"[""angelique"", ""unlaquais"", ""eraste"", ""leandre"", ""cascaret"", ""lecommissaire""]",0.0095969982321319,False,"[[""cascaret1"", ""lecommissaire2""], [""angelique1"", ""eraste2""], [""leandre1"", ""leandre2""], [""unlaquais1"", ""cascaret2""], [""eraste1"", ""angelique2""], [""lecommissaire1"", ""unlaquais2""]]",0.167
fre000462,dancourt-metempsychose,fre000536,dufresny-adieux-des-officiers,6,"[""mercure"", ""bacchus"", ""lamour"", ""jupiter"", ""junon"", ""venus""]",0.0024118738404452,False,"[[""bacchus1"", ""mercure2""], [""jupiter1"", ""junon2""], [""venus1"", ""venus2""], [""mercure1"", ""lamour2""]]",0.167
fre000462,dancourt-metempsychose,fre000819,la-fontaine-daphne,7,"[""mercure"", ""bacchus"", ""lamour"", ""thalie"", ""jupiter"", ""philis"", ""venus""]",0.0008274720728175,False,"[[""lamour1"", ""mercure2""], [""thalie1"", ""jupiter2""], [""philis1"", ""venus2""], [""mercure1"", ""thalie2""], [""bacchus1"", ""bacchus2""]]",0.143
fre000477,de-caux-marius,fre000760,henault-marius-a-cirte,8,"[""cethegus"", ""marius"", ""arisbe"", ""phenice"", ""caiusmarius"", ""numerius"", ""hiempsal"", ""nerbal""]",0.6628046045746748,True,"[[""marius1"", ""marius2""], [""caiusmarius1"", ""caiusmarius2""], [""phenice1"", ""phenice2""], [""hiempsal1"", ""hiempsal2""], [""arisbe1"", ""arisbe2""], [""numerius1"", ""numerius2""], [""cethegus1"", ""cethegus2""], [""nerbal1"", ""nerbal2""]]",1.0
fre000497,diderot-est-il-bon-est-il-mechant,fre000501,diderot-piece-prologue,10,"[""madamedechepy"", ""picard"", ""mademoisellebeaulieu"", ""flamand"", ""monsieurhardouin"", ""lelaquais"", ""madamebertrand"", ""monsieurdesurmont"", ""monsieurpoultier"", ""tousensemble""]",0.34325983177995,True,"[[""madamebertrand1"", ""madamebertrand2""], [""lelaquais1"", ""lelaquais2""], [""monsieurdesurmont1"", ""monsieurdesurmont2""], [""tousensemble1"", ""tousensemble2""], [""monsieurpoultier1"", ""monsieurpoultier2""], [""flamand1"", ""flamand2""], [""madamedechepy1"", ""madamedechepy2""], [""picard1"", ""picard2""], [""monsieurhardouin1"", ""monsieurhardouin2""], [""mademoisellebeaulieu1"", ""mademoisellebeaulieu2""]]",1.0
fre000504,donneau-de-vise-amours-du-soleil,fre000526,dorneval-jugement-de-paris,6,"[""lamour"", ""venus"", ""pallas"", ""mercure"", ""ladiscorde"", ""jupiter""]",0.0013195332151251,False,"[[""mercure1"", ""pallas2""], [""lamour1"", ""lamour2""], [""jupiter1"", ""jupiter2""], [""ladiscorde1"", ""mercure2""], [""venus1"", ""venus2""]]",0.5
fre000526,dorneval-jugement-de-paris,fre001168,quinault-cadmus-hermione,6,"[""jupiter"", ""venus"", ""lamour"", ""lhymen"", ""junon"", ""pallas""]",0.0005625351584474,False,"[[""venus1"", ""junon2""], [""pallas1"", ""pallas2""], [""junon1"", ""jupiter2""], [""lamour1"", ""lhymen2""]]",0.167
fre000533,dufresny-regnard-chinois,fre000540,dufresny-depart-des-comediens,6,"[""lecomedien"", ""pierrot"", ""colombine"", ""mezzetin"", ""arlequin"", ""octave""]",0.004745866503368,False,"[[""lecomedien1"", ""colombine2""], [""octave1"", ""octave2""], [""colombine1"", ""arlequin2""], [""mezzetin1"", ""mezzetin2""]]",0.333
fre000533,dufresny-regnard-chinois,fre001207,regnard-coquette,6,"[""pierrot"", ""isabelle"", ""colombine"", ""mezzetin"", ""arlequin"", ""octave""]",0.0165052906810475,False,"[[""mezzetin1"", ""octave2""], [""octave1"", ""isabelle2""], [""isabelle1"", ""colombine2""], [""colombine1"", ""arlequin2""], [""pierrot1"", ""mezzetin2""], [""arlequin1"", ""pierrot2""]]",0.0
fre000536,dufresny-adieux-des-officiers,fre000819,la-fontaine-daphne,9,"[""lamour"", ""venus"", ""cupidon"", ""mercure"", ""momus"", ""lesdieux"", ""jupiter"", ""diane"", ""bacchus""]",0.0001505570611261,False,"[[""momus1"", ""cupidon2""], [""cupidon1"", ""momus2""], [""mercure1"", ""jupiter2""], [""venus1"", ""venus2""], [""diane1"", ""bacchus2""]]",0.111
fre000536,dufresny-adieux-des-officiers,fre001023,moliere-psyche,6,"[""lamour"", ""mars"", ""venus"", ""vulcain"", ""jupiter"", ""bacchus""]",0.0008649272019605,False,"[[""vulcain1"", ""venus2""], [""bacchus1"", ""bacchus2""], [""jupiter1"", ""lamour2""], [""venus1"", ""vulcain2""]]",0.167
fre000536,dufresny-adieux-des-officiers,fre000845,la-motte-carnaval-folie,6,"[""venus"", ""plutus"", ""mercure"", ""momus"", ""jupiter"", ""bacchus""]",0.0001819505094614,False,"[[""momus1"", ""momus2""], [""mercure1"", ""jupiter2""], [""venus1"", ""plutus2""]]",0.167
