id,Name,id_similar,Name_similar,Intersection_size,Intersection,ngram Similarity,SImilarity type (commentaire),Different versions of same text,MatchingScore,Matching,Cast difference
fre001169,quinault-comedie-sans-comedie,fre001171,quinault-docteur-de-verre,8,"[""laroque"", ""lafleur"", ""isabelle"", ""marine"", ""panfile"", ""tersandre"", ""ragotin"", ""ledocteur""]",0.21,"La comédie sans comédie contains 4 subplays, among which le docteur de verre",FALSE,1,"[[""ledocteur1"", ""ledocteur2""], [""tersandre1"", ""tersandre2""], [""ragotin1"", ""ragotin2""], [""marine1"", ""marine2""], [""lafleur1"", ""lafleur2""], [""panfile1"", ""panfile2""], [""isabelle1"", ""isabelle2""], [""laroque1"", ""laroque2""]]",0
fre000993,moliere-amants-magnifiques,fre001173,quinault-fetes-amour-bacchus,7,"[""tircis"", ""menandre"", ""caliste"", ""tous"", ""climene"", ""tousensemble"", ""lechoeur""]",0.07,"Quinaut's play is a ""medley"" compiling various comedies-ballets, including parts of les amants magnifiques. In a way, Molière's play is included is quinault's one",FALSE,1,"[[""caliste1"", ""caliste2""], [""menandre1"", ""menandre2""], [""tousensemble1"", ""tousensemble2""], [""tircis1"", ""tircis2""], [""tous1"", ""tous2""], [""climene1"", ""climene2""], [""lechoeur1"", ""lechoeur2""]]",0
fre000374,corneillet-festin-pierre,fre001009,moliere-festin-de-pierre,11,"[""sganarelle"", ""gusman"", ""donjuan"", ""charlotte"", ""pierrot"", ""laramee"", ""doncarlos"", ""laviolette"", ""donlouis"", ""monsieurdimanche"", ""lastatue""]",0.05,corneille's version is a mise en vers of molière's version,FALSE,1,"[[""laviolette1"", ""laviolette2""], [""pierrot1"", ""pierrot2""], [""laramee1"", ""laramee2""], [""lastatue1"", ""lastatue2""], [""doncarlos1"", ""doncarlos2""], [""sganarelle1"", ""sganarelle2""], [""donlouis1"", ""donlouis2""], [""monsieurdimanche1"", ""monsieurdimanche2""], [""charlotte1"", ""charlotte2""], [""gusman1"", ""gusman2""], [""donjuan1"", ""donjuan2""]]",0
fre001021,moliere-precieuses-ridicules,fre001361,somaize-precieuses-ridicules,11,"[""ducroisy"", ""lagrange"", ""gorgibus"", ""marotte"", ""cathos"", ""mascarille"", ""premierporteur"", ""deuxiemeporteur"", ""almanzor"", ""jodelet"", ""lucile""]",0.04,somaize's version is a mise en vers ,FALSE,1,"[[""lagrange1"", ""lagrange2""], [""gorgibus1"", ""gorgibus2""], [""deuxiemeporteur1"", ""deuxiemeporteur2""], [""almanzor1"", ""almanzor2""], [""ducroisy1"", ""ducroisy2""], [""mascarille1"", ""mascarille2""], [""marotte1"", ""marotte2""], [""premierporteur1"", ""premierporteur2""], [""cathos1"", ""cathos2""], [""jodelet1"", ""jodelet2""], [""lucile1"", ""lucile2""]]",0
fre000958,marolles-avaricieux,fre001128,plaute-aululaire,6,"[""euclion"", ""staphyla"", ""megadore"", ""strobile"", ""pythodicus"", ""lyconide""]",0.04,Deux traductions différentes de Plaute,FALSE,1,"[[""pythodicus1"", ""pythodicus2""], [""strobile1"", ""strobile2""], [""megadore1"", ""megadore2""], [""staphyla1"", ""staphyla2""], [""lyconide1"", ""lyconide2""], [""euclion1"", ""euclion2""]]",0
fre000374,corneillet-festin-pierre,fre001003,moliere-dom-juan,11,"[""sganarelle"", ""gusman"", ""donjuan"", ""charlotte"", ""pierrot"", ""laramee"", ""doncarlos"", ""laviolette"", ""donlouis"", ""monsieurdimanche"", ""lastatue""]",0.03,thomas corneille's version is a mise en vers,FALSE,1,"[[""laviolette1"", ""laviolette2""], [""pierrot1"", ""pierrot2""], [""laramee1"", ""laramee2""], [""lastatue1"", ""lastatue2""], [""doncarlos1"", ""doncarlos2""], [""sganarelle1"", ""sganarelle2""], [""donlouis1"", ""donlouis2""], [""monsieurdimanche1"", ""monsieurdimanche2""], [""charlotte1"", ""charlotte2""], [""gusman1"", ""gusman2""], [""donjuan1"", ""donjuan2""]]",0
fre000059,aubignac-pucelle,fre000060,aubignac-pucelle-prose,12,"[""lange"", ""lapucelle"", ""legarde"", ""lecomte"", ""leduc"", ""aronte"", ""lacomtesse"", ""dalinde"", ""canchon"", ""mide"", ""lebaron"", ""unsoldat""]",0.02,mise en vers,FALSE,1,"[[""canchon1"", ""canchon2""], [""lacomtesse1"", ""lacomtesse2""], [""legarde1"", ""legarde2""], [""mide1"", ""mide2""], [""lebaron1"", ""lebaron2""], [""leduc1"", ""leduc2""], [""lapucelle1"", ""lapucelle2""], [""lecomte1"", ""lecomte2""], [""lange1"", ""lange2""], [""dalinde1"", ""dalinde2""], [""aronte1"", ""aronte2""], [""unsoldat1"", ""unsoldat2""]]",0
fre000753,guimont-de-la-touche-iphigenie,fre001875,favard-voisenon-la-petite-iphigenie,7,"[""iphigenie"", ""ismenie"", ""eumene"", ""thoas"", ""oreste"", ""lesclave"", ""arbas""]",0.01,favard's version is a pardoy,FALSE,1,"[[""thoas1"", ""thoas2""], [""iphigenie1"", ""iphigenie2""], [""oreste1"", ""oreste2""], [""arbas1"", ""arbas2""], [""ismenie1"", ""ismenie2""], [""lesclave1"", ""lesclave2""], [""eumene1"", ""eumene2""]]",0
fre000356,corneillep-veuve,fre000357,corneillep-veuve-34,12,"[""alcidon"", ""philiste"", ""lanourrice"", ""chrysante"", ""doris"", ""geron"", ""clarice"", ""celidan"", ""polymas"", ""doraste"", ""lycas"", ""listor""]",0.61,Same,TRUE,0.917,"[[""doraste1"", ""doraste2""], [""alcidon1"", ""alcidon2""], [""celidan1"", ""celidan2""], [""polymas1"", ""polymas2""], [""geron1"", ""geron2""], [""clarice1"", ""clarice2""], [""lanourrice1"", ""lanourrice2""], [""lycas1"", ""lycas2""], [""philiste1"", ""philiste2""], [""doris1"", ""doris2""], [""chrysante1"", ""chrysante2""]]",1
fre000420,cubieres-palmezeaux-mort-de-moliere-3a,fre000421,cubieres-palmezeaux-mort-de-moliere-4a,14,"[""moliere"", ""lesbin"", ""chapelle"", ""laforet"", ""lamoliere"", ""isabelle"", ""baron"", ""lesemainier"", ""angelique"", ""cleante"", ""ledocteur"", ""ledomestique"", ""montausier"", ""pirlon""]",0.46,Same,TRUE,0.857,"[[""ledocteur1"", ""ledocteur2""], [""lamoliere1"", ""lamoliere2""], [""lesemainier1"", ""lesemainier2""], [""pirlon1"", ""pirlon2""], [""laforet1"", ""laforet2""], [""baron1"", ""baron2""], [""ledomestique1"", ""ledomestique2""], [""montausier1"", ""montausier2""], [""lesbin1"", ""lesbin2""], [""isabelle1"", ""isabelle2""], [""chapelle1"", ""chapelle2""], [""moliere1"", ""moliere2""]]",2
fre000436,dancourt-deroute-pharaon,fre000437,dancourt-desolation-des-joueuses,7,"[""lacomtesse"", ""clitandre"", ""lecaissier"", ""lintendante"", ""eraste"", ""lemarquis"", ""merlin""]",0.17,"""Mentionnons seulement La Désolation des joueuses et La Déroute du pharaon, qui n’est que la même pièce avec quelques variantes"" https://web.archive.org/web/20241105101320/http://xn--thtre-documentation-cvb0m.com/content/la-com%C3%A9die-apr%C3%A8s-moli%C3%A8re-et-le-th%C3%A9%C3%A2tre-de-dancourt-jules-lemaitre#DEUXIEME_PARTIE_-_DANCOURT",FALSE,0.857,"[[""eraste1"", ""eraste2""], [""lacomtesse1"", ""lacomtesse2""], [""lemarquis1"", ""lemarquis2""], [""lecaissier1"", ""lecaissier2""], [""lintendante1"", ""lintendante2""], [""clitandre1"", ""clitandre2""]]",1
fre001012,moliere-impromptu-versailles,fre001319,sand-roi-attend,12,"[""moliere"", ""brecourt"", ""lagrange"", ""ducroisy"", ""mademoiselleduparc"", ""mademoisellebejart"", ""mademoiselledebrie"", ""mademoiselleducroisy"", ""mademoiselleherve"", ""mademoisellemoliere"", ""bejart"", ""unnecessaire""]",0.04,"The two plays are very different, but sand makes Moliere and his friend the characters of the play. The Improptu de Versailles is even mentionned in the play",FALSE,0.833,"[[""lagrange1"", ""lagrange2""], [""mademoiselleduparc1"", ""mademoiselleduparc2""], [""brecourt1"", ""ducroisy2""], [""mademoisellebejart1"", ""mademoisellebejart2""], [""bejart1"", ""bejart2""], [""mademoiselleherve1"", ""mademoiselleherve2""], [""mademoisellemoliere1"", ""mademoisellemoliere2""], [""mademoiselledebrie1"", ""mademoiselledebrie2""], [""unnecessaire1"", ""unnecessaire2""], [""mademoiselleducroisy1"", ""mademoiselleducroisy2""], [""moliere1"", ""moliere2""]]",1
fre000335,corneillep-medee-39,fre000381,corneillet-medee,6,"[""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon""]",0.00,Same,FALSE,0.833,"[[""nerine1"", ""nerine2""], [""creuse1"", ""creuse2""], [""creon1"", ""creon2""], [""medee1"", ""medee2""], [""jason1"", ""jason2""]]",1
fre001162,quinault-alceste,fre001179,quinault-proserpine,6,"[""tousensemble"", ""lechoeur"", ""lechoeur"", ""lesombres"", ""pluton"", ""proserpine""]",0.00,,FALSE,0.8,"[[""pluton1"", ""pluton2""], [""proserpine1"", ""proserpine2""], [""tousensemble1"", ""tousensemble2""], [""lechoeur1"", ""lechoeur2""]]",2
fre001400,viau-pyrame,fre001906,puget-de-la-serre-le-pyrame,9,"[""thisbe"", ""bersiane"", ""narbal"", ""lidias"", ""leroi"", ""syllar"", ""pyrame"", ""disarque"", ""deuxis""]",0.00,,FALSE,0.667,"[[""deuxis1"", ""disarque2""], [""leroi1"", ""leroi2""], [""syllar1"", ""syllar2""], [""thisbe1"", ""thisbe2""], [""narbal1"", ""narbal2""], [""bersiane1"", ""bersiane2""], [""pyrame1"", ""pyrame2""]]",2
fre001199,racine-thebaide,fre001240,rotrou-antigone,6,"[""jocaste"", ""antigone"", ""eteocle"", ""creon"", ""hemon"", ""polynice""]",0.00,,FALSE,0.667,"[[""polynice1"", ""polynice2""], [""antigone1"", ""antigone2""], [""jocaste1"", ""jocaste2""], [""creon1"", ""eteocle2""], [""hemon1"", ""hemon2""], [""eteocle1"", ""creon2""]]",0
fre000334,corneillep-medee,fre000381,corneillet-medee,6,"[""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon""]",0.00,,FALSE,0.667,"[[""creuse1"", ""creuse2""], [""nerine1"", ""cleone2""], [""creon1"", ""creon2""], [""medee1"", ""medee2""], [""jason1"", ""jason2""]]",1
fre001047,montchretien-hector,fre001701,giraudoux-la-guerre-de-troie-n-aura-pas-lieu,6,"[""cassandre"", ""andromaque"", ""hector"", ""priam"", ""hecube"", ""helene""]",0.00,,FALSE,0.667,"[[""hecube1"", ""hecube2""], [""cassandre1"", ""cassandre2""], [""hector1"", ""hector2""], [""priam1"", ""andromaque2""], [""helene1"", ""helene2""], [""andromaque1"", ""priam2""]]",0
fre000122,biancolelli-ecole-galante,fre000127,biancollelli-arlequin-gentilhomme,8,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""scaramouche"", ""ledocteur"", ""lachanteuse"", ""mezzetin""]",0.01,,FALSE,0.625,"[[""ledocteur1"", ""ledocteur2""], [""leandre1"", ""octave2""], [""arlequin1"", ""arlequin2""], [""pierrot1"", ""leandre2""], [""lachanteuse1"", ""lachanteuse2""], [""octave1"", ""pierrot2""], [""mezzetin1"", ""mezzetin2""], [""scaramouche1"", ""scaramouche2""]]",0
fre000378,corneillet-inconnu,fre000457,dancourt-inconnu,17,"[""thalie"", ""lemarquis"", ""lamontagne"", ""virgine"", ""olimpe"", ""lacomtesse"", ""lamour"", ""lajeunesse"", ""lechevalier"", ""comus"", ""labohemienne"", ""petitbohemien"", ""levicomte"", ""cascaret"", ""lecomedien"", ""alcidon"", ""aminte""]",0.17,"dancourt wrote the divertissement, that are a part of the play (with many minor modifications, small words, punctuation, etc)",FALSE,0.588,"[[""lemarquis1"", ""lechevalier2""], [""olimpe1"", ""olimpe2""], [""lamour1"", ""lamour2""], [""lacomtesse1"", ""lacomtesse2""], [""levicomte1"", ""levicomte2""], [""labohemienne1"", ""lamontagne2""], [""virgine1"", ""virgine2""], [""cascaret1"", ""cascaret2""], [""aminte1"", ""thalie2""], [""petitbohemien1"", ""petitbohemien2""], [""lamontagne1"", ""aminte2""], [""comus1"", ""comus2""], [""lajeunesse1"", ""lajeunesse2""], [""lechevalier1"", ""alcidon2""], [""alcidon1"", ""lemarquis2""], [""lecomedien1"", ""lecomedien2""]]",1
fre000913,mareschala-genereuse-allemande,fre000914,mareschala-genereuse-allemande-2,6,"[""aristandre"", ""adraste"", ""camille"", ""roseline"", ""cloriande"", ""coryleon""]",0.02,,FALSE,0.5,"[[""aristandre1"", ""aristandre2""], [""coryleon1"", ""roseline2""], [""cloriande1"", ""cloriande2""], [""adraste1"", ""adraste2""], [""roseline1"", ""camille2""]]",1
fre000127,biancollelli-arlequin-gentilhomme,fre001203,regnard-arlequin-bonnes-fortunes,6,"[""colombine"", ""pierrot"", ""arlequin"", ""ledocteur"", ""mezzetin"", ""isabelle""]",0.01,,FALSE,0.5,"[[""colombine1"", ""ledocteur2""], [""pierrot1"", ""pierrot2""], [""ledocteur1"", ""isabelle2""], [""arlequin1"", ""arlequin2""], [""mezzetin1"", ""mezzetin2""]]",1
fre000127,biancollelli-arlequin-gentilhomme,fre001207,regnard-coquette,6,"[""colombine"", ""pierrot"", ""arlequin"", ""octave"", ""mezzetin"", ""isabelle""]",0.01,,FALSE,0.5,"[[""pierrot1"", ""pierrot2""], [""colombine1"", ""isabelle2""], [""arlequin1"", ""arlequin2""], [""octave1"", ""colombine2""], [""isabelle1"", ""octave2""], [""mezzetin1"", ""mezzetin2""]]",0
fre000537,dufresny-chevalier-joueur,fre001214,regnard-joueur,6,"[""valere"", ""nerine"", ""angelique"", ""lacomtesse"", ""dorante"", ""lemarquis""]",0.01,,FALSE,0.5,"[[""lemarquis1"", ""nerine2""], [""lacomtesse1"", ""lacomtesse2""], [""dorante1"", ""dorante2""], [""nerine1"", ""valere2""], [""angelique1"", ""angelique2""]]",1
fre000122,biancolelli-ecole-galante,fre001032,mongin-promenades-de-paris,6,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""scaramouche"", ""mezzetin""]",0.00,,FALSE,0.5,"[[""pierrot1"", ""pierrot2""], [""scaramouche1"", ""arlequin2""], [""octave1"", ""octave2""], [""leandre1"", ""scaramouche2""], [""mezzetin1"", ""mezzetin2""]]",1
fre001183,quinault-thesee,fre001258,rousseaujb-jason,6,"[""unplaisir"", ""venus"", ""choeur"", ""leroi"", ""medee"", ""lechoeur""]",0.00,,FALSE,0.5,"[[""choeur1"", ""unplaisir2""], [""leroi1"", ""leroi2""], [""unplaisir1"", ""lechoeur2""], [""medee1"", ""medee2""], [""venus1"", ""venus2""]]",1
fre000122,biancolelli-ecole-galante,fre000540,dufresny-depart-des-comediens,6,"[""arlequin"", ""pierrot"", ""octave"", ""leandre"", ""lachanteuse"", ""mezzetin""]",0.00,,FALSE,0.5,"[[""arlequin1"", ""arlequin2""], [""pierrot1"", ""octave2""], [""lachanteuse1"", ""lachanteuse2""], [""mezzetin1"", ""mezzetin2""], [""octave1"", ""leandre2""]]",1
fre000504,donneau-de-vise-amours-du-soleil,fre000526,dorneval-jugement-de-paris,6,"[""lamour"", ""venus"", ""pallas"", ""mercure"", ""ladiscorde"", ""jupiter""]",0.00,,FALSE,0.5,"[[""mercure1"", ""pallas2""], [""lamour1"", ""lamour2""], [""jupiter1"", ""jupiter2""], [""ladiscorde1"", ""mercure2""], [""venus1"", ""venus2""]]",1
fre000819,la-fontaine-daphne,fre000845,la-motte-carnaval-folie,7,"[""jupiter"", ""venus"", ""momus"", ""choeur"", ""lechoeur"", ""bacchus"", ""mercure""]",0.00,,FALSE,0.429,"[[""lechoeur1"", ""mercure2""], [""choeur1"", ""choeur2""], [""momus1"", ""momus2""], [""bacchus1"", ""jupiter2""], [""venus1"", ""venus2""]]",2
fre000187,boyer-amours-jupiter-semele,fre000819,la-fontaine-daphne,7,"[""melpomene"", ""thalie"", ""apollon"", ""lamour"", ""jupiter"", ""momus"", ""venus""]",0.00,,FALSE,0.429,"[[""melpomene1"", ""jupiter2""], [""thalie1"", ""thalie2""], [""jupiter1"", ""apollon2""], [""momus1"", ""momus2""], [""venus1"", ""venus2""]]",2
fre001178,quinault-persee,fre001179,quinault-proserpine,6,"[""lechoeur"", ""lechoeur"", ""mercure"", ""divinitesinfernales"", ""leschoeurs"", ""tousensemble""]",0.01,,FALSE,0.4,"[[""mercure1"", ""mercure2""], [""lechoeur1"", ""lechoeur2""]]",4
fre001176,quinault-isis,fre001179,quinault-proserpine,6,"[""lechoeur"", ""lechoeur"", ""mercure"", ""jupiter"", ""deuxnymphes"", ""tousensemble""]",0.00,,FALSE,0.4,"[[""mercure1"", ""tousensemble2""], [""deuxnymphes1"", ""mercure2""], [""jupiter1"", ""jupiter2""], [""lechoeur1"", ""lechoeur2""]]",2
