andre_mareschal-cour_bergere_ou_l_arcadie_de_messire_philippes_sidney	[vide]	1640.</p>	[vide]	[vide]	1640	[vide]
eugene_scribe_francis_cornu-chanoinesse	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 31 janvier 1833.	[vide]	[vide]	1833-01-31
emile_augier-cigue	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Second Théâtre-Français, le 13 mai 1844 et reprise à la Comédie-Française.	[vide]	[vide]	1844-05-13
marc_antoine_legrand-amazones_modernes_ou_le_triomphe_des_dames	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 29 octobre 1727.	[vide]	[vide]	1727-10-29
eugene_scribe_jean_henri_dupin-maitre_jean_ou_la_comedie_a_la_cour	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, 14 janvier 1847.	[vide]	[vide]	1847-01-14
marivaux-femme_fidele	[vide]	[vide]	Représentée pour la première fois, sur le théâtre de Berny, les dimanche 24 août et lundi 25 août 1755.	[vide]	[vide]	1755-08-25
barthelemy_imbert-poinsinet_et_moliere	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
claude_boyer-soeur_genereuse	[vide]	[vide]	Représentée pour la première fois, en 1646.	[vide]	[vide]	1646
eugene_scribe_pierre_carmouche_jean_henri_dupin-marie_jobard	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 11 avril 1820.	[vide]	[vide]	1820-04-11
eugene_labiche_alfred_duru-doit_on_le_dire	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 20 décembre 1872.	[vide]	[vide]	1872-12-20
marivaux-meprise	[vide]	[vide]	Représentée pour la première fois, à Paris,  par les comédiens Italiens, sur le Théâtre de l’Hôtel de Bourgogne, le 16 août 1734.	[vide]	[vide]	1734-08-16
eugene_labiche_auguste_lefranc-a_bas_la_famille_ou_les_banquets	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 16 décembre 1848.	[vide]	[vide]	1848-12-16
pierre_claude_nivelle_de_la_chaussee-amour_castillan	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 11 mars 1747.	[vide]	[vide]	1747-03-11
destouches-ingrat	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 28 janvier 1712.	[vide]	[vide]	1712-01-28
eugene_labiche_gustave_albitte_auguste_lefranc-avocat_pedicure	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 24 avril 1847.	[vide]	[vide]	1847-04-24
jacques_francois_ancelot-marie_de_brabant	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre royal de l’Odéon, le 18 novembre 1828.	[vide]	[vide]	1828-11-18
eugene_labiche_alfred_delacour-en_avant_les_chinois	[vide]	[vide]	Représentée pour la première fois à Paris, sur le théâtre du Palais-Royal, le 24 décembre 1858.	[vide]	[vide]	1858-12-24
eugene_scribe-oscar_ou_le_mari_qui_trompe_sa_femme	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 21 avril 1842.	[vide]	[vide]	1842-04-21
le_boulanger_de_chalussay-elomire_hypocondre_ou_les_medecins_venges	[vide]	Imprimée en 1670.</span></p>	[vide]	[vide]	1670	[vide]
alexandre_dumas_fils-fils_naturel	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 16 janvier 1858.	[vide]	[vide]	1858-01-16
jean_racine-mithridate	[vide]	[vide]	Représentée probablement pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 23 décembre 1672.	[vide]	[vide]	1672-12-23
marc_antoine_legrand-metamorphose_amoureuse	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 6 août 1712.	[vide]	[vide]	1712-08-06
eugene_scribe_camille_pillet-mauvais_sujet	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Gymnase, le 16 juillet 1825.	[vide]	[vide]	1825-07-16
ernest_d_hervilly-docteur_sans_pareil	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre national de l’Odéon,  le 15 janvier 1875.</span>	[vide]	[vide]	1875-01-15
claude_boyer-mort_des_enfants_de_brute	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1647.	[vide]	[vide]	1647
thomas_corneille-galant_double	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1659.	[vide]	[vide]	1659
jules_sandeau-mademoiselle_de_la_seigliere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Comédie-Française, le 4 novembre 1851.	[vide]	[vide]	1851-11-04
voltaire-mariamne	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 6 mars 1724 ; revue et corrigée par l’auteur en 1762.	[vide]	[vide]	1724-03-06
alexis_piron-fausse_alarme	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
eugene_scribe_melesville-soprano	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase Dramatique, le 30 novembre 1831.	[vide]	[vide]	1831-11-30
jean_de_rotrou-heureux_naufrage	[vide]	[vide]	Représentée pour la première fois, en 1633.	[vide]	[vide]	1633
henri_meilhac-retour_d_italie	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Gymnase, le 14 août 1859.	[vide]	[vide]	1859-08-14
philippe_quinault-coups_de_l_amour_et_de_la_fortune	[vide]	[vide]	Représentée pour la première fois en 1656.	[vide]	[vide]	1656
pierre_du_ryer-cleomedon	[vide]	[vide]	Représentée pour la première fois, en 1635	[vide]	[vide]	1635
eugene_labiche_edouard_martin-amour_un_fort_volume_prix_3_fr_50_c	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 16 mars 1859.	[vide]	[vide]	1859-03-16
eugene_labiche_raymond_delandes-mari_qui_lance_sa_femme	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 24 avril 1864.	[vide]	[vide]	1864-04-24
tristan_bernard-anglais_tel_qu_on_le_parle	[vide]	[vide]	Représenté pour la première fois, à Paris, Sur le Théâtre de la Comédie-Parisienne, le 28 février 1899.	[vide]	[vide]	1899-02-28
paul_meurice-schamyl	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Porte-Saint-Martin, le 26 juin 1854.	[vide]	[vide]	1854-06-26
david_augustin_de_brueys_jean_de_palaprat-grondeur	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 3 février 1691.	[vide]	[vide]	1691-02-03
claude_boyer-judith	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 4 mars 1695.	[vide]	[vide]	1695-03-04
denis_diderot-pere_de_famille	[vide]	[vide]	Représentée pour la première fois sur le Théâtre de Marseille, en novembre 1760.	[vide]	[vide]	1760-11
eugene_scribe_melesville-seconde_annee_ou_a_qui_la_faute	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 12 janvier 1830.	[vide]	[vide]	1830-01-12
destouches-mari_confident	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
jacques_francois_ancelot_alexis_decomberousse-secret_de_famille	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre national du Vaudeville, le 2 juillet 1834.</span>	[vide]	[vide]	1834-07-02
georges_feydeau-petite_revoltee	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
michel_de_cubieres_palmezeaux-bracelets	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
tristan_bernard_max_maurey-ami_d_argentine	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Athénée, le 5 novembre 1930.	[vide]	[vide]	1930-11-05
louis_de_boissy-rival_favorable	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 30 janvier 1739.	[vide]	[vide]	1739-01-30
emile_augier-effrontes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 10 janvier 1861.	[vide]	[vide]	1861-01-10
eugene_scribe_edouard_mazeres-independants	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 20 novembre 1837.	[vide]	[vide]	1837-11-20
michel_de_cubieres_palmezeaux-homme_d_etat_imaginaire	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
gautier_de_costes_sieur_de_la_calprenede-mort_de_mitridate	[vide]	[vide]	Représentée la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1635.	[vide]	[vide]	1635
tristan_bernard-cordon_bleu	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de ma Potinière, le 30 mars 1920.	[vide]	[vide]	1920-03-30
marc_antoine_legrand-aveugle_clairvoyant	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 18 septembre 1716.	[vide]	[vide]	1716-09-18
gautier_de_costes_sieur_de_la_calprenede-hermenegilde	[vide]	[vide]	Représentée pour la première fois, en 1641.	[vide]	[vide]	1641
eugene_scribe_melesville-memoires_d_un_colonel_des_hussards	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 21 février 1826.	[vide]	[vide]	1826-02-21
jean_de_rotrou-antigone	[vide]	[vide]	Représentée pour la première fois, en 1637.	[vide]	[vide]	1637
philippe_quinault-mort_de_cyrus	[vide]	[vide]	Représentée pour la première fois en 1656.	[vide]	[vide]	1656
jacques_francois_ancelot_hippolyte_auger-seduction	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 6 août 1832.	[vide]	[vide]	1832-08-06
eugene_scribe_germain_delavigne-vieux_garcon_et_la_petite_fille	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 24 mai 1822.	[vide]	[vide]	1822-05-24
georges_feydeau-coup_de_tete	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
jean_de_palaprat-ballet_extravagant	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Français, le 25 juin 1690.	[vide]	[vide]	1690-06-25
georges_feydeau-mais_n_te_promene_donc_pas_toute_nue	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Fémina, le 25 novembre 1911.	[vide]	[vide]	1911-11-25
thomas_sauvage_gabriel_de_lurieu-marmitons_et_grands_seigneurs	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 25 février 1835. </span>	[vide]	[vide]	1835-02-25
jean_giraudoux-guerre_de_troie_n_aura_pas_lieu	[vide]	[vide]	Représentée pour la première fois, à Pâris, sur le Théâtre de l’Athénée, le 21 novembre 1935	[vide]	[vide]	1935-11-21
eugene_labiche_marc_michel-chevalier_des_dames	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 16 décembre 1852.	[vide]	[vide]	1852-12-16
moliere-pastorale_comique	[vide]	[vide]	Représentée pour la première fois à Saint-Germain-en-Laye pour le Roi, au Ballet des Muses, le 5 janvier 1667, par la Troupe du Roi.	[vide]	[vide]	1667-01-05
michel_nicolas_balisson_de_rougemont_charles_dupeuty-madelon_friquet	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre des Variétés, le 1<sup>er</sup> octobre 1835.	[vide]	[vide]	1835-10-01
michel_de_cubieres_palmezeaux-deux_centenaires_de_corneille	[vide]	[vide]	fut jouée en 1629 ; la Mort de Mustapha en 1630, et le Cid, comme chacun fait, ne parût qu’en 1636. S’il est donc vrai que la première Pièce régulière mérite à son Auteur le titre de Créateur du Théâtre Français ; c’est à Mairet que ce titre appartient, et c’est sans fondement qu’on le donne au Grand-Corneille.	[vide]	[vide]	1629
thomas_sauvage_gabriel_de_lurieu_michel_nicolas_balisson_de_rougemont-athenes_a_paris_ou_le_nouvel_anacharsis	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 1<sup>er</sup> décembre 1821.	[vide]	[vide]	1821-12-01
david_augustin_de_brueys_jean_de_palaprat-muet	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 22 juin 1691.	[vide]	[vide]	1691-06-22
marivaux-triomphe_de_plutus	[vide]	[vide]	Représentée pour la première fois, à Paris, par les comédiens italiens, sur le théâtre de l’Hôtel de Bourgogne, le 22 avril 1728.	[vide]	[vide]	1728-04-22
pierre_du_ryer-alcimedon	[vide]	[vide]	Représentée pour la première fois, en 1632.	[vide]	[vide]	1632
marc_antoine_legrand-impromptu_de_la_folie	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 5 novembre 1725.	[vide]	[vide]	1725-11-05
victor_hugo-marie_tudor	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le théâtre de la Porte-Saint-Martin, le 6 novembre 1833.	[vide]	[vide]	1833-11-06
eugene_labiche_marc_michel-chapeau_de_paille_d_italie	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Montansier, le 14 août 1851.	[vide]	[vide]	1851-08-14
jacques_francois_ancelot_etienne_arago-madame_du_barry	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 28 février 1831.</span>	[vide]	[vide]	1831-02-28
philippe_quinault-stratonice	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 2 janvier 1660.	[vide]	[vide]	1660-01-02
jean_francois_bayard-gants_jaunes	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre National du vaudeville, le 6 mars 1835.	[vide]	[vide]	1835-03-06
eugene_labiche_marc_michel-gendre_en_surveillance	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 11 décembre 1857.	[vide]	[vide]	1857-12-11
beaumarchais-barbier_de_seville_ou_la_precaution_inutile	[vide]	[vide]	Représentée et tombée sur le Théâtre de la Comédie Française, aux Tuileries, le 23 de février 1776.	[vide]	[vide]	1776-02-23
henri_meilhac_ludovic_halevy-meprises_de_lambinet	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 3 décembre 1865. </span>	[vide]	[vide]	1865-12-03
dancourt-prix_de_l_arquebuse	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 1<sup>er</sup> octobre 1717.	[vide]	[vide]	1717-10-01
pierre_corneille-don_sanche_d_aragon	[vide]	[vide]	Représentée pour la première fois, à Parsi, sur le Théâtre de la rue des Fossés Saint-Germain, le 19 septembre 1723.	[vide]	[vide]	1723-09-19
prosper_jolyot_de_crebillon-xerxes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 7 février 1714.	[vide]	[vide]	1714-02-07
eugene_labiche_augsute_lefranc-chasse_aux_jobards	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre des Folies-Dramatiques, le 18 mai 1847.	[vide]	[vide]	1847-05-18
philippe_quinault-amant_indiscret_ou_le_maitre_etourdi	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1654.	[vide]	[vide]	1654
louis_biancolelli_charles_ignace_brugiere_de_barante-arlequin_misanthrope	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 22 décembre 1696.	[vide]	[vide]	1696-12-22
pierre_corneille-galerie_du_palais_ou_l_amie_rivale	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Jeu de Paume de la Fontaine par le Troupe de Mondory en 1633.	[vide]	[vide]	1633
alexandre_dumas_pere-kean_ou_desordre_et_genie	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le théâtre des Variétés, le 31 août 1836.	[vide]	[vide]	1836-08-31
etienne_arago_charles_dupeuty-vie_de_moliere	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 17 janvier 1832.</span>	[vide]	[vide]	1832-01-17
virginie_ancelot-madame_roland	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le théâtre du Vaudeville, le 28 octobre 1843.	[vide]	[vide]	1843-10-28
eugene_labiche_alphonse_jolly-grammaire	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 28 juillet 1867.	[vide]	[vide]	1867-07-28
christophe_barthelemy_fagan_de_lugny_charles_francois_panard-heureux_retour	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 6 novembre 1744.	[vide]	[vide]	1744-11-06
charles_desnoyers_jean_baptiste_pierre_lafitte-voltaire_et_madame_de_pompadour	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre Français, le 12 novembre 1832.	[vide]	[vide]	1832-11-12
jean_magnon-mariage_d_oroondate_et_de_statira_ou_la_conclusion_de_cassandre	[vide]	[vide]	Représentée pour la première fois en 1646.	[vide]	[vide]	1646
eugene_scribe-protegee_sans_le_savoir	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 5 décembre 1846.	[vide]	[vide]	1846-12-05
henri_meilhac_ludovic_halevy-brebis_de_panurge	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre du Vaudeville, le 24 novembre 1862. </span>	[vide]	[vide]	1862-11-24
philippe_quinault-mere_coquette_ou_les_amants_brouilles	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 15 octobre 1665.	[vide]	[vide]	1665-10-15
eugene_scribe_germain_delavigne-mariage_enfantin	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 16 août 1821.	[vide]	[vide]	1821-08-16
eugene_scribe_pierre_carmouche_melesville-lune_de_miel	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de S. A. R. Madame, le 31 mars 1826.	[vide]	[vide]	1826-03-31
denis_diderot-terentia	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
philippe_quinault-rivales	[vide]	[vide]	Représentée pour la première fois, à Paris, à l’Hôtel de Bourgogne, en 1653.	[vide]	[vide]	1653
jean_de_la_fontaine_champmesle-je_vous_prends_sans_vert	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 1<sup>er</sup> mai 1693.	[vide]	[vide]	1693-05-01
philippe_quinault-agrippa_roi_d_albe_ou_le_faux_tuberinus	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en 1662.	[vide]	[vide]	1662
thomas_sauvage_edouard_mazeres-eligible	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de Madame, le 4 janvier 1825.	[vide]	[vide]	1825-01-04
eugene_labiche_auguste_lefranc-trompe_la_balle	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Montansier, le 8 avril 1849.	[vide]	[vide]	1849-04-08
eugene_labiche_marc_michel-suites_d_un_premier_lit	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 8 mai 1852.	[vide]	[vide]	1852-05-08
henri_meilhac-autographe	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 27 novembre 1838.	[vide]	[vide]	1838-11-27
eugene_scribe_ _charles_gaspard_delestre_poirson_charles_desnoyers-vengeance_italienne_ou_le_francais_a_florence	[vide]	[vide]	Représentée pour la premières fois, à Paris, sur le Théâtre du Gymnase Dramatique, le 23 janvier 1832.	[vide]	[vide]	1832-01-23
eugene_scribe_melesville_charles_gaspard_delestre_poirson-dehors_trompeurs_ou_boissy_chez_lui	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 6 avril 1818.	[vide]	[vide]	1818-04-06
jean_de_la_fontaine-astree	[vide]	[vide]	Représentée pour la première fois par l’Académie Royale de musique au Théâtre du Palais-Royal, le 25 novembre 1691.	[vide]	[vide]	1691-11-25
george_sand-nuit_de_noel	[vide]	[vide]	Représentée pour la première fois sur le Théâtre de Nohant, le 31 août 1862.	[vide]	[vide]	1862-08-31
jean_de_la_fontaine_  champmesle-coupe_enchantee	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel Guénégaud, le 16 juillet 1688.	[vide]	[vide]	1688-07-16
dancourt-mari_retrouve	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 29 octobre 1698.	[vide]	[vide]	1698-10-29
virginie_ancelot-georges_ou_le_meme_homme	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le théâtre de Gymnase-Dramatique, le 7 mai 1840.	[vide]	[vide]	1840-05-07
eugene_scribe_francis_cornu_nicolas_brazier-partie_et_revanche	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 16 juin 1823.	[vide]	[vide]	1823-06-16
eugene_labiche_charles_varin-traversin_et_couverture	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la Montansier, le 26 avril 1850.	[vide]	[vide]	1850-04-26
louis_de_boissy-amours_anonymes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, le 5 décembre 1735.	[vide]	[vide]	1735-12-05
eugene_scribe_jean_francois_bayard-gardien	[vide]	[vide]	Représentée pour la première fois, à paris, sur le Théâtre du Gymnase-Dramatique, le 11 mars 1833.	[vide]	[vide]	1833-03-11
henri_meilhac_arthur_delavigne-curieuses	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 17 octobre 1864. </span>	[vide]	[vide]	1864-10-17
eugene_labiche-bergere_de_la_rue_monthabor	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 1<sup>er</sup> décembre 1865.	[vide]	[vide]	1865-12-01
eugene_scribe_esnest_legouve-adrienne_lecouvreur	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre-Français, le 14 avril 1849.	[vide]	[vide]	1849-04-14
alexandre_dumas_pere-mariage_sous_louis_xv	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre-Français, le 1<sup>er</sup> juin 1841.	[vide]	[vide]	1841-06-01
claude_boyer-lisimene_ou_le_jeune_bergere	[vide]	[vide]	Représentée pour la première fois, à Paris, au Théâtre de la rue des Fossés Saint-Germain, le 4 mars 1695.	[vide]	[vide]	1695-03-04
henri_meilhac-ce_qui_plait_aux_hommes	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 6 octobre 1860.	[vide]	[vide]	1860-10-06
george_sand-francois_le_champi	[vide]	[vide]	Représentée, pour la première fois, à Paris, sur le Théâtre de l’Odéon, le 25 novembre 1849.	[vide]	[vide]	1849-11-25
pierre_claude_nivelle_de_la_chaussee-prejuge_a_la_mode	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Français, le 3 février 1735.	[vide]	[vide]	1735-02-03
eugene_scribe_melesville_vandiere-amant_bossu	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase, le 22 octobre 1821.	[vide]	[vide]	1821-10-22
voltaire-echange	[vide]	[vide]	Représentée pour la première fois au Château de Cirey en 1736.	[vide]	[vide]	1736
george_sand-maitre_favilla	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de l’Odéon, le 13 septembre 1855.	[vide]	[vide]	1855-09-13
eugene_labiche_edouard_martin-poudre_aux_yeux	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Gymnase-Dramatique, le 19 octobre 1861.	[vide]	[vide]	1861-10-19
thomas_corneille-persee_et_demetrius	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de l’Hôtel de Bourgogne, en décembre 1662.	[vide]	[vide]	1662-12
eugene_labiche-lettre_chargee	[vide]	[vide]	[vide]	[vide]	[vide]	[vide]
georges_feydeau-on_purge_bebe	[vide]	[vide]	Représentée pour la première fois, à Paris, sur la scène du Théâtre des Nouveautés, le 12 Avril 1910.	[vide]	[vide]	1910-04-12
eugene_scribe_jean_henri_dupin-comte_de_saint_ronan_ou_l_ecole_et_le_chateau	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Palais-Royal, le 21 juin 1831.	[vide]	[vide]	1831-06-21
eugene_scribe_melesville_xavier_boniface_saintine-temoin	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 21 septembre 1820.	[vide]	[vide]	1820-09-21
georges_feydeau_maurice_desvallieres-mariage_de_barillon	[vide]	[vide]	Représenté pour la première fois, à Paris, sur la scène du Théâtre de la Renaissance, le 10 mars 1890.	[vide]	[vide]	1890-03-10
marc_antoine_legrand-plutus	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de la rue des Fossés Saint-Germain, le 1<sup>er</sup> février 1720.	[vide]	[vide]	1720-02-01
victorien_sardou-daniel_rochat	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre Français, le 16 février 1880.	[vide]	[vide]	1880-02-16
edme_boursault-cadenats_ou_le_jaloux_endormi	[vide]	[vide]	Représentée pour la première fois en 1662.	[vide]	[vide]	1662
adolphe_d_ennery-tremblement_de_terre_de_la_martinique	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre de la Gaîté, le 23 janvier 1840.	[vide]	[vide]	1840-01-23
eugene_scribe_michel_nicolas_balisson_de_rougemont_marie_alexis_justin_gensoul-baiser_au_porteur	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre de Madame, par les comédiens ordinaires de S. A. R., le 9 juin 1824.	[vide]	[vide]	1824-06-09
thomas_sauvage_jean_henri_dupin-mademoiselle_hamilton	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre du Vaudeville, le 5 juillet 1817.	[vide]	[vide]	1817-07-05
marivaux-epreuve	[vide]	[vide]	Représentée pour la première fois, à Paris, par les Comédiens Italiens, sur le Théâtre de l’Hôtel de Bourgogne, le 19 novembre 1740.	[vide]	[vide]	1740-11-19
eugene_scribe_charles_gaspard_delestre_poirson-nuit_de_la_garde_nationale	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le Théâtre du Vaudeville, le samedi 4 novembre 1815.	[vide]	[vide]	1815-11-04
alfred_capus-institut_de_beaute	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le théâtre des Variétés, le 21 novembre 1913.	[vide]	[vide]	1913-11-21
eugene_labiche_eugene_nyon-rue_de_l_homme_arme_numero_8_bis	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 24 septembre 1849.	[vide]	[vide]	1849-09-24
henri_meilhac_ludovic_halevy-moulins_a_vent	[vide]	[vide]	Représentée pour la première fois, à Paris, sur le Théâtre des Variétés, le 22 février 1862.</span>	[vide]	[vide]	1862-02-22
tristan_bernard-aimable_lingere_ou_chaque_age_a_ses_plaisirs	[vide]	[vide]	Représenté pour la première fois, à Paris, sur le théâtre des Mathurins, le 26 janvier 1899.	[vide]	[vide]	1899-01-26
