id,id_similar,author,play_name,author_similar,play_name_similar
fre000374,fre001003,Thomas Corneille,Le Festin de Pierre,Molière,Don Juan ou Le Festin de Pierre
fre000059,fre000060,Abbé D' Aubignac,La Pucelle d'Orléans,Abbé D' Aubignac,La Pucelle d'Orléans
fre000753,fre001875,Claude Guymond De La Touche,Iphigénie en Tauride,Charles Simon Favart,La Petite Iphigénie
fre000356,fre000357,Pierre Corneille,La Veuve,Pierre Corneille,La Veuve ou Le Traître Trahi
fre000420,fre000421,Michel De Cubières Palmézeaux,La Mort de Molière,Michel De Cubières Palmézeaux,La Mort de Molière
fre000436,fre000437,Dancourt,La Déroute du Pharaon,Dancourt,La Désolation des Joueuses
fre001012,fre001319,Molière,L'Impromptu de Versailles,George Sand,Le Roi Attend
fre000335,fre000381,Pierre Corneille,Médée,Thomas Corneille,Médée
fre001162,fre001179,Philippe Quinault,Alceste ou Le Triomphe d'Alcide,Philippe Quinault,Proserpine
fre001400,fre001906,Théophile De Viau,Pyrame et Thisbé,Jean Puget De La Serre,Le Pyrame
fre001199,fre001240,Jean Racine,La Thébaïde,Jean De Rotrou,Antigone
fre000334,fre000381,Pierre Corneille,Médée (1682),Thomas Corneille,Médée
fre001047,fre001701,Antoine De Montchrestien,Hector,Jean Giraudoux,La Guerre de Troie n'aura pas Lieu
fre000122,fre000127,Pierre François Biancolelli,L'Ecole Galante,Pierre François Biancolelli,Arlequin Gentilhomme par Hasard
fre000378,fre000457,Thomas Corneille,L'Inconnu,Dancourt,"Nouveau Prologue, et Nouveaux Divertissements"
fre000913,fre000914,André Mareschal,La Généreuse Allemande,André Mareschal,La Généreuse Allemande
fre000127,fre001203,Pierre François Biancolelli,Arlequin Gentilhomme par Hasard,Jean François Regnard,"Arlequin, Homme à Bonnes Fortunes."
fre000127,fre001207,Pierre François Biancolelli,Arlequin Gentilhomme par Hasard,Jean François Regnard,"La Coquette, ou L'Académie des Dames."
fre000537,fre001214,Charles Rivière Dufresny,Le Chevalier Joueur,Jean François Regnard,Le Joueur
fre000122,fre001032,Pierre François Biancolelli,L'Ecole Galante,Mongin,Les Promenades de Paris
fre001183,fre001258,Philippe Quinault,Thésée,Jean Baptiste Rousseau,"Jason, ou La Toison d'or"
fre000122,fre000540,Pierre François Biancolelli,L'Ecole Galante,Charles Rivière Dufresny,Le Départ des Comédiens
fre000504,fre000526,Jean Donneau De Visé,Les Amours du Soleil,Dorneval,Le Jugement de Pâris
fre000819,fre000845,Jean De La Fontaine,Daphné,Antoine Houdar De La Motte,Le Carnaval et la Folie
fre000187,fre000819,Claude Boyer,Les Amours de Jupiter et de Sémélé,Jean De La Fontaine,Daphné
fre001178,fre001179,Philippe Quinault,Persée,Philippe Quinault,Proserpine
fre001176,fre001179,Philippe Quinault,Isis,Philippe Quinault,Proserpine
fre001179,fre001439,Philippe Quinault,Proserpine,Voltaire,Pandore
fre000680,fre000804,Robert Garnier,Bradamante,Gautier De Costes De La Calprenede,La Bradamante
fre001203,fre001207,Jean François Regnard,"Arlequin, Homme à Bonnes Fortunes.",Jean François Regnard,"La Coquette, ou L'Académie des Dames."
fre000301,fre001778,Chevalier,Les Amours de Calotin,Jean De Palaprat,Le Muet
fre000207,fre000296,Charles Louis Cadet De Gassicourt,Le Souper de Molière,Chazet,Molière chez Ninon ou La Lecture de Tartuffe
fre000533,fre000540,Jean François Regnard,"Les Chinois, Comédie en Quatre Actes",Charles Rivière Dufresny,Le Départ des Comédiens
fre000398,fre001441,Prosper Jolyot De Crébillon,Catilina,Voltaire,Rome Sauvée
fre001200,fre001240,Jean Racine,La Thébaïde,Jean De Rotrou,Antigone
fre000287,fre001258,Michel Paul Guy De Chabanon,La Toison D'Or.,Jean Baptiste Rousseau,"Jason, ou La Toison d'or"
fre000381,fre001183,Thomas Corneille,Médée,Philippe Quinault,Thésée
fre000322,fre001176,Pierre Corneille,Andromède,Philippe Quinault,Isis
fre000819,fre001178,Jean De La Fontaine,Daphné,Philippe Quinault,Persée
fre000213,fre000322,Jean Galbert De Campistron,Achille et Polixène,Pierre Corneille,Andromède
fre000017,fre000039,[Anonyme],Adam,[Anonyme],Les Vierges Sages et les Vierges Folles
fre000858,fre001251,Michel Leclerc,Iphigénie,Jean De Rotrou,Iphigénie
fre000437,fre000445,Dancourt,La Désolation des Joueuses,Dancourt,La Femme D'Intrigues.
fre000075,fre000540,Claude Ignace Brugière De Barante,Arlequin Misanthrope,Charles Rivière Dufresny,Le Départ des Comédiens
fre000127,fre000540,Pierre François Biancolelli,Arlequin Gentilhomme par Hasard,Charles Rivière Dufresny,Le Départ des Comédiens
fre001162,fre001176,Philippe Quinault,Alceste ou Le Triomphe d'Alcide,Philippe Quinault,Isis
fre001336,fre001337,Jean De Schelandre,Tyr et Sydon,Jean De Schelandre,Tyr et Sydon
fre000366,fre001168,Thomas Corneille,Circé,Philippe Quinault,Cadmus et Hermione
fre000322,fre001178,Pierre Corneille,Andromède,Philippe Quinault,Persée
fre000819,fre001179,Jean De La Fontaine,Daphné,Philippe Quinault,Proserpine
fre000045,fre000049,Louis François Archambault,Ca n'en Est pas ou Tout ce qui Reluit n'est pas or,Louis François Archambault,Janot
fre001203,fre001211,Jean François Regnard,"Arlequin, Homme à Bonnes Fortunes.",Jean François Regnard,"Les Filles Errantes, ou Les Intrigues des Hôtelleries."
fre001207,fre001210,Jean François Regnard,"La Coquette, ou L'Académie des Dames.",Jean François Regnard,"Le Divorce, Comédie."
fre000438,fre000445,Dancourt,Le Diable Boiteux,Dancourt,La Femme D'Intrigues.
fre000540,fre001207,Charles Rivière Dufresny,Le Départ des Comédiens,Jean François Regnard,"La Coquette, ou L'Académie des Dames."
fre001116,fre001462,Augustin De Piis,Cassandre Astrologue,Louis Anseaume,Le Tableau Parlant
fre000127,fre000533,Pierre François Biancolelli,Arlequin Gentilhomme par Hasard,Jean François Regnard,"Les Chinois, Comédie en Quatre Actes"
fre001166,fre001176,Philippe Quinault,Atys,Philippe Quinault,Isis
fre001168,fre001176,Philippe Quinault,Cadmus et Hermione,Philippe Quinault,Isis
fre000540,fre001032,Charles Rivière Dufresny,Le Départ des Comédiens,Mongin,Les Promenades de Paris
fre000462,fre000536,Dancourt,La Métempsycose,Charles Rivière Dufresny,Les Adieux des Officiers
fre000213,fre001176,Jean Galbert De Campistron,Achille et Polixène,Philippe Quinault,Isis
fre000187,fre000536,Claude Boyer,Les Amours de Jupiter et de Sémélé,Charles Rivière Dufresny,Les Adieux des Officiers
fre000127,fre000128,Pierre François Biancolelli,Arlequin Gentilhomme par Hasard,Pierre François Biancolelli,La Foire Galante le Mariage d'Arlequin
fre001023,fre001183,Molière,Psyché,Philippe Quinault,Thésée
fre001176,fre001439,Philippe Quinault,Isis,Voltaire,Pandore
fre000075,fre000128,Claude Ignace Brugière De Barante,Arlequin Misanthrope,Pierre François Biancolelli,La Foire Galante le Mariage d'Arlequin
fre000839,fre001624,Jean François De La Harpe,Les Muses Rivales,Louis De Cahusac,L'Algérien
fre000536,fre001023,Charles Rivière Dufresny,Les Adieux des Officiers,Molière,Psyché
fre000526,fre001168,Dorneval,Le Jugement de Pâris,Philippe Quinault,Cadmus et Hermione
fre000819,fre001023,Jean De La Fontaine,Daphné,Molière,Psyché
fre000819,fre001162,Jean De La Fontaine,Daphné,Philippe Quinault,Alceste ou Le Triomphe d'Alcide
fre000536,fre000845,Charles Rivière Dufresny,Les Adieux des Officiers,Antoine Houdar De La Motte,Le Carnaval et la Folie
fre001207,fre001211,Jean François Regnard,"La Coquette, ou L'Académie des Dames.",Jean François Regnard,"Les Filles Errantes, ou Les Intrigues des Hôtelleries."
fre000016,fre000207,François Andrieux,Molière et ses Amis ou La Soirée d'Auteuil,Charles Louis Cadet De Gassicourt,Le Souper de Molière
fre001061,fre001935,Alfred De Musset,Lorenzaccio,Edmond Rostand,Cyrano de Bergerac
fre000213,fre000819,Jean Galbert De Campistron,Achille et Polixène,Jean De La Fontaine,Daphné
fre000818,fre000839,Jean De La Fontaine,Climène,Jean François De La Harpe,Les Muses Rivales
fre000462,fre000819,Dancourt,La Métempsycose,Jean De La Fontaine,Daphné
fre000656,fre000819,Louis Fuzelier,L'Enfer Galant,Jean De La Fontaine,Daphné
fre000075,fre000127,Claude Ignace Brugière De Barante,Arlequin Misanthrope,Pierre François Biancolelli,Arlequin Gentilhomme par Hasard
fre001001,fre001020,Molière,Le Divertissement de Chambord,Molière,Monsieur de Pourceaugnac
fre000536,fre000819,Charles Rivière Dufresny,Les Adieux des Officiers,Jean De La Fontaine,Daphné
fre000533,fre001207,Jean François Regnard,"Les Chinois, Comédie en Quatre Actes",Jean François Regnard,"La Coquette, ou L'Académie des Dames."
fre000434,fre001210,Dancourt,La Comédie des Comédiens,Jean François Regnard,"Le Divorce, Comédie."
fre000075,fre001032,Claude Ignace Brugière De Barante,Arlequin Misanthrope,Mongin,Les Promenades de Paris
fre001032,fre001207,Mongin,Les Promenades de Paris,Jean François Regnard,"La Coquette, ou L'Académie des Dames."
fre000301,fre000302,Chevalier,Les Amours de Calotin,Chevalier,Les Barbons Amoureux et Rivaux de leurs Fils.
fre000127,fre001032,Pierre François Biancolelli,Arlequin Gentilhomme par Hasard,Mongin,Les Promenades de Paris
fre000075,fre000122,Claude Ignace Brugière De Barante,Arlequin Misanthrope,Pierre François Biancolelli,L'Ecole Galante
fre001168,fre001178,Philippe Quinault,Cadmus et Hermione,Philippe Quinault,Persée
fre001176,fre001183,Philippe Quinault,Isis,Philippe Quinault,Thésée
fre001176,fre001624,Philippe Quinault,Isis,Louis De Cahusac,L'Algérien
fre000993,fre001183,Molière,Les Amants Magnifiques,Philippe Quinault,Thésée
fre000819,fre001183,Jean De La Fontaine,Daphné,Philippe Quinault,Thésée
fre000819,fre000993,Jean De La Fontaine,Daphné,Molière,Les Amants Magnifiques
fre000819,fre001166,Jean De La Fontaine,Daphné,Philippe Quinault,Atys
fre000819,fre001439,Jean De La Fontaine,Daphné,Voltaire,Pandore
fre000818,fre001624,Jean De La Fontaine,Climène,Louis De Cahusac,L'Algérien
fre000993,fre001162,Molière,Les Amants Magnifiques,Philippe Quinault,Alceste ou Le Triomphe d'Alcide
fre000819,fre001176,Jean De La Fontaine,Daphné,Philippe Quinault,Isis
fre000997,fre001173,Molière,Le Bourgeois Gentilhomme,Philippe Quinault,Les Fêtes de l'Amour et de Bacchus
