Nom,Acte 1,Acte 2,Acte 3,Acte 4,Acte 5,Piece,Personnages
Pan et Doris Pastorale,"[{'#pan'}, {'#pan', '#doris'}, {'#pan', '#arcas'}, {'#palemon', '#arcas'}, {'#palemon', '#doris'}, {'#pan', '#doris'}, {'#une-driade', '#une-bergere', '#pan', '#le-choeur', '#un-satyre', '#palemon', '#doris', '#deux-bergeres'}]",[],[],[],[],"[{'#pan'}, {'#pan', '#doris'}, {'#pan', '#arcas'}, {'#palemon', '#arcas'}, {'#palemon', '#doris'}, {'#pan', '#doris'}, {'#une-driade', '#une-bergere', '#pan', '#le-choeur', '#un-satyre', '#palemon', '#doris', '#deux-bergeres'}]","{'#une-driade', '#arcas', '#une-bergere', '#pan', '#le-choeur', '#un-satyre', '#palemon', '#doris', '#deux-bergeres'}"
,,,,,,,
Polixène,"[{'#pyrrhus'}, {'#phenix', '#pyrrhus'}, {'#pyrrhus', '#ulysse'}, {'#ulysse'}]","[{'#polixene', '#hecube'}, {'#polixene', '#hecube', '#pyrrhus'}, {'#polixene', '#hecube'}]","[{'#hecube'}, {'#idas', '#ulysse'}, {'#hecube', '#ulysse'}, {'#polixene', '#hecube', '#ulysse'}, {'#hecube'}]","[{'#phenix', '#pyrrhus'}, {'#pyrrhus', '#ulysse'}, {'#phenix', '#pyrrhus'}, {'#polixene', '#calchas', '#phenix', '#pyrrhus'}, {'#calchas', '#ulysse'}, {'#calchas'}]","[{'#hecube'}, {'#polixene', '#hecube', '#pyrrhus'}, {'#pyrrhus', '#ulysse'}, {'#polixene', '#phenix', '#pyrrhus'}, {'#ulysse'}, {'#polixene', '#calchas', '#hecube'}]","[{'#pyrrhus'}, {'#phenix', '#pyrrhus'}, {'#pyrrhus', '#ulysse'}, {'#ulysse'}, {'#polixene', '#hecube'}, {'#polixene', '#hecube', '#pyrrhus'}, {'#polixene', '#hecube'}, {'#hecube'}, {'#idas', '#ulysse'}, {'#hecube', '#ulysse'}, {'#polixene', '#hecube', '#ulysse'}, {'#hecube'}, {'#phenix', '#pyrrhus'}, {'#pyrrhus', '#ulysse'}, {'#phenix', '#pyrrhus'}, {'#polixene', '#calchas', '#phenix', '#pyrrhus'}, {'#calchas', '#ulysse'}, {'#calchas'}, {'#hecube'}, {'#polixene', '#hecube', '#pyrrhus'}, {'#pyrrhus', '#ulysse'}, {'#polixene', '#phenix', '#pyrrhus'}, {'#ulysse'}, {'#polixene', '#calchas', '#hecube'}]","{'#pyrrhus', '#phenix', '#hecube', '#ulysse', '#polixene', '#calchas', '#idas'}"
,,,,,,,
Les Trois Spectacles Prologue,"[{'#julie', '#le-vicomte', '#le-chevalier', '#le-commandeur', '#la-marquise'}, {'#hortense', '#julie', '#celimene', '#le-vicomte', '#le-chevalier', '#le-commandeur', '#la-marquise'}]",[],[],[],[],"[{'#julie', '#le-vicomte', '#le-chevalier', '#le-commandeur', '#la-marquise'}, {'#hortense', '#julie', '#celimene', '#le-vicomte', '#le-chevalier', '#le-commandeur', '#la-marquise'}]","{'#hortense', '#julie', '#celimene', '#le-vicomte', '#le-chevalier', '#le-commandeur', '#la-marquise'}"
,,,,,,,
L'Epreuve Réciproque,"[{'#valere', '#frontin'}, {'#madame-de-falignac', '#frontin', '#valere'}, {'#madame-de-falignac'}, {'#madame-de-falignac', '#philaminte'}, {'#madame-de-falignac', '#lisette', '#philaminte'}, {'#criquet', '#madame-de-falignac', '#lisette', '#philaminte'}, {'#lisette'}, {'#lisette', '#valere'}, {'#madame-de-falignac', '#philaminte'}, {'#criquet', '#madame-de-falignac', '#philaminte'}, {'#philaminte', '#valere', '#madame-de-falignac', '#frontin'}, {'#frontin'}, {'#valere', '#madame-de-falignac', '#frontin'}, {'#frontin'}, {'#lisette', '#frontin'}, {'#frontin', '#lisette', '#philaminte'}, {'#philaminte', '#frontin', '#lisette', '#valere'}, {'#lisette', '#frontin', '#valere', '#madame-de-falignac', '#philaminte'}]",[],[],[],[],"[{'#valere', '#frontin'}, {'#madame-de-falignac', '#frontin', '#valere'}, {'#madame-de-falignac'}, {'#madame-de-falignac', '#philaminte'}, {'#madame-de-falignac', '#lisette', '#philaminte'}, {'#criquet', '#madame-de-falignac', '#lisette', '#philaminte'}, {'#lisette'}, {'#lisette', '#valere'}, {'#madame-de-falignac', '#philaminte'}, {'#criquet', '#madame-de-falignac', '#philaminte'}, {'#philaminte', '#valere', '#madame-de-falignac', '#frontin'}, {'#frontin'}, {'#valere', '#madame-de-falignac', '#frontin'}, {'#frontin'}, {'#lisette', '#frontin'}, {'#frontin', '#lisette', '#philaminte'}, {'#philaminte', '#frontin', '#lisette', '#valere'}, {'#lisette', '#frontin', '#valere', '#madame-de-falignac', '#philaminte'}]","{'#lisette', '#criquet', '#frontin', '#valere', '#madame-de-falignac', '#philaminte'}"
,,,,,,,
L'Ecole des Bourgeois,"[{'#madame-abraham', '#benjamine'}, {'#madame-abraham', '#marthon', '#benjamine'}, {'#madame-abraham', '#benjamine', '#monsieur-mathieu'}, {'#madame-abraham', '#benjamine'}, {'#madame-abraham', '#marthon', '#benjamine'}, {'#marthon'}, {'#damis', '#marthon'}, {'#damis', '#marthon', '#le-marquis'}, {'#marthon', '#le-marquis'}, {'#madame-abraham', '#le-marquis'}, {'#madame-abraham', '#le-marquis'}, {'#madame-abraham', '#le-laquais'}, {'#madame-abraham', '#le-marquis'}, {'#le-marquis'}, {'#benjamine', '#le-marquis'}]","[{'#marthon', '#monsieur-pot-de-vin'}, {'#madame-abraham', '#le-marquis', '#monsieur-pot-de-vin'}, {'#le-commandeur', '#le-marquis'}, {'#le-commandeur', '#le-marquis'}, {'#le-commandeur', '#benjamine', '#le-marquis'}, {'#madame-abraham', '#le-marquis', '#benjamine'}, {'#madame-abraham', '#benjamine'}, {'#madame-abraham', '#marthon'}, {'#marthon', '#benjamine'}, {'#damis', '#marthon'}, {'#damis'}, {'#damis', '#monsieur-mathieu'}, {'#monsieur-mathieu'}, {'#monsieur-mathieu', '#le-marquis'}, {'#monsieur-mathieu'}]","[{'#madame-abraham', '#benjamine', '#monsieur-mathieu'}, {'#madame-abraham', '#marthon'}, {'#le-coureur', '#monsieur-mathieu', '#madame-abraham', '#marthon', '#benjamine'}, {'#madame-abraham', '#marthon', '#monsieur-mathieu', '#benjamine'}, {'#le-coureur', '#marthon'}, {'#madame-abraham', '#marthon', '#benjamine', '#monsieur-mathieu'}, {'#madame-abraham', '#monsieur-mathieu'}, {'#benjamine', '#monsieur-mathieu'}, {'#benjamine'}, {'#damis', '#benjamine'}, {'#damis', '#benjamine', '#monsieur-mathieu'}, {'#marthon', '#benjamine', '#monsieur-mathieu'}, {'#marthon'}, {'#le-commandeur', '#le-comte', '#marthon', '#le-marquis'}, {'#le-commandeur', '#le-comte', '#le-marquis'}, {'#le-commissaire', '#le-commandeur', '#le-comte', '#marthon', '#le-marquis'}, {'#monsieur-mathieu', '#madame-abraham', '#damis', '#le-commandeur', '#le-comte', '#marthon', '#benjamine', '#le-marquis'}, {'#monsieur-mathieu', '#damis', '#madame-abraham', '#le-commandeur', '#le-comte', '#marthon', '#le-notaire', '#le-marquis'}, {'#marthon', '#monsieur-mathieu'}]",[],[],"[{'#madame-abraham', '#benjamine'}, {'#madame-abraham', '#marthon', '#benjamine'}, {'#madame-abraham', '#benjamine', '#monsieur-mathieu'}, {'#madame-abraham', '#benjamine'}, {'#madame-abraham', '#marthon', '#benjamine'}, {'#marthon'}, {'#damis', '#marthon'}, {'#damis', '#marthon', '#le-marquis'}, {'#marthon', '#le-marquis'}, {'#madame-abraham', '#le-marquis'}, {'#madame-abraham', '#le-marquis'}, {'#madame-abraham', '#le-laquais'}, {'#madame-abraham', '#le-marquis'}, {'#le-marquis'}, {'#benjamine', '#le-marquis'}, {'#marthon', '#monsieur-pot-de-vin'}, {'#madame-abraham', '#le-marquis', '#monsieur-pot-de-vin'}, {'#le-commandeur', '#le-marquis'}, {'#le-commandeur', '#le-marquis'}, {'#le-commandeur', '#benjamine', '#le-marquis'}, {'#madame-abraham', '#le-marquis', '#benjamine'}, {'#madame-abraham', '#benjamine'}, {'#madame-abraham', '#marthon'}, {'#marthon', '#benjamine'}, {'#damis', '#marthon'}, {'#damis'}, {'#damis', '#monsieur-mathieu'}, {'#monsieur-mathieu'}, {'#monsieur-mathieu', '#le-marquis'}, {'#monsieur-mathieu'}, {'#madame-abraham', '#benjamine', '#monsieur-mathieu'}, {'#madame-abraham', '#marthon'}, {'#le-coureur', '#monsieur-mathieu', '#madame-abraham', '#marthon', '#benjamine'}, {'#madame-abraham', '#marthon', '#monsieur-mathieu', '#benjamine'}, {'#le-coureur', '#marthon'}, {'#madame-abraham', '#marthon', '#benjamine', '#monsieur-mathieu'}, {'#madame-abraham', '#monsieur-mathieu'}, {'#benjamine', '#monsieur-mathieu'}, {'#benjamine'}, {'#damis', '#benjamine'}, {'#damis', '#benjamine', '#monsieur-mathieu'}, {'#marthon', '#benjamine', '#monsieur-mathieu'}, {'#marthon'}, {'#le-commandeur', '#le-comte', '#marthon', '#le-marquis'}, {'#le-commandeur', '#le-comte', '#le-marquis'}, {'#le-commissaire', '#le-commandeur', '#le-comte', '#marthon', '#le-marquis'}, {'#monsieur-mathieu', '#madame-abraham', '#damis', '#le-commandeur', '#le-comte', '#marthon', '#benjamine', '#le-marquis'}, {'#monsieur-mathieu', '#damis', '#madame-abraham', '#le-commandeur', '#le-comte', '#marthon', '#le-notaire', '#le-marquis'}, {'#marthon', '#monsieur-mathieu'}]","{'#le-coureur', '#monsieur-mathieu', '#madame-abraham', '#damis', '#le-commandeur', '#le-comte', '#marthon', '#le-commissaire', '#benjamine', '#le-notaire', '#monsieur-pot-de-vin', '#le-marquis', '#le-laquais'}"
,,,,,,,
L'Hiver,"[{'#l-hiver'}, {'#l-hiver', '#comus'}, {'#l-hymen', '#comus'}, {'#la-mode', '#comus'}, {'#comus', '#le-pharaon'}, {'#le-bal', '#comus'}, {'#la-medisance', '#comus'}, {'#hector-criquet', '#comus'}, {'#l-hiver', '#comus'}, {'#l-hiver', '#la-volupte'}, {'#l-hiver', '#comus'}, {'#l-hiver', '#l-hymen', '#comus'}, {'#l-hymen', '#comus'}, {'#jeux_ris_graces'}, {'#jeux_ris_graces'}]",[],[],[],[],"[{'#l-hiver'}, {'#l-hiver', '#comus'}, {'#l-hymen', '#comus'}, {'#la-mode', '#comus'}, {'#comus', '#le-pharaon'}, {'#le-bal', '#comus'}, {'#la-medisance', '#comus'}, {'#hector-criquet', '#comus'}, {'#l-hiver', '#comus'}, {'#l-hiver', '#la-volupte'}, {'#l-hiver', '#comus'}, {'#l-hiver', '#l-hymen', '#comus'}, {'#l-hymen', '#comus'}, {'#jeux_ris_graces'}, {'#jeux_ris_graces'}]","{'#hector-criquet', '#comus', '#jeux_ris_graces', '#l-hiver', '#la-mode', '#le-bal', '#la-medisance', '#la-volupte', '#l-hymen', '#le-pharaon'}"
,,,,,,,
Le Pauvre Bougre et le Bon Génie,"[{'#le-garçon'}, {'#le-pauvre-bougre'}, {'#le-pauvre-bougre', '#le-garçon'}, {'#le-pauvre-bougre'}, {'#le-pauvre-bougre', '#le-garçon'}, {'#le-pauvre-bougre'}, {'#le-pauvre-bougre', '#le-garçon'}, {'#le-bon-genie', '#le-pauvre-bougre', '#le-garçon'}, {'#le-pauvre-bougre', '#le-garçon'}, {'#tous', '#le-bon-genie', '#le-pauvre-bougre', '#le-garçon'}]",[],[],[],[],"[{'#le-garçon'}, {'#le-pauvre-bougre'}, {'#le-pauvre-bougre', '#le-garçon'}, {'#le-pauvre-bougre'}, {'#le-pauvre-bougre', '#le-garçon'}, {'#le-pauvre-bougre'}, {'#le-pauvre-bougre', '#le-garçon'}, {'#le-bon-genie', '#le-pauvre-bougre', '#le-garçon'}, {'#le-pauvre-bougre', '#le-garçon'}, {'#tous', '#le-bon-genie', '#le-pauvre-bougre', '#le-garçon'}]","{'#le-pauvre-bougre', '#le-bon-genie', '#le-garçon', '#tous'}"
,,,,,,,
Un Mécontent,[{'#un-homme'}],[],[],[],[],[{'#un-homme'}],{'#un-homme'}
,,,,,,,
Les Papilllotes,"[{'#ninon', '#germain'}, {'#ninon'}, {'#un-domestique', '#saint-pol', '#ninon'}, {'#saint-pol', '#ninon', '#moliere'}, {'#ninon', '#moliere'}, {'#d-estrees', '#saint-evremont', '#delaunay', '#saint-pol', '#ninon', '#moliere', '#tous', '#longueville', '#madame-de-lafayette', '#madame-de-coulanges', '#germain', '#le-laquais'}, {'#saint-pol', '#longueville'}, {'#longueville', '#saint-pol', '#ninon'}, {'#ensemble', '#saint-pol', '#ninon'}, {'#ninon', '#le-laquais'}, {'#madame-de-saint-pol', '#ninon'}, {'#madame-de-saint-pol'}, {'#madame-de-saint-pol', '#saint-pol'}, {'#saint-pol'}, {'#saint-pol', '#ninon'}, {'#le-domestique', '#madame-de-saint-pol', '#ninon', '#saint-pol', '#moliere'}, {'#madame-de-saint-pol', '#ninon', '#saint-pol', '#moliere', '#longueville'}]",[],[],[],[],"[{'#ninon', '#germain'}, {'#ninon'}, {'#un-domestique', '#saint-pol', '#ninon'}, {'#saint-pol', '#ninon', '#moliere'}, {'#ninon', '#moliere'}, {'#d-estrees', '#saint-evremont', '#delaunay', '#saint-pol', '#ninon', '#moliere', '#tous', '#longueville', '#madame-de-lafayette', '#madame-de-coulanges', '#germain', '#le-laquais'}, {'#saint-pol', '#longueville'}, {'#longueville', '#saint-pol', '#ninon'}, {'#ensemble', '#saint-pol', '#ninon'}, {'#ninon', '#le-laquais'}, {'#madame-de-saint-pol', '#ninon'}, {'#madame-de-saint-pol'}, {'#madame-de-saint-pol', '#saint-pol'}, {'#saint-pol'}, {'#saint-pol', '#ninon'}, {'#le-domestique', '#madame-de-saint-pol', '#ninon', '#saint-pol', '#moliere'}, {'#madame-de-saint-pol', '#ninon', '#saint-pol', '#moliere', '#longueville'}]","{'#d-estrees', '#saint-evremont', '#un-domestique', '#saint-pol', '#ninon', '#delaunay', '#ensemble', '#moliere', '#tous', '#madame-de-saint-pol', '#le-domestique', '#madame-de-lafayette', '#madame-de-coulanges', '#longueville', '#germain', '#le-laquais'}"
,,,,,,,
Une Séduction,"[{'#laurence', '#sophie', '#madame-dupre'}, {'#laurence', '#sophie', '#madame-dupre', '#gersaint'}, {'#sophie', '#madame-dupre'}, {'#madame-dupre'}, {'#dupre', '#madame-dupre'}, {'#ernest', '#madame-dupre'}, {'#dupre', '#ernest', '#madame-dupre'}, {'#dupre', '#ernest'}, {'#laurence', '#dupre', '#ernest'}, {'#laurence', '#ernest'}, {'#laurence', '#madame-dupre'}, {'#ernest', '#madame-dupre'}, {'#ernest', '#madame-dupre', '#gersaint'}, {'#ernest'}, {'#laurence', '#ernest'}, {'#laurence', '#sophie', '#dupre', '#ernest', '#madame-dupre'}]","[{'#sophie', '#le-marquis'}, {'#sophie', '#gersaint', '#le-marquis'}, {'#la-comtesse', '#ernest', '#gersaint', '#le-marquis'}, {'#sophie', '#ernest'}, {'#sophie'}, {'#laurence', '#sophie'}, {'#laurence'}, {'#laurence', '#sophie', '#gersaint'}, {'#laurence', '#gersaint'}, {'#laurence', '#sophie', '#gersaint'}, {'#laurence'}, {'#laurence', '#gersaint'}, {'#gersaint'}, {'#dupre', '#ernest', '#gersaint'}, {'#la-comtesse', '#gersaint', '#dupre', '#ernest', '#le-marquis'}, {'#la-comtesse', '#sophie', '#laurence', '#gersaint', '#dupre', '#ernest', '#le-marquis'}]",[],[],[],"[{'#laurence', '#sophie', '#madame-dupre'}, {'#laurence', '#sophie', '#madame-dupre', '#gersaint'}, {'#sophie', '#madame-dupre'}, {'#madame-dupre'}, {'#dupre', '#madame-dupre'}, {'#ernest', '#madame-dupre'}, {'#dupre', '#ernest', '#madame-dupre'}, {'#dupre', '#ernest'}, {'#laurence', '#dupre', '#ernest'}, {'#laurence', '#ernest'}, {'#laurence', '#madame-dupre'}, {'#ernest', '#madame-dupre'}, {'#ernest', '#madame-dupre', '#gersaint'}, {'#ernest'}, {'#laurence', '#ernest'}, {'#laurence', '#sophie', '#dupre', '#ernest', '#madame-dupre'}, {'#sophie', '#le-marquis'}, {'#sophie', '#gersaint', '#le-marquis'}, {'#la-comtesse', '#ernest', '#gersaint', '#le-marquis'}, {'#sophie', '#ernest'}, {'#sophie'}, {'#laurence', '#sophie'}, {'#laurence'}, {'#laurence', '#sophie', '#gersaint'}, {'#laurence', '#gersaint'}, {'#laurence', '#sophie', '#gersaint'}, {'#laurence'}, {'#laurence', '#gersaint'}, {'#gersaint'}, {'#dupre', '#ernest', '#gersaint'}, {'#la-comtesse', '#gersaint', '#dupre', '#ernest', '#le-marquis'}, {'#la-comtesse', '#sophie', '#laurence', '#gersaint', '#dupre', '#ernest', '#le-marquis'}]","{'#laurence', '#sophie', '#la-comtesse', '#gersaint', '#dupre', '#ernest', '#madame-dupre', '#le-marquis'}"
,,,,,,,
"Anaximandre, Comédie.","[{'#anaximandre'}, {'#aspasie', '#anaximandre'}, {'#aspasie'}, {'#aspasie', '#phrosine'}, {'#anaximandre', '#phrosine'}, {'#melidore', '#anaximandre', '#phrosine'}, {'#pretresse', '#anaximandre'}, {'#phrosine'}, {'#aspasie', '#phrosine'}, {'#aspasie', '#phrosine'}, {'#aspasie', '#anaximandre'}, {'#anaximandre', '#phrosine'}]",[],[],[],[],"[{'#anaximandre'}, {'#aspasie', '#anaximandre'}, {'#aspasie'}, {'#aspasie', '#phrosine'}, {'#anaximandre', '#phrosine'}, {'#melidore', '#anaximandre', '#phrosine'}, {'#pretresse', '#anaximandre'}, {'#phrosine'}, {'#aspasie', '#phrosine'}, {'#aspasie', '#phrosine'}, {'#aspasie', '#anaximandre'}, {'#anaximandre', '#phrosine'}]","{'#aspasie', '#anaximandre', '#melidore', '#pretresse', '#phrosine'}"
,,,,,,,
