Nom,Genre,Date,Nombre actes,Nombre de scenes,Acte 1,Acte 2,Acte 3,Acte 4,Acte 5,Piece,Personnages
L'Homme qui A Tué la Mort,Pièce dramatique,1928,2,8,"[{'#benoit', '#bricard'}, {'#bricard', '#le-directeur'}, {'#bricard', '#gauvain', '#benoit', '#le-juge', '#le-directeur'}, {'#gauvain', '#bricard'}, {'#gauvain', '#l-aumonier', '#morales', '#le-juge', '#le-directeur'}]","[{'#gauvain', '#benoit', '#marec', '#fargus', '#le-juge', '#le-directeur'}, {'#gauvain', '#marec', '#la-voix-de-morales', '#fargus'}, {'#gauvain', '#le-directeur', '#le-juge', '#fargus'}]",[],[],[],"[{'#benoit', '#bricard'}, {'#bricard', '#le-directeur'}, {'#bricard', '#gauvain', '#benoit', '#le-juge', '#le-directeur'}, {'#gauvain', '#bricard'}, {'#gauvain', '#l-aumonier', '#morales', '#le-juge', '#le-directeur'}, {'#gauvain', '#benoit', '#marec', '#fargus', '#le-juge', '#le-directeur'}, {'#gauvain', '#marec', '#la-voix-de-morales', '#fargus'}, {'#gauvain', '#le-directeur', '#le-juge', '#fargus'}]","{'#bricard', '#benoit', '#gauvain', '#l-aumonier', '#marec', '#la-voix-de-morales', '#fargus', '#morales', '#le-juge', '#le-directeur'}"
Molière chez Ninon,Pièce épisodique,1788,5,92,"[{'#francisque'}, {'#mademoiselle-le-roi', '#francisque'}, {'#le-grand-prieur', '#francisque'}, {'#le-grand-prieur', '#mademoiselle-le-roi'}, {'#le-grand-prieur'}, {'#le-grand-prieur', '#ninon'}, {'#ninon'}, {'#chapelle', '#moliere', '#ninon'}, {'#moliere', '#ninon', '#mademoiselle-le-roi'}, {'#moliere', '#chapelle', '#ninon'}, {'#mademoiselle-le-roi'}, {'#moliere', '#chapelle', '#ninon', '#olympe'}, {'#chapelle', '#moliere'}, {'#moliere', '#ninon'}, {'#moliere', '#ninon', '#gourville', '#francisque'}, {'#moliere', '#ninon', '#la-chatre', '#gourville'}, {'#moliere', '#ninon', '#la-chatre', '#francisque'}, {'#ninon'}, {'#ninon', '#la-chatre'}, {'#ninon', '#la-chatre', '#francisque'}, {'#ninon', '#la-chatre'}, {'#ninon', '#la-chatre', '#madame-scarron'}]","[{'#lucas', '#blaise'}, {'#mathurin', '#lucas', '#blaise'}, {'#la-dupuis', '#mathurin', '#des-yveteaux'}, {'#mathurin', '#des-yveteaux'}, {'#des-yveteaux'}, {'#la-dupuis', '#des-yveteaux'}, {'#ninon', '#la-dupuis', '#mathurin', '#lucas', '#moliere', '#des-yveteaux', '#blaise'}, {'#ninon', '#la-dupuis', '#mathurin', '#lucas', '#gourville', '#moliere', '#des-yveteaux', '#blaise', '#madame-scarron'}, {'#la-dupuis', '#ninon', '#des-yveteaux', '#francisque'}, {'#moliere', '#ninon'}, {'#ninon', '#mathurin', '#le-grand-conde', '#moliere', '#des-yveteaux'}, {'#moliere', '#lucas', '#le-grand-conde', '#ninon'}, {'#ninon', '#la-dupuis', '#le-grand-conde', '#le-comte-de-fiesque', '#moliere', '#des-yveteaux'}]","[{'#mademoiselle-le-roi'}, {'#premier-porteur', '#second-porteur', '#scarron', '#mademoiselle-le-roi'}, {'#scarron', '#mademoiselle-le-roi'}, {'#le-marechal-d-estrees', '#scarron', '#mademoiselle-le-roi', '#le-president-deffiat'}, {'#le-marechal-d-estrees', '#scarron', '#francisque', '#le-president-deffiat'}, {'#ninon', '#scarron', '#le-grand-conde', '#le-marechal-d-estrees', '#le-comte-de-fiesque', '#moliere', '#madame-scarron'}, {'#ninon', '#scarron', '#le-grand-conde', '#le-marechal-d-estrees', '#le-comte-de-fiesque', '#moliere', '#l-exempt', '#madame-scarron'}, {'#ninon', '#le-comte-de-fiesque'}, {'#le-comte-de-fiesque'}, {'#ninon'}, {'#le-marechal-d-estrees', '#le-grand-conde', '#ninon'}, {'#moliere', '#le-marechal-d-estrees', '#le-grand-conde', '#ninon'}, {'#le-grand-conde'}, {'#chapelle', '#saint-evremond', '#ninon'}]","[{'#ninon', '#olympe'}, {'#ninon'}, {'#ninon'}, {'#moliere', '#ninon'}, {'#ninon', '#francisque'}, {'#moliere', '#mignard', '#ninon', '#madame-de-la-sabliere'}, {'#ninon', '#francisque'}, {'#moliere'}, {'#moliere', '#le-comte-de-fiesque'}, {'#moliere', '#ninon', '#le-comte-de-fiesque'}, {'#mademoiselle-le-roi'}, {'#moliere', '#francisque', '#ninon'}, {'#ninon', '#le-comte-de-fiesque'}, {'#ninon', '#le-grand-conde', '#francisque', '#le-comte-de-fiesque', '#la-reine-christine'}, {'#ninon', '#la-reine-christine'}, {'#le-grand-conde', '#la-reine-christine', '#ninon'}, {'#chapelle', '#ninon', '#scarron', '#le-grand-conde', '#moliere', '#la-reine-christine', '#madame-scarron'}, {'#ninon', '#scarron', '#la-dupuis', '#mathurin', '#le-grand-conde', '#le-comte-de-fiesque', '#moliere', '#des-yveteaux', '#la-reine-christine'}]","[{'#mademoiselle-le-roi', '#francisque'}, {'#ninon', '#francisque'}, {'#ninon', '#mademoiselle-le-roi'}, {'#ninon'}, {'#ninon', '#mademoiselle-le-roi'}, {'#ninon', '#le-valet-de-chambre', '#mademoiselle-le-roi'}, {'#ninon', '#mademoiselle-le-roi'}, {'#ninon'}, {'#ninon', '#mademoiselle-le-roi'}, {'#ninon'}, {'#mademoiselle-le-roi'}, {'#ninon', '#de-belfort'}, {'#moliere', '#ninon', '#de-belfort'}, {'#ninon', '#de-belfort', '#francisque', '#mademoiselle-de-chateauroux'}, {'#francisque'}, {'#francisque', '#le-comte-de-fiesque'}, {'#le-comte-de-fiesque'}, {'#ninon', '#le-comte-de-fiesque'}, {'#ninon', '#francisque', '#le-comte-de-fiesque'}, {'#monsieur-de-chateauroux', '#saint-evremond', '#ninon'}, {'#ninon', '#monsieur-de-chateauroux'}, {'#moliere', '#ninon', '#monsieur-de-chateauroux'}, {'#moliere', '#monsieur-de-chateauroux'}, {'#ninon', '#de-belfort', '#monsieur-de-chateauroux', '#moliere', '#olympe'}, {'#chapelle', '#saint-evremond', '#moliere', '#ninon'}]","[{'#francisque'}, {'#mademoiselle-le-roi', '#francisque'}, {'#le-grand-prieur', '#francisque'}, {'#le-grand-prieur', '#mademoiselle-le-roi'}, {'#le-grand-prieur'}, {'#le-grand-prieur', '#ninon'}, {'#ninon'}, {'#chapelle', '#moliere', '#ninon'}, {'#moliere', '#ninon', '#mademoiselle-le-roi'}, {'#moliere', '#chapelle', '#ninon'}, {'#mademoiselle-le-roi'}, {'#moliere', '#chapelle', '#ninon', '#olympe'}, {'#chapelle', '#moliere'}, {'#moliere', '#ninon'}, {'#moliere', '#ninon', '#gourville', '#francisque'}, {'#moliere', '#ninon', '#la-chatre', '#gourville'}, {'#moliere', '#ninon', '#la-chatre', '#francisque'}, {'#ninon'}, {'#ninon', '#la-chatre'}, {'#ninon', '#la-chatre', '#francisque'}, {'#ninon', '#la-chatre'}, {'#ninon', '#la-chatre', '#madame-scarron'}, {'#lucas', '#blaise'}, {'#mathurin', '#lucas', '#blaise'}, {'#la-dupuis', '#mathurin', '#des-yveteaux'}, {'#mathurin', '#des-yveteaux'}, {'#des-yveteaux'}, {'#la-dupuis', '#des-yveteaux'}, {'#ninon', '#la-dupuis', '#mathurin', '#lucas', '#moliere', '#des-yveteaux', '#blaise'}, {'#ninon', '#la-dupuis', '#mathurin', '#lucas', '#gourville', '#moliere', '#des-yveteaux', '#blaise', '#madame-scarron'}, {'#la-dupuis', '#ninon', '#des-yveteaux', '#francisque'}, {'#moliere', '#ninon'}, {'#ninon', '#mathurin', '#le-grand-conde', '#moliere', '#des-yveteaux'}, {'#moliere', '#lucas', '#le-grand-conde', '#ninon'}, {'#ninon', '#la-dupuis', '#le-grand-conde', '#le-comte-de-fiesque', '#moliere', '#des-yveteaux'}, {'#mademoiselle-le-roi'}, {'#premier-porteur', '#second-porteur', '#scarron', '#mademoiselle-le-roi'}, {'#scarron', '#mademoiselle-le-roi'}, {'#le-marechal-d-estrees', '#scarron', '#mademoiselle-le-roi', '#le-president-deffiat'}, {'#le-marechal-d-estrees', '#scarron', '#francisque', '#le-president-deffiat'}, {'#ninon', '#scarron', '#le-grand-conde', '#le-marechal-d-estrees', '#le-comte-de-fiesque', '#moliere', '#madame-scarron'}, {'#ninon', '#scarron', '#le-grand-conde', '#le-marechal-d-estrees', '#le-comte-de-fiesque', '#moliere', '#l-exempt', '#madame-scarron'}, {'#ninon', '#le-comte-de-fiesque'}, {'#le-comte-de-fiesque'}, {'#ninon'}, {'#le-marechal-d-estrees', '#le-grand-conde', '#ninon'}, {'#moliere', '#le-marechal-d-estrees', '#le-grand-conde', '#ninon'}, {'#le-grand-conde'}, {'#chapelle', '#saint-evremond', '#ninon'}, {'#ninon', '#olympe'}, {'#ninon'}, {'#ninon'}, {'#moliere', '#ninon'}, {'#ninon', '#francisque'}, {'#moliere', '#mignard', '#ninon', '#madame-de-la-sabliere'}, {'#ninon', '#francisque'}, {'#moliere'}, {'#moliere', '#le-comte-de-fiesque'}, {'#moliere', '#ninon', '#le-comte-de-fiesque'}, {'#mademoiselle-le-roi'}, {'#moliere', '#francisque', '#ninon'}, {'#ninon', '#le-comte-de-fiesque'}, {'#ninon', '#le-grand-conde', '#francisque', '#le-comte-de-fiesque', '#la-reine-christine'}, {'#ninon', '#la-reine-christine'}, {'#le-grand-conde', '#la-reine-christine', '#ninon'}, {'#chapelle', '#ninon', '#scarron', '#le-grand-conde', '#moliere', '#la-reine-christine', '#madame-scarron'}, {'#ninon', '#scarron', '#la-dupuis', '#mathurin', '#le-grand-conde', '#le-comte-de-fiesque', '#moliere', '#des-yveteaux', '#la-reine-christine'}, {'#mademoiselle-le-roi', '#francisque'}, {'#ninon', '#francisque'}, {'#ninon', '#mademoiselle-le-roi'}, {'#ninon'}, {'#ninon', '#mademoiselle-le-roi'}, {'#ninon', '#le-valet-de-chambre', '#mademoiselle-le-roi'}, {'#ninon', '#mademoiselle-le-roi'}, {'#ninon'}, {'#ninon', '#mademoiselle-le-roi'}, {'#ninon'}, {'#mademoiselle-le-roi'}, {'#ninon', '#de-belfort'}, {'#moliere', '#ninon', '#de-belfort'}, {'#ninon', '#de-belfort', '#francisque', '#mademoiselle-de-chateauroux'}, {'#francisque'}, {'#francisque', '#le-comte-de-fiesque'}, {'#le-comte-de-fiesque'}, {'#ninon', '#le-comte-de-fiesque'}, {'#ninon', '#francisque', '#le-comte-de-fiesque'}, {'#monsieur-de-chateauroux', '#saint-evremond', '#ninon'}, {'#ninon', '#monsieur-de-chateauroux'}, {'#moliere', '#ninon', '#monsieur-de-chateauroux'}, {'#moliere', '#monsieur-de-chateauroux'}, {'#ninon', '#de-belfort', '#monsieur-de-chateauroux', '#moliere', '#olympe'}, {'#chapelle', '#saint-evremond', '#moliere', '#ninon'}]","{'#la-dupuis', '#mathurin', '#le-grand-conde', '#monsieur-de-chateauroux', '#moliere', '#la-reine-christine', '#mademoiselle-de-chateauroux', '#chapelle', '#gourville', '#le-comte-de-fiesque', '#premier-porteur', '#second-porteur', '#olympe', '#madame-de-la-sabliere', '#blaise', '#saint-evremond', '#scarron', '#lucas', '#l-exempt', '#des-yveteaux', '#la-chatre', '#le-valet-de-chambre', '#madame-scarron', '#le-grand-prieur', '#ninon', '#de-belfort', '#mademoiselle-le-roi', '#le-marechal-d-estrees', '#francisque', '#mignard', '#le-president-deffiat'}"
L'Amour Pris aux Cheveux,Pochade,1852,1,0,[],[],[],[],[],[],set()
La Petite Rosange,Poème,1897,1,8,"[{'#corneille', '#hauteroche'}, {'#corneille', '#rosange', '#hauteroche'}, {'#voiture', '#corneille'}, {'#des-urlis', '#de-villiers', '#beauval', '#corneille', '#brecourt', '#voiture', '#d-orgemont', '#floridor'}, {'#beauval', '#corneille', '#mademoiselle-aubry', '#voiture', '#mademoiselle-du-clos'}, {'#corneille', '#hauteroche'}, {'#corneille', '#rosange', '#hauteroche'}, {'#rosange', '#corneille', '#hauteroche', '#voiture', '#mademoiselle-du-clos', '#tous-les-comediens'}]",[],[],[],[],"[{'#corneille', '#hauteroche'}, {'#corneille', '#rosange', '#hauteroche'}, {'#voiture', '#corneille'}, {'#des-urlis', '#de-villiers', '#beauval', '#corneille', '#brecourt', '#voiture', '#d-orgemont', '#floridor'}, {'#beauval', '#corneille', '#mademoiselle-aubry', '#voiture', '#mademoiselle-du-clos'}, {'#corneille', '#hauteroche'}, {'#corneille', '#rosange', '#hauteroche'}, {'#rosange', '#corneille', '#hauteroche', '#voiture', '#mademoiselle-du-clos', '#tous-les-comediens'}]","{'#des-urlis', '#de-villiers', '#beauval', '#rosange', '#mademoiselle-du-clos', '#corneille', '#brecourt', '#mademoiselle-aubry', '#hauteroche', '#voiture', '#d-orgemont', '#floridor', '#tous-les-comediens'}"
Visite à Corneille,Poème,1897,1,1,[{'#le-jeune-femme'}],[],[],[],[],[{'#le-jeune-femme'}],{'#le-jeune-femme'}
"L'Espérance, Prologue, en Vaudevilles et en Prose.",Prologue,1777,1,5,"[{'#la-parade', '#la-crainte'}, {'#leandre', '#la-parade'}, {'#l-esperance', '#la-crainte', '#leandre', '#la-parade'}, {'#leandre', '#la-parade', '#l-esperance'}, {'#leandre', '#la-parade', '#le-dieu-de-la-gaiete', '#l-esperance'}]",[],[],[],[],"[{'#la-parade', '#la-crainte'}, {'#leandre', '#la-parade'}, {'#l-esperance', '#la-crainte', '#leandre', '#la-parade'}, {'#leandre', '#la-parade', '#l-esperance'}, {'#leandre', '#la-parade', '#le-dieu-de-la-gaiete', '#l-esperance'}]","{'#le-dieu-de-la-gaiete', '#l-esperance', '#la-crainte', '#leandre', '#la-parade'}"
La Querelle des Théâtres,Prologue,1718,1,11,"[{'#la-foire'}, {'#mezzetin', '#la-foire'}, {'#mezzetin', '#la-comedie-française', '#la-comedie-italienne', '#monsieur-charitides', '#la-foire'}, {'#gille', '#la-comedie-française', '#la-comedie-italienne', '#la-foire'}, {'#la-comedie-française', '#la-comedie-italienne', '#l-opera', '#les-deux-comedies', '#la-foire'}, {'#l-opera', '#la-foire'}, {'#la-foire'}, {'#polichinelle', '#mezzetin', '#la-foire'}, {'#la-comedie-italienne', '#la-comedie-française', '#les-deux-comedies'}, {'#la-foire'}, {'#le-choeur', '#tous', '#la-foire'}]",[],[],[],[],"[{'#la-foire'}, {'#mezzetin', '#la-foire'}, {'#mezzetin', '#la-comedie-française', '#la-comedie-italienne', '#monsieur-charitides', '#la-foire'}, {'#gille', '#la-comedie-française', '#la-comedie-italienne', '#la-foire'}, {'#la-comedie-française', '#la-comedie-italienne', '#l-opera', '#les-deux-comedies', '#la-foire'}, {'#l-opera', '#la-foire'}, {'#la-foire'}, {'#polichinelle', '#mezzetin', '#la-foire'}, {'#la-comedie-italienne', '#la-comedie-française', '#les-deux-comedies'}, {'#la-foire'}, {'#le-choeur', '#tous', '#la-foire'}]","{'#polichinelle', '#mezzetin', '#la-comedie-italienne', '#la-comedie-française', '#l-opera', '#les-deux-comedies', '#le-choeur', '#gille', '#tous', '#monsieur-charitides', '#la-foire'}"
Le Jugement de Pâris,Prologue,1718,0,0,[],[],[],[],[],[],set()
Le Roi Attend,Prologue,1866,1,11,"[{'#moliere', '#laforet'}, {'#la-grange', '#mademoiselle-de-brie', '#mademoiselle-ducroisy', '#mademoiselle-bejart', '#mademoiselle-herve', '#moliere', '#brecourt', '#mademoiselle-duparc', '#ducroisy', '#mademoiselle-moliere'}, {'#mademoiselle-duparc', '#bejart', '#moliere'}, {'#moliere', '#un-necessaire'}, {'#le-deuxieme-necessaire', '#moliere'}, {'#moliere', '#le-troisieme-necessaire'}, {'#moliere', '#le-quatrieme-necessaire'}, {'#cinquieme-necessaire', '#mademoiselle-de-brie', '#sixieme-necessaire', '#mademoiselle-ducroisy', '#septieme-necessaire', '#mademoiselle-herve', '#mademoiselle-duparc', '#mademoiselle-moliere'}, {'#moliere'}, {'#voltaire', '#sophocle', '#beaumarchais', '#eschyle', '#shakespeare', '#la-muse', '#euripide'}, {'#moliere', '#laforet'}]",[],[],[],[],"[{'#moliere', '#laforet'}, {'#la-grange', '#mademoiselle-de-brie', '#mademoiselle-ducroisy', '#mademoiselle-bejart', '#mademoiselle-herve', '#moliere', '#brecourt', '#mademoiselle-duparc', '#ducroisy', '#mademoiselle-moliere'}, {'#mademoiselle-duparc', '#bejart', '#moliere'}, {'#moliere', '#un-necessaire'}, {'#le-deuxieme-necessaire', '#moliere'}, {'#moliere', '#le-troisieme-necessaire'}, {'#moliere', '#le-quatrieme-necessaire'}, {'#cinquieme-necessaire', '#mademoiselle-de-brie', '#sixieme-necessaire', '#mademoiselle-ducroisy', '#septieme-necessaire', '#mademoiselle-herve', '#mademoiselle-duparc', '#mademoiselle-moliere'}, {'#moliere'}, {'#voltaire', '#sophocle', '#beaumarchais', '#eschyle', '#shakespeare', '#la-muse', '#euripide'}, {'#moliere', '#laforet'}]","{'#bejart', '#cinquieme-necessaire', '#mademoiselle-de-brie', '#le-deuxieme-necessaire', '#eschyle', '#shakespeare', '#mademoiselle-herve', '#moliere', '#brecourt', '#laforet', '#mademoiselle-moliere', '#voltaire', '#sophocle', '#septieme-necessaire', '#le-quatrieme-necessaire', '#mademoiselle-duparc', '#ducroisy', '#un-necessaire', '#la-grange', '#beaumarchais', '#mademoiselle-ducroisy', '#la-muse', '#euripide', '#le-troisieme-necessaire', '#sixieme-necessaire', '#mademoiselle-bejart'}"
Les Comédiens Esclaves,Prologue,1726,1,4,"[{'#acmet'}, {'#scaramouche', '#arlequin', '#pantalon', '#le-docteur', '#acmet'}, {'#scaramouche', '#arlequin', '#le-roi', '#mezettin', '#pantalon', '#le-docteur', '#acmet'}, {'#acmet'}]",[],[],[],[],"[{'#acmet'}, {'#scaramouche', '#arlequin', '#pantalon', '#le-docteur', '#acmet'}, {'#scaramouche', '#arlequin', '#le-roi', '#mezettin', '#pantalon', '#le-docteur', '#acmet'}, {'#acmet'}]","{'#scaramouche', '#arlequin', '#le-roi', '#mezettin', '#pantalon', '#le-docteur', '#acmet'}"
Les Couplets en Procès,Prologue,1730,1,6,"[{'#maitre-grossel', '#la-comere-voire', '#flon-flon'}, {'#maitre-grossel', '#la-comere-voire', '#choeur-de-vieux-couplets', '#flon-flon'}, {'#le-menuet', '#maitre-gouffin', '#la-musette'}, {'#maitre-gouffin', '#la-musette'}, {'#le-menuet'}, {'#choeur', '#maitre-babillary', '#le-president', '#le-greffier', '#maitre-grossel', '#maitre-gouffin'}]",[],[],[],[],"[{'#maitre-grossel', '#la-comere-voire', '#flon-flon'}, {'#maitre-grossel', '#la-comere-voire', '#choeur-de-vieux-couplets', '#flon-flon'}, {'#le-menuet', '#maitre-gouffin', '#la-musette'}, {'#maitre-gouffin', '#la-musette'}, {'#le-menuet'}, {'#choeur', '#maitre-babillary', '#le-president', '#le-greffier', '#maitre-grossel', '#maitre-gouffin'}]","{'#choeur', '#choeur-de-vieux-couplets', '#flon-flon', '#la-comere-voire', '#la-musette', '#maitre-babillary', '#le-president', '#le-menuet', '#le-greffier', '#maitre-grossel', '#maitre-gouffin'}"
Les Trois Spectacles Prologue,Prologue,1729,1,2,"[{'#le-chevalier', '#le-vicomte', '#le-commandeur', '#la-marquise', '#julie'}, {'#le-chevalier', '#celimene', '#le-vicomte', '#hortense', '#le-commandeur', '#la-marquise', '#julie'}]",[],[],[],[],"[{'#le-chevalier', '#le-vicomte', '#le-commandeur', '#la-marquise', '#julie'}, {'#le-chevalier', '#celimene', '#le-vicomte', '#hortense', '#le-commandeur', '#la-marquise', '#julie'}]","{'#le-chevalier', '#celimene', '#le-vicomte', '#hortense', '#le-commandeur', '#la-marquise', '#julie'}"
Molière à Pézénas,Prologue,1866,1,10,"[{'#poquelin', '#la-couture', '#drouillac'}, {'#la-couture'}, {'#cresse', '#la-couture', '#moliere'}, {'#cresse', '#bejart', '#louis', '#la-couture', '#moliere'}, {'#cresse', '#bejart', '#madeleine', '#genevieve', '#louis', '#moliere', '#duparc'}, {'#madeleine', '#bejart', '#genevieve', '#louis', '#la-couture', '#moliere', '#tous', '#duparc'}, {'#moliere', '#l-echevin'}, {'#cresse', '#moliere'}, {'#cresse', '#poquelin', '#moliere'}, {'#cresse', '#la-couture', '#poquelin', '#moliere'}]",[],[],[],[],"[{'#poquelin', '#la-couture', '#drouillac'}, {'#la-couture'}, {'#cresse', '#la-couture', '#moliere'}, {'#cresse', '#bejart', '#louis', '#la-couture', '#moliere'}, {'#cresse', '#bejart', '#madeleine', '#genevieve', '#louis', '#moliere', '#duparc'}, {'#madeleine', '#bejart', '#genevieve', '#louis', '#la-couture', '#moliere', '#tous', '#duparc'}, {'#moliere', '#l-echevin'}, {'#cresse', '#moliere'}, {'#cresse', '#poquelin', '#moliere'}, {'#cresse', '#la-couture', '#poquelin', '#moliere'}]","{'#cresse', '#bejart', '#madeleine', '#genevieve', '#poquelin', '#louis', '#la-couture', '#drouillac', '#moliere', '#tous', '#l-echevin', '#duparc'}"
Molière en Bonne Fortune,Prologue,1897,1,9,"[{'#dassoucy', '#pierrotin'}, {'#la-presidente', '#moliere', '#le-baron', '#la-marquise', '#dassoucy', '#pierrotin', '#le-docteur'}, {'#la-presidente', '#la-marquise', '#moliere', '#le-baron'}, {'#la-marquise', '#moliere'}, {'#moliere'}, {'#le-docteur', '#moliere', '#dassoucy', '#pierrotin'}, {'#la-presidente', '#moliere', '#la-marquise', '#dassoucy', '#le-baron', '#pierrotin'}, {'#la-marquise', '#moliere'}, {'#pierrotin', '#la-presidente', '#moliere', '#le-docteur', '#dassoucy', '#le-baron', '#la-marquise'}]",[],[],[],[],"[{'#dassoucy', '#pierrotin'}, {'#la-presidente', '#moliere', '#le-baron', '#la-marquise', '#dassoucy', '#pierrotin', '#le-docteur'}, {'#la-presidente', '#la-marquise', '#moliere', '#le-baron'}, {'#la-marquise', '#moliere'}, {'#moliere'}, {'#le-docteur', '#moliere', '#dassoucy', '#pierrotin'}, {'#la-presidente', '#moliere', '#la-marquise', '#dassoucy', '#le-baron', '#pierrotin'}, {'#la-marquise', '#moliere'}, {'#pierrotin', '#la-presidente', '#moliere', '#le-docteur', '#dassoucy', '#le-baron', '#la-marquise'}]","{'#la-marquise', '#la-presidente', '#moliere', '#dassoucy', '#le-baron', '#pierrotin', '#le-docteur'}"
Prologue,Prologue,1830,1,1,"[{'#la-comedie', '#la-tragedie', '#jupiter'}]",[],[],[],[],"[{'#la-comedie', '#la-tragedie', '#jupiter'}]","{'#jupiter', '#la-tragedie', '#la-comedie'}"
Un Trait de Molière,Prologue,1821,1,6,"[{'#dalbans'}, {'#julie', '#dalbans'}, {'#julie'}, {'#moliere', '#julie', '#dalbans'}, {'#le-messager', '#moliere', '#julie', '#dalbans'}, {'#moliere', '#julie', '#dalbans'}]",[],[],[],[],"[{'#dalbans'}, {'#julie', '#dalbans'}, {'#julie'}, {'#moliere', '#julie', '#dalbans'}, {'#le-messager', '#moliere', '#julie', '#dalbans'}, {'#moliere', '#julie', '#dalbans'}]","{'#le-messager', '#moliere', '#julie', '#dalbans'}"
A Bon Chat Bon Rat,Proverbe,1699,1,5,"[{'#mademoiselle-dupin', '#monsieur-de-montire'}, {'#mademoiselle-dupin', '#madame-de-montire', '#monsieur-de-montire'}, {'#madame-de-montire'}, {'#le-chevalier', '#madame-de-montire'}, {'#madame-de-montire', '#monsieur-de-montire'}]",[],[],[],[],"[{'#mademoiselle-dupin', '#monsieur-de-montire'}, {'#mademoiselle-dupin', '#madame-de-montire', '#monsieur-de-montire'}, {'#madame-de-montire'}, {'#le-chevalier', '#madame-de-montire'}, {'#madame-de-montire', '#monsieur-de-montire'}]","{'#le-chevalier', '#mademoiselle-dupin', '#madame-de-montire', '#monsieur-de-montire'}"
A Bon Chat Bon Rat,Proverbe,1771,1,20,"[{'#gilles'}, {'#la-plume', '#gilles'}, {'#la-plume', '#madame-savon', '#gilles', '#suzette'}, {'#madame-laiguille', '#theriaque', '#suzette', '#la-plume', '#madame-savon', '#gilles'}, {'#le-savoyard', '#madame-savon', '#gilles', '#suzette'}, {'#madame-laiguille', '#theriaque', '#suzette', '#madame-savon', '#monsieur-la-plume'}, {'#madame-savon', '#monsieur-foulon', '#suzette', '#madame-foulon'}, {'#madame-laiguille', '#madame-foulon', '#theriaque', '#madame-savon', '#monsieur-foulon'}, {'#un-garçon', '#madame-foulon', '#theriaque', '#madame-savon', '#monsieur-foulon'}, {'#madame-savon', '#monsieur-foulon'}, {'#la-plume', '#madame-laiguille', '#theriaque'}, {'#madame-laiguille', '#theriaque', '#la-plume', '#madame-savon', '#madame-rognon'}, {'#la-plume', '#madame-rognon', '#theriaque'}, {'#la-plume', '#madame-savon'}, {'#gilles'}, {'#foulonet', '#gilles'}, {'#foulonet', '#gilles', '#suzette'}, {'#madame-laiguille', '#foulonet', '#suzette', '#theriaque', '#madame-savon', '#gilles'}, {'#madame-laiguille', '#le-notaire', '#suzette', '#theriaque', '#la-plume', '#madame-savon'}, {'#madame-laiguille', '#foulonet', '#theriaque', '#la-plume', '#madame-savon', '#gilles'}]",[],[],[],[],"[{'#gilles'}, {'#la-plume', '#gilles'}, {'#la-plume', '#madame-savon', '#gilles', '#suzette'}, {'#madame-laiguille', '#theriaque', '#suzette', '#la-plume', '#madame-savon', '#gilles'}, {'#le-savoyard', '#madame-savon', '#gilles', '#suzette'}, {'#madame-laiguille', '#theriaque', '#suzette', '#madame-savon', '#monsieur-la-plume'}, {'#madame-savon', '#monsieur-foulon', '#suzette', '#madame-foulon'}, {'#madame-laiguille', '#madame-foulon', '#theriaque', '#madame-savon', '#monsieur-foulon'}, {'#un-garçon', '#madame-foulon', '#theriaque', '#madame-savon', '#monsieur-foulon'}, {'#madame-savon', '#monsieur-foulon'}, {'#la-plume', '#madame-laiguille', '#theriaque'}, {'#madame-laiguille', '#theriaque', '#la-plume', '#madame-savon', '#madame-rognon'}, {'#la-plume', '#madame-rognon', '#theriaque'}, {'#la-plume', '#madame-savon'}, {'#gilles'}, {'#foulonet', '#gilles'}, {'#foulonet', '#gilles', '#suzette'}, {'#madame-laiguille', '#foulonet', '#suzette', '#theriaque', '#madame-savon', '#gilles'}, {'#madame-laiguille', '#le-notaire', '#suzette', '#theriaque', '#la-plume', '#madame-savon'}, {'#madame-laiguille', '#foulonet', '#theriaque', '#la-plume', '#madame-savon', '#gilles'}]","{'#madame-laiguille', '#le-notaire', '#un-garçon', '#madame-foulon', '#le-savoyard', '#foulonet', '#suzette', '#theriaque', '#la-plume', '#madame-savon', '#gilles', '#madame-rognon', '#monsieur-foulon', '#monsieur-la-plume'}"
A la Monaco,Proverbe,1889,1,11,"[{'#le-chevalier', '#valere'}, {'#polichinelle'}, {'#polichinelle', '#le-chevalier'}, {'#polichinelle', '#argentine'}, {'#polichinelle', '#le-chevalier', '#argentine'}, {'#le-chevalier', '#valere'}, {'#valere', '#argentine'}, {'#polichinelle', '#le-chevalier', '#valere'}, {'#le-chevalier', '#argentine'}, {'#polichinelle', '#le-chevalier', '#argentine'}, {'#polichinelle', '#le-chevalier', '#valere', '#argentine'}]",[],[],[],[],"[{'#le-chevalier', '#valere'}, {'#polichinelle'}, {'#polichinelle', '#le-chevalier'}, {'#polichinelle', '#argentine'}, {'#polichinelle', '#le-chevalier', '#argentine'}, {'#le-chevalier', '#valere'}, {'#valere', '#argentine'}, {'#polichinelle', '#le-chevalier', '#valere'}, {'#le-chevalier', '#argentine'}, {'#polichinelle', '#le-chevalier', '#argentine'}, {'#polichinelle', '#le-chevalier', '#valere', '#argentine'}]","{'#polichinelle', '#le-chevalier', '#valere', '#argentine'}"
