,TD id,Raw Name,Title,Authors,Normalized Author,Normalized Second Author,wikidataId Author,Normalized Year,yearPrinted,dateWriting,datePremiered,Genre,Genre (bis),Type,in_TD,in_Dracor,in_BD,Empty text
2565,,moissy-prejuges,Les Préjugés,Alexandre-Guillaume De Moissy,Alexandre Guillaume De Moissy,,Q2833352,1769.0,1769.0,,,,,,,fre000989,,False
2566,,moissy-quiproquo,Le Quiproquo les Jeux de la Petite Thalie.,Alexandre-Guillaume De Moissy,Alexandre Guillaume De Moissy,,Q2833352,1769.0,1769.0,,,,,,,fre000990,,False
2567,,moissy-revenants,Les Revenants.,Alexandre-Guillaume De Moissy,Alexandre Guillaume De Moissy,,Q2833352,1769.0,1769.0,,,,,,,fre000991,,False
2568,,moissy-version,La Version les Jeux de la Petite Thalie.,Alexandre-Guillaume De Moissy,Alexandre Guillaume De Moissy,,Q2833352,1769.0,1769.0,,,,,,,fre000992,,False
2569,,moliere-divertissement-chambord,Le Divertissement de Chambord,Molière,Molière,,Q687,1669.0,1669.0,,,,,,,fre001001,,False
2570,,moline-inconnue,L'Inconnue Persécutée,Pierre-Louis Moline,Pierre Louis Moline,,Q374622,1765.0,1765.0,,1776-10-25,Comedy,Comedy,,,fre001028,,False
2571,,moline-legislatrices,Les Legislatrices,Pierre-Louis Moline,Pierre Louis Moline,,Q374622,1765.0,1765.0,,,Comedy,Comedy,,,fre001029,,False
2572,,monchretien-ecossaise-1604,Tragédie de la Reine d'Ecosse,Antoine De Montchrestien,Antoine De Montchrestien,,Q587273,1604.0,1604.0,,,Tragedy,Tragedy,,,fre001030,,False
2573,,moncrif-abderites,Les Abderites,François-Augustin Paradis De Moncrif,François Augustin Paradis De Moncrif,,,1732.0,1737.0,,1732-07-26,Comedy,Comedy,,,fre001031,,False
2574,,mongin-promenades-de-paris,Les Promenades de Paris,Mongin,Mongin,,,1695.0,1695.0,,1695-06-10,Comedy,Comedy,,,fre001032,,False
2575,,monselet-arene-ilote,L'Ilote,Charles Monselet,Charles Monselet,,Q475526,1875.0,1875.0,,1875-06-17,Comedy,Comedy,,,fre001033,,False
2576,,monselet-bibliotheque,La Bibliothèque,Charles Monselet,Charles Monselet,,Q475526,1859.0,1859.0,,,Comedy,Comedy,,,fre001034,,False
2577,,monselet-deux-dumas,Les Deux Dumas,Charles Monselet,Charles Monselet,,Q475526,1859.0,1859.0,,,Comedy,Comedy,,,fre001035,,False
2578,,monselet-enfer,L'Enfer des Gens de Lettres,Charles Monselet,Charles Monselet,,Q475526,1859.0,1859.0,,,Comedy,Comedy,,,fre001036,,False
2579,,monselet-livre-leste,Un Livre Leste,Charles Monselet,Charles Monselet,,Q475526,1881.0,1881.0,,,Comedy,Comedy,,,fre001037,,False
2580,,monselet-par-la-poste,Par la Poste,Charles Monselet,Charles Monselet,,Q475526,1881.0,1881.0,,,,,,,fre001038,,False
2581,,monselet-pastilles-de-richelieu,Les Pastilles de Richelieu,Charles Monselet,Charles Monselet,,Q475526,1859.0,1859.0,,,Comedy,Comedy,,,fre001039,,False
2582,,monselet-rhumatisme,Le Rhumatisme,Charles Monselet,Charles Monselet,,Q475526,1881.0,1881.0,,,Comedy,Comedy,,,fre001040,,False
2583,,monselet-voyage-dans-mes-poches,Un Livre Leste,Charles Monselet,Charles Monselet,,Q475526,1881.0,1881.0,,,Comedy,Comedy,,,fre001041,,False
2584,,mons-dernier-klephte,Le Dernier Klephte,François Mons,François Mons,,,1881.0,1881.0,,,Comedy,Comedy,,,fre001042,,False
2585,,montalembert-statue,La Statue,Marc-René De Montalembert,Marc René De Montalembert,,Q1093666,1784.0,1784.0,,1784-08-02,Comedy,Comedy,,,fre001043,,False
2586,,montchretien-aman,Aman,Antoine De Montchrestien,Antoine De Montchrestien,,Q587273,1601.0,1601.0,,,Tragedy,Tragedy,,,fre001044,,False
2587,,montchretien-carthaginoise,La Carthaginoise,Antoine De Montchrestien,Antoine De Montchrestien,,Q587273,1601.0,1601.0,,,Tragedy,Tragedy,,,fre001045,,False
2588,,montchretien-david,David,Antoine De Montchrestien,Antoine De Montchrestien,,Q587273,1601.0,1601.0,,,Tragedy,Tragedy,,,fre001046,,False
2589,,montchretien-hector,Hector,Antoine De Montchrestien,Antoine De Montchrestien,,Q587273,1604.0,1604.0,,,Tragedy,Tragedy,,,fre001047,,False
2590,,montchretien-lacenes,Les Lacènes,Antoine De Montchrestien,Antoine De Montchrestien,,Q587273,1601.0,1601.0,,,Tragedy,Tragedy,,,fre001048,,False
2591,,montgaudier-natalie,Natalie,Montgaudier,Montgaudier,,,1654.0,1654.0,,,Tragedy,Tragedy,,,fre001051,,False
2592,,musset-augier-habit-vert,L'Habit Vert,Alfred De Musset,Alfred De Musset,,Q179680,1849.0,1858.0,,1849-02-23,Comedy,Comedy,,,fre001052,,False
2593,,musset-carmosine,Carmosine,Alfred De Musset,Alfred De Musset,,Q179680,1852.0,1852.0,,,Comedy,Comedy,,,fre001059,,False
2594,,nadal-epouse-du-cantique,L'Epouse du Cantique,Augustin Nadal,Augustin Nadal,,Q2871626,1734.0,1738.0,,1734-03-04,,,,,fre001064,,False
2595,,nadal-herode,Hérode,Augustin Nadal,Augustin Nadal,,Q2871626,1709.0,1709.0,,1709-02-15,Tragedy,Tragedy,,,fre001066,,False
2596,,nadal-osarphis-moise,Osarphis,Augustin Nadal,Augustin Nadal,,Q2871626,1738.0,1738.0,,,Tragedy,Tragedy,,,fre001068,,False
2597,,nadal-paradis-terrestre,Le Paradis Terrestre,Augustin Nadal,Augustin Nadal,,Q2871626,1735.0,1735.0,,1735-03-23,,,,,fre001069,,False
2598,,nadaud-double-aveu,Un Double Aveu,Gustave Nadaud,Gustave Nadaud,,Q3121274,1896.0,1896.0,,,Comedy,Comedy,,,fre001071,,False
2599,,nadaud-examen,L'Examen de Conscience d'une Jeune Fille,Gustave Nadaud,Gustave Nadaud,,Q3121274,1881.0,1881.0,,,Comedy,Comedy,,,fre001072,,False
2600,,nadaud-oraison-funebre,L'Oraison Funèbre de Madame Bourgeois,Gustave Nadaud,Gustave Nadaud,,Q3121274,1881.0,1881.0,,,Comedy,Comedy,,,fre001073,,False
2601,,nadaud-proverbe-manque,Le Proverbe Manqué,Gustave Nadaud,Gustave Nadaud,,Q3121274,1881.0,1881.0,,,Comedy,Comedy,,,fre001074,,False
2602,,nizas-sauvage-en-france,Le Sauvage en France,Nizas,Nizas,,,1760.0,1760.0,,,Comedy,Comedy,,,fre001081,,False
2603,,normand-claqueurs,Les Claqueurs,Jacques Normand,Jacques Normand,,Q1330059,1882.0,1882.0,,1894-02-11,Comedy,Comedy,,,fre001082,,False
2604,,normand-tentations-d-antoine,Les Tentations d'Antoine,Jacques Normand,Jacques Normand,,Q1330059,1881.0,1881.0,,,Comedy,Comedy,,,fre001083,,False
2605,,onhet-aux-avants-postes,Aux Avant-Postes,Georges Onhet,Georges Onhet,,Q1393388,1732.0,1883.0,,,Comedy,Comedy,,,fre001084,,False
2606,,ormoy-zelmis,"Zelmis, ou La Jeune Sauvage",Charlotte D'Ormoy,Charlotte D'Ormoy,,Q103883184,1780.0,1780.0,,,,,,,fre001085,,False
2607,,ouville-absent-chez-soi,L'Absent chez Soi,Antoine Le Métel D'Ouville,Antoine Le Métel D'Ouville,,Q2854140,1642.0,1643.0,,,Comedy,Comedy,,,fre001086,,False
2608,,ouville-fausses-verites,Les Fausses Vérités,Antoine Le Métel D'Ouville,Antoine Le Métel D'Ouville,,Q2854140,1641.0,1643.0,,,Comedy,Comedy,,,fre001087,,False
2609,,ouville-soupcons,Les Soupçons sur les Apparences,Antoine Le Métel D'Ouville,Antoine Le Métel D'Ouville,,Q2854140,1641.0,1650.0,,,Comedy,Comedy,,,fre001088,102.0,False
2610,,ozicourt-romeo-juliette,Roméo et Juliette,M. D'Ouzicourt,M. D'Ouzicourt,,,1771.0,1771.0,,,,,,,fre001090,,False
2611,,pacaroni-bajazet-premier,Bajazet Premier,Pacarony,Pacarony,,,1739.0,1739.0,,1739-08-06,Tragedy,Tragedy,,,fre001091,,False
2612,,pain-riou-chouans,Les Chouans,Joseph-Marie Pain,Joseph Marie Pain,,,1794.0,1794.0,,1795-07-29,,,,,fre001093,,False
2613,,pain-appartement-a-louer,L'Appartement à Louer.,Joseph-Marie Pain,Joseph Marie Pain,,,1799.0,1799.0,,1799-03-04,Comedy,Comedy,,,fre001094,,False
2614,,palissot-barbier-de-bagdad,Le Barbier de Bagdad,Charles Palissot De Montenoy,Charles Palissot De Montenoy,,Q965322,1758.0,1760.0,,,Comedy,Comedy,,,fre001095,,False
2615,,palissot-cercle,Le Cercle ou Les Originaux,Charles Palissot De Montenoy,Charles Palissot De Montenoy,,Q965322,1755.0,1760.0,,1755-11-26,Comedy,Comedy,,,fre001096,,False
2616,,palissot-critique-tragedie-charles-ix,La Critique de la Tragédie Charles Ix de Chénier,Charles Palissot De Montenoy,Charles Palissot De Montenoy,,Q965322,1790.0,1790.0,,,Tragedy,Tragedy,,,fre001097,,False
2617,,palissot-ninus,Ninus Second,Charles Palissot De Montenoy,Charles Palissot De Montenoy,,Q965322,1788.0,1788.0,,,Tragedy,Tragedy,,,fre001098,,False
2618,,palissot-philosophes,Les Philosophes,Charles Palissot De Montenoy,Charles Palissot De Montenoy,,Q965322,1760.0,1760.0,,1760-05-02,Comedy,Comedy,,,fre001099,,False
2619,,palissot-tuteurs,Les Tuteurs,Charles Palissot De Montenoy,Charles Palissot De Montenoy,,Q965322,1760.0,1760.0,,1760-11-25,Comedy,Comedy,,,fre001100,,False
2620,,panard-rien,Le Rien,Charles-François Panard,Charles François Panard,,Q2958057,1753.0,1753.0,,1753-04-10,,,,,fre001101,,False
2621,,patrat-heureuse-erreur,L'Heureuse Erreur,Joseph Patrat,Joseph Patrat,,Q3185458,1783.0,1783.0,,1783-07-22,Comedy,Comedy,,,fre001102,,False
2622,,patrat-vengeance,La Vengeance,Joseph Patrat,Joseph Patrat,,Q3185458,1798.0,1798.0,,1798-10-31,Comedy,Comedy,,,fre001103,,False
2623,,pechantre-geta,Geta,Nicolas Péchantré,Nicolas Péchantré,,Q3340965,1687.0,1687.0,,1687-01-29,Tragedy,Tragedy,,,fre001104,,False
2624,,pellegrin-tibere,Tibère,"Abbé Pellegrin, Simon-Joseph","Abbé Pellegrin, Simon Joseph",,Q3484170,1726.0,1727.0,,1726-12-13,Tragedy,Tragedy,,,fre001105,,False
2625,,perin-camille-desmoulins,Camille Desmoulins,Frédéric Périn,Frédéric Périn,,,1849.0,1849.0,,,,,,,fre001107,,False
2626,,pesselier-esope-au-parnasse,Esope au Parnasse,Charles-Étienne Pesselier,Charles Étienne Pesselier,,Q2958352,1739.0,1740.0,,1739-10-14,Comedy,Comedy,,,fre001108,,False
