BD id,Raw Name,Author,Normalized author,Date,Title,Genre ,Éditeur,Téléchargements,wikidataId Author,Author
43,corneillet_mortannibal.xml,"Corneille, Thomas",Thomas Corneille,1669,La Mort d'Annibal. Tragédie.,Tragédie,Caroline Descotes,"epub, kindle, tei, pdf",Q551787,Corneille
44,corneillet_comtesseorgueil.xml,"Corneille, Thomas",Thomas Corneille,1671,La Comtesse d'orgueil. Comédie,Comédie,Thierry Simoncello,"epub, kindle, tei, pdf",Q551787,Corneille
45,corneillet_mortdachille.xml,"Corneille, Thomas",Thomas Corneille,1673,La Mort d'Achille. Tragédie,Tragédie,Étienne Mahieux,"epub, kindle, tei, pdf",Q551787,Corneille
46,corneillet_theodat.xml,"Corneille, Thomas",Thomas Corneille,1673,Théodat. Tragédie,Tragédie,Olivia Leroux,"epub, kindle, tei, pdf",Q551787,Corneille
47,corneillet_inconnu.xml,"Corneille, Thomas",Thomas Corneille,1675,L'Inconnu?. Comédie mêlée d'ornements,Comédie,Oriane Morvan,"epub, kindle, tei, pdf",Q551787,Corneille
48,corneillet_psyche.xml,"Corneille, Thomas",Thomas Corneille,1678,Psyché. Tragédie,Tragédie,Luke Arnason,"epub, kindle, tei, pdf",Q551787,Corneille
49,corneillet_bellerophon.xml,"Corneille, Thomas",Thomas Corneille,1679,Bellerophon. Tragédie,Tragédie,Sévag Tachdjian,"epub, kindle, tei, pdf",Q551787,Corneille
50,corneillet_medee.xml,"Corneille, Thomas",Thomas Corneille,1693,Médée. Tragédie,Tragédie,Nathalie Tramieux,"epub, kindle, tei, pdf",Q551787,Corneille
51,cubieres_mortmoliere.xml,"Cubières-Palmézeaux, Michel de",Michel De Cubières-Palmézeaux,1788,"La Mort de Molière. Pièce en trois actes, en vers [Pièce historique, en quatre actes en vers, et à spectacle]",,Emmanuelle Taton,"epub, kindle, tei, pdf",Q55025770,Cubières-Palmézeaux
52,desfontaines_eurimedon.xml,"Desfontaines, Nicolas",Nicolas Desfontaines,1637,Eurimédon ou l'Illustre pirate. Tragi-comédie,Tragi-comédie,Loraine Pierron,"epub, kindle, tei, pdf",Q3340576,Desfontaines
53,desfontaines_belisaire.xml,"Desfontaines, Nicolas",Nicolas Desfontaines,1641,Bélisaire. Tragi-comédie,Tragi-comédie,Claire Chaineaux,"epub, kindle, tei, pdf",Q3340576,Desfontaines
54,desfontaines_perside.xml,"Desfontaines, Nicolas",Nicolas Desfontaines,1644,"Perside, ou la Suite d'Ibrahim Bassa. Tragédie.",Tragédie,Camille Neumuller Maleval,"epub, kindle, tei, pdf",Q3340576,Desfontaines
55,desfontaines_veritablesemiramis.xml,"Desfontaines, Nicolas",Nicolas Desfontaines,1647,La Véritable Sémiramis. Tragédie,Tragédie,Camille Fréjaville,"epub, kindle, tei, pdf",Q3340576,Desfontaines
56,desmares_roxelane.xml,Desmares,Desmares,1643,Roxelane. Tragi-comédie,Tragi-comédie,Lucie Soureillat,"epub, kindle, tei, pdf",Q56087083,Desmares
57,discret_nocesdevaugirard.xml,"Discret, L. C.",L. C. Discret,1638,"Les Noces de Vaugirard, ou Les Naifvetez champestres. Pastorale",Pastorale,Luca Falcone,"epub, kindle, tei, pdf",Q29985439,Discret
58,donneaudevise_damesvengees.xml,"Donneau de Vizé, Jean",Jean Donneau De Vizé,1695,Les Dames vangées ou La Dupe de soy mesme. Comédie,Comédie,Sophie Tavenne,"epub, kindle, tei, pdf",Q3171779,Donneau de Vizé
59,dorimond_amoursdetrapolin.xml,Dorimond,Dorimond,1662,La comédie de la comédie et Les amours de Trapolin,Comédie,Daphné Dinard,"epub, kindle, tei, pdf",Q3037045,Dorimond
60,duryer_lisandrecaliste.xml,"Du Ryer, Pierre",Pierre Du Ryer,1632,Lisandre et Caliste. Tragi-comédie.,Tragi-comédie,Anne-Karine Messonnet,"epub, kindle, tei, pdf",Q2633293,Du Ryer
61,duryer_cleomedon.xml,"Du Ryer, Pierre",Pierre Du Ryer,1636,Cléomédon. Tragi-comédie.,Tragi-comédie,Coralie Fenin,"epub, kindle, tei, pdf",Q2633293,Du Ryer
62,duryer_berenice.xml,"Du Ryer, Pierre",Pierre Du Ryer,1645,Bérénice. Tragi-comédie en prose.,Tragi-comédie,Marjolaine Georges,"epub, kindle, tei, pdf",Q2633293,Du Ryer
63,durval_agarite.xml,"Durval, Jean-Gilbert",Jean-Gilbert Durval,1636,Agarite. Tragi-comédie,Tragi-comédie,Marine Jeannoutot,"epub, kindle, tei, pdf",Q117165420,Durval
64,gilbert_arieetpetus.xml,Gilbert,Gilbert,,"Arie et Petus, ou les amours de Neron. Tragedie",Tragedie,Paloma Gressien,"epub, kindle, tei, pdf",Q1291302,Gilbert
65,gilbert_telephonte.xml,"Gilbert, Gabriel",Gabriel Gilbert,1642,Téléphonte. Tragi-comédie,Tragi-comédie,Amaïa Chuburu,"epub, kindle, tei, pdf",Q1291302,Gilbert
66,gilbert_amoursdovide.xml,"Gilbert, Gabriel",Gabriel Gilbert,1663,Les Amours d'Ovide. Pastorale héroïque,Pastorale héroïque,Valérie Louchart,"epub, kindle, tei, pdf",Q1291302,Gilbert
67,gillet_triomphedespassions.xml,Gillet de La Tessonerie,Gillet De La Tessonerie,1642,Le Triomphe des cinq passions. Tragi-comédie.,Tragi-comédie,Bran Raluca-Dana,"epub, kindle, tei, pdf",Q5562124,Gillet de La Tessonerie
68,gillet_deniaise.xml,Gillet de La Tessonerie,Gillet De La Tessonerie,1647,Le Desniaisé. Comédie,Comédie,Émilie Duruisseau,"epub, kindle, tei, pdf",Q5562124,Gillet de La Tessonerie
69,gillet_de_la_tessonerie_mort_valentinian_et_isidore.xml,Gillet de La Tessonerie,Gillet De La Tessonerie,1648,La Mort de Valentinian et d’Isidore,Tragédie,Joanna Thomas,"epub, kindle, tei, pdf",Q5562124,Gillet de La Tessonerie
70,gougenot_fideletromperie.xml,"Gougenot, Nicolas",Nicolas Gougenot,1633,La Fidelle Tromperie. Tragi-comédie,Tragi-comédie,Magalie Rabot,"epub, kindle, tei, pdf",Q3340369,Gougenot
71,gouges_moliereninon.xml,"Gouges, Olympe de",Olympe De Gouges,1788,Molière chez Ninon ou Le siècle des grands hommes. Pièce épisodique en prose et en cinq actes.,,Céline Grihard,"epub, kindle, tei, pdf",Q206972,Gouges
72,grenaille_innocentmalheureux.xml,"Grenaille, François de",François De Grenaille,1639,L'Innocent malheureux ou La Mort de Crispe. Tragédie,Tragédie,,"epub, kindle, tei, pdf",Q930264,Grenaille
73,guerindebouscal_domquichot2.xml,"Guérin de Bouscal, Daniel",Daniel Guérin De Bouscal,1640,"Dom Quichot de la Manche, seconde partie",Comédie,Kevin Annelot,"epub, kindle, tei, pdf",Q5622850,Guérin de Bouscal
74,guerindebouscal_mortbrute.xml,"Guérin de Bouscal, Guyon",Guyon Guérin De Bouscal,1637,"La Mort de Brute et de Porcie, ou La vengeance de la mort de César. Tragédie",Tragédie,Yann Ombrouck,"epub, kindle, tei, pdf",Q5622850,Guérin de Bouscal
75,guerindebouscal_domquichot1.xml,"Guérin de Bouscal, Guyon",Guyon Guérin De Bouscal,1639,Dom Quixote de la Manche. Comédie,Comédie,Kevin Annelot,"epub, kindle, tei, pdf",Q5622850,Guérin de Bouscal
76,guerindebouscal_filsdesavoue.xml,"Guérin de Bouscal, Guyon",Guyon Guérin De Bouscal,1641,Le Fils désavoué. Tragi-comédie,Tragi-comédie,Valérie Sinson,"epub, kindle, tei, pdf",Q5622850,Guérin de Bouscal
77,hardy_meleagre.xml,"Hardy, Alexandre",Alexandre Hardy,1624,Méléagre. Tragédie,Tragédie,Boucebia Maghda,"epub, kindle, tei, pdf",Q1393375,Hardy
78,hauteroche_amantquineflattepoint.xml,"Hauteroche, Noël Lebreton",Noël Lebreton Hauteroche,1669,L'amant qui ne flatte point,Comédie,Maé Touitou,"epub, kindle, tei, pdf",Q3345844,Hauteroche
79,hauteroche_crispinmusicien.xml,"Hauteroche, Noël Lebreton",Noël Lebreton Hauteroche,1674,Crispin musicien. Comédie,Comédie,Cécile Gervais,"epub, kindle, tei, pdf",Q3345844,Hauteroche
80,estoile_belleesclave.xml,"L'Estoile, Claude de",Claude De L'Estoile,1643,La Belle Esclave. Tragi-comédie,Tragi-comédie,Mélanie Meyers,"epub, kindle, tei, pdf",Q1237752,L'Estoile
81,estoile_intriguedesfilous.xml,"L'Estoile, Claude de",Claude De L'Estoile,1648,L'Intrigue des filous. Comédie,Comédie,Jie Chen,"epub, kindle, tei, pdf",Q1237752,L'Estoile
82,calprenede_phalante.xml,"La Calprenède, Gautier de Coste",Gautier De Coste La Calprenède,1642,Phalante. Tragédie.,Tragédie,Camille Loiseau,"epub, kindle, tei, pdf",Q1496335,La Calprenède
83,chapelle_zaide.xml,La Chapelle,La Chapelle,1681,Zaïde. Tragédie,Tragédie,NC,"epub, kindle, tei, pdf",Q3175477,La Chapelle
84,lagrangechancel_oresteetpilade.xml,"La Grange-Chancel, François-Joseph de",François-Joseph De La Grange-Chancel,1697,Oreste et Pilade. Tragédie,Tragédie,Laura Ferrucci,"epub, kindle, tei, pdf",Q725459,La Grange-Chancel
85,legrand_aveugleclairvoyant.xml,"Legrand, Marc-Antoine",Marc-Antoine Legrand,1716,L'Aveugle clair-voyant. Comédie,Comédie,Sonia Naudin,"epub, kindle, tei, pdf",Q3287662,Legrand
86,Magnon_Josaphat.xml,"Magnon, Jean",Jean Magnon,1647,Josaphat. TRAGI-COMÉDIE.,Tragi-comédie,Laure MARIN-PACHE,"epub, kindle, tei, pdf",Q6171081,Magnon
87,magnon_tamerlan.xml,"Magnon, Jean",Jean Magnon,1648,Le Grand Tamerlan et Bajazet. Tragédie,Tragédie,Maud Vervueren,"epub, kindle, tei, pdf",Q6171081,Magnon
88,mareschaL_soeurvaleureuse.xml,"Mareschal, André",André Mareschal,1634,La Soeur valeureuse ou l'Aveugle amante. Tragi-comédie,Tragi-comédie,Stéphanie Le Foll,"epub, kindle, tei, pdf",Q2848243,Mareschal
89,mareschal_dictateurromain.xml,"Mareschal, André",André Mareschal,1646,Le Dictateur romain. Tragédie.,Tragédie,Marion Descol,"epub, kindle, tei, pdf",Q2848243,Mareschal
90,monleon_thyeste.xml,"Monléon, De",De Monléon,1638,Le Thyeste. Tragédie,Tragédie,Delphine Rosenthal,"epub, kindle, tei, pdf",ID0002,Monléon
91,montfleury_marisansfemmemanuscrit.xml,"Montfleury, Antoine Jacob",Antoine Jacob Montfleury,1664,Le Mary sans femme. Comédie,Comédie,Gwendolyn Kergoulay,"epub, kindle, tei, pdf",Q4775492,Montfleury
92,montfleury_gentilhommedebeauce.xml,"Montfleury, Antoine Jacob",Antoine Jacob Montfleury,1670,Le Gentilhomme de Beauce. Comédie,Comédie,Élodie Bénard,"epub, kindle, tei, pdf",Q4775492,Montfleury
93,montfleury_fillecapitaine.xml,"Montfleury, Antoine Jacob",Antoine Jacob Montfleury,1672,La Fille capitaine. Comédie,Comédie,Marine Secchi,"epub, kindle, tei, pdf",Q4775492,Montfleury
94,montfleury_trigaudin.xml,"Montfleury, Antoine Jacob",Antoine Jacob Montfleury,1674,Trigaudin ou Martin Braillart. Comédie,Comédie,Adeline Garnier,"epub, kindle, tei, pdf",Q4775492,Montfleury
95,montfleury_marisansfemme.xml,"Montfleury, Antoine Jacob",Antoine Jacob Montfleury,1705,Le Mary sans femme. Comédie,Comédie,Gwendolyn Kergoulay,"epub, kindle, tei, pdf",Q4775492,Montfleury
96,ouville_espritfolet.xml,"Ouville, Antoine d'",Antoine d'Ouville,1642,L'Esprit folet. Comédie,Comédie,Elsa Jollès,"epub, kindle, tei, pdf",Q2854140,Ouville
97,ouville_absentchezsoi.xml,"Ouville, Antoine d'",Antoine d'Ouville,1643,L'Absent chez soy. Comédie,Comédie,Céline Fournial,"epub, kindle, tei, pdf",Q2854140,Ouville
98,ouville_damesuivante.xml,"Ouville, Antoine d'",Antoine d'Ouville,1643,La Dame suivante. Comédie,Comédie,Fabienne Sebert,"epub, kindle, tei, pdf",Q2854140,Ouville
99,ouville_faussesverites.xml,"Ouville, Antoine d'",Antoine d'Ouville,1643,Les Fausses Vérités. Comédie,Comédie,Farida María Höfer y Tuñón,"epub, kindle, tei, pdf",Q2854140,Ouville
100,ouville_jodeletastrologue.xml,"Ouville, Antoine d'",Antoine d'Ouville,1646,Jodelet astrologue. Comédie,Comédie,Pauline Barraud,"epub, kindle, tei, pdf",Q2854140,Ouville
101,ouville_coifeusealamode.xml,"Ouville, Antoine d'",Antoine d'Ouville,1647,La Coifeuse à la mode. Comédie,Comédie,Pauline du Chayla,"epub, kindle, tei, pdf",Q2854140,Ouville
102,ouville_soupcons.xml,"Ouville, Antoine d'",Antoine d'Ouville,1650,Les Soupçons sur les apparences. Héroïco-comédie,Comédie,Clotilde Avel,"epub, kindle, tei, pdf",Q2854140,Ouville
103,perrin_pomone.xml,"Perrin, Pierre ; Cambert, Robert",Pierre Perrin,1671,"Pomone, pastorale en musique",Pastorale,Pauline Schill,"epub, kindle, tei, pdf",Q3294482,Perrin
104,perrin_pomonelivret.xml,"Perrin, Pierre ; Cambert, Robert",Pierre Perrin,1671,"Livret de Pomone, pastorale en musique",Pastorale,Pauline Schill,"epub, kindle, tei, pdf",Q3294482,Perrin
105,prade_arsace.xml,"Prade, Jean Le Royer",Jean Le Royer Prade,1640,"Arsace, Roy des Parthes",Tragédie,Anne Tannhof,"epub, kindle, tei, pdf",Q3173110,Prade
106,prade_annibal.xml,"Prade, Jean Le Royer de",Jean Le Royer De Prade,1649,Annibal,Tragi-comédie,Alix Feiereisen,"epub, kindle, tei, pdf",Q3173110,Prade
107,pradon_pirame.xml,"Pradon, Nicolas",Nicolas Pradon,1674,Pirame et Thisbé. Tragédie,Tragédie,Sophie Jochum,"epub, kindle, tei, pdf",Q3340704,Pradon
108,pradon_tamerlan.xml,"Pradon, Nicolas",Nicolas Pradon,1676,Tamerlan ou la Mort de Bajazet. Tragédie,Tragédie,Marine Souchier,"epub, kindle, tei, pdf",Q3340704,Pradon
109,pradon_regulus.xml,"Pradon, Nicolas",Nicolas Pradon,1688,Régulus. Tragédie,Tragédie,Andrea Siani,"epub, kindle, tei, pdf",Q3340704,Pradon
110,pradon_scipion.xml,"Pradon, Nicolas",Nicolas Pradon,1697,Scipion l'Africain. Tragédie,Tragédie,Chloé Beaucamp,"epub, kindle, tei, pdf",Q3340704,Pradon
111,pugetdelaserre_thomas_morus.xml,"Puget de La Serre, Jean",Jean Puget De La Serre,1642,Thomas Morus ou le triomphe de la foi et de la constance,Tragédie,Gautier Devaux,"epub, kindle, tei, pdf",Q3174141,Puget de La Serre
112,pugetdelaserre_martyredesaintecatherine.xml,"Puget de La Serre, Jean",Jean Puget De La Serre,1643,Le Martyre de sainte Catherine. Tragédie en prose,Tragédie en prose,Judith Fischer,"epub, kindle, tei, pdf",Q3174141,Puget de La Serre
113,quinault_fantomeamoureux.xml,"Quinault, Philippe",Philippe Quinault,1657,Le Fantôme amoureux. Tragi-comédie,Tragi-comédie,Gabrielle Jeanselme,"epub, kindle, tei, pdf",Q379947,Quinault
114,quinault_agrippa.xml,"Quinault, Philippe",Philippe Quinault,1663,Agrippa ou le Faux Tiberinus,Tragi-comédie,Krysia Roginski,"epub, kindle, tei, pdf",Q379947,Quinault
115,quinault_pausanias.xml,"Quinault, Philippe",Philippe Quinault,1669,Pausanias. Tragédie,Tragédie,Marie-Émilie Papet,"epub, kindle, tei, pdf",Q379947,Quinault
116,rayssiguier_la_bourgeoise.xml,"Rayssiguier, De",De Rayssiguier,1633,"La Bourgeoise ou, la promenade de S. Cloud. Tragi-comédie",Tragi-comédie,Erwan MORIO,"epub, kindle, tei, pdf",Q123462147,Rayssiguier
117,rayssiguier_palinice.xml,"Rayssiguier, De",De Rayssiguier,1634,"Palinice, Circeine et Florice. Tragi-comédie pastorale tirée de l'Astrée",Tragi-comédie ,Fallom Tay,"epub, kindle, tei, pdf",Q123462147,Rayssiguier
118,sallebray_amante_ennemie.xml,Sallebray,Sallebray,1640,L'Amante ennemie,Tragi-comédie,M’HAMED Nawal,"epub, kindle, tei, pdf",Q3469945,Sallebray
119,sallebray_belleegyptienne.xml,Sallebray,Sallebray,1642,La Belle Égyptienne. Tragi-comédie,Tragi-comédie,Melanie Slaviero,"epub, kindle, tei, pdf",Q3469945,Sallebray
120,scudery_orante.xml,"Scudéry, Georges de",Georges De Scudéry,1635,Orante. Tragi-comédie,Tragi-comédie,Vanessa Thomann,"epub, kindle, tei, pdf",Q772240,Scudéry
121,scudery_filssuppose.xml,"Scudéry, Georges de",Georges De Scudéry,1636,Le Fils supposé. Comédie,Comédie,Alexandra Dias Vieira,"epub, kindle, tei, pdf",Q772240,Scudéry
122,scudery_vassalgenereux.xml,"Scudéry, Georges de",Georges De Scudéry,1636,Le Vassal généreux. Tragi-comédie,Tragi-comédie,,"epub, kindle, tei, pdf",Q772240,Scudéry
123,somaize_precieusesridicules.xml,"Somaize, Antoine Baudeau",Antoine Baudeau Somaize,1660,"Les Prétieuses Ridicules. Comédie représentée au Petit Bourbon, nouvellement mise en vers.",Comédie,Léa Delourme,"epub, kindle, tei, pdf",Q585641,Somaize
124,somaize_procesprecieuses.xml,"Somaize, Antoine Baudeau",Antoine Baudeau Somaize,1660,Le Procès des Prétieuses en vers burlesques. Comédie.,Comédie,Léa Delourme,"epub, kindle, tei, pdf",Q585641,Somaize
125,somaize_veritablesprecieuses.xml,"Somaize, Antoine Baudeau",Antoine Baudeau Somaize,1660,Les Véritables Prétieuses. Comédie.,Comédie,Léa Delourme,"epub, kindle, tei, pdf",Q585641,Somaize
126,desjardins_manlius.xml,"Villedieu, Marie-Catherine de",Marie-Catherine De Villedieu,1662,Manlius. Tragi-comédie,Tragi-comédie,Hélène Canini,"epub, kindle, tei, pdf",Q464422,Villedieu
127,dalibray_torrismon.xml,"Vion, Charles de",Charles De Vion,1636,Le Torrismon du Tasse,Tragédie,Camille Basseville,"epub, kindle, tei, pdf",Q2960722,Vion
128,dalibray_soliman.xml,"Vion, Charles de",Charles De Vion,1637,Le Soliman,Tragi-comédie,Marie-Pauline Martin,"epub, kindle, tei, pdf",Q2960722,Vion
