VALEUR,alexandre,perdiccas,oronte,clairance,argire,oraxene,clarice,porus,arsacide,arsarcide,orontesenallant,porusbas,oraxenecontinue,perdicas,phradate
clarice,0.020512820512820544,0.8076923076923077,0.34615384615384615,0.8903133903133906,1.5,0.6205128205128202,20.346153846153843,0.10683760683760682,1.153846153846154,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539
porus,0.4153846153846151,1.5402930402930401,0.27350427350427353,0.32051282051282026,0.16666666666666666,0.08205128205128218,0.10683760683760682,7.538461538461539,1.2320512820512812,1.2564102564102562,0.6282051282051281,0.6282051282051281,0.46153846153846156,0.46153846153846156,0.46153846153846156
arsacide,0.3461538461538461,0.03516483516483523,0.6205128205128202,0.6170940170940172,0.8,0.006153846153846145,1.153846153846154,1.2320512820512812,9.846153846153845,1.9692307692307693,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464
arsarcide,0.0692307692307692,0.5384615384615384,2.5641025641025634,0.6923076923076923,1.0,0.7692307692307693,0.23076923076923078,1.2564102564102562,1.9692307692307693,22.153846153846157,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
orontesenallant,0.38461538461538464,0.2692307692307692,0.11538461538461539,1.235042735042735,0.5,0.38461538461538464,0.11538461538461539,0.6282051282051281,0.38461538461538464,0.07692307692307693,24.038461538461537,24.038461538461537,0.038461538461538464,0.038461538461538464,0.038461538461538464
orontesenallant,0.38461538461538464,0.2692307692307692,0.11538461538461539,1.235042735042735,0.5,0.38461538461538464,0.11538461538461539,0.6282051282051281,0.38461538461538464,0.07692307692307693,24.038461538461537,24.038461538461537,0.038461538461538464,0.038461538461538464,0.038461538461538464
oraxenecontinue,0.38461538461538464,0.2692307692307692,0.11538461538461539,1.235042735042735,0.5,0.9846153846153847,0.11538461538461539,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,24.038461538461537,0.038461538461538464,0.038461538461538464
perdicas,0.38461538461538464,1.983516483516484,0.11538461538461539,0.34615384615384615,0.5,0.9846153846153847,0.11538461538461539,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,24.038461538461537,0.038461538461538464
phradate,0.38461538461538464,0.2692307692307692,0.11538461538461539,0.34615384615384615,0.5,0.38461538461538464,0.11538461538461539,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,24.038461538461537
Successions,alexandre,perdiccas,oronte,clairance,argire,oraxene,clarice,porus,arsacide,arsarcide,orontesenallant,porusbas,oraxenecontinue,perdicas,phradate
alexandre,0.0,0.13157894736842105,0.0,0.02631578947368421,0.2894736842105263,0.02631578947368421,0.02631578947368421,0.3157894736842105,0.18421052631578946,0.0,0.0,0.0,0.0,0.0,0.0
perdiccas,0.23529411764705882,0.029411764705882353,0.029411764705882353,0.47058823529411764,0.058823529411764705,0.08823529411764706,0.0,0.029411764705882353,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
oronte,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clairance,0.045454545454545456,0.36363636363636365,0.022727272727272728,0.0,0.13636363636363635,0.2727272727272727,0.11363636363636363,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0
argire,0.10294117647058823,0.04411764705882353,0.0,0.1323529411764706,0.014705882352941176,0.08823529411764706,0.04411764705882353,0.45588235294117646,0.014705882352941176,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.07352941176470588
oraxene,0.0,0.05405405405405406,0.0,0.32432432432432434,0.13513513513513514,0.0,0.05405405405405406,0.02702702702702703,0.3783783783783784,0.0,0.0,0.0,0.0,0.02702702702702703,0.0
clarice,0.0,0.0,0.0,0.18181818181818182,0.6363636363636364,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
porus,0.25396825396825395,0.0,0.015873015873015872,0.015873015873015872,0.4444444444444444,0.031746031746031744,0.0,0.0,0.20634920634920634,0.031746031746031744,0.0,0.0,0.0,0.0,0.0
arsacide,0.07692307692307693,0.15384615384615385,0.0,0.02564102564102564,0.05128205128205128,0.28205128205128205,0.0,0.41025641025641024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arsarcide,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orontesenallant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
porusbas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oraxenecontinue,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
porusbas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phradate,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
