,carmontelle-condamnez-sans-entendre,carmontelle-statue,Cost,Operation Type
10,"('#le-marquis', ""Je n'avais pas pensé que demeurer à Auteuil c'est être à Paris."")","('#le-marquis', ""Je n'avais pas pensé que demeurer à Auteuil c'est être à Paris."")",0,Match
11,"('#le-baron', ""C'est là ce qui vous fait retarder votre mariage ?"")","('#le-baron', ""C'est là ce qui vous fait retarder votre mariage ?"")",0,Match
12,"('#le-marquis', ""Sans doute : la comtesse a désiré découvrir Paris, le goût de la dissipation s'est emparé d'elle ; par exemple, les airs l'ont entraînée ; les plaisirs, les diverses connaissances, tout a contribué à la distraire de l'amour que je croyais qu'elle avait pour moi."")","('#le-marquis', ""Sans doute.  La Comtesse a désiré de voir Paris ; le goût de la dissipation s'est emparé d'elle ; l'exemple, les airs l'ont entraînée ; les plaisirs, les diverses connaissances, tout a contribué à la distraire de l'amour que je croyais qu'elle avait pour moi."")",0,Match
13,"('#le-baron', 'Ne la suiviez-vous pas dans ces différents amusements ?')","('#le-baron', 'Ne la suiviez-vous pas dans ces différents amusements ?')",0,Match
14,"('#le-marquis', ""Oui, mais semblable à l'homme qui donne le bras à une femme au bal, c'était moi dont elle était le moins occupée : témoin de toutes les agaceries qu'elle faisait, de ce désir de plaire à la multitude, mon coeur sans cesse déchiré ne put soutenir de la suivre en étant ainsi oublié, et j'ai voulu laisser passer les premiers moments de l'ivresse où tant d'objets nouveaux l'avaient plongée."")","('#le-marquis', ""Oui ; mais semblable à l'homme qui donne le bras à une femme au bal, c'était moi dont elle était le moins occupée : témoin de toutes les agaceries qu'elle faisait, de ce désir de plaire à la multitude, mon coeur sans cesse déchiré ne put soutenir de la suivre en étant ainsi oublié ; et j'ai voulu laisser passer les premiers moments d'ivresse où tant d'objets nouveaux l'avaient plongée."")",0,Match
15,"('#le-baron', ""Sans lui faire aucun reproche de cette espèce d'oubli ?"")","('#le-baron', ""Sans lui faire aucun reproche de cette espèce d'oubli ?"")",0,Match
16,"('#le-marquis', ""Les reproches ne ramènent point un coeur : ils font craindre à une femme qu'on ne veuille attenter à sa liberté, et ils finissent par l'aigrir et par l'éloigner."")","('#le-marquis', ""Les reproches ne ramènent point un coeur : ils font craindre à une femme qu'on ne veuille attenter à sa liberté ; et ils finissent par l'aigrir et par l'éloigner."")",0,Match
17,"('#le-baron', ""Elle est peut-être piquée de votre froideur, du peu d'empressement que vous montrez à l'épouser, ne l'ayant amenée à Paris que dans ce dessein."")","('#le-baron', ""Elle est peut-être piquée de votre froideur, du peu d'empressement que vous montrez de l'épouser, ne l'ayant amenée à Paris que dans ce dessein ?"")",0,Match
18,"('#le-marquis', ""Bien loin de pouvoir m'en flatter, je ne lis plus que de l'indifférence dans ses yeux."")","('#le-marquis', ""Bien loin de pouvoir m'en flatter, je ne lis plus que de l'indifférence dans ses yeux."")",0,Match
19,"('#le-baron', 'Et dans les vôtres y voit-elle la même vivacité ?')","('#le-baron', 'Et dans les vôtres, y voit-elle la même vivacité ?')",0,Match
20,"('#le-marquis', 'Cherche-t-elle seulement à pénétrer ce qui se passe dans mon âme ?')","('#le-marquis', 'Cherche-t-elle seulement à pénétrer ce qui se passe dans mon âme ?')",0,Match
21,"('#le-baron', ""Au lieu de vous livrer à la douleur que ne lui parlez-vous ?  Le manque de confiance éloigne souvent des coeurs faits pour s'aimer toujours.  Permettez-moi de vous servir, je veux..."")","('#le-baron', ""Au lieu de vous livrer à la douleur, que ne lui parlez-vous ?  Le manque de confiance éloigne souvent des coeurs faits pour s'aimer toujours. Permettez-moi de vous servir ; je veux."")",0,Match
22,"('#le-marquis', ""Non, mon cher baron, il serait inutile.  Cette froideur n'est pas encore le seul reproche que je puisse faire à la Comtesse."")","('#le-marquis', ""Non, mon cher Baron, il serait inutile.  Cette froideur encore n'est pas le seul reproche que je puisse faire à la Comtesse.  Comment ?"")",0,Match
23,"('#le-baron', 'Comment ?')",,1,Insertion
24,"('#le-marquis', ""Un goût nouveau m'a entièrement banni de son coeur : le chevalier s'est occupé de lui plaire et il n'y a que trop réussi."")","('#le-marquis', ""Un goût nouveau m'a entièrement banni de son coeur.  Le Chevalier s'est occupé de lui plaire, et il n'y a que trop réussi."")",0,Match
25,"('#le-baron', ""Vous verrez que c'est encore une autre erreur."")","('#le-baron', ""Vous verrez que c'est encore une autre erreur."")",0,Match
26,"('#le-marquis', ""Mon malheur ne me permet pas de douter : un coeur qui sait aimer reconnaît facilemment quand il a un rival qu'on lui préfère."")","('#le-marquis', ""Mon malheur ne me permet pas d'en douter ; un coeur qui sait aimer connaît facilement quand il a un rival qu'on lui préfère."")",0,Match
27,"('#le-baron', ""Les amants sont souvent injustes lorsqu'ils sont jaloux ; mais quel est donc votre espoir ?"")","('#le-baron', ""Les amants sont souvent injustes lorsqu'ils sont jaloux.  Mais quel est donc votre espoir ?"")",0,Match
28,"('#le-marquis', 'Hélas !  Aucun.')","('#le-marquis', 'Hélas, aucun !')",0,Match
29,"('#le-baron', ""Et cet objet de consolation que vous devez goûter ici, quel est-il ?  Vous proposez-vous de devenir infidèle avec tant d'amour ?"")","('#le-baron', ""Et cet objet de consolation que vous devez goûter ici, quel est-il ?  Vous proposez-vous de devenir infidèle, avec tant d'amour ?"")",0,Match
30,"('#le-marquis', ""J'en suis bien éloigné : je ne veux jamais cesser d'aimer la comtesse, je veux ici la regretter toujours, et y adorer son image, que moi seul y verra."")","('#le-marquis', ""J'en suis bien éloigné.  Je ne veux jamais cesser d'aimer la Comtesse ; je veux ici la regretter toujours, et y adorer son image, que moi seul y verrai."")",0,Match
31,"('#le-baron', 'Je ne vous comprends point.')","('#le-baron', 'Je ne vous comprends point.')",0,Match
32,"('#le-marquis', ""Je vais vous expliquer ce mystère ; ceci vous paraîtra un peu romanesque, mais n'importe.  Ce bosquet, caché dans l'épaisseur de ce bois, vient d'être ***i depuis huit jours : je l'avais consacré à la comtesse ; je comptais l'y amener le lendemain de mon mariage et l'y surprendre agréablement, en lui faisant voir une statue qui la représente.  Malheureusement, hélas !  Ce n'est plus le temps de penser à faire cette galanterie !  J'ai fait cacher cette figure derrière ce treillage qui se sépare et la laisse voir quand je veux, en poussant un souple ressort.  Voilà, mon ami, la divinité que je veux adorer le reste de ma vie."")","('#le-marquis', ""Je vais vous expliquer ce mystère.  Ceci vous paraîtra un peu romanesque ; mais n'importe.  Ce bosquet, caché dans l'épaisseur de ce bois, vient d'être fini depuis huit jours : je l'avais consacré à la Comtesse ; je comptais l'y amener le lendemain de mon mariage, et l'y surprendre agréablement, en lui faisant voir une statue qui la représente.  Malheureusement, hélas !  Ce n'est plus le temps de penser à faire cette galanterie !  J'ai fait cacher cette figure derrière ce treillage, qui se sépare et la laisse voir quand je veux, en poussant un simple ressort.  Voilà, mon ami, la divinité que je veux adorer le reste de ma vie."")",0,Match
33,"('#le-baron', ""C'est un délire que ce projet : je veux absolument vous en guérir, et..."")","('#le-baron', ""C'est un délire que ce projet ; je veux absolument vous en guérir, et..."")",0,Match
34,"('#le-marquis', ""J'entends quelqu'un : c'est la voix de la Comtesse et celle de sa nièce.  Comment ont-elles pu pénétrer jusqu'ici ?  Tâchez de le découvrir, je m'enfuis ; restez un moment avec elles, et revenez me trouver, nous choisirons le temps où elles seront rentrées pour revenir ici. Il s'échappe."")","('#le-marquis', ""J'entends quelqu'un ; c'est la voix de la Comtesse et celle de sa nièce. Comment ont-elles pu pénétrer jusqu'ici ? Tâchez de le découvrir ; je m'enfuis ; restez un moment avec elles, et revenez me trouver. Nous choisirons le temps où elles seront rentrées, pour revenir ici. Il s'échappe."")",0,Match
35,"('#la-comtesse', ""Ah !  Monsieur_le_Baron, vous connaissez ce bosquet que le Marquis vient de faire faire et qu'il nous cachait ?"")","('#la-comtesse', ""Ah, monsieur le Baron !  Vous connaissez ce bosquet que le Marquis vient de faire faire, et qu'il nous cachait ?"")",0,Match
36,"('#le-baron', 'Madame, je le vois pour la première fois.')","('#le-baron', 'Madame, je le vois pour la première fois.')",0,Match
37,"('#la-comtesse', ""Le hasard me l'a fait découvrir : je cherchais un endroit écarté pour causer avec ma nièce, et je ne croyais pas en trouver un aussi agréable.  Mais vous étiez avec le Marquis ?"")","('#la-comtesse', ""Le hasard me l'a fait découvrir.  Je cherchais un endroit écarté pour causer avec ma nièce, et je ne croyais pas en trouver un aussi agréable.  Mais vous étiez avez le Marquis ?"")",0,Match
38,"('#le-baron', 'Oui, madame.')","('#le-baron', 'Oui, Madame.')",0,Match
39,"('#la-comtesse', 'Mais que faisiez-vous donc ici ?  Il vous montrait son ouvrage apparemment ?')","('#la-comtesse', 'Que faisiez-vous donc ici ?  Il vous montrait son ouvrage apparemment ?')",0,Match
40,"('#le-baron', ""Il est vrai, mais vous avez affaire avec mademoiselle, ainsi...  Il s'en va."")","('#le-baron', ""Il est vrai ; mais vous avez affaire avec Mademoiselle, ainsi.. Il s'en va."")",0,Match
41,"('#la-comtesse', ""Nous vous reverrons : vous ne retournez pas aujourd'hui à Paris ?"")","('#la-comtesse', ""Nous vous reverrons ; vous ne retournez pas aujourd'hui à Paris ?"")",0,Match
42,"('#le-baron', ""Non, madame, je n'irai que demain."")","('#le-baron', ""Non, madame, je n'irai que demain."")",0,Match
43,"('#la-comtesse', ""Il m'évite : il connaît sans doute l'infidélité du marquis, et il peut l'approuver !"")","('#la-comtesse', ""Il m'évite ; il connaît sans doute l'infidélité du Marquis ; et il peut l'approuver !"")",0,Match
44,"('#mademoiselle-de-richeviere', ""Mais le marquis vous aimait sincèrement !  Comment pouvez-vous le soupçonner d'infidélité ?  Ah !  Ma tante, je mourrais plutôt que d'avoir un pareil soupçon sur l'amour que le chevalier a pour moi."")","('#mademoiselle-de-richeviere', ""Mais le Marquis vous aimait si sincèrement !  Comment pouvez-vous le soupçonner d'infidélité ?  Ah, ma tante !  Je mourrais plutôt que d'avoir un pareil soupçon sur l'amour que le Chevalier a pour moi."")",0,Match
45,"('#la-comtesse', 'Vous êtes bien jeune, ma nièce, vous ne connaissez pas encore les hommes.')","('#la-comtesse', 'Vous êtes bien jeune, ma nièce ; et vous ne connaissez pas encore les hommes.')",0,Match
46,"('#mademoiselle-de-richeviere', ""S'il y en a de perfides, je jurerais bien que le chevalier ne sera jamais de ce nombre-là."")","('#mademoiselle-de-richeviere', ""S'il y en a de perfides, je jurerais bien que le Chevalier ne sera jamais de ce nombre-là."")",0,Match
47,"('#la-comtesse', ""J'approuve cette façon de penser : il faut estimer ce qu'on aime.  Voilà comme je croyais que je ferais toujours avec le marquis avant de venir à Paris : j'ai vu naître la froideur, j'ai cru la pouvoir ranimer par la jalousie.  Il ignore que le chevalier doit vous épouser ; en essayant de le faire paraître amoureux de moi, j'ai eu la douleur de voir le marquis insensible à cette épreuve ; non, il ne m'aime plus !"")","('#la-comtesse', ""J'approuve cette façon de penser ; il faut estimer ce qu'on aime.  Voilà comme je croyais que je serais toujours avec le Marquis, avant de venir à Paris.  J'ai vu naître sa froideur, j'ai cru la pouvoir ranimer par la jalousie.  Il ignore que le Chevalier doit vous épouser ; en essayant de le faire paraître amoureux de moi, j'ai eu la douleur de voir le Marquis insensible à cette épreuve ; non, il ne m'aime plus !"")",0,Match
48,"('#mademoiselle-de-richeviere', ""Peut-être craint-il de vous offenser en vous montrant de la jalousie.  Cessez cette feinte puisqu'elle est inutile."")","('#mademoiselle-de-richeviere', ""Peut-être craint-il de vous offenser, en vous montrant de la jalousie.  Cessez cette feinte, puisqu'elle est inutile."")",0,Match
49,"('#la-comtesse', ""Elle ne durera pas longtemps, ma chère nièce, je suis même fâchée d'avoir retardé pour ceci votre bonheur : dès ce jour même je vais tout réparer."")","('#la-comtesse', ""Elle ne durera pas longtemps, ma chère nièce ; je suis même fâchée d'avoir retardé pour cela votre bonheur ; dès ce jour même, je vais tout réparer."")",0,Match
50,"('#mademoiselle-de-richeviere', ""Quoi !  Dès ce jour !  Ah !  Ma chère tante !...  Mais si vous n'êtes pas heureuse, il manquera toujours quelque chose à la satisfaction que je vais goûter."")","('#mademoiselle-de-richeviere', ""Quoi, dès ce jour ?  Ah, ma chère tante !...  Mais si vous n'êtes pas heureuse, il manquera toujours quelque chose à la satisfaction que je vais goûter."")",0,Match
51,"('#la-comtesse', ""Ce sentiment prouve bien votre tendresse pour moi et me la rend plus chère à chaque ****.  Apprenez donc tout ce que je redoute.  Je me promenais avant-hier seule et fort tard : je m'égarai en cédant à la froideur du marquis.  Il faisait clair de lune : le hasard m'amena proche de ce bosquet.  J'entendis parler, c'était lui : il se plaignait.  Je m'avançai sans bruit, et j'écoutai."")","('#la-comtesse', ""Ce sentiment prouve bien votre tendresse pour moi, et me la rend plus chère à chaque instant.  Apprenez donc tout ce que je redoute.  Je me promenais avant-hier seule et fort tard ; je m'égarai en rêvant à la froideur du Marquis.  Il faisait clair de lune ; le hasard m'amena proche de ce bosquet.  J'entendis parler, c'était lui : il se plaignait.  Je m'avançai sans bruit et j'écoutai."")",0,Match
52,"('#mademoiselle-de-richeviere', 'Ô ciel !  Avec qui était-il ?  Je frémis pour vous !')","('#mademoiselle-de-richeviere', 'Ô ciel !  Avec qui était-il !  Je frémis pour vous !')",0,Match
53,"('#la-comtesse', 'Il était seul.')","('#la-comtesse', 'Il était seul.')",0,Match
54,"('#mademoiselle-de-richeviere', ""Et il parlait ?  Vous n'avez sûrement pas vu à qui ?"")","('#mademoiselle-de-richeviere', ""Et il parlait ?  Vous n'avez sûrement pas vu à qui ?"")",0,Match
55,"('#la-comtesse', ""Il était seul, vous dis-je.  Il adressait des plaintes entrecoupées de soupirs à une statue qu'il accusait d'ingratitude.  Voilà souvent comme les hommes abandonnent qui les aime pour vouloir être aimé de qui les délaisse."")","('#la-comtesse', ""Il était seul, vous dis-je.  Il adressait des plaintes entre-coupées de soupirs, à une statue qu'il accusait d'ingratitude.  Voilà souvent comme les hommes abandonnent qui les aime, pour vouloir être aimés de qui les délaisse."")",0,Match
56,"('#mademoiselle-de-richeviere', 'Il parlait à une statue !  Ici ?')","('#mademoiselle-de-richeviere', 'Il parlait à une statue !  Ici ?')",0,Match
57,"('#la-comtesse', 'Ici.')","('#la-comtesse', 'Ici.')",0,Match
58,"('#mademoiselle-de-richeviere', ""Mais il n'y en a point."")","('#mademoiselle-de-richeviere', ""Mais il n'y en a point."")",0,Match
59,"('#la-comtesse', 'Il y en a sûrement une que nous ne voyons pas.')","('#la-comtesse', 'Il y en a sûrement une que nous ne voyons pas.')",0,Match
60,"('#mademoiselle-de-richeviere', 'Parler à une statue !  Ma tante, vous vous moquez de moi.  Que peut-on lui dire ?')","('#mademoiselle-de-richeviere', 'Parler à une statue !  Ma tante, vous vous moquez de moi.  Que peut-on lui dire ?')",0,Match
61,"('#la-comtesse', ""Ah !  Ma nièce !  Il lui disait qu'il l'adorait toujours."")","('#la-comtesse', ""Ah, ma nièce, il lui disait qu'il l'adorerait toujours."")",0,Match
62,"('#mademoiselle-de-richeviere', 'Je crains en vérité que la tète lui ait tourné : cela est effrayant au moins, et je ne vois pas pourquoi vous seriez jalouse de cette statue.')","('#mademoiselle-de-richeviere', 'Je crains en vérité que la tête ne lui ait tourné.  Cela est effrayant au moins ; et je ne vois pas pourquoi vous seriez jalouse de cette statue.')",0,Match
63,"('#la-comtesse', ""Je vais vous l'apprendre.  Avant de m'aimer, le marquis aimait la marquise de Vermont, et en était aimé : mais la fortune de la marquise étant réduite à rien, ses parents la forcèrent d'épouser Vermont, qui est très riche.  Il y avait dix ans qu'elle était mariée lorsque je connus le marquis, il la regrettait toujours aussi vivement.  Un coeur si tendre me parut aimable: je désirai de pouvoir le consoler, j'y parvins, je l'aimai comme je l'aime encore.  Si cette statue était de la marquise, si c'est cet amour qui s'est ravivé, j'en mourrai de douleur."")","('#la-comtesse', ""Je vais vous l'apprendre.  Avant de m'aimer, le Marquis aimait la marquise de Vermont ; il en était aimé : mais la fortune de la Marquise étant réduite à rien, ses parents la forcèrent d'épouser Vermont, qui est très riche.  Il y avait dix ans qu'elle était mariée, lorsque je connus le Marquis ; il la regrettait toujours aussi vivement.  Un coeur si tendre me parut estimable, je désirai de pouvoir le consoler ; j'y parvins, et je l'aimai comme je l'aime encore.  Si cette statue était celle de la Marquise, si c'est cet amour qui s'est ranimé, j'en mourrai de douleur."")",0,Match
64,"('#mademoiselle-de-richeviere', 'Mais où est-elle ? Cherchons-la. Je ne vois rien. Elle regarde de tous côtés.')","('#mademoiselle-de-richeviere', 'Mais, où est-elle ?  Cherchons. Je ne vois rien. Elle regarde de tous côtés.')",0,Match
65,"('#la-comtesse', ""Elle ne saurait paraître sans savoir le secret qui peut ouvrir ce qui nous la cache ; mais à force d'argent, l'ouvrier qui l'a faite m'a donné ce secret.  Je l'ai ici.  Elle tire un papier."")","('#la-comtesse', ""Elle ne saurait paraître, sans savoir le secret qui peut ouvrir ce qui nous la cache ; mais à force d'argent, l'ouvrier qui l'a faite m'a donné ce secret.  Je l'ai ici. Elle tire un papier."")",0,Match
66,"('#mademoiselle-de-richeviere', 'Voyons promptement.')","('#mademoiselle-de-richeviere', 'Voyons promptement.')",0,Match
67,"('#la-comtesse', ""Voici le treillaige... comme il est fait.  Lisons.  « En poussant le bouton A, la niche s'ouvre ; en poussant le bouton B, elle se referme. »"")","('#la-comtesse', ""Voici le treillage comme il est fait.  Lisons.  « En poussant le bouton A, la niche s'ouvre ; en poussant le bouton B, elle se referme. » -"")",0,Match
68,"('#mademoiselle-de-richeviere', ""Ah !  Ma tante !  Que ce soit moi je vous prie.  Eh bien !  La niche ne s'ouvre pas. Elle va pousser un bouton."")","('#mademoiselle-de-richeviere', ""Ah, ma tante !  Que ce soit moi, je vous prie. Eh bien, la niche ne s'ouvre pas. Elle va pousser un bouton."")",0,Match
69,"('#la-comtesse', ""C'est que c'est l'autre bouton sans doute ; essayons. Le treillage s'ouvre, et l'on voit une statue de femme."")","('#la-comtesse', ""C'est que c'est l'autre bouton sans doute ; essayons. Le treillage s'ouvre, et l'on voit une statue de femme."")",0,Match
70,"('#mademoiselle-de-richeviere', 'Ah !  Ma tante, que vois-je ?')","('#mademoiselle-de-richeviere', 'Ah, ma tante, que vois-je !')",0,Match
71,"('#la-comtesse', 'Quoi donc ?')","('#la-comtesse', 'Quoi donc ?')",0,Match
72,"('#mademoiselle-de-richeviere', ""C'est vous-même."")","('#mademoiselle-de-richeviere', ""C'est vous-même."")",0,Match
73,"('#la-comtesse', 'Moi ?')","('#la-comtesse', 'Moi ?')",0,Match
74,"('#mademoiselle-de-richeviere', 'Oui, examinez bien, ce sont tous vos traits.  Il vous aime toujours ! Elle embrasse la comtesse.')","('#mademoiselle-de-richeviere', 'Oui, examinez bien, ce sont tous vos traits.  Il vous aime toujours !  Elle embrasse la Comtesse.')",0,Match
75,"('#la-comtesse', ""J'ai peine à retenir l'excès de ma joie."")","('#la-comtesse', ""J'ai peine à retenir l'excès de ma joie !"")",0,Match
76,"('#mademoiselle-de-richeviere', 'Ah !  Jouissez de tout votre bonheur.')","('#mademoiselle-de-richeviere', 'Ah, jouissez de tout votre bonheur !')",0,Match
77,"('#la-comtesse', ""C'était donc à moi qu'il parlait, qu'il adressait des plaintes si tendres !"")","('#la-comtesse', ""C'était donc à moi qu'il parlait, qu'il adressait des plaintes si tendres !"")",0,Match
78,"('#mademoiselle-de-richeviere', ""Et vous le croyiez ingrat !  Voyez, voyez bien, ma tante, qu'il ne faut pas soupçonner légèrement son amant d'être infidèle."")","('#mademoiselle-de-richeviere', ""Et vous le croyiez ingrat !  Vous voyez bien, ma tante, qu'il ne faut pas soupçonner légèrement son amant d'être infidèle."")",0,Match
79,"('#la-comtesse', 'Oui, ma chère nièce, vous avez raison. Elle rêve.')","('#la-comtesse', 'Oui, ma chère nièce, vous avez raison. Elle rêve.')",0,Match
80,"('#mademoiselle-de-richeviere', 'À quoi pensez-vous donc ?')","('#mademoiselle-de-richeviere', 'À quoi pensez-vous donc ?')",0,Match
81,"('#la-comtesse', 'Il me vient une idée...  Oui.')","('#la-comtesse', 'Il me vient une idée....  Oui.')",0,Match
82,"('#mademoiselle-de-richeviere', ""Qu'est-ce que c'est ?"")","('#mademoiselle-de-richeviere', ""Qu'est-ce que c'est ?"")",0,Match
83,"('#la-comtesse', 'Je dois récompenser le marquis de tous les maux que je lui ai causés.')","('#la-comtesse', 'Je dois récompenser le Marquis de tous les maux que je lui ai causés.')",0,Match
84,"('#mademoiselle-de-richeviere', 'Oh !  Pour cela, oui.')","('#mademoiselle-de-richeviere', 'Oh !  Pour cela, oui.')",0,Match
85,"('#la-comtesse', ""Je gagerais qu'il est ici avec le baron, pour lui faire voir cette statue."")","('#la-comtesse', ""Je gagerais qu'il était ici avec le Baron, pour lui faire voir cette statue."")",0,Match
86,"('#mademoiselle-de-richeviere', ""J'en jurerais, moi."")","('#mademoiselle-de-richeviere', ""J'en jurerais, moi."")",0,Match
87,"('#la-comtesse', 'Nous allons refermer ce treillage.')","('#la-comtesse', 'Nous allons refermer ce treillage.')",0,Match
88,"('#mademoiselle-de-richeviere', 'Oui, oui, venez. Elles ferment le treillage.')","('#mademoiselle-de-richeviere', 'Oui, oui, venez. Elles ferment le treillage.')",0,Match
89,"('#la-comtesse', ""Je pourrai pénétrer à travers la charmille qui est derrière la figure, me mettre à sa place, et quand le marquis reviendra pour la montrer au baron, ce sera moi qu'il trouvera."")","('#la-comtesse', ""Je pourrai pénétrer à travers la charmille qui est derrière la figure, me mettre à sa place ; et quand le Marquis reviendra pour la montrer au Baron, ce sera moi qu'il trouvera,"")",0,Match
90,"('#mademoiselle-de-richeviere', ""Ah !  Ma tante !  C'est l'amour même qui vous inspire."")","('#mademoiselle-de-richeviere', ""Ah, ma tante !  C'est l'amour même qui vous inspire."")",0,Match
91,"('#la-comtesse', ""Ma robe est blanche, une gaze, un tulle...  Julie m'ajustera tout cela à merveille, pour qu'au premier coup d'oeil il s'y méprenne un instant."")","('#la-comtesse', ""Ma robe est blanche, une gaze, un voile...  Julie m'ajustera tout cela à merveille, pour qu'au premier coup-d'oeil il s'y méprenne un instant."")",0,Match
92,"('#mademoiselle-de-richeviere', ""Qu'il sera délicieux pour lui, cet instant!"")","('#mademoiselle-de-richeviere', ""Qu'il sera délicieux pour lui cet instant !"")",0,Match
93,"('#la-comtesse', ""Restez ici pour l'empêcher, ainsi que le Baron, d'approcher avant que j'aie pu me placer."")","('#la-comtesse', ""Restez ici pour l'empêcher, ainsi que le Baron, d'approcher avant que j'aie pu me placer."")",0,Match
94,"('#mademoiselle-de-richeviere', 'Je ne demande pas mieux.')","('#mademoiselle-de-richeviere', 'Je ne demande pas mieux.')",0,Match
95,"('#la-comtesse', 'Asseyez-vous sur ce banc, et faites semblant de lire.  Avez-vous un livre?')","('#la-comtesse', 'Asseyez-vous sur ce banc, et faites semblant de lire.  Avez-vous un livre ?')",0,Match
96,"('#mademoiselle-de-richeviere', 'Ma tante, voilà le chevalier.')","('#mademoiselle-de-richeviere', 'Ma tante, voilà le Chevalier.')",0,Match
97,"('#la-comtesse', ""J'entends, vous n'aurez pas besoin de livre, n'est-ce pas ?"")","('#la-comtesse', ""J'entends, vous n'aurez pas besoin de livre, n'est-ce pas ?"")",0,Match
98,"('#mademoiselle-de-richeviere', 'Si vous permettez...')","('#mademoiselle-de-richeviere', 'Si vous permettez...')",0,Match
99,"('#la-comtesse', 'Quand le marquis et le baron viendront, vous ne vous en irez que lorsque je vous enverrai dire de venir me parler.')","('#la-comtesse', 'Quand le Marquis et le Baron viendront, vous ne vous en irez que lorsque je vous enverrai dire de me venir parler.')",0,Match
100,"('#mademoiselle-de-richeviere', ""Je n'ai point d'autre affaire, je vous en réponds."")","('#mademoiselle-de-richeviere', ""Je n'ai point d'autre affaire ; je vous en réponds."")",0,Match
101,"('#la-comtesse', 'Ne dites rien au chevalier de mon **** : sa vivacité, sa joie pourraient le déranger.')","('#la-comtesse', 'Ne dites rien au Chevalier de mon projet ; sa vivacité, sa joie pourraient le déranger.')",0,Match
102,"('#mademoiselle-de-richeviere', 'Ne craignez rien.')","('#mademoiselle-de-richeviere', 'Ne craignez rien.')",0,Match
103,"('#la-comtesse', 'La contrainte ne sera pas longue.')","('#la-comtesse', 'La contrainte ne sera pas longue.')",0,Match
104,"('#la-comtesse', ""Monsieur le chevalier, j'ai une affaire qui ne me permet pas de rester ici, mais je vous y laisse en bonne compagnie : vous n'avez pas, je crois, à vous plaindre de ma confiance en vous."")","('#la-comtesse', ""Monsieur le Chevalier, j'ai une affaire qui ne me permet pas de rester ici : mais je vous y laisse en bonne compagnie ; vous n'avez pas, je crois, à vous plaindre de ma confiance en vous."")",0,Match
