,biancollelli-arlequin-gentilhomme,biancollelli-foire-galante,Cost,Operation Type
10,"('#pierrot', 'Tu pourras converser avec Messieurs les rats,  Qui le jour et la nuit te tiendront compagnie. ')","('#pierrot', ""Tu croyais m'épouvanter Par tes chiennes de grimaces, Mais apprend, sot animal, Turelure, Que j'en avons bien vu d'autres, Robin [turelure lure]. Air : Robin turelure"")",1.23,Substitution
11,"('#arlequin', ""La conversation sera, ma foi, jolie,  De grâce, cher Pierrot, soyez plus indulgent,  Le moyen de payer quand on est sans argent,  Je n'ai pas un denier, je me mets à la mode,  Et des gens du grand air j'observe la méthode,  Payer ce que l'on doit est du dernier bourgeois,  Mon ami, lui dit-on, venez une autre fois,  Il retourne, on lui tient toujours même langage,  Le pauvre malheureux fait en vain ce voyage.  L'homme de qualité qui ne veut point payer,  Conduit jusqu'aux degrés le morne créancier ;  C'est ainsi qu'aujourd'hui on acquitte ses dettes  Et Messieurs les Marchands sont traités en grisettes,  On leur trouve d'abord de merveilleux appas,  Quand on s'est servi l'on en fait peu de cas. "")","('#scaramouche', ""J'ai juré plus de cent fois De frapper sans dire gare, Ceux qui traitent de manant, Turelure, Un homme de mon calibre, Robin, etc. Même air Pierrot le bat."")",0.46,Substitution
12,"('#colombine', 'Ta comparaison cloche, il faut me satisfaire. ')",,1.0,Insertion
13,"('#arlequin', ""L'honneur me le défend et je ne puis le faire,  J'ai le coeur noble et fier, connaissez Arlequin. "")","('#pierrot', 'Je sais punir qui vous offense, Je me moque de sa fierté. Vénus, pour toute récompense, Accordez-moi cette beauté, Car depuis longtemps je soupire, Tan la ra ritar. Air : Tan la ra ritar')",1.03,Substitution
14,"('#pierrot', 'Vous êtes, je le sais, Gentilhomme faquin,  Mais du moins mon ami laissez-nous quelque gage. ')","('#venus', ""C'est Vulcain qui fait le tonnerre, Dont le maître des dieux épouvante la terre. Mais le brave Pierrot avec un échalas Punit qui ne me connait pas. Célébrons aujourd'hui sa valeur pierrotesque, Et chantons que Pierrot n'a rien que de grotesque."")",0.97,Substitution
15,"('#arlequin', ""Je ne puis vous donner qu'un morceau de fromage,  Que je garde avec soin depuis plus de dix ans,  Et je fais sur moi-même un effort des plus grands,  En vous abandonnant ce trésor plein de charmes  C'est lui seul dont le goût dissipe mes alarmes,  Lorsque je suis chagrin, inquiet, agité,  Je n'ai qu'à le sentir pour ma tranquillité.  Je le mets pour dormir la nuit sous ma paillasse  Et je ronfle en repos quelque bruit que l'on fasse  Quand même vingt canons péteraient à la fois,  Jamais malgré ce bruit je ne m'éveillerais.  Mais je vois bien qu'il faut répondre à votre envie,  Fromage de Milan, délice de ma vie,  Lénitif de mes maux, aimable cordial,  Rare et friand boucon, élixir pectoral,  Passez dans d'autres mains puisque du sort barbare,  L'injurieuse loi pour jamais nous sépare,  Recevez, cher Pierrot, ce bijou précieux,  Dont la perte de pleurs grossit mes petits yeux.  Il dit ce qui suit d'un ton tragique."")","('#le-choeur', ""Il fait régner l'amour au milieu des alarmes. Les gros tricots, les gros tricots Son ses plus fortes armes. Il fait régner, etc. On danse la Loure des Ris et des Plaisirs qui est dans le prologue de l'Europe galante, après quoi le choeur reprend : Pendant le choeur, Arlequin écoute, et le choeur fini Arlequin chante."")",0.68,Substitution
16,"('#pierrot', ""Il est bon là ma foi, que veux-tu que j'en fasse ?  Cette plaisanterie est de mauvaise grâce,  Nous voulons de l'argent tout au plus tard demain,  Sinon sur le collet on te mettra la main,  Cherche un expédient pour te tirer d'affaire. "")",,1.0,Insertion
17,"('#colombine', ""Je te l'ai déjà dit, songe à me satisfaire  C'est le plus sûr moyen pour sortir d'embarras,  Il me faut du comptant. "")",,1.0,Insertion
18,"('#arlequin', ""Et n'en avez-vous pas ?  Pourquoi m'en demander ? "")",,1.0,Insertion
19,"('#pierrot', ""C'en est trop ventrebille,  J'entre en fureur, allons femme, rossons ce drille.  Pierrot et Colombine frappent Arlequin."")","('#arlequin', ""Quoi, pour célébrer un héros, On parle ici de gros tricots, Cela sent trop la bastonnade, Je vais m'esquiver au plus tôt, Car Arlequin sans gasconnade, Est aussi poltron que Pierrot."")",0.29,Substitution
20,"('#colombine', 'Pour moi je le veux bien je frappe de bon coeur. ')",,1.0,Insertion
21,"('#arlequin', ""Est-ce ainsi qu'aujourd'hui l'on traite un débiteur ?  Je recevrais le double avec grande constance,  Si de ce que je dois vous donniez quittance. "")",,1.0,Insertion
22,"('#pierrot', 'Oh, tu gagnerais trop, et moi je perdrais tout. ')",,1.0,Insertion
23,"('#arlequin', 'Par ma foi vous poussez ma complaisance à bout. ')",,1.0,Insertion
24,"('#colombine', ""Il nous faut de l'argent, adieu maligne bête. "")",,1.0,Insertion
25,"('#arlequin', 'Peut-on vous refuser, vous êtes trop honnête ? ')",,1.0,Insertion
26,"('#arlequin', ""Je me trouve à présent dans un piteux état,  Que ferai-je ? Endossons un habit de soldat...  Non pas c'est mal penser, le canon m'épouvante  Ce bruit alarme trop mon oreille tremblante,  D'ailleurs je ne prétends courir aucun hasard,  Car la valeur et moi, nous faisons pot à part.  Choisissons un métier lucratif et facile,  Où je puisse accorder l'agréable et l'utile ;  Celui de ne rien faire est un emploi charmant,  Morbleu que je saurais l'exercer noblement !  Mais pour le soutenir quoiqu'il puisse me plaire  Il faut avoir du fond, ce n'est pas mon affaire.  Faisons-nous Avocat, c'est un joli métier,  Il ne faut que mentir, supposer et crier,  Dire des faussetés, car c'est là la méthode,  Citer mal à propos un passage du code...  Non, non, il faut longtemps arpenter le Palais,  Avant que les plaideurs tombent dans les filets.  Devenons Procureur... j'ai trop de conscience  Il faut pour chicaner beaucoup d'expérience.  Financier... cet emploi partout est révéré,  Non celui de Jasmin est son premier degré.  Médecin ou Bourreau l'un vaut l'autre, il n'importe,  Je renonce à ce nom, ou le Diable m'emporte,  J'ai le coeur trop humain, et je ne pourrais pas  Voir chérir l'ignorant et vivre du trépas.  La charge de voleur me serait convenable,  Je suis adroit, subtil, alerte comme un Diable.  Je suis fou d'aspirer au titre de voleur,  Puisque je ne veux pas devenir Procureur.  Que choisirai-je donc pour sortir de misère ?  Item il faut manger la chose est nécessaire,  Devenons Procureur... j'ai trop de conscience  Il faut pour chicaner beaucoup d'expérience.  Financier... cet emploi partout est révéré,  . . . . . . . . . . . .  Faisons-nous bel esprit, il est beau d'être auteur...  Encore moins, j'aime mieux l'emploi de crocheteur.  En voici la raison. Dans le siècle où nous sommes,  Les savants sont toujours de misérables hommes,  Qu'ils fassent de beaux vers, ils n'en sont pas moins gueux,  Et l'heure du dîner ne sonne pas pour eux.  Mais un bon crocheteur après son rude ouvrage  Trouve dans son taudis, son bouilli, son potage.  Juvénal nous apprend qu'un poète fameux  Quoiqu'il soit estimé n'en est pas plus heureux. "")","('#pierrot', ""Savez-vous, Monsieur l'animal Que Pierrot est homme de coeur. Je n'aime point la raillerie, Passez, passez votre chemin, Car quand on songe au mariage On n'aime pas les importuns."")",0.82,Substitution
27,"('#geronte', ""Tous mes voeux sont comblés, et ma joie est extrême  D'avoir pu contenter une fille que j'aime.  J'ai pour elle fait choix d'un époux accompli,  Qu'elle aimera sans doute étant bien fait, poli,  Enfin je m'applaudis d'avoir un pareil gendre,  C'est le fils de Damon, on le nomme Léandre.  Chacun connaît son bien et sa condition,  Son père est pour le moins riche d'un million. "")","('#arlequin', ""Pierrot, tu vas te marier ? À qui vas-tu donc t'allier ? Je prétends être de la fête, Et comme ami de la maison. Il faut que Pierrot me promette Quelque singe de sa façon."")",0.82,Substitution
28,"('#le-docteur', ""Permettez, cher ami, que je vous félicite  Je ne puis qu'admirer votre sage conduite,  Comme je suis votre seul confident,  Je vous ai reconnu pour un homme prudent.  Le juste ciel protège un père de famille,  Quand avec avantage il établit sa fille,  La fortune m'a moins favorisé que vous,  J'attends de jour en jour pour la mienne un époux  Il est, je l'avouerai, moins riche que Léandre,  Mais d'un engagement je n'ai pu me défendre,  C'est le fils de Philinte, homme de qualité,  Avec ce bon vieillard j'ai déjà contracté.  Il ne peut lui donner que mille écus de rente,  Quoiqu'il en soit ma fille en doit être contente.  La vôtre jouira d'un plus heureux destin,  Ce choix avantageux rend son bonheur certain  Il réussit en tout au gré de son envie,  Sa fille pouvait-elle être mieux établie !  Bas."")","('#pierrot', ""Pierrot est trop homme de bien, Pour en cela promettre rien. Car je sais que le mariage Nous produit souvent des enfants, Qui prétendent notre héritage, Quoiqu'ils ne soient pas nos parents."")",0.51,Substitution
29,"('#geronte', ""Un mari jeune, aimable, et de plus opulent,  A pour charmer sa femme un merveilleux talent  Enfin tout est conclu je n'ai plus rien à craindre  Vous de votre côté vous n'êtes pas à plaindre,  Dans nos projets formés nous sommes fort heureux,  Cette affaire nous va rajeunir tous les deux.  Mais j'ose vous prier de me rendre un service. "")","('#une-des-graces', ""Souffrez que l'amour vous blesse, Finissez tous vos débats. La raison et la tendresse, Pierrot ne s'accordent pas. Deux Grâces dansent un menuet, après quoi Vénus chante à l'imitation de l'air du prologue qui dit"")",1.06,Substitution
30,"('#le-docteur', 'Ne me pas éprouver est me faire injustice. ')",,1.0,Insertion
31,"('#geronte', ""De meubles je n'ai pas grande provision,  Vous savez que jamais je n'eus d'ambition,  J'ai toujours pris plaisir à garder ma finance,  Dans la crainte de faire une folle dépense.  Pour recevoir mon gendre un peu plus noblement,  Je voudrais lui meubler un grand appartement,  J'aurais besoin d'un lit, d'une tapisserie,  De vases, de miroirs, prêtez-moi je vous prie. "")","('#venus', ""C'est dans une tendresse extrême, Ce n'est que dans le mariage, Qu'on trouve le bonheur parfait. Tout abonde dans le ménage Quand un homme a l'esprit bien fait. Et Tircis sans le cocuage, Serait-il ce qu'il est ?"")",0.8,Substitution
32,"('#le-docteur', ""Disposez librement de toute ma maison,  J'ai des meubles chez moi pour plus d'une saison,  Envoyez-moi des gens pour porter le bagage  Et si vous en voulez encore davantage,  Croyez que j'ai, mon cher, de quoi vous contenter,  Et sur moi vous pouvez entièrement compter. "")","('#arlequin #pierrot', ""Devenons par le cocuage Aussi riche qu'il est."")",1.54,Substitution
33,"('#scaramouche', 'Quel vertigo vous prend, mon très illustre maître,  Vous demeurez ici sans vous faire connaître,  Géronte vous attend, que ne le voyez-vous ? ')",,1.0,Insertion
34,"('#leandre', ""Hélas ! Il troublerait les plaisirs les plus doux,  J'adore, tu le sais, la charmante Isabelle,  Ne blâmez point, mon cher, une flamme si belle. "")",,1.0,Insertion
35,"('#scaramouche', ""Je ne vous comprends pas, vous moquez-vous des gens ?  Peste des amoureux, ils perdent le bon sens :  Vous n'en usez pas bien, fi, fi, c'est une honte  Vous devez épouser la fille de Géronte,  Vous partez de Paris remplis de ce dessein.  Je crois que vous venez pour lui donner la main  Et quand vous arrivez malgré votre parole,  Vous vous amourachez d'une petite folle ;  Monsieur, ce procédé me parait fort suspect,  Vous êtes un coquin, soit dit par respect. "")","('#arlequin', ""Belle Vénus, votre éloquence A quelque espèce de raison. Lorsque la corne d'abondance Fait l'ornement de la maison, Un mari sans chagrin doit dire tan la rita."")",0.73,Substitution
36,"('#leandre', ""Tu condamnes en vain ma nouvelle tendresse,  Je ne puis aisément guérir de ma faiblesse,  Et malgré ma promesse un objet tout charmant  A dispensé mon coeur de son engagement.  Isabelle à ses lois tient mon âme asservie,  Et je sens qu'il faudra l'aimer toute ma vie  Quand Léonore aurait de plus puissants appas  Ses attraits de mon coeur ne triompheraient pas.  Quelque puisse être enfin le courroux de mon père,  J'attends sans m'alarmer l'effet de sa colère,  L'amour et la raison ne peuvent s'accorder. "")","('#pierrot', ""Voila pourquoi mon pauvre père Chantait la nuit comme le jour, Quoique jamais ma chère mère Ne lui témoignât de l'amour. Nous avions toujours de quoi frire, tan la."")",0.77,Substitution
37,"('#scaramouche', ""Vous cherchez vainement à me persuader,  Monsieur, vous vous ferez quelque méchante affaire,  Vous avez le minois un peu patibulaire,  Croyez-moi profitez de ma sage leçon,  J'en sais plus long que vous, je suis un vieux barbon.  Ce n'est que l'amitié qui pour vous m'intéresse  Les filles de tout temps ont gâté la jeunesse,  C'est un malin bétail, pour l'avoir écouté,  Je ne sais que trop bien ce qui m'en a coûté.  Çà, que de cet amour votre coeur se délivre,  Je vous guiderez bien, vous n'avez qu'à me suivre,  Je veux de votre esprit gouverner le vaisseau,  Car il pourrait fort bien s'en aller à vau-l'eau,  Comme un Pilote expert je prétends vous conduire,  Et de votre raison calfeutrer le navire. "")",,1.0,Insertion
38,"('#leandre', ""Termine ce discours, tes soins sont superflus,  J'en ai trop entendu, ne m'importune plus,  J'espère voir bientôt la charmante Isabelle,  Dans son appartement un rendez-vous m'appelle.  Adieu. "")",,1.0,Insertion
39,"('#scaramouche', 'Vous persistez dans cette opinion,  Et ne profitez pas de ma correction,  Ah ! Le franc scélérat. ')",,1.0,Insertion
40,"('#leandre', ""Quoique tu sois habile  Pour me faire changer ton soin est inutile.  Il s'en va."")",,1.0,Insertion
41,"('#scaramouche', ""Comme de ma morale il ne fait point de cas,  Mes préceptes savants ne le réforment pas ?  Morbleu, de quoi me sert ma rhétorique ?  Je parle bon français c'est de quoi je me pique  Malgré ce que je dis, le pendard, le vilain,  Refuse de m'entendre et va toujours son train ;  Quand je veux lui tracer une plus belle route,  Pour ne pas y marcher il dit qu'il a la goutte.  Hé bien petit coquin, fais comme tu l'entends,  Pour moi je t'abandonne à tes égarements. "")","('#arlequin', ""Le mal est général, Pourquoi, diable le feindre ? On a tort de se plaindre Quand la tête fait mal, Le mal est général. Air : Ne m'entendez-vous pas"")",0.82,Substitution
42,"('#le-docteur', ""Vous n'avez qu'à porter ces meubles chez Géronte. "")",,1.0,Insertion
43,"('#le-crocheteur', ""A-t-il de quoi payer, je crains qu'il ne m'affronte ? "")",,1.0,Insertion
44,"('#le-docteur', ""Oh ! Vous ne risquez rien il est homme d'honneur.  . . . . . . . . . . . . "")",,1.0,Insertion
45,"('#arlequin', ""Maître Jacques prenez cette chaise percée,  D'une certaine odeur ma narine est blessée,  Et mon nez délicat s'en est formalisé. "")",,1.0,Insertion
46,"('#le-crocheteur', ""Pour un rien vous voilà d'abord scandalisé. "")",,1.0,Insertion
47,"('#arlequin', ""N'allez pas pour cela me faire une querelle,  Je sais bien que pour vous c'est une bagatelle,  Vous avez l'odorat faquin et roturier,  Mais pour le mien il craint de se mésallier.  J'ai vu chez le Docteur une vaste cuisine  Où je voudrais gratis calmer ma faim canine.  En m'approchant du feu dans deux larges chaudrons,  J'ai d'abord aperçu d'excellents macarons  Qui sur un clair brasier une flamme bien pure  Par leur bouillonnement faisaient un doux murmure,  Moi qui suis de Bergame où l'on en mange tant  Si j'en avais ma part que j'en serais content !  Ciel qui depuis longtemps connais ma gourmandise,  Ne m'abandonne pas dans ma belle entreprise,  Autorise en ce jour un innocent larcin,  Daigne me seconder dans ce noble dessein,  Ou si des deux chaudrons je ne suis pas le maître,  Fais qu'au moins sur un plat je puisse me repaître,  Les Crocheteurs entrent chez Géronte. "")",,1.0,Insertion
48,"('#octave', 'Nous voici, grâce au Ciel, arrivé à Lyon. ')",,1.0,Insertion
49,"('#mezzetin', ""Vous aurez en ce lieu de l'occupation,  Dans ce charmant pays les filles sont fringantes  Certaines quelquefois sont plus que complaisantes.  Je sais parbleu la carte et je puis me vanter  D'être des plus experts dans l'art de coqueter.  Au reste vous ferez ici très bonne chère,  Si vous aimez le vin, Lyon est votre affaire  Du matin jusqu'au soir les cabarets sont pleins. "")",,1.0,Insertion
50,"('#octave', ""Non je n'ai point formé de semblables desseins  La fille du Docteur que l'on nomme Isabelle,  Est la seule beauté qui dans ces lieux m'appelle,  Tu sais que de paris j'ai quitté le séjour  Pour unir, s'il se peut, l'hymen avec l'amour. "")",,1.0,Insertion
51,"('#mezzetin', ""Si pour les accorder vous fîtes ce voyage,  Vous pouvez repartir sans tarder davantage,  Ici comme à Paris l'époux n'est point amant,  Je sais Lyon par coeur j'en parle savamment. "")",,1.0,Insertion
52,"('#octave', ""Faut-il que sur les moeurs ta piquante critique,  À répandre son fiel incessamment s'applique ?  Ce n'est pas d'aujourd'hui que tu connais mon coeur,  Et j'aimerai toujours la fille du Docteur. "")",,1.0,Insertion
53,"('#mezzetin', ""Ô miracle d'amour ! Quel excès de constance ! "")",,1.0,Insertion
54,"('#octave', 'Je ne veux point céder à mon impatience,  Avant que de la voir cherchons un cabaret. ')","('#pierrot', ""Allons donc nous pourvoir À la foire galante. Qu'importe qu'on nous trompe, Mon ami, tu seras Cocu comme Pierrot."")",0.76,Substitution
55,"('#mezzetin', ""J'y consens volontiers cet asile me plaît,  C'est dans ce beau réduit cette aimable retraite  Que Mezzetin jouit d'une douceur parfaite,  Toujours le cabaret ce lieu récréatif,  Contre le mauvais air fut un préservatif  Un antidote enfin... "")","('#arlequin', 'À la foire, Vénus Étalant sa boutique Crèvera de pratique. Ses appas sont connus, Les cafés sont perdus.')",0.8,Substitution
56,"('#octave', 'Finis donc je te prie,  Et frappe promptement à cette hôtellerie. ')",,1.0,Insertion
57,"('#mezzetin', 'Holà ? ')",,1.0,Insertion
58,"('#colombine', 'Que voulez-vous ? ')",,1.0,Insertion
59,"('#mezzetin', ""Ah ! le joli tendron,  Êtes-vous du logis l'enseigne ou le bouchon ? "")",,1.0,Insertion
60,"('#colombine', 'Non je suis la maîtresse. ')",,1.0,Insertion
61,"('#mezzetin', 'Agréable mignonne,  Je gage que chez vous la pratique foisonne. ')",,1.0,Insertion
62,"('#colombine', 'Tenez un peu vos mains et sans gesticuler... ')",,1.0,Insertion
63,"('#mezzetin', 'Quoi vous ne voulez pas vous laisser cajoler ? ')",,1.0,Insertion
64,"('#colombine', 'Encore ? Finissez-vous bientôt ce badinage ? ')",,1.0,Insertion
65,"('#octave', 'Coquin, veux-tu cesser ? ')",,1.0,Insertion
66,"('#colombine', ""Monsieur est bien plus sage  Que ne l'imitez-vous ?  À Mezzetin."")",,1.0,Insertion
67,"('#octave', 'Pouvez-vous me loger. ')",,1.0,Insertion
68,"('#mezzetin', ""La belle question, parbleu c'est l'outrager,  L'hôtesse là-dessus a le coeur fort tranquille,  Elle a de quoi loger la moitié de la ville,  Son cabaret, monsieur est vaste et spacieux,  Quand vous irez ailleurs vous ne serez pas mieux. "")",,1.0,Insertion
69,"('#colombine', ""Vous serez satisfait, vous n'avez rien à craindre,  Ceux qui viennent chez moi sont encore à se plaindre. "")",,1.0,Insertion
70,"('#octave', 'Entrons.  Dans le temps que Colombine veut entrer avec Octave, Mezzetin la prend par le bras.')",,1.0,Insertion
71,"('#mezzetin', ""La belle hôtesse attendez un moment,  Et daignez soulager mon amoureux tourment,  À peine ai-je entrevu votre belle figure,  Que vos yeux dans mon coeur ont fait une blessure,  Si grande qu'un carrosse avec quatre coursiers,  Pourraient s'y promener et passer quoiqu'entiers,  Vous voyez que j'exprime assez bien ma tendresse,  Et comme maintenant vous êtes mon hôtesse,  Traitez-moi largement car j'ai grand appétit,  C'est pourquoi... "")","('#pierrot', ""La belle Vénus ne vient pas Trafiquer ses appas. Elle ne paraît en ces lieux Que pour plaire à nos yeux. Air : Tu n'as pas le pouvoir Bis. Bis."")",0.7,Substitution
72,"('#colombine', 'Vous aurez bonne table et bon lit,  Il ne manque de rien chez moi je vous proteste. ')",,1.0,Insertion
73,"('#mezzetin', 'Avec le lit, la table il me faudrait autre chose. ')",,1.0,Insertion
74,"('#colombine', 'Que voulez-vous de plus, je ne vous comprends pas. ')",,1.0,Insertion
75,"('#mezzetin', ""Je fais, voyez-vous bien, plus que mes deux repas,  Je suis encore à jeun, et ma faim est extrême,  On ne peut l'assouvir qu'en me mettant à même.  Après un bon repas  Au gré de mon envie  Servez-moi, je vous prie,  De ces mets délicats  Ne m'entendez-vous pas.  . . . . . . . .  Il chante. Dans ce temps-là Pierrot arrive, et les écoute."")","('#arlequin', ""Pierrot, ne vous fâchez pas tant, Parlez plus doucement. En fait d'amour, gardez-vous bien De répondre de rien. Bis. Bis."")",0.59,Substitution
76,"('#colombine', ""Vous êtes trop goulu, comment vous contenter,  Je vous répondrai bien s'il ne tient qu'à chanter.  Elle chante sur le même air.  Ces mets si délicats  Sont-ils votre usage ?  Un si grand avantage  À tous ne convient pas  Car je veux des ducats. "")",,1.0,Insertion
77,"('#pierrot', ""Les mets que vous voulez  Me servent de pâture  Je ne mange autre chose,  Et quoique j'en sois saoul  Vous n'en tâterez pas.  Savez-vous mon ami que c'est là notre femme,  Et que Monsieur Pierrot est d'une humeur jalouse,  . . . . . . . . . . . . . . Si vous voulez loger dans notre cabaret.  Entrez-y vous aurez du vin blanc ou clairet,  Tel que vous le voudrez, mais laissez là ma femme.  À Mezzetin il dit."")","('#pierrot', ""Pour me brouiller avec Vénus J'ai trop bon naturel. Je ne puis souffrir sans chagrin Qu'on en dise du mal. Bis. Bis."")",0.65,Substitution
78,"('#colombine', 'Mon fils point de courroux. ')",,1.0,Insertion
79,"('#pierrot', ""Voyez la bonne lame  Tu voudrais sans savoir ni comment ni pourquoi,  Servir à ce Monsieur le même plat qu'à moi,  Il serait bientôt las d'un semblable ordinaire. "")","('#arlequin', ""Ah ! si l'amour Conduit chaque jour Bien du monde à la foire, À leurs dépens Nous aurons de boire, Et nous serons contents."")",0.53,Substitution
80,"('#mezzetin', 'Un air libre et badin pourrait-il vous déplaire ?  Ah ! De grâce excusez. ')",,1.0,Insertion
81,"('#pierrot', ""Allez, boutez dessus,  Je veux tout oublier mais n'y revenez plus. "")",,1.0,Insertion
82,"('#mezzetin', 'Pierrot es-tu fâché contre ta Colombine ?  Mon petit cupidon fais-moi meilleure mine. ')",,1.0,Insertion
83,"('#pierrot', 'Je suis pris par mon faible, allons mets-là ta main,  Il le faut avouer je suis un bon humain. ')",,1.0,Insertion
84,"('#colombine', ""Adieu mon cher Pierrot, je suis votre servante.  Elle s'en va."")",,1.0,Insertion
85,"('#mezzetin', ""L'époux est un magot et la femme est charmante. "")",,1.0,Insertion
86,"('#pierrot', 'Voyez-vous devant moi comme elle file doux,  Dame je me fais craindre, allons entrez chez nous ? ')","('#pierrot', 'Quoi, tu ne parles que de boire ! Pour moi, je mourrai de souci Si les ongles du mariage Ne grattent ma démangeaison. Air : Réveillez-vous, [belle endormie]')",1.05,Substitution
87,"('#arlequin', ""C'en est fait, j'ai vaincu rien n'égale ma joie,  Je suis avec honneur chargé de cette proie,  Et malgré tous les soins des zélés marmitons,  Je triomphe aujourd'hui d'un plat de macarons  Dans ce lieu retiré j'aurai du moins la gloire,  De jouir en repos du fruit de ma victoire,  Aucun écornifleur ne viendra m'y troubler,  Et de ces macarons je pourrai me saouler.  Ils sont délicieux, ce beurre et ce fromage  Les rendent savoureux on ne peut davantage.  Mais qui peut interrompre ici mon appétit,  Quelqu'un vient, ô malheur, cachons-nous sous le lit.  Il se met à terre et commence à manger les macarons d'une manière toute comique. Il les mange avec précipitation et fait des lazzis tous plaisants. Il prend son plat et va se mettre sous le lit, où il mange toujours."")","('#arlequin', ""Avant de me mettre en ménage, Si je pousse quelques soupirs, Je veux que l'objet qui m'engage Accorde tout à mes désirs, Et sans cela, je me retire, tan la rara, etc."")",0.17,Substitution
88,"('#isabelle', ""Avec empressement j'attends mon cher Léandre,  En ce lieu chaque jour il a soin de se rendre,  L'amour qui nous permet des entretiens si doux  Nous marque également l'heure du rendez-vous  Et son exactitude à voir l'objet qu'il aime,  M'assure des transports de son ardeur extrême,  Mais je crois de l'entendre. "")","('#pierrot', ""Ne va pas si vite en besogne, Tu fais l'amour en étourdi. Il faut quelque temps battre en brèche Avant que de donner l'assaut. Air : Réveillez-vous, [belle endormie]"")",0.89,Substitution
89,"('#arlequin', ""Hélas c'est grand hasard  Si de mes macarons il ne prétend sa part. "")",,1.0,Insertion
90,"('#leandre', ""Guidé par mes soupirs je vous revois, Madame,  Vous ne pouvez douter de l'excès de ma flamme,  Trop heureux si l'amour qui me force à venir,  Voulait auprès de vous toujours me retenir :  Mais quand ce Dieu répond au beau feu qui me presse,  Hélas ! Que ces moments coulent avec vitesse,  À peine je me livre à ma félicité  Qu'il faut quitter d'abord un bien si souhaité. "")","('#arlequin', ""Vas, tu n'as pas lu le grimoire, Tout tes avis sont superflus. Apprend, mon ami, qu'à la foire, Les marchés sont bientôt conclus, Jamais en vain l'on n'y soupire, tan la tare."")",0.59,Substitution
91,"('#arlequin', ""Je ne quitterai pas mon plat de cette sorte,  Et je mangerai tout ou le Diable m'emporte. "")",,1.0,Insertion
