dumaniant-francais-en-huronie,dumaniant-francais-en-huronie-1787,Score
"('#valcour', ""Moi ! je pourrais changer ! oh ! jamais. Non jamais, Si j'en avais conçu la fatale pensée... Mais non, de trop d'amour mon âme est embrasée. Ces rochers menaçants, l'épaisseur de ces bois Plaisent plus à mes yeux que les palais des rois, Je n'y vois que Zamire, elle est partout présente, Tout ici sait m'offrir mon adorable amante, Mais elle ne vient point ? qu'elle tarde aujourd'hui ! Zamire d'un amant viens dissiper l'ennui. Ah ! vole dans mes bras, que ta seule présence Efface les tourments que cause ton absence, Il est déjà grand jour, de ses premiers rayons Le soleil a doré la cime de ces monts. Les oiseaux par leurs chants marquent leur allégresse : Tout est riant ; moi seul je suis dans la tristesse, Zamire ne vient point, elle ne m'aime pas. Cruelle amante hélas ! tu veux donc mon trépas."")",-,0.0
"('#frontin', ""Saisissons cet instant. (Haut.) De l'amitié plus sage Mon cher maître daignez écouter ce langage. Zamire vous oublie, eh bien à votre tour, Oubliez l'infidèle et fuyez ce séjour. Abandonnons des lieux à nos voeux si contraires, Où nous ferions je crois assez mal nos affaires ; Où l'on estime peu l'esprit et les talents, Où le mérite seul est de courir les champs, De traverser les lacs, les forêts, les montagnes, Où l'on ne fait l'amour qu'au milieu des campagnes, Parmi le froid, la neige, entouré d'animaux, Tous moins cruels encor, que ne sont vos rivaux : Gens fort mal éduqués, dont la galanterie Est pour faire leur cour de vous ôter la vie Et d'en faire un trophée aux yeux de leurs tendrons, Qui croquent les Français comme nous des chapons. Tenez, j'entends du bruit là parmi ce feuillage, Ah ! peut-être, Monsieur, est-ce quelque sauvage Qui pour son déjeuner chercherait un Français ? Sauvons-nous."")",-,0.0
"('#valcour', 'Reste ici.')",-,0.0
"('#frontin', ""Monsieur, je n'oserais, Je ne me trompe point, hélas ! quelqu'un s'avance."")",-,0.0
"('#valcour', 'Va, rassure-toi.')",-,0.0
"('#frontin', 'Ciel ! Prends-nous en ta puissance. ')",-,0.0
"('#valcour', 'Viens, vendons notre vie au moins bien chèrement.')",-,0.0
"('#frontin', ""Bon ! c'est des officiers de votre régiment."")",-,0.0
"('#la-fleur', 'Oui ce sont les Anglais abandonnons la place.')",-,0.0
"('#dorval', ""Est-ce toi, Chevalier, est-ce toi que j'embrasse ?"")",-,0.0
"('#valcour', 'Dorval !')",-,0.0
"('#dorval', 'Valcour !')",-,0.0
"('#frontin', 'La Fleur ! ne me trompé-je pas ?')",-,0.0
"('#dorval', ""Oui, c'est toi mon ami que je tiens dans mes bras,  Toi que j'avais cru mort, dont j'ai pleuré la perte."")",-,0.0
"('#la-fleur', ""Mais parbleu, c'est Frontin heureuse découverte !"")",-,0.0
"('#valcour', ""Oui, c'est moi, mon ami, c'est l'ami de ton coeur."")",-,0.0
"('#dorval', ""Ah ! que je suis heureux. Quel moment enchanteur ! Je vais te ramener près du Marquis d'Ortille Qui te rendra bientôt au sien de ta famille, Car notre régiment va quitter ces climats, Cet oncle qui t'adore avait cru ton trépas."")",-,0.0
"('#valcour', 'Quoi ! notre régiment va repasser en France ?')",-,0.0
"('#dorval', 'Dans un mois. Ce retour comble notre espérance.')",-,0.0
"('#valcour', ""Dans un mois ! cher Dorval. Si tu m'aimas jamais."")",-,0.0
"('#dorval', ""Tu sais bien, cher Valcour à quel point je t'aimais. Le temps n'affaiblit point mon ancienne tendresse. Doutes-tu que ton sort encor ne m'intéresse ? Parle, qu'exiges-tu ? Si tu m'aimes toujours, Dispose de mes biens, dispose de mes jours ? Que faut-il faire ?"")",-,0.0
"('#valcour', 'Hélas !')",-,0.0
"('#dorval', ""Eh quoi ton coeur balance ? N'a-t-il plus dans le mien la même confiance ? N'es-tu plus mon ami, Valcour, que t'ai-je fait ? Autrefois pour Dorval tu n'eus point de secret. Tu versais dans mon sein et ta joie et ta peine, Vous ne répondez rien, je vois que je vous gêne."")",-,0.0
"('#valcour', ""Ce rapproche m'abat, laissez-moi respirer. Ah ! connais-tu ce coeur que tu peux déchirer ? Sa sensibilité fait seule son martyre."")",-,0.0
"('#dorval', 'Ouvre-le moi ce coeur.')",-,0.0
"('#valcour', 'Que pourrai-je lui dire ?  Dans un mois, pour jamais nous quitterons ces lieux Et pour jamais.')",-,0.0
"('#dorval', ""Des pleurs s'échappent de tes yeux ! Quel en est le sujet ? Et d'où [naît] cette crainte ?"")",-,0.0
"('#valcour', ""Je me reprocherais un seul moment de feinte. Prends pitié de l'état de ce coeur alarmé, Connais tous mes malheurs, j'aime, je suis aimé, Une divinité... mon ami, c'en est une... Sa voix, ses yeux, son port, sa beauté peu commune... Dorval, j'allais périr de misère et de faim, C'en était fait de moi... Sa généreuse main... Je lui dois mon bonheur, ma nouvelle existence, L'amitié, le devoir et la reconnaissance, Un sentiment encor plus vif, plus précieux, L'amour, l'amour Dorval m'enchaîne dans ces lieux. Si tu la connaissais, si tu voyais Zamire, Cette ingénuité qui dans ses traits respire, Cette candeur aimable... Oh ! oui, tu l'aimerais, Tu ferais comme moi, tu idolâtrerais. Et tu veux, cher ami, tu veux que je la laisse, Que je la paye ainsi que toute sa tendresse ? Non, vivre pour Zamire est mon unique loi."")",-,0.0
"('#dorval', ""Non, Valcour, ton ami n'exige rien de toi. Si Zamire t'est chère..."")",-,0.0
"('#valcour', ""Oh ! bien plus que ma vie, Non rien, rien ne rompra le beau noeud qui nous lie. Mes serments sont sacrés, si je les trahissais... Mais cela ne se peut, j'aime, je suis Français, La foi, l'amour, l'honneur et la reconnaissance Sont les premières lois que l'on suit dans la France, Ton ami, cher Dorval, aura quelque vertu."")",-,0.0
"('#dorval', 'Quelle est Zamire enfin, comment la connais-tu ?')",-,0.0
"('#valcour', ""Zamire ! ce qu'elle est ? il n'est point de louange, Aucune expression, aucun mot... c'est un ange... Un ange de lumière, elle est belle sans art. Son âme, en ses discours, paraît toujours sans fard, Sur son front ingénu brille une candeur pure, C'est le riant tableau de la belle nature... Je sortis de Québec pour chasser dans ses bois, Je m'égara[i] bientôt, et réduit aux abois, Après trois jours entiers d'une marche inutile, J'attendais le trépas comme mon seul asile. Un matin qu'accablé de peines, de douleurs, Couché sur le gazon je le mouillais de pleurs, J'attendis tout d'un coup du bruit dans le feuillage, Je me levai rempli de dépit et de rage. Qui que tu sois, viens, dis-je, et perce-moi le coeur : Je suis ton ennemi, crains tout de ma fureur, Préviens mes coups : j'allais dans mon délire extrême Hors de moi, massacrer tout ce que mon coeur aime. Mon bras était levé, je veux donner la mort : Mais je trouve un vainqueur plus puissant et plus fort. Un coup d'oeil me désarme ; étranger me dit-elle, Que t'a donc fait Zamire et quelle ardeur cruelle Te portait à vouloir lui déchirer le flanc ? Parle, qui t'a donné cette soif de mon sang ? Interdit, étonné, je ne sais que répondre. Tout, dis-je, en cet instant, tout sert à me confondre. Zamire, pardonnez, je suis un malheureux ; Mais je vais m'en punir. Ce fer... « Vis, je le veux », Dit-elle avec douceur, « dans ce climat horrible Étranger crois qu'on peut trouver un coeur sensible. Née au milieu des bois, et sur ces bords lointains Je connais le premier des devoirs des humains, La sensibilité, l'amour de son semblable ». Je tombe à ses genoux. Ô femme respectable ! M'écriai-je ! reçois l'hommage d'un mortel « Est-on si généreux pour n'être point cruel », Dit-elle ? « Lève-toi. Trop heureuse sans doute Si j'adoucis ces maux que ton malheur te coute ». Que te-dirai-je encor. Je sentis dans mes sens Naître un amour vainqueur de l'absence et du temps. Je sentis qu'à jamais je lui serai fidèle, Pour moi dans l'univers tout disparut hors elle, L'aimer est mon seul bien. Depuis cet heureux jour, Tout raffermit, redouble et nourrit mon amour"")",-,0.0
"('#dorval', ""Loin de désapprouver ce beau feu qui t'enflamme, Il prouve, cher ami, la bonté de ton âme."")",-,0.0
"('#valcour', ""Eh ! n'ai-je pas sujet de répandre des pleurs, Et condamnerais-tu mes trop justes douleurs ? Dans un mois, dans un mois nous repassons en France. Tu m'aimes, cher Dorval, dès la plus tendre enfance, Par les noeuds les plus doux, liés étroitement, Des secrets de mon coeur tu fus le confident. Accoutumé sans cesse à lire dans mon âme, N'y pénètres-tu point le désir qui l'enflamme ?"")",-,0.0
"('#dorval', ""Compte sur ton ami, quel_que_soit ton dessein, Je le seconderai, Valcour, sois en certain. Aux yeux de l'amitié, va, rien n'est impossible ! Ah ! parle ?"")",-,0.0
"('#valcour', ""Je suis né reconnaissant, sensible, Le bonheur de te voir est un de ses bienfaits, Je lui dois tout, Dorval, et si je l'oubliais Je trahirais l'amour, l'honneur, la pitié même, Je me dégraderais, je l'adore, elle m'aime. Écoute, on me croit mort, garde-moi le secret, Laisse-moi dans ce bois. Emmène mon valet, Retourne dans le camp ne crains rien pour ma vie."")",-,0.0
"('#dorval', ""Qu'exiges-tu de moi ?"")",-,0.0
"('#valcour', ""Dorval, je t'en supplie. Mon bonheur en dépend."")",-,0.0
"('#dorval', 'Cruel, que voulez-vous ?')",-,0.0
"('#valcour', ""Ne me refuse point, j'embrasse tes genoux."")",-,0.0
"('#dorval', ""Demande tout mon sang ; mais un tel sacrifice Est au-dessus de moi. Crois-tu que je le puisse ? Je languissais sans toi, je te trouve aujourd'hui, Et t'abandonnerais sans secours, sans appui ; Au milieu des déserts et parmi des Sauvages Altérés de ton sang, cruels anthropophages."")",-,0.0
"('#valcour', 'Hélas !')",-,0.0
"('#dorval', ""Vous soupirez. Voilà jusqu'où l'amour Égare votre coeur, vous séduit en ce jour."")",-,0.0
"('#frontin', 'Je sais un bon moyen de ranger cette affaire.')",-,0.0
"('#valcour', 'Dis, quel est-il ?')",-,0.0
"('#frontin', ""Monsieur, je crains de vous déplaire. Depuis que par l'amour vous êtes retenu ; Coutre tous mes conseils vous êtes prévenus. Je perds à vous parler toute ma rhétorique."")",-,0.0
"('#valcour', ""Parle. Je te t'ordonne."")",-,0.0
"('#frontin', ""En ce cas je m'explique. Si Zamire vous aime, il vaudrait je crois mieux Qu'avec vous pour toujours elle quittât ces lieux. Le destin le plus beau s'offre à vous dans la France. Vous l'y rendriez heureuse. Au sein de l'opulence, Au milieu des plaisirs d'un séjour enchanteur Que faudrait-il de plus pour faire son bonheur ?"")",-,0.0
"('#valcour', 'Je ne me flatte point que Zamire y consente.')",-,0.0
"('#frontin', ""Monsieur, Zamire est femme, et l'offre est séduisante."")",-,0.0
"('#valcour', ""Zamire est au-dessus du reste des humains. Tranquille, sans besoins tous les jours sont sereins. Comme elle est sans désirs son âme est sans nuages. Loin du monde, ignorée, en ce climat sauvage Elle vit près d'un père, appui de ses vieux ans, Le soigner, le chérir, occupe ses instants. Je ne tiens dans son coeur que la seconde place. J'oserais demander ? Non mon ami."")",-,0.0
"('#dorval', ""De grâce Écoute la raison, écoute l'amitié. Au devoir, à l'honneur, si ton•coeur est lié, Suis l'exemple aujourd'hui que Zamire te donne. Imite sa vertu, Valcour, tout te l'ordonne. On doit à la nature encor plus qu'à l'amour. Un oncle qui t'aima te pleure chaque jour, Lorsque tu peux d'un mot dissiper ses alarmes, Lorsqu'il ne tient qu'à toi d'aller sécher ses larmes, Voudras-tu qu'il succombe au poids de sa douleur ?"")",-,0.0
"('#valcour', ""Hélas ! cruel ami, vous me percez le coeur. Eh bien ! vous n'aurez plus de reproche à me faire. La nature commande et l'amour doit se taire. N'importe, j'en mourrai, je serai vertueux. Mais Zamire... jamais... sais-je ce que je veux. Lorsque je te jurais de t'adorer sans cesse, Quand tes yeux répondaient à ma vive tendresse, Quand enivré d'amour j'embrassais tes genoux, Aurais-tu soupçonné dans des moments si doux Que bientôt ton amant deviendrait infidèle !"")",-,0.0
"('#dorval', 'Tu pleures ?')",-,0.0
"('#valcour', 'Ah ! Dorval, hélas ! que dira-t-elle ? Que va-t-elle penser ? Je crois que je la voi  Me pleurer, me haïr.')",-,0.0
"('#dorval', 'Cher ami, calme-toi. Tu ne la perdras point cette amante si chère.  Ton oncle est généreux, il te chérit en père. Il entendra tes pleurs, il verra tes soupirs ; Il les fera cesser en comblant tes désirs.')",-,0.0
"('#valcour', 'Il tient au préjugé trop commun dans la France, Celui de vouloir faire une grande alliance. Et Zamire est sans bien, sans nom, et sans aïeux.')",-,0.0
"('#dorval', ""Ses vertus sont un titre encor plus précieux. Monsieur d'Ortille est bon, tu sais bien qu'il t'adore. Il ne vit que pour toi. Si tu l'aimes encor Viens faire évanouir son chagrin dévorant. Il est près de ce bois avec son régiment."")",-,0.0
"('#valcour', ""Zamire dans ce lieu devait bientôt se rendre. L'heure approche, Dorval, et laisse-moi l'attendre."")",-,0.0
"('#dorval', ""Tous les moments sont chers, un instant de chagrin D'un vieillard malheureux peut avancer la fin. Laisse ici ton valet qu'il attende Zamire."")",-,0.0
"('#frontin', 'Laissez plutôt La Fleur.')",-,0.0
"('#la-fleur', 'Cela te plaît à dire, Tu connais les chemins, je ne les connais pas.')",-,0.0
"('#frontin', 'Mais toi, tu viens du camp.')",-,0.0
"('#dorval', 'Pour finir vos débats, Restez-y tous les deux.')",-,0.0
"('#la-fleur', ""Ce n'est pas nécessaire. Frontin plutôt que moi se tirera d'affaire."")",-,0.0
"('#frontin', ""La Fleur, garçon d'esprit, adroit, intelligent Au besoin, mieux que moi, sait faire un compliment."")",-,0.0
"('#dorval', 'Vous avez, je le sais, une adresse infinie ; Mais vous avez encor plus de poltronnerie.')",-,0.0
"('#frontin', 'Moi poltron ? Point du tout.')",-,0.0
"('#la-fleur', ""Ni moi, Monsieur, d'honneur. Fi ! C'est me faire tort, vous connaissez La Fleur."")",-,0.0
"('#frontin', 'On me connaît aussi.')",-,0.0
"('#dorval', 'Sans tant de verbiage, Montrez-nous en restant quel est votre courage.')",-,0.0
"('#frontin', 'Si La Fleur y consent ?')",-,0.0
"('#la-fleur', ""Si Frontin le voulait ?... Car un tout seul, Monsieur, dans ce bois s'ennuierait. "")",-,0.0
-,"('#frontin', ""C'est un triste séjour, Monsieur, que l'Huronie, Oh ! vous avez beau dire en ces lieux je m'ennuie, On est mieux à Boston ; tâchons d'y retourner. Tenez, je me fais fort de vous y ramener."")",0.0
-,"('#valcour', 'Zamire ne vient point.')",0.0
-,"('#frontin', ""Ô Ciel ! toujours Zamire. Peste soit de l'amour !"")",0.0
-,"('#valcour', 'Ah ! quel cruel martyre !')",0.0
-,"('#frontin', 'Martyre est bien le mot. Je me meurs de frayeur. ')",0.0
-,"('#valcour', 'Poltron !')",0.0
-,"('#frontin', ""Oh ! Poltron soit. Je voudrais de bon coeur, Vous voir enfin défait de l'amour qui vous lie ; Cet amour tous les jours expose votre vie : Au milieu de ces bois, sans amis, sans secours ; Ah ! que prétendez-vous ?"")",0.0
-,"('#valcour', ""L'idolâtrer toujours, Jusqu'au dernier soupir lui conserver ma flamme."")",0.0
-,"('#frontin', 'Mais vous ne voulez point en faire votre femme ?')",0.0
-,"('#valcour', ""Quelle autre peut jamais à la noble candeur Réunir plus d'attraits pour m'offrir le bonheur."")",0.0
-,"('#frontin', ""Vous ! Épouser Zamire ? Ah ! quelle extravagance ! Vous voulez donc, Monsieur, renoncer à la France, Habiter ces climats et devenir Huron ! L'amour jusqu'à ce point trouble-t-il la raison !"")",0.0
-,"('#valcour', ""Peux-tu donc oublier que l'air que je respire, Est un bienfait, hélas ! de la tendre Zamire. Égarés dans ces bois, sans ses soins généreux, Sans ses secours, Frontin, nous périssions tous deux. À sa compassion je dois mon existence. Étouffant dans mon coeur toute reconnaissance, Je pourrais la trahir, la fuir, l'abandonner ? Sont-ce là les conseils que tu dois me donner ? Si j'en avais conçu la fatale pensée... Mais non, de trop d'amour mon âme est embrasée. Ces rochers menaçants, l'épaisseur de ces bois Plaisent plus à mes yeux que le palais des rois. Je n'y vois que Zamire, elle est partout présente, Tout ici sait m'offrir mon adorable amante. Ses bienfaits sont partout tracés en ce séjour,  Et j'y suis à jamais enchaîné par l'amour."")",0.0
-,"('#frontin', ""Ô ciel ! Quittons des lieux à nos voeux si contraires. Où nous ferions, je crois, assez mal nos affaires ; Où l'on estime peu l'esprit et les talents, Où le mérite seul est de courir les champs, De traverser les lacs, de gravir les montagnes, Où l'on ne fait l'amour qu'au milieu des campagnes, Parmi le froid, la neige, entouré d'animaux, Tous moins cruels encor que messieurs vos rivaux, Gens fort mal éduqués, qui par galanterie, Avant de s'expliquer nous arrachent la vie, Qui nous ayant hachés comme chair à pâtés, Dans nos crânes après boivent à nos santés. Hier au soir encore, à travers le feuillage Je vis roder, Monsieur, un grand et gros sauvage, Dont l'air rébarbatif me glaça de terreur. Haut."")",0.0
-,"('#valcour', 'Poltron !')",0.0
-,"('#frontin', ""J'entends du bruit. Si c'est lui par malheur ! Sauvons-nous."")",0.0
-,"('#valcour', 'Malheureux !')",0.0
-,"('#frontin', ""Hélas ! quelqu'un s'avance. On vient à nous. Ô ciel ! prends-nous en ta puissance."")",0.0
-,"('#valcour', ""N'es-tu point avec moi ?"")",0.0
-,"('#frontin', ""C'est mon dernier moment."")",0.0
-,"('#valcour', 'Que vois-je ! des Français ?')",0.0
-,"('#frontin', 'Se peut-il ? Oui vraiment.')",0.0
-,"('#la-fleur', 'Oui, ce sont des Anglais, abandonnons la place.')",0.0
-,"('#dorval', ""Est-ce toi, Chevalier, est-ce toi, que j'embrasse ?"")",0.0
-,"('#valcour', 'Dorval !')",0.0
-,"('#dorval', 'Valcour !')",0.0
-,"('#frontin', 'La Fleur ! ne me trompé-je pas ?')",0.0
-,"('#dorval', ""C'est donc toi, mon ami, que je tiens dans mes bras ! Toi, que j'avais cru mort, dont j'ai pleuré la perte."")",0.0
-,"('#la-fleur', ""Mais parbleu ! c'est Frontin. L'heureuse découverte ! Ils courent s'embrasser, et un moment après chacun passe à côté de son maître."")",0.0
-,"('#dorval', ""Je te revois encor, j'en rends grâce au hasard, Un jour de plus sans doute il eût été trop tard. Mais quel bonheur, Valcour, que vers ce lieu sauvage, Pour tromper l'ennemi nous cherchions un passage. Quel moment pour ton oncle ! Il a jusqu'à ce jour, Pour te faire chercher, différé son retour."")",0.0
-,"('#valcour', 'Quoi ! Nous allons partir  ?')",0.0
-,"('#dorval', ""Le combat qui s'apprête, Jusqu'à demain encor dans ces lieux nous arrête."")",0.0
-,"('#valcour', ""Jusqu'à demain ! Ah ciel ! si tu m'aimas jamais."")",0.0
-,"('#dorval', ""Quel langage ! Ah Valcour, tu sais si je t'aimais. Mon coeur n'est point changé. Qu'as-tu ? parle sans crainte.  "")",0.0
-,"('#valcour', ""Je me reprocherais un seul moment de feinte. Toi qui connais si bien ce qu'on doit à l'honneur, Sois mon juge, Dorval, j'en appelle à ton coeur, Ma vie est en ces lieux pour jamais enchaînée."")",0.0
-,"('#dorval', ""Cher Valcour, qu'as-tu dit ?"")",0.0
-,"('#valcour', ""Connais ma destinée. Je sortis de Boston pour chasser dans ces bois. Je m'égarai bientôt, et réduit aux abois, Après trois jours entiers d'une marche inutile, J'attendais le trépas comme mon seul asile. Un matin, accablé de peines, de douleurs, Couché sur le gazon, je le mouillais de pleurs, Quand j'entendis soudain du bruit dans le feuillage, Je me levai rempli de dépit et de rage. Qui que tu sois, viens, dis-je, et perce moi le coeur : Je suis ton ennemi, crains tout de ma fureur, Préviens mes coups : j'allais dans mon délire extrême, Hors de moi, massacrer tout ce que mon coeur aime. Mon bras était levé, je veux donner la mort ; Mais je trouve un vainqueur plus puissant et plus fort. Un coup d'oeil me désarme ; étranger, me dit elle, Que t'a donc fait Zamire et quelle ardeur cruelle Te portait à vouloir lui déchirer le flanc ? Parle ! Qui t'a donné cette soif de mon sang ? Interdit, étonné, je ne sais que répondre. Tout, dis-je, en ce moment, tout sert à me confondre, Zamire, pardonnez, je suis un malheureux ; Mais je vais m'en punir, ce fer. – Vis, je le veux, Dit-elle, avec douceur : dans ce climat horrible, Étranger, crois qu'on peut trouver un coeur sensible. Née au milieu des bois et sur ces bords lointains, Je connais le premier des devoirs des humains, La sensibilité, l'amour de son semblable. Je tombe à ses genoux. Ô femme respectable ! M'écriai-je, reçois l'hommage d'un mortel. Est-on si généreux pour n'être point cruel, Dit-elle ? Lève-toi, trop heureuse sans doute, Si j'adoucis les maux que ton malheur te coute. Que te dirai-je encor ! Je sentis dans mes sens Naître un amour vainqueur de l'absence et du tems, Je sentis qu'à jamais je lui serais fidèle ;  Pour moi dans l'univers tout disparut, hors elle. L'aimer est mon seul bien. Depuis cet heureux jour, Tout raffermit, redouble et nourrit mon amour."")",0.0
-,"('#dorval', ""Tu ne la perdras point cette amante si chère. Ton oncle est généreux, il te chérit en père. Et tes jours qu'il lui doit, me sont un sûr garant Que de ton hyménée il hâtera l'instant. La douleur dans la tombe entraînait sa vieillesse, Viens, vole dans ses bras, et que sa peine cesse, Avec son régiment il est près de ces lieux, Viens, Valcour, viens tarir les larmes dans ses yeux."")",0.0
-,"('#valcour', ""Zamire dans ce bois devait bientôt se rendre, L'heure approche, Dorval, et laisse-moi l'attendre."")",0.0
-,"('#dorval', ""Veux-tu quand le combat va bientôt s'engager, Que l'on t'accuse, ami, d'éviter le danger ? Laisse ici ton valet, qu'il attende Zamire."")",0.0
-,"('#frontin', 'Laissez plutôt La Fleur.')",0.0
-,"('#la-fleur', 'Cela te plaît à dire, Tu connais les chemins, je ne les connais pas.')",0.0
-,"('#frontin', 'Mais toi, tu viens du camp.')",0.0
"('#dorval', 'Bon ! restez-y tous deux. Aussitôt que Zamire Paraîtra vous viendrez.')","('#dorval', 'Pour finir vos débats, Restez-y tous les deux. Aussi tôt que Zamire Paraîtra, vous viendrez')",0.8794950246810913
"('#la-fleur', ""Oui, j'irai vous le dire."")","('#la-fleur', ""Oui, j'irai vous le dire."")",1.0
"('#frontin', 'Oh ! nous irons ensemble.')","('#frontin', 'Ah ! Nous irons ensemble.')",0.9891669750213623
"('#valcour', ""Ah, dis-lui bien Frontin, Que vivre son amant fait toujours mon destin. Peins-lui tous les transports de ce coeur qui l'adore, Dis-lui que pour la voir j'ai devancé l'aurore. Dis-lui que je m'arrache de regret de ces lieux, Et que bientôt l'amour va me rendre à ses yeux."")","('#valcour', ""Ah ! Dis-lui bien, Frontin, Que vivre son amant fait toujours mon destin. Peins-lui tous les transports de ce coeur qui l'adore, Dis-lui que pour la voir j'ai devancé l'aurore, Dis-lui que je m'arrache à regret de ces lieux, Et que bientôt l'amour va me rendre à ses yeux."")",0.9849764108657837
"('#la-fleur', 'Depuis que dans ces bois tu fais ta résidence Avec quelques Hurons as-tu fais connaissance ?')","('#la-fleur', 'Depuis que dans ces bois tu fais ta résidence, Avec quelques Hurons as-tu fait connaissance ?')",0.9922373294830322
"('#frontin', 'Oui parbleu, Mons La Fleur, même par le bon bout.')","('#frontin', 'Oui, parbleu ! Mons la Fleur, même par le bon bout.')",0.8731942772865295
"('#la-fleur', 'On dit que ces Messieurs nous trouvent de leur goût. ')","('#la-fleur', 'On dit que ces messieurs nous trouvent de leur goût ?')",0.920868992805481
"('#frontin', ""Mais pas mal. Tout à l'heure à cette même place De deux de ces goulus j'ai remouché l'audace. Ils voulaient me happer pour me croquer rôti ; Ils en ont eu mon cher le plus fier démenti..."")","('#frontin', ""Pas mal ; hier encore à cette même place De deux de ces goulus j'ai remouché l'audace. Ils voulaient me happer pour me croquer rôti ; Ils en ont eu, mon cher, le plus fier démenti."")",0.963726282119751
"('#la-fleur', ""Hélas ! je crains toujours que quelqu'un ne m'accroche."")","('#la-fleur', ""Hélas ! Je crains toujours que quelqu'un ne m'accroche."")",0.9976134300231934
"('#frontin', 'Ne crains rien avec moi.')","('#frontin', 'Ne crains rien avec moi.')",0.9999998807907104
"('#la-fleur', ""Frontin, quelqu'un approche."")","('#la-fleur', ""Frontin, quelqu'un approche."")",1.0
"('#frontin', 'Ô ciel ! Que devenir ? Où nous cacherons-nous ?')","('#frontin', 'Ô ciel ! que devenir ? Où nous cacherons-nous ?')",0.9951783418655396
"('#la-fleur', ""Le parti le plus sûr serait de filer doux. Ne fais pas le méchant et modère ta bile. Je t'en prie."")","('#la-fleur', ""Le parti le plus sûr serait de filer doux. Ne fais pas le méchant, et tempère ta bile, Je t'en prie."")",0.9722145199775696
"('#frontin', ""Oh ! cela n'est pas fort difficile."")","('#frontin', ""Oh ! cela n'est pas fort difficile."")",1.0
"('#la-fleur', ""S'il leur faut de l'argent, tiens, voilà tout le mien."")","('#la-fleur', ""S'il leur faut de l'argent, tiens, voilà tout le mien."")",0.9999998807907104
"('#frontin', ""La Fleur tu t'es trompé, pour moi je ne vois rien. S'il faut te l'avouer je ne suis point tranquille. Ah ! que j'aime bien mieux le séjour de la ville. Là dans une antichambre assis au coin du feu On attend le patron en s'amusant au jeu ; On caresse Lisette, on rit, on boit, on danse. Mais en ce sot séjour, ah ! quelle différence ! On n'y saurait trouver un minois gracieux. La mort de tous côtés s'y présente à vos yeux. On n'y voit que Hurons, Iroquois et leur clique, Qui n'ont jamais pitié que d'un Français étique, Qui d'un oeil en dessous lorgnent un garçon gras, Et pour l'escamoter le suivent pas à pas."")","('#frontin', ""La Fleur, tu t'es trompé, pour moi je ne vois rien. S'il faut te l'avouer, je ne suis point tranquille. Ah ! Que j'aime bien mieux le séjour de la ville. Là dans une antichambre assis au coin du feu, On attend le patron en s'amusant au jeu ; On caresse Lisette, on rit, on boit, on danse ; Mais dans ces tristes bois, ah ! quelle différence ! On y rencontre à peine un minois gracieux. La mort de tous côtés s'y présente à vos yeux. On voit que Hurons, Iroquois, et leur clique, Qui n'ont jamais pitié que d'un humain étique ; Qui d'un oeil en dessous lorgnent un garçon gras. Et pour l'escamoter le suivent pas à pas. Pour toi, de ce côté tu ne crains pas grand-chose, Tu n'as point comme moi ce teint couleur de rose, Cet air frais et vermeil, cet embonpoint charmant. "")",0.9704801440238953
