,corneillet-inconnu,dancourt-inconnu,Cost,Operation Type
384,"('#olimpe', ""Il peut garder son privilège,  Sans qu'on songe à le contester. "")","('#olimpe', ""Il peut garder son privilège,  Sans qu'on songe à le contester. "")",0.0,Match
385,"('#petit-bohemien', ""Il est doux de vous en conter,  Mais il faut se garder du piège.  Vous êtes fine, fine, et vous ne dites pas  Tout ce que vous avez dans l'âme.  Un Amant déclaré brûle pour vos appas ;  Mais comme un autre en secret vous enflamme,  De ce premier, ma bonne Dame,  Vous avez peine à faire cas. "")","('#petit-bohemien', ""Il est doux de vous en conter :  Mais il faut se garder du piège ;  Vous êtes fine, fine, et vous ne dites pas  Tout ce que vous avez dans l'âme.  Un amant déclaré brûle pour vos appas :  Mais comme un autre en secret vous enflamme,  De ce premier, ma bonne Dame,  Vous avez peine à faire cas. "")",0.0,Match
386,"('#le-chevalier', 'Vous le voyez, Madame, un Enfant vous accuse.  Condamnez mon jaloux dépit. ')","('#le-chevalier', 'Vous le voyez, Madame, un enfant vous accuse,  Condamnez mon jaloux dépit. ')",0.0,Match
387,"('#olimpe', ""À faire un conte en l'air l'âge lui sert d'excuse. Il parle comme il peut, sans savoir ce qu'il dit. "")","('#olimpe', ""À faire un conte en l'air, l'âge lui sert d'excuse,  Il parle comme il peut, sans savoir ce qu'il dit. "")",0.0,Match
388,"('#petite-bohemienne', ""Pour moi, dont la science encor n'est pas si grande,  Que de tout comme lui je puisse discourir,  Si vous me le voulez souffrir,  Je vais danser la Sarabande. "")","('#la-comtesse', ""Chevalier, les jaloux souvent se font haïr.  Finissons, et prions quelqu'une de la bande,  Puisque nous avons le loisir  De danser une sarabande. "")",1.08,Substitution
389,"('#la-comtesse', ""Voyons. Quel passe-temps plus doux pourrait s'offrir ?  La petite Bohémienne danse, et après qu'elle a dansé, une Bohémienne chante les deux couplets suivants sur l'air de la sarabande. "")","('#la-bohemienne', ""La belle Comtesse commande,  Nous faisons gloire d'obéir.  On danse."")",1.17,Substitution
390,"('#la-bohemienne', ""Il faut aimer, c'est un mal nécessaire  Quand le Bel âge attire les Amours.  Qui fait la fière  Dans ses beaux jours,  N'est pas toujours,  Sûre de plaire.  On court toujours où brille la Jeunesse,  Ménagez bien cet aimable printemps.  Pour la tendresse  Il n'est qu'un temps,  Et les beaux ans  S'en vont sans cesse.  Si l'Amour tôt ou tard  Nous met sous son empire,  À ce qu'il désire  Prenons quelque part,  Et fuyons le martyre  D'aimer par hasard.  Choisissons un coeur tendre,  Fidèle, amoureux.  Il est trop dangereux  De se laisser surprendre ;  Et pour trop attendre,  On est malheureux.  Cette Chanson étant finie, les Bohémiens font encore quelques figures en marchant ; après quoi, la même Bohémienne chante ces autres Paroles sur un autre Air que celui de la Sarabande. "")","('#mademoiselle-desmarres', ""Un Inconnu pour vos charmes soupire.  Son sort égalerait celui des Dieux,  S'il pouvait lire  Dans vos beaux yeux,  Qu'avec plaisir vous souffrez en ces lieux,  Les soins qu'il prend de vous le faire dire.  Sur son destin, que faut-il qu'il apprenne ?  D'un tendre aveu soulagera le souci  D'un coeur en peine  D'être éclairci,  Nous disons la bonne aventure ici,  Ne pourrons-nous l'instruire de la sienne.  Monsieur Ponteuil en Bohémien.  Belles, qui voulez apprendre  Quelle fortune vous aurez,  Ne pouvez-vous pas prétendre  À celle que vous voudrez ?  Il est un sort qui de vous doit dépendre ;  D'heureux destins  Sont en vos mains,  C'est à vous de les faire, à nous de les attendre."")",0.0,Match
391,"('#la-comtesse', ""J'admire également et la voix et la danse,  Il n'est rien dont par là vous ne veniez à bout,  Et vous méritez tous que pour reconnaissance... "")","('#la-comtesse', ""J'admire également et la voix et la danse,  Il n'est rien, dont par là, vous ne veniez à bout,  Et vous méritez tous, que pour reconnaissance… "")",0.0,Match
392,"('#la-bohemienne', 'Vous avoir divertie est une récompense  Qui nous doit tenir lieu de tout. ')","('#la-bohemienne', 'Vous avoir divertie, est une récompense,  Qui nous doit tenir lieu de tout. ')",0.0,Match
393,"('#la-comtesse', ""Mais je veux qu'un présent... "")","('#la-comtesse', ""Mais je veux qu'un présent… "")",0.0,Match
394,"('#la-bohemienne', 'Non, Madame, de grâce,  Réservez vos présents, et nous laissez aller. ')","('#la-bohemienne', 'Non, Madame, de grâce,  Réservez vos présents, et nous laissez aller. ')",0.0,Match
395,"('#olimpe', 'Ils sortent. ')","('#olimpe', 'Ils sortent. ')",0.0,Match
396,"('#la-comtesse', ""Suivez-les, Virgine, et que l'on fasse  Tout ce qui se pourra pour les bien régaler. "")","('#la-comtesse', ""Suivez-les, Virgine, et que l'on fasse  Tout ce qui se pourra pour les bien régaler.  Fin du Divertissement du troisième Acte."")",0.0,Match
397,"('#la-comtesse', ""Pour des gens de leur sorte, il n'est pas ordinaire  D'agir ainsi sans intérêt. "")",,1.0,Insertion
398,"('#le-chevalier', ""C'est là ce qui n'arrive guère ;  Mais n'ai-je point deviné ce que c'est ?  Ils vous auront volée, et dans la juste crainte  De se voir sur le fait honteusement surpris,  Leur générosité peut-être est une feinte  Pour cacher ce qu'ils vous ont pris.  Ils ont la main subtile, et l'un d'eux, ce me semble,  S'est assez approché de vous. "")",,1.0,Insertion
399,"('#la-comtesse', ""J'ai peine... Mais ô Ciel ! "")",,1.0,Insertion
400,"('#le-chevalier', 'Serait-ce un de leurs coups,  Et vous ai-je dit vrai ? ')",,1.0,Insertion
401,"('#le-marquis', ""J'en tremble. "")",,1.0,Insertion
402,"('#la-comtesse', ""Non, c'est leur faire tort qu'avoir ces sentiments.  Mais voyez ce que je rencontre,  Un Billet, avec cette montre. "")",,1.0,Insertion
403,"('#olimpe', 'Quel éclat ! Ce ne sont partout que diamants. ')",,1.0,Insertion
404,"('#la-comtesse', ""Puisque l'excès de ma tendresse  Rend mes jours par vous seule ou plus_ou_moins charmants,  Souffrez que cette Montre ô divine Comtesse,  Vous en offre tous les moments.  Qu'elle avance, qu'elle demeure,  Consultez-la souvent, si mon feu vous est doux.  Quelque heure qu'elle marque, elle marquera l'heure  Où vous m'aurez auprès de vous.  Ô Ciel, que de galanterie !  Jamais par cette voie a-t-on fait des présents ?  Se servir pour cela de Gens  Qui mettent à voler toute leur industrie.  Rappelez-les, allez. "")",,1.0,Insertion
405,"('#virgine', ""Madame, il n'est plus temps,  J'ai descendu, couru, les ai priés d'attendre,  Ils n'ont rien voulu m'accorder. "")",,1.0,Insertion
406,"('#la-comtesse', 'Mais la montre, je la veux rendre. ')",,1.0,Insertion
407,"('#olimpe', ""Pour moi, je la voudrais garder.  L'Inconnu le mérite, et tout ce qui se passe Montre un coeur à vos lois si bien assujetti... "")",,1.0,Insertion
408,"('#la-comtesse', 'Vous êtes fort dans son parti. ')",,1.0,Insertion
409,"('#le-marquis', ""Laissons-là l'Inconnu, de grâce. "")",,1.0,Insertion
410,"('#la-comtesse', ""Le Marquis est chagrin, d'avoir vu malgré lui  Un Divertissement que son amour redoute.  Il ne le croyait pas de son rival. "")",,1.0,Insertion
411,"('#le-marquis', 'Sans doute.  Je me serais épargné cet ennui. ')",,1.0,Insertion
412,"('#la-comtesse', ""Il peut encor trouver lieu de s'accroître.  Mais faisons un tour de Jardin ;  Et comme l'Inconnu cache trop son destin,  Cherchons à le forcer de se faire connaître.  L'Aventure embarrasse, et j'en veux voir la fin. "")",,1.0,Insertion
413,"('#le-marquis', ""Ne me le cachez point, vous voilà résolue ;  L'Inconnu seul vous touche, et ma perte est conclue. "")",,1.0,Insertion
414,"('#la-comtesse', ""Vous montrer de votre ombre à toute heure jaloux,  Ce n'est pas le moyen de m'attacher à vous.  L'Inconnu s'y prend mieux ; sans contraindre mon âme,  Par les plus tendres soins il fait parler sa flamme,  Et peut-être ai-je tort de vouloir plus longtemps  Que mon coeur se refuse à des feux si constants. "")",,1.0,Insertion
415,"('#le-marquis', ""Et bien, il faut céder ; mais ce qui me console,  Quand à votre bonheur ma passion s'immole,  C'est qu'au moins je pourrai, malgré mes feux jaloux,  Montrer qu'en vous aimant je n'ai cherché que vous. "")",,1.0,Insertion
416,"('#la-comtesse', ""Je ne vous croyais pas l'âme si généreuse. "")",,1.0,Insertion
417,"('#le-marquis', ""L'Inconnu vous mérite, il faut vous rendre heureuse. "")",,1.0,Insertion
418,"('#la-comtesse', 'Le coup vous touchera plus que vous ne pensez. ')",,1.0,Insertion
419,"('#le-marquis', ""N'importe, vous vivrez contente, et c'est assez.  En deux ans je n'ai pu réussir à vous plaire ;  Après un mois de soins, l'Inconnu l'a su faire.  Votre penchant pour lui ne peut se démentir,  Je vois qu'il vous emporte, il faut y consentir. "")",,1.0,Insertion
420,"('#la-comtesse', ""Vous le dites d'un air si plein de confiance,  Qu'il semble... "")",,1.0,Insertion
421,"('#le-marquis', 'Je le dis, parce que je le pense. ')",,1.0,Insertion
422,"('#la-comtesse', ""Un si beau sacrifice est digne d'un Amant ;  Mais d'où vient que tantôt vous parliez autrement ?  Inquiet, alarmé, vous me faisiez un crime  De ce que l'Inconnu m'avait surpris d'estime.  Le louer, c'était faire outrage à votre foi. "")",,1.0,Insertion
423,"('#le-marquis', ""C'est qu'alors mon amour ne regardait que moi.  Il a vu son erreur ; et la secrète honte  D'écouter pour lui-même une chaleur trop prompte,  L'a rendu si conforme à tout ce qui vous plaît,  Qu'il fait de vos désirs son plus cher intérêt. "")",,1.0,Insertion
424,"('#la-comtesse', ""C'est trop ; pour l'Inconnu je les ferai paraître.  Je dois chérir sa flamme, et dès demain peut-être,  Puis que c'est pour vox voeux un spectacle si doux,  Vous aurez le plaisir de le voir mon Époux. "")",,1.0,Insertion
425,"('#le-marquis', ""J'aurai ce plaisir ? "")",,1.0,Insertion
426,"('#la-comtesse', ""Oui, rien n'y peut mettre obstacle,  Mon choix sera pour lui. "")",,1.0,Insertion
427,"('#le-marquis', ""J'attendrai ce miracle.  Ainsi donc le voyant, d'abord vous l'aimerez ? "")",,1.0,Insertion
428,"('#la-comtesse', ""Si je ne l'aime pas vous m'en accuserez. "")",,1.0,Insertion
429,"('#la-comtesse', 'Et bien ? Olimpe ? ')",,1.0,Insertion
430,"('#le-chevalier', ""En vain ma passion se flatte.  Toujours même fierté dans sa froideur éclate,  Et ce qui rend surtout mon esprit abattu,  C'est ce qu'elle m'a dit, et que je vous ai tu.  Si je veux qu'elle soit favorable à ma flamme,  Il faut pour l'Inconnu que je touche votre âme.  Je ne puis être heureux, s'il n'obtient votre foi."")",,1.0,Insertion
431,"('#la-comtesse', ""Et contre le Marquis vous prenez cet emploi ?  C'est trahir l'amitié qui vous unit ensemble. "")",,1.0,Insertion
432,"('#le-chevalier', ""À vous parler ainsi, je l'avouerai, je tremble,  Et me tairais encor, si l'aveu du Marquis  Ne m'autorisait pas à ce que je vous dis.  Sûr que rien ne peut nuire à son amour extrême,  À satisfaire Olimpe il m'a porté lui-même,  Et j'aurai tout gagné, si je puis obtenir  Que vos bontés pour moi la daignent prévenir.  Dites-lui qu'envers vous j'ai tout fait pour lui plaire. "")",,1.0,Insertion
433,"('#le-marquis', 'Madame.... ')","('#cascaret', 'Madame… ')",0.0,Match
434,"('#la-comtesse', ""Je commence à percer le mystère.  Olimpe au Chevalier fait paraître à vos yeux  Tout ce qu'a le mépris de plus injurieux ;  À servir l'Inconnu son adresse l'engage,  Et loin de murmurer d'un si sensible outrage,  À ce même Inconnu, faussement généreux,  Vous-même vous osez sacrifiez vos feux ?  Chevalier, je ne sais si je me fais entendre,  Mais le noeud de l'intrigue est facile à comprendre.  Olimpe et le Marquis, l'un de l'autre charmés,  Me craignent pour obstacle à leurs coeurs enflammés. "")",,1.0,Insertion
435,"('#le-chevalier', 'Le Marquis aimerait Olimpe ? ')",,1.0,Insertion
436,"('#le-marquis', 'Moi, Madame ?  Vous le croyez ? ')",,1.0,Insertion
437,"('#le-chevalier', ""L'Ingrat ! Il trahirait ma flamme !  Olimpe à qui mes soins tendrement attachés...  Ah, si je le croyais... "")",,1.0,Insertion
438,"('#la-comtesse', ""Quoi, vous vous en fâchez ?  Vous regrettez un coeur que l'inconstance entraîne ?  Vous en plaignez la perte ? Il n'en vaut pas la peine.  Faites mieux, dédaignez ce manquement de foi ;  On nous quitte tous deux, riez-en comme moi.  Vous m'en voyez déjà tellement consolée,  Que si... "")",,1.0,Insertion
439,"('#le-chevalier', ""Des trahisons c'est la plus signalée.  Le Marquis ! "")",,1.0,Insertion
440,"('#la-comtesse', 'À quoi bon ces mouvements jaloux ? ')",,1.0,Insertion
441,"('#le-chevalier', ""Je sors, pour ne me pas échapper devant vous ;  Mais en vain votre exemple à souffrir me convie.  Avant qu'il m'ôte Olimpe il m'ôtera la vie ;  C'est à lui d'y penser. "")",,1.0,Insertion
442,"('#la-comtesse', ""Allez, ne craignez rien,  Quelque emporté qu'il soit, je l'apaiserai bien.  Pour Olimpe, je crois que l'on n'ignore guère  Que j'ai quelque pouvoir sur l'esprit de sa Mère.  Je l'emploierai pour vous ainsi que je le dois. "")",,1.0,Insertion
443,"('#le-marquis', 'Vous avez de la joie à mal juger de moi. ')",,1.0,Insertion
444,"('#la-comtesse', ""Je n'en juge point mal, Olimpe est jeune et belle,  Et quoiqu'on risque un peu d'aimer une Infidèle,  Elle a de quoi vous faire un destin assez doux ;  Mais je douterais fort qu'elle pût être à vous. "")",,1.0,Insertion
445,"('#le-marquis', ""Moi ? Je n'y prétends rien. "")",,1.0,Insertion
446,"('#la-comtesse', ""Mettons bas l'artifice. "")",,1.0,Insertion
447,"('#le-marquis', 'Madame, quelque jour vous me rendrez justice. ')",,1.0,Insertion
448,"('#la-comtesse', ""Je vous la rend entière, et pour vous obliger,  À choisir l'Inconnu j'ai voulu m'engager. "")",,1.0,Insertion
449,"('#le-marquis', ""C'est à quoi vous feriez peut-être un peu moins prompte,  Si vous preniez l'avis de Monsieur le Vicomte.  Le voici qui paraît. "")",,1.0,Insertion
450,"('#la-comtesse', 'Et bien, mon rapporteur ? ')",,1.0,Insertion
451,"('#le-vicomte', ""J'ai, pour le convertir, parlé mieux qu'un Docteur.  Et n'ai pas, Dieu merci, mal employé mes peines.  Il ne vous vuidera de plus de trois semaines,  Et pour solliciter il vous donne le temps  D'attendre le retour de nos deux Arcs-boutants.  Par là, n'en doutez point, votre affaire est gagnée. "")",,1.0,Insertion
452,"('#la-comtesse', 'Je puis donc de Paris me tenir éloignée ? ')",,1.0,Insertion
453,"('#le-vicomte', ""De Paris ? Vous avez, la chose allant ainsi,  Encor quinze grands jours à demeurer ici.  Goûtez-y les plaisirs que donne la verdure.  Mais il faut vous conter quelle est mon aventure,  Voyez-m'en rire encor. "")",,1.0,Insertion
454,"('#la-comtesse', 'Cela ne va pas mal. ')",,1.0,Insertion
455,"('#le-vicomte', ""Il n'est rien si plaisant. "")",,1.0,Insertion
456,"('#le-marquis', 'Le franc original ! ')",,1.0,Insertion
457,"('#la-comtesse', 'Enfin cette aventure ? ')",,1.0,Insertion
458,"('#le-vicomte', 'Elle est aussi gaillarde... ')",,1.0,Insertion
459,"('#la-comtesse', 'En rirez-vous toujours ? ')",,1.0,Insertion
460,"('#le-vicomte', ""La chose vous regarde.  C'est à vous là-dessus à vous l'imaginer.  Devinez-la. "")",,1.0,Insertion
461,"('#la-comtesse', ""Jamais je ne sus deviner.  On me dit tout au long ce qu'on veut que je sache. "")",,1.0,Insertion
462,"('#le-vicomte', ""On croit duper les Gens, à cause qu'on se cache ;  Mais j'ai si bien tourné, que j'y suis parvenu. "")",,1.0,Insertion
463,"('#la-comtesse', 'À quoi ? ')",,1.0,Insertion
464,"('#le-vicomte', ""Votre Inconnu ne m'est plus inconnu. "")",,1.0,Insertion
465,"('#le-marquis', ""M'aurait-il découvert ? "")",,1.0,Insertion
466,"('#la-comtesse', 'Vous pourriez le connaître ? ')",,1.0,Insertion
467,"('#le-vicomte', 'Moi, qui vous parle, moi. ')",,1.0,Insertion
468,"('#le-marquis', 'Cela ne saurait être. ')",,1.0,Insertion
469,"('#le-vicomte', ""Non, parce qu'il vous plaît que cela ne soit pas.  Son amour fait honneur sans doute à vos appas ;  C'est, sans lui faire tort, une aussi franche bête... "")",,1.0,Insertion
470,"('#le-marquis', ""Comment ? Vous l'avez vu ? "")",,1.0,Insertion
471,"('#le-vicomte', ""Des pieds jusqu'à la tête.  Il est basset, grosset, a les yeux hébétés. "")",,1.0,Insertion
472,"('#la-comtesse', 'Mais où cette rencontre, et comment ? ')",,1.0,Insertion
473,"('#le-vicomte', ""Écoutez.  Rêvant à vos beautés dont j'avais l'âme pleine,  Je me suis égaré dans la forêt prochaine,  Et voulant accourcir, mon cheval m'a mené  Dans le sentier confus d'un endroit détourné.  Quelques pas me montraient une route racée ;  J'ai suivi, tant qu'enfin une tente dressée  M'a fait appréhender le plus grand des malheurs.  J'ai cru qu'elle servait d'auberge à des voleurs. "")",,1.0,Insertion
474,"('#le-marquis', 'La peur prendrait à moins ; dans un bois ! Une tente ! ')",,1.0,Insertion
475,"('#le-vicomte', ""Tout franc, la vision n'est point divertissante. "")",,1.0,Insertion
476,"('#la-comtesse', 'Ainsi donc la frayeur a bien fait son devoir ? ')",,1.0,Insertion
477,"('#le-vicomte', ""J'aurais été fâché de mourir sans vous voir,  Car pour du coeur, je crois que j'en avais de reste ;  Mais j'ai bientôt sorti d'un doute si funeste.  Mon Cheval tout_à_coup s'élançant malgré moi,  J'ai connu mon erreur, et ris de mon effroi.  Au lieu de Mousquetons, j'ai vu dans cette Tente  Les apprêts différents d'une Fête galante,  Et ceux qui la gardaient, de mon abord surpris,  Parlaient certain jargon, où je n'ai rien compris.  C'étaient, pour la plupart, visages à la Suisse.  Chacun, selon son rôle, avait là son office.  L'un, d'un Bohémien quittait l'habillement ;  L'autre, d'une Coiffure ajustait l'ornement.  Force mains autour d'eux paraissaient occupées  À nouer des Rubans sur des fleurs coupées.  J'ai dans un certain coin remarqué le débris  D'une Collation qui valait bien son prix,  Grands citrons, fruits exquis, Confitures choisies.  J'ai vu des Violons, des Lustres, des Bougies,  J'ai vu... là, des... Enfin j'ai tant vu, que jamais  On n'eut tant d'attirail dans les plus grands Ballets.  J'ai donné droit au but, et deviné l'affaire.  Mais pour mieux m'éclaircir, penché vers l'un d'eux ; Frère,  Ai-je dit, n'a-t-on pas préparé tout ceci  Pour un certain Château qui n'est pas loin d'ici ?  Je l'embarrassais fort, il ne savait que dire ;  Mais c'était dire assez, que se taire et sourire.  Je lui serrais toujours le bouton de fort près ;  Quand, comme si la chose eût été faite exprès,  Ce Grosset, ce Basset commençant à paraître ;  Vous êtres curieux, parlez à notre Maître,  Le voilà, m'a-t-il dit, tout à propos venu.  N'ayant pas à douter qu'il ne fût l'Inconnu,  J'ai contemplé longtemps sa grotesque figure.  Il avait sur son nez jeté sa chevelure,  Et pour embarrasser mon curieux souci,  Sous une fausse barbe il cachait tout ceci.  Alors plein d'un chagrin que d'assez justes causes...  Madame, pardonnez si j'ai poussé les choses.  Quand on voit qu'un Rival cherche à se rendre heureux,  Et qu'on peut l'épargner, on n'est guère amoureux. "")",,1.0,Insertion
478,"('#le-marquis', ""Et qu'avez-vous donc fait ? "")",,1.0,Insertion
479,"('#le-vicomte', ""Ce que j'ai fait ? Silence.  Je dirai tout par ordre, un peu de patience.  J'ai demandé d'où vient qu'il campait dans ce Bois ?  Pourquoi la fausse barbe ? Enquis deux ou trois fois,  Et pressé de parler, plus il se voulait taire ;  Pourquoi je campe ici ? Qu'en avez-vous à faire ?  C'est mon plaisir, m'a-t-il sottement répondu.  Alors d'un grand coup d'oeil qu'il a bien entendu,  Lui marquant fièrement que je l'allais attendre,  Je me suis éloigné. "")",,1.0,Insertion
480,"('#le-marquis', ""C'était fort bien le prendre. "")",,1.0,Insertion
481,"('#le-vicomte', ""Me battre là ! Par tout j'aurais été blâmé.  Il avait vingt Valets qui m'auraient assommé. "")",,1.0,Insertion
482,"('#le-marquis', 'Il est bon quelquefois de voir comme on se fâche. ')",,1.0,Insertion
483,"('#la-comtesse', ""Et qu'est-il arrivé ? "")",,1.0,Insertion
484,"('#le-vicomte', ""Je n'ai trouvé qu'un lâche,  Qu'un farouche Animal, sans coeur et sans vertu,  Qu'un... cela fait pitié. "")",,1.0,Insertion
485,"('#le-marquis', ""Vous l'avez donc battu ? "")",,1.0,Insertion
486,"('#le-vicomte', ""Vous me la baillez bonne ; il s'est en Bête fière  Tenu clos et couvert toujours dans sa tanière ;  Et moi, m'étant lassé de l'attendre à l'écart,  D'un coup de Pistolet j'ai marqué mon départ. "")",,1.0,Insertion
487,"('#le-marquis', ""C'est pousser la bravoure aussi loin... "")",,1.0,Insertion
488,"('#le-vicomte', 'Sur mon âme,  Tout y va, quand il faut dégainer.')",,1.0,Insertion
489,"('#olimpe', ""Ah, Madame !  J'ai trouvé l'Inconnu. "")",,1.0,Insertion
490,"('#la-comtesse', 'Vous ? ')",,1.0,Insertion
491,"('#olimpe', 'Oui moi, dans ce bois. ')",,1.0,Insertion
492,"('#le-vicomte', 'Justement. ')",,1.0,Insertion
493,"('#olimpe', ""Vous savez que j'y vais quelquefois. "")",,1.0,Insertion
494,"('#le-vicomte', 'Le plaisant personnage ! Il vous a bien fait rire. ')",,1.0,Insertion
495,"('#olimpe', 'Lui ! ')",,1.0,Insertion
496,"('#le-vicomte', ""Sans doute. Écoutez ce qu'elle vous va dire. "")",,1.0,Insertion
497,"('#olimpe', ""Jamais je n'ai rien vu de si... "")",,1.0,Insertion
498,"('#le-vicomte', 'Tranchez le mot,  De si bête. ')",,1.0,Insertion
499,"('#olimpe', 'Comment ? ')",,1.0,Insertion
500,"('#le-vicomte', ""Quoi, ce n'est pas un sot ? "")",,1.0,Insertion
501,"('#olimpe', 'Quels contes vous fait-il ? ')",,1.0,Insertion
502,"('#la-comtesse', 'Écoutons-la, de grâce. ')",,1.0,Insertion
503,"('#le-vicomte', ""Qu'elle parle à son aise, après je retiens place. "")",,1.0,Insertion
504,"('#la-comtesse', 'Vous aurez audience à votre tour. ')",,1.0,Insertion
505,"('#le-vicomte', 'Tant mieux. ')",,1.0,Insertion
506,"('#olimpe', ""J'ai peine à croire encor au rapport de mes yeux.  Je revois dans le Bois, quand pour jouir de l'ombre  M'avançant lentement vers l'endroit le plus sombre,  Je trouve un Cavalier, qui surpris de me voir,  Me rend d'un air civil ce qu'il croit me devoir.  Quels traits pourront suffire à lui rendre justice ?  Peignez-vous Adonis, figurez-vous Narcisse,  Et tout ce que jamais on vanta de plus beau,  C'est ne vous en offrir qu'un imparfait tableau.  Je voudrais l'ébaucher, et n'en suis point capable.  Il a le port divin, la taille incomparable,  Et le Ciel pour lui seul semble avoir réservé  Ce qu'il eût de plus rare et de plus achevé.  Il marchait tout rêveur, et m'ayant aperçue,  Il a voulu d'abord se soustraire à ma vue.  J'en ai compris la cause, et pour ne perdre pas  L'heureuse occasion de sortir d'embarras ;  Je vois par quel souci vous suivez cette route.  Une aimable Comtesse en est l'objet sans doute,  Ai-je dit. À ce nom surpris, troublé, confus,  Il m'a parlé longtemps en termes ambigus.  J'ai remis le discours sur l'aimable Comtesse,  Et ménagé son trouble avecque tant d'adresse,  Que trahi par lui-même, il n'a pu me cacher  Qu'il était l'Inconnu que vous faites chercher.  Mais son nom est encor ce qu'il s'obstine à taire,  J'ai voulu l'amener, et je ne l'ai pu faire.  Il ne paraîtrait point, qu'il ne puisse juger  Que son attachement ait su vous engager.  Sa conversation ravit, enchante, enlève,  Sa personne commence, et son esprit achève.  Que ne m'a-t-il point dit du bonheur qu'il se fait  De ressentir pour vous l'amour le plus parfait ?  Ses manières en tout sont douces, agréables ;  Et si nous nous trouvions encor au temps des fables,  Je croirais que pour vous quelque Dieu tout exprès  Serait venu du Ciel habiter ces forêts.  Quand pour un tel Amant on prend de la tendresse,  Si c'est faiblesse en nous, l'excusable faiblesse ! "")",,1.0,Insertion
507,"('#le-vicomte', ""Vous peignez assez bien, le Portrait n'est pas mal,  Les traits beaux, mais néant pour son original.  J'ai vu l'Inconnu, moi, le vrai, ce qui s'appelle  L'Inconnu Régalant ; le vôtre, bagatelle.  C'est un fourbe qui veut causer de l'embarras. "")",,1.0,Insertion
508,"('#olimpe', 'Tout rival est suspect, on ne vous croira pas. ')",,1.0,Insertion
509,"('#la-comtesse', ""Mais le Vicomte a vu des marques de la Fête ;  Les mêmes Gens qu'ici... "")",,1.0,Insertion
510,"('#le-vicomte', ""J'ai vu de plus la bête,  Le très vilain Monsieur... "")",,1.0,Insertion
511,"('#olimpe', ""Il ne sait ce qu'il dit.  Soit qu'on s'attache au corps, soit qu'on cherche l'esprit,  L'inconnu passe tout ce qu'il faut qu'on attende... "")",,1.0,Insertion
512,"('#cascaret', 'Madame. ')",,1.0,Insertion
513,"('#la-comtesse', 'Que veut-on ? ')","('#la-comtesse', 'Que veut-on ? ')",0.0,Match
514,"('#cascaret', 'Un Monsieur vous demande. ')","('#cascaret', 'Un Monsieur vous demande. ')",0.0,Match
515,"('#la-comtesse', ""Voyez qui c'est, Virgine, et l'amener ici. "")","('#la-comtesse', ""Voyez qui c'est, Virgine, et l'amenez ici. "")",0.0,Match
516,"('#virgine', ""Je n'irai pas bien loin, Madame, le voici. "")",,1.0,Insertion
517,"('#la-montagne', ""Ayant plus d'une fois eu l'honneur de paraître  Devant leurs Majestés, je croirais mal connaître  Ce que l'on doit, Madame, à votre qualité,  Si m'étant pour ce soir dans le Bourg arrêté,  Je ne vous venais pas faire la révérence. "")","('#virgine', ""Je n'irai pas bien loin, Madame, le voici.  La Montagne représentant un Comédien.  Ayant plus d'une fois eu l'honneur de paraître  Devant leurs Majestés, je croirais mal connaître  Ce que l'on doit, Madame, à votre qualité,  Si m'étant pour ce soir dans le Bourg arrêté…  Je ne vous venais pas faire la révérence. "")",0.0,Match
518,"('#la-comtesse', 'Je suis fort obligée à votre complaisance ;  Mais ne sachant à qui... ')","('#la-comtesse', 'Je suis fort obligée à votre complaisance ;  Mais ne sachant à qui… ')",0.0,Match
519,"('#le-comedien', 'Je suis comédien.  Madame. ')","('#le-comedien', 'Je suis Comédien,  Madame. ')",0.0,Match
520,"('#le-vicomte', 'Ah, Serviteur. Ne vous manque-t-il rien  Pour nous pouvoir ici donner la comédie ? ')","('#le-vicomte', 'Ah, serviteur. Ne vous manque-t-il rien,  Pour nous pouvoir ici donner la Comédie ? ')",0.0,Match
521,"('#le-comedien', 'Non, Monsieur. ')","('#le-comedien', 'Non, Monsieur. ')",0.0,Match
522,"('#le-vicomte', ""Il faudrait quelque pièce applaudie,  Où l'emploi des acteurs répondit... "")","('#le-vicomte', ""Il faudrait quelque Pièce applaudie,  Où l'emploi des Acteurs répondit… "")",0.0,Match
523,"('#le-comedien', 'Laissez-nous  Le soin de la choisir. ')","('#le-comedien', 'Laissez-nous  Le soin de la choisir. ')",0.0,Match
524,"('#le-vicomte', ""Et Circé, l'avez-vous ? "")","('#le-vicomte', ""Et Circé, l'avez-vous ? "")",0.0,Match
525,"('#le-comedien', 'Nous, Circé ? Non, Monsieur ; Paris seul est capable... ')","('#olimpe', 'Nous, Circé ? Non, Monsieur, Paris seul est capable… ')",0.0,Match
526,"('#le-vicomte', ""Les Singes m'y charmaient, leur Scène est admirable. "")","('#le-vicomte', ""Les singes m'y charmaient, leur scène est admirable. "")",0.0,Match
527,"('#olimpe', ""C'est là le bel endroit. "")","('#olimpe', ""C'est là le bel endroit. "")",0.0,Match
528,"('#le-vicomte', 'Il plaît à bien des gens. ')","('#le-vicomte', 'Il plaît à bien des gens.')",0.0,Match
529,"('#la-comtesse', 'Et comment jouerez-vous ? ')","('#la-comtesse', 'Et comment jouerez-vous ? ')",0.0,Match
530,,"('#le-vicomte', 'Avec des Paravents. ')",1.0,Deletion
