,corneillet-inconnu,dancourt-inconnu,Cost,Operation Type
208,"('#le-marquis', ""Et qu'as-tu dit pour eux ? "")",,1.0,Insertion
209,"('#virgine', ""Qu'ils ont d'abord couru  Se jeter en carrosse, et qu'ils ont disparu. "")",,1.0,Insertion
210,"('#le-marquis', 'Et la Comtesse ? ')",,1.0,Insertion
211,"('#virgine', ""Elle est dans une peine extrême,  Et semble partagée entre vous et vous-même.  Je viens de lui vanter vos tendres sentiments.  Elle a rendu justice à leurs empressements ;  Puis avec un soupir que l'amour a fait naître,  Que n'est-il l'Inconnu, m'a-t-elle dit ! "")",,1.0,Insertion
212,"('#le-marquis', 'Peut-être,  Si je me déclarais, son coeur sans embarras,  Quoique touché pour moi, ne le sentirait pas.  Ne précipitons rien. ')",,1.0,Insertion
213,"('#virgine', ""C'est l'humeur de la Dame.  Le mérite la charme, il peut tout sur son âme ;  Mais il faut lui laisser vouloir ce qu'elle veut. "")",,1.0,Insertion
214,"('#le-marquis', ""L'Amour est consolé, quand il fait ce qu'il peut.  Elle paraît ; je vais pousser le stratagème,  Et faire quelque temps le jaloux de moi-même.  C'est le plus sûr moyen d'affermir mon bonheur. "")",,1.0,Insertion
215,"('#le-marquis', ""Madame, je vous trouve un air sombre, rêveur ;  Il me gêne, il m'alarme, et cependant je n'ose  Permettre à mon amour d'en demander la cause.  Peut-être quand mon coeur s'attache tout à vous,  Le vôtre cherche ailleurs des hommages plus doux.  Vous ne répondez point ? Je le vois trop, Madame.  Un autre feu sans doute est contraire à ma flamme.  Malgré ce que le temps m'a dû prêter d'appui,  C'est l'Inconnu qu'on aime, et vous pensez à lui. "")",,1.0,Insertion
216,"('#la-comtesse', ""Vous l'avez deviné. Ses galantes manières,  Si propres à gagner les âmes les plus fières,  M'obligent tellement, qu'à ce qu'il fait pour moi  Un peu de rêverie est le moins que je dois.  Je puis me la souffrir sur tout ce qui se passe. "")",,1.0,Insertion
217,"('#le-marquis', 'Quoi, Madame, un Rival... ')",,1.0,Insertion
218,"('#la-comtesse', ""D'un ton plus bas, de grâce.  S'il m'occupe l'esprit, vous devez présumer  Que c'est pour le connaître, et non pas pour l'aimer.  Après ce que pour moi ses soins marquent de zèle,  La curiosité n'est pas fort criminelle;  Et vous-même déjà vous auriez dû tâcher  D'éclaircir le secret qu'il aime à nous cacher. "")",,1.0,Insertion
219,"('#le-marquis', ""Je vous l'éclaircirais ! Promettez-moi, Madame,  Que votre main sera l'heureux prix de ma flamme ;  Et pour le découvrir, je fais ce que je puis. "")",,1.0,Insertion
220,"('#la-comtesse', 'Cherchez à me tirer de la peine où je suis.  Vous me ferez plaisir, et je vous le conseille. ')",,1.0,Insertion
