,dumaniant-francais-en-huronie,dumaniant-francais-en-huronie-1787,Cost,Operation Type
38,"('#dorval', ""Eh quoi ton coeur balance ? N'a-t-il plus dans le mien la même confiance ? N'es-tu plus mon ami, Valcour, que t'ai-je fait ? Autrefois pour Dorval tu n'eus point de secret. Tu versais dans mon sein et ta joie et ta peine, Vous ne répondez rien, je vois que je vous gêne."")",,1.0,Insertion
39,"('#valcour', ""Ce rapproche m'abat, laissez-moi respirer. Ah ! connais-tu ce coeur que tu peux déchirer ? Sa sensibilité fait seule son martyre."")",,1.0,Insertion
40,"('#dorval', 'Ouvre-le moi ce coeur.')",,1.0,Insertion
41,"('#valcour', 'Que pourrai-je lui dire ?  Dans un mois, pour jamais nous quitterons ces lieux Et pour jamais.')",,1.0,Insertion
42,"('#dorval', ""Des pleurs s'échappent de tes yeux ! Quel en est le sujet ? Et d'où [naît] cette crainte ?"")",,1.0,Insertion
43,"('#valcour', ""Je me reprocherais un seul moment de feinte. Prends pitié de l'état de ce coeur alarmé, Connais tous mes malheurs, j'aime, je suis aimé, Une divinité... mon ami, c'en est une... Sa voix, ses yeux, son port, sa beauté peu commune... Dorval, j'allais périr de misère et de faim, C'en était fait de moi... Sa généreuse main... Je lui dois mon bonheur, ma nouvelle existence, L'amitié, le devoir et la reconnaissance, Un sentiment encor plus vif, plus précieux, L'amour, l'amour Dorval m'enchaîne dans ces lieux. Si tu la connaissais, si tu voyais Zamire, Cette ingénuité qui dans ses traits respire, Cette candeur aimable... Oh ! oui, tu l'aimerais, Tu ferais comme moi, tu idolâtrerais. Et tu veux, cher ami, tu veux que je la laisse, Que je la paye ainsi que toute sa tendresse ? Non, vivre pour Zamire est mon unique loi."")","('#valcour', ""Je me reprocherais un seul moment de feinte. Toi qui connais si bien ce qu'on doit à l'honneur, Sois mon juge, Dorval, j'en appelle à ton coeur, Ma vie est en ces lieux pour jamais enchaînée."")",0.0,Match
44,"('#dorval', ""Non, Valcour, ton ami n'exige rien de toi. Si Zamire t'est chère..."")",,1.0,Insertion
45,"('#valcour', ""Oh ! bien plus que ma vie, Non rien, rien ne rompra le beau noeud qui nous lie. Mes serments sont sacrés, si je les trahissais... Mais cela ne se peut, j'aime, je suis Français, La foi, l'amour, l'honneur et la reconnaissance Sont les premières lois que l'on suit dans la France, Ton ami, cher Dorval, aura quelque vertu."")",,1.0,Insertion
46,"('#dorval', 'Quelle est Zamire enfin, comment la connais-tu ?')",,1.0,Insertion
47,"('#valcour', ""Zamire ! ce qu'elle est ? il n'est point de louange, Aucune expression, aucun mot... c'est un ange... Un ange de lumière, elle est belle sans art. Son âme, en ses discours, paraît toujours sans fard, Sur son front ingénu brille une candeur pure, C'est le riant tableau de la belle nature... Je sortis de Québec pour chasser dans ses bois, Je m'égara[i] bientôt, et réduit aux abois, Après trois jours entiers d'une marche inutile, J'attendais le trépas comme mon seul asile. Un matin qu'accablé de peines, de douleurs, Couché sur le gazon je le mouillais de pleurs, J'attendis tout d'un coup du bruit dans le feuillage, Je me levai rempli de dépit et de rage. Qui que tu sois, viens, dis-je, et perce-moi le coeur : Je suis ton ennemi, crains tout de ma fureur, Préviens mes coups : j'allais dans mon délire extrême Hors de moi, massacrer tout ce que mon coeur aime. Mon bras était levé, je veux donner la mort : Mais je trouve un vainqueur plus puissant et plus fort. Un coup d'oeil me désarme ; étranger me dit-elle, Que t'a donc fait Zamire et quelle ardeur cruelle Te portait à vouloir lui déchirer le flanc ? Parle, qui t'a donné cette soif de mon sang ? Interdit, étonné, je ne sais que répondre. Tout, dis-je, en cet instant, tout sert à me confondre. Zamire, pardonnez, je suis un malheureux ; Mais je vais m'en punir. Ce fer... « Vis, je le veux », Dit-elle avec douceur, « dans ce climat horrible Étranger crois qu'on peut trouver un coeur sensible. Née au milieu des bois, et sur ces bords lointains Je connais le premier des devoirs des humains, La sensibilité, l'amour de son semblable ». Je tombe à ses genoux. Ô femme respectable ! M'écriai-je ! reçois l'hommage d'un mortel « Est-on si généreux pour n'être point cruel », Dit-elle ? « Lève-toi. Trop heureuse sans doute Si j'adoucis ces maux que ton malheur te coute ». Que te-dirai-je encor. Je sentis dans mes sens Naître un amour vainqueur de l'absence et du temps. Je sentis qu'à jamais je lui serai fidèle, Pour moi dans l'univers tout disparut hors elle, L'aimer est mon seul bien. Depuis cet heureux jour, Tout raffermit, redouble et nourrit mon amour"")",,1.0,Insertion
48,"('#dorval', ""Loin de désapprouver ce beau feu qui t'enflamme, Il prouve, cher ami, la bonté de ton âme."")",,1.0,Insertion
49,"('#valcour', ""Eh ! n'ai-je pas sujet de répandre des pleurs, Et condamnerais-tu mes trop justes douleurs ? Dans un mois, dans un mois nous repassons en France. Tu m'aimes, cher Dorval, dès la plus tendre enfance, Par les noeuds les plus doux, liés étroitement, Des secrets de mon coeur tu fus le confident. Accoutumé sans cesse à lire dans mon âme, N'y pénètres-tu point le désir qui l'enflamme ?"")",,1.0,Insertion
50,"('#dorval', ""Compte sur ton ami, quel_que_soit ton dessein, Je le seconderai, Valcour, sois en certain. Aux yeux de l'amitié, va, rien n'est impossible ! Ah ! parle ?"")","('#dorval', ""Cher Valcour, qu'as-tu dit ?"")",0.74,Substitution
51,"('#valcour', ""Je suis né reconnaissant, sensible, Le bonheur de te voir est un de ses bienfaits, Je lui dois tout, Dorval, et si je l'oubliais Je trahirais l'amour, l'honneur, la pitié même, Je me dégraderais, je l'adore, elle m'aime. Écoute, on me croit mort, garde-moi le secret, Laisse-moi dans ce bois. Emmène mon valet, Retourne dans le camp ne crains rien pour ma vie."")",,1.0,Insertion
52,"('#dorval', ""Qu'exiges-tu de moi ?"")",,1.0,Insertion
53,"('#valcour', ""Dorval, je t'en supplie. Mon bonheur en dépend."")",,1.0,Insertion
54,"('#dorval', 'Cruel, que voulez-vous ?')",,1.0,Insertion
55,"('#valcour', ""Ne me refuse point, j'embrasse tes genoux."")",,1.0,Insertion
56,"('#dorval', ""Demande tout mon sang ; mais un tel sacrifice Est au-dessus de moi. Crois-tu que je le puisse ? Je languissais sans toi, je te trouve aujourd'hui, Et t'abandonnerais sans secours, sans appui ; Au milieu des déserts et parmi des Sauvages Altérés de ton sang, cruels anthropophages."")",,1.0,Insertion
57,"('#valcour', 'Hélas !')",,1.0,Insertion
58,"('#dorval', ""Vous soupirez. Voilà jusqu'où l'amour Égare votre coeur, vous séduit en ce jour."")",,1.0,Insertion
59,"('#frontin', 'Je sais un bon moyen de ranger cette affaire.')",,1.0,Insertion
60,"('#valcour', 'Dis, quel est-il ?')",,1.0,Insertion
61,"('#frontin', ""Monsieur, je crains de vous déplaire. Depuis que par l'amour vous êtes retenu ; Coutre tous mes conseils vous êtes prévenus. Je perds à vous parler toute ma rhétorique."")",,1.0,Insertion
62,"('#valcour', ""Parle. Je te t'ordonne."")",,1.0,Insertion
63,"('#frontin', ""En ce cas je m'explique. Si Zamire vous aime, il vaudrait je crois mieux Qu'avec vous pour toujours elle quittât ces lieux. Le destin le plus beau s'offre à vous dans la France. Vous l'y rendriez heureuse. Au sein de l'opulence, Au milieu des plaisirs d'un séjour enchanteur Que faudrait-il de plus pour faire son bonheur ?"")",,1.0,Insertion
64,"('#valcour', 'Je ne me flatte point que Zamire y consente.')",,1.0,Insertion
65,"('#frontin', ""Monsieur, Zamire est femme, et l'offre est séduisante."")",,1.0,Insertion
66,"('#valcour', ""Zamire est au-dessus du reste des humains. Tranquille, sans besoins tous les jours sont sereins. Comme elle est sans désirs son âme est sans nuages. Loin du monde, ignorée, en ce climat sauvage Elle vit près d'un père, appui de ses vieux ans, Le soigner, le chérir, occupe ses instants. Je ne tiens dans son coeur que la seconde place. J'oserais demander ? Non mon ami."")",,1.0,Insertion
67,"('#dorval', ""De grâce Écoute la raison, écoute l'amitié. Au devoir, à l'honneur, si ton•coeur est lié, Suis l'exemple aujourd'hui que Zamire te donne. Imite sa vertu, Valcour, tout te l'ordonne. On doit à la nature encor plus qu'à l'amour. Un oncle qui t'aima te pleure chaque jour, Lorsque tu peux d'un mot dissiper ses alarmes, Lorsqu'il ne tient qu'à toi d'aller sécher ses larmes, Voudras-tu qu'il succombe au poids de sa douleur ?"")",,1.0,Insertion
68,"('#valcour', ""Hélas ! cruel ami, vous me percez le coeur. Eh bien ! vous n'aurez plus de reproche à me faire. La nature commande et l'amour doit se taire. N'importe, j'en mourrai, je serai vertueux. Mais Zamire... jamais... sais-je ce que je veux. Lorsque je te jurais de t'adorer sans cesse, Quand tes yeux répondaient à ma vive tendresse, Quand enivré d'amour j'embrassais tes genoux, Aurais-tu soupçonné dans des moments si doux Que bientôt ton amant deviendrait infidèle !"")","('#valcour', ""Connais ma destinée. Je sortis de Boston pour chasser dans ces bois. Je m'égarai bientôt, et réduit aux abois, Après trois jours entiers d'une marche inutile, J'attendais le trépas comme mon seul asile. Un matin, accablé de peines, de douleurs, Couché sur le gazon, je le mouillais de pleurs, Quand j'entendis soudain du bruit dans le feuillage, Je me levai rempli de dépit et de rage. Qui que tu sois, viens, dis-je, et perce moi le coeur : Je suis ton ennemi, crains tout de ma fureur, Préviens mes coups : j'allais dans mon délire extrême, Hors de moi, massacrer tout ce que mon coeur aime. Mon bras était levé, je veux donner la mort ; Mais je trouve un vainqueur plus puissant et plus fort. Un coup d'oeil me désarme ; étranger, me dit elle, Que t'a donc fait Zamire et quelle ardeur cruelle Te portait à vouloir lui déchirer le flanc ? Parle ! Qui t'a donné cette soif de mon sang ? Interdit, étonné, je ne sais que répondre. Tout, dis-je, en ce moment, tout sert à me confondre, Zamire, pardonnez, je suis un malheureux ; Mais je vais m'en punir, ce fer. – Vis, je le veux, Dit-elle, avec douceur : dans ce climat horrible, Étranger, crois qu'on peut trouver un coeur sensible. Née au milieu des bois et sur ces bords lointains, Je connais le premier des devoirs des humains, La sensibilité, l'amour de son semblable. Je tombe à ses genoux. Ô femme respectable ! M'écriai-je, reçois l'hommage d'un mortel. Est-on si généreux pour n'être point cruel, Dit-elle ? Lève-toi, trop heureuse sans doute, Si j'adoucis les maux que ton malheur te coute. Que te dirai-je encor ! Je sentis dans mes sens Naître un amour vainqueur de l'absence et du tems, Je sentis qu'à jamais je lui serais fidèle ;  Pour moi dans l'univers tout disparut, hors elle. L'aimer est mon seul bien. Depuis cet heureux jour, Tout raffermit, redouble et nourrit mon amour."")",0.15,Substitution
69,"('#dorval', 'Tu pleures ?')",,1.0,Insertion
70,"('#valcour', 'Ah ! Dorval, hélas ! que dira-t-elle ? Que va-t-elle penser ? Je crois que je la voi  Me pleurer, me haïr.')",,1.0,Insertion
71,"('#dorval', 'Cher ami, calme-toi. Tu ne la perdras point cette amante si chère.  Ton oncle est généreux, il te chérit en père. Il entendra tes pleurs, il verra tes soupirs ; Il les fera cesser en comblant tes désirs.')","('#dorval', ""Tu ne la perdras point cette amante si chère. Ton oncle est généreux, il te chérit en père. Et tes jours qu'il lui doit, me sont un sûr garant Que de ton hyménée il hâtera l'instant. La douleur dans la tombe entraînait sa vieillesse, Viens, vole dans ses bras, et que sa peine cesse, Avec son régiment il est près de ces lieux, Viens, Valcour, viens tarir les larmes dans ses yeux."")",0.0,Match
72,"('#valcour', 'Il tient au préjugé trop commun dans la France, Celui de vouloir faire une grande alliance. Et Zamire est sans bien, sans nom, et sans aïeux.')",,1.0,Insertion
73,"('#dorval', ""Ses vertus sont un titre encor plus précieux. Monsieur d'Ortille est bon, tu sais bien qu'il t'adore. Il ne vit que pour toi. Si tu l'aimes encor Viens faire évanouir son chagrin dévorant. Il est près de ce bois avec son régiment."")",,1.0,Insertion
74,"('#valcour', ""Zamire dans ce lieu devait bientôt se rendre. L'heure approche, Dorval, et laisse-moi l'attendre."")","('#valcour', ""Zamire dans ce bois devait bientôt se rendre, L'heure approche, Dorval, et laisse-moi l'attendre."")",0.0,Match
75,"('#dorval', ""Tous les moments sont chers, un instant de chagrin D'un vieillard malheureux peut avancer la fin. Laisse ici ton valet qu'il attende Zamire."")","('#dorval', ""Veux-tu quand le combat va bientôt s'engager, Que l'on t'accuse, ami, d'éviter le danger ? Laisse ici ton valet, qu'il attende Zamire."")",0.01,Substitution
76,"('#frontin', 'Laissez plutôt La Fleur.')","('#frontin', 'Laissez plutôt La Fleur.')",0.0,Match
77,"('#la-fleur', 'Cela te plaît à dire, Tu connais les chemins, je ne les connais pas.')","('#la-fleur', 'Cela te plaît à dire, Tu connais les chemins, je ne les connais pas.')",0.0,Match
78,"('#frontin', 'Mais toi, tu viens du camp.')","('#frontin', 'Mais toi, tu viens du camp.')",0.0,Match
79,"('#dorval', 'Pour finir vos débats, Restez-y tous les deux.')","('#dorval', 'Pour finir vos débats, Restez-y tous les deux. Aussi tôt que Zamire Paraîtra, vous viendrez')",0.0,Match
80,"('#la-fleur', ""Ce n'est pas nécessaire. Frontin plutôt que moi se tirera d'affaire."")",,1.0,Insertion
81,"('#frontin', ""La Fleur, garçon d'esprit, adroit, intelligent Au besoin, mieux que moi, sait faire un compliment."")",,1.0,Insertion
82,"('#dorval', 'Vous avez, je le sais, une adresse infinie ; Mais vous avez encor plus de poltronnerie.')",,1.0,Insertion
83,"('#frontin', 'Moi poltron ? Point du tout.')",,1.0,Insertion
84,"('#la-fleur', ""Ni moi, Monsieur, d'honneur. Fi ! C'est me faire tort, vous connaissez La Fleur."")",,1.0,Insertion
85,"('#frontin', 'On me connaît aussi.')",,1.0,Insertion
86,"('#dorval', 'Sans tant de verbiage, Montrez-nous en restant quel est votre courage.')",,1.0,Insertion
87,"('#frontin', 'Si La Fleur y consent ?')",,1.0,Insertion
88,"('#la-fleur', ""Si Frontin le voulait ?... Car un tout seul, Monsieur, dans ce bois s'ennuierait. "")",,1.0,Insertion
89,"('#dorval', 'Bon ! restez-y tous deux. Aussitôt que Zamire Paraîtra vous viendrez.')",,1.0,Insertion
90,"('#la-fleur', ""Oui, j'irai vous le dire."")","('#la-fleur', ""Oui, j'irai vous le dire."")",0.0,Match
91,"('#frontin', 'Oh ! nous irons ensemble.')","('#frontin', 'Ah ! Nous irons ensemble.')",0.0,Match
92,"('#valcour', ""Ah, dis-lui bien Frontin, Que vivre son amant fait toujours mon destin. Peins-lui tous les transports de ce coeur qui l'adore, Dis-lui que pour la voir j'ai devancé l'aurore. Dis-lui que je m'arrache de regret de ces lieux, Et que bientôt l'amour va me rendre à ses yeux."")","('#valcour', ""Ah ! Dis-lui bien, Frontin, Que vivre son amant fait toujours mon destin. Peins-lui tous les transports de ce coeur qui l'adore, Dis-lui que pour la voir j'ai devancé l'aurore, Dis-lui que je m'arrache à regret de ces lieux, Et que bientôt l'amour va me rendre à ses yeux."")",0.0,Match
93,"('#la-fleur', 'Depuis que dans ces bois tu fais ta résidence Avec quelques Hurons as-tu fais connaissance ?')","('#la-fleur', 'Depuis que dans ces bois tu fais ta résidence, Avec quelques Hurons as-tu fait connaissance ?')",0.0,Match
94,"('#frontin', 'Oui parbleu, Mons La Fleur, même par le bon bout.')","('#frontin', 'Oui, parbleu ! Mons la Fleur, même par le bon bout.')",0.0,Match
95,"('#la-fleur', 'On dit que ces Messieurs nous trouvent de leur goût. ')","('#la-fleur', 'On dit que ces messieurs nous trouvent de leur goût ?')",0.0,Match
96,"('#frontin', ""Mais pas mal. Tout à l'heure à cette même place De deux de ces goulus j'ai remouché l'audace. Ils voulaient me happer pour me croquer rôti ; Ils en ont eu mon cher le plus fier démenti..."")","('#frontin', ""Pas mal ; hier encore à cette même place De deux de ces goulus j'ai remouché l'audace. Ils voulaient me happer pour me croquer rôti ; Ils en ont eu, mon cher, le plus fier démenti."")",0.0,Match
97,"('#la-fleur', ""Hélas ! je crains toujours que quelqu'un ne m'accroche."")","('#la-fleur', ""Hélas ! Je crains toujours que quelqu'un ne m'accroche."")",0.0,Match
98,"('#frontin', 'Ne crains rien avec moi.')","('#frontin', 'Ne crains rien avec moi.')",0.0,Match
99,"('#la-fleur', ""Frontin, quelqu'un approche."")","('#la-fleur', ""Frontin, quelqu'un approche."")",0.0,Match
100,"('#frontin', 'Ô ciel ! Que devenir ? Où nous cacherons-nous ?')","('#frontin', 'Ô ciel ! que devenir ? Où nous cacherons-nous ?')",0.0,Match
101,"('#la-fleur', ""Le parti le plus sûr serait de filer doux. Ne fais pas le méchant et modère ta bile. Je t'en prie."")","('#la-fleur', ""Le parti le plus sûr serait de filer doux. Ne fais pas le méchant, et tempère ta bile, Je t'en prie."")",0.0,Match
102,"('#frontin', ""Oh ! cela n'est pas fort difficile."")","('#frontin', ""Oh ! cela n'est pas fort difficile."")",0.0,Match
103,"('#la-fleur', ""S'il leur faut de l'argent, tiens, voilà tout le mien."")","('#la-fleur', ""S'il leur faut de l'argent, tiens, voilà tout le mien."")",0.0,Match
