,piis-cassandre-astrologue,anseaume-tableau-parlant,Cost,Operation Type
10,,"('#colombine', 'Restez fille. ')",1.0,Deletion
11,"('#colombine', ""Zéphir leste et complaisant Qui voles près des Belles, Souviens-toi qu'en m'épousant L'Hymen te rogne à présent Les ailes. AIR : Jardinier, ne vois-tu pas ?"")","('#isabelle', ""Qui ? Moi ! Je te le dis en confidence, Mais, mon enfant, cela n'est pas en ma puissance."")",1.16,Substitution
12,"('#colombine #pierrot', ""Oh ! Vous, oiseaux fidèles, Qui sans aucun détour Roucoulez nuit et jour, Vigilants sentinelles, Au bord des toits de ce séjour ; Petites Tourterelles, On vous prenait jusqu'à ce jour Pour le symbole de l'Amour ; Vous nous verrez : à votre tour Vous aurez des modèles. AIR : Tandis que tout sommeille ; (de l'AmantJaloux)"")","('#colombine', ""Courez les champs. Allez par voie et par chemin Chercher votre amoureux. Peut-être qu'à la fin. "")",0.97,Substitution
13,,"('#isabelle', ""Colombine, je suis une fille bien née ; Malgré mon inclination  Je me souviens toujours de l'éducation Que mes chers parents m'ont donnée."")",1.0,Deletion
14,"('#leandre', ""Est-ce ici chez Monsieur Cassandre ? C'est vous ? Moments délicieux ! AIR : C'est ici que Rose respire. Il embrasse Colombine qu'il prend pour Isabelle."")","('#colombine', 'Prenez Cassandre pour époux.')",0.54,Substitution
15,,"('#isabelle', 'Il est bien vieux.')",1.0,Deletion
16,"('#pierrot', 'Quel transport !')",,1.0,Insertion
17,"('#leandre', ""J'ai pu me méprendre ; Que fait Colombine en ces lieux ?"")",,1.0,Insertion
18,"('#pierrot', 'Sans rabattre')",,1.0,Insertion
19,"('#colombine', 'Sans rabattre')",,1.0,Insertion
20,"('#colombine #pierrot', ""Rien de nos feux, Nous serons quatre Au lieu d'être deux. bis."")","('#colombine', ""Mais entre nous, Vous n'avez rien de mieux à faire ;  Il est riche, il pourrait... "")",1.41,Substitution
21,,"('#isabelle', 'Ma chère, Il est bien vieux. ')",1.0,Deletion
22,"('#leandre', ""Jusques à quand la Beauté que j'adore Tardera-t-elle à se montrer ici ? AIR : Dans nos hameaux."")","('#colombine', ""Nous y voilà. On a tout dit quand on a dit cela. Faut-il donc pour si peu lui faire une querelle ? Allez, allez, Mademoiselle.  Il est certains barbons Qui sont encore très bons. Il n'ont pas le caquet D'un jeune freluquet ; Ils n'en ont pas les mines, Les grâces enfantines ; Ils ont je ne fais quoi, Qui vaut mieux, selon moi. Et ne vaut-il pas mieux Être Dame et Maîtresse, Et commander sans cesse, Avec un mari vieux, Que de se voir l'esclave D'un pimpant qui vous brave,  Qui promène en tous lieux Sa tendresse et ses voeux, Tandis que sa moitié Pleure et sèche sur pied. Il est certains barbons Qui sont encore très bons. Ariette."")",1.4,Substitution
23,"('#pierrot', ""À sa parure elle s'occupe encore, Et va bientôt bannir votre souci."")","('#isabelle', ""Mais ce je ne fais quoi, du moins il faut l'avoir, Et... regarde Monsieur Cassandre Et dis-moi si on peut s'attendre..."")",1.59,Substitution
24,"('#leandre', ""Quand verrons-nous une amante inquiète, Comme l'Amant qui lui fait les yeux doux, Voler le temps qu'on perd à la toilette, Pour allonger celui du rendez-vous ? Dis à mon Isabelle  Que je prétends la voir ;  L'ornement d'une Belle, Est de n'en point avoir. Quand on a sa figure, A-t-on besoin de fard ? C'est tricher la Nature Que d'emprunter à l'art. AIR : Dans ma cabane obscure."")","('#colombine', 'Patience donc, il faut voir. ')",0.85,Substitution
25,,"('#isabelle', 'Tiens, voilà son portrait, considère examine, Peux-tu penser que cette mine... ')",1.0,Deletion
26,,"('#colombine', 'Oui, le voilà...')",1.0,Deletion
27,"('#colombine', ""De ce délai qui cause vos alarmes, Devriez-vous, Monsieur, être étonné ? Contre vous tous nous employons nos charmes, Comme un poltron au combat entraîné ; Si fort qu'il soit dans le métier des armes,  Il est plus sûr quand il est plastronné. AIR : Oh ! Mahomet, ton Paradis des femmes."")","('#isabelle', ""Prends garde ; il est encore tout frais. Demain, pour le finir, le Peintre vient exprès. Jusques-là, le bon homme a demandé par grâce, Que l'on n'y touche point, et qu'on le laisse en place."")",0.76,Substitution
28,,"('#colombine', ""Il a raison, c'est un chef-d'oeuvre sur ma foi."")",1.0,Deletion
29,"('#leandre', ""Isabelle. AIR : D'Isabelle et Gertrude."")",,1.0,Insertion
30,"('#isabelle', ""Qui m'appelle ?..."")","('#isabelle', ""Tu badines toujours. Mais, parlons vrai, dis-moi ; Supposons, c'est toi qu'on marie ; L'original dont voilà la copie, Serait-il à tes yeux un objet bien tentant ? "")",1.59,Substitution
31,"('#leandre', ""Quand le fer, cherche l'aimant, L'aimant semble également Courir afin de l'atteindre ; . Vous deviez donc, pour me joindre, Vous donner obligeamment Un peu plus de mouvement. AIR : Ah ! vous dirai-je, maman ?"")","('#colombine', ""Oh bien ! Tentant, c'est autre chose. C'est un époux qui se propose. Il faudrait l'aimer, mais.... je n'exige pas tant. Sachez feindre, il sera content. "")",0.64,Substitution
32,"('#isabelle', ""Sans un petit brin d'atour, Fut-elle belle comme le jour, Sans un petit brin d'atour ? Donne-t-on de l'amour ? AIR : Sans un petit brin d'amour."")","('#isabelle', ""Je le sais, puisqu'enfin c'est un point nécessaire ; Depuis quelques jours moins sévère, J'écoute ses propos galants, Et j'affecte pour lui de plus doux sentiments."")",1.2,Substitution
33,"('#colombine', ""Reconnaissez dans sa simple coiffure  Celle d'un Dieu toujours enfant."")","('#colombine', 'Pas encore assez bien.')",1.67,Substitution
34,"('#pierrot', ""Voyez plus bas flotter cette ceinture, C'est de Vénus un ornement."")",,1.0,Insertion
35,"('#isabelle #colombine #pierrot', ""Sans un petit brin d'atour, Fût-on , etc."")","('#isabelle', ""C'est que l'on a beau faire ; Quand naturellement on a le coeur sincère, Et qu'il faut en venir à cette extrémité..."")",1.58,Substitution
36,"('#leandre', ""À Cassandre, entre nous, Par-là vous pouvez plaire ; Aussi, j'en suis jaloux , Quand je vous considère. Je crains que ce vieux drille, Pour être votre époux , Oubliant sa béquille, Ne vole à vos genoux. AIR : La béquille du p7re Barnaba."")","('#colombine', 'Je vous plains bien en vérité.')",1.46,Substitution
37,"('#isabelle', ""Vraiment il a conçu Cet espoir téméraire, Mais il n'a jamais su Trouver le temps de faire L'amour, La nuit ni le jour. AIR : L'Amour, la nuit et le jour."")",,1.0,Insertion
38,"('#pierrot', ""Hélas ! Sans cesse il monte Dans son maudit donjon ;  Des étoiles qu'il compte, Il me dit chaque nom ; Mais, quand par la fenêtre : Mon oeil veut voyager, Je ne puis reconnaître  Que celle du Berger. AIR : Charmante Pastourelle."")","('#isabelle', ""Mais je ne suis point à mon aise. Déjà tout occupé du bonheur qu'il attend, Le bonhomme devient plus vif et plus ardent. Si tu savais combien cela me pèse, Combien je prends sur moi, dans de certains instants, Pour résister à mon impatience, Quand il vient me conter d'un air de complaisance, Tout le fade jargon des amours du vieux temps. Tiens, ma Reine, je soupire ; Vois l'excès de mon amour. Si tu ne veux que j'expire, Sois donc sensible à ton tour. Quelquefois d'un pas incertain, Et d'un allure chancelante,  Il m'aborde, il me prend la main, Que par pitié je lui présente ; Alors ce sont des transports, Des transports à faire rire : Il fait les plus grands efforts, Pour me prouver son martyre; Tiens, ma Reine, etc.  ARIETTE."")",0.76,Substitution
39,"('#colombine', ""C'est avec, ces lunettes  Qu'il prétend l'enseigner ?  Second Couplet."")","('#colombine', 'Eh !... Que lui dites-vous ? ')",1.05,Substitution
40,"('#leandre', 'Eh ! Quoi, sont-elles faites Exprès pour éloigner ? Tourne-les donc, méchante, Ou je vais me fâcher ; Quand le spectacle enchante, On doit le rapprocher.')","('#isabelle', ""Je demeure interdite,  Je veux répondre et je ne puis. Il croit qu'amour pour lui m'agite,  Quand je succombe à mes ennuis."")",1.32,Substitution
41,"('#isabelle', ""Le matin il s'attache, Aussitôt son réveil, à trouver quelque tache Sur le front du Soleil. Troisième Couplet."")",,1.0,Insertion
42,"('#leandre', ""S'il dirigeait son verre Sur vos divins appas, Je gagerais, ma Chère, Qu'il n'en trouverait pas."")","('#colombine', ""À tout cela, je n'ai qu'un mot à dire. C'est l'arrêt du destin, c'est à vous d'y souscrire. Quand on n'a pas le choix... Le voici. Taisons-nous. "")",1.5,Substitution
43,"('#pierrot', ""Quand à travers ses télescopes Il a regardé bien longtemps ; Pour tirer plusieurs horoscopes, Il met à profit les instants. Il en a même de sa plume, Écrit un énorme volume, Que ce réduit mystérieux Dérobe à tous les curieux. AIR : De l'Horoscope accompli."")","('#isabelle', 'Qui donc ?...')",1.48,Substitution
44,,"('#colombine', 'Votre futur époux, Qui vient vous rendre son hommage. ')",1.0,Deletion
45,"('#leandre', 'Il ne revient que demain, Forçons la serrure. AIR : La bonne aventure au gué.')","('#isabelle', ""Monsieur Cassandre ! Ô Ciel ! L'ennuyeux personnage !"")",1.86,Substitution
46,"('#pierrot', ""J'ai fait en un tour de main Sauter la ferrure."")","('#colombine', 'Songez à suivre ma leçon.')",1.44,Substitution
47,"('#leandre', 'Trouves-tu ces papiers ?')","('#cassandre', 'Bonjour ma charmante Isabelle ! Comment vous portez-vous ?')",1.53,Substitution
48,"('#pierrot', 'Oui.')","('#colombine', 'Fort bien. Répondez donc.')",0.94,Substitution
49,"('#leandre', ""Cherche avant celle d'autrui, Sa bonne aventure À lui, Sa bonne aventure."")","('#cassandre', ""Colombine... Vois qu'elle est belle ! Ses beaux yeux dans mon coeur, font naître le plaisir Et rien qu'en la voyant, je me sens rajeunir... Mais elle ne dit rien ! Qu'avez-vous donc ? Qu'a-t-elle ! À Isabelle. À Colombine."")",1.21,Substitution
50,"('#pierrot', ""Le début en est curieux , Et c'est pure sornette ; Nous naissons, dit-il, deux à deux, Sous la même planète. AIR : Lise demande son portrait."")","('#colombine', ""Beaucoup d'amour pour vous, Monsieur, certainement."")",1.34,Substitution
51,,"('#cassandre', 'Quoi ! Tout de bon !')",1.0,Deletion
52,,"('#isabelle', 'Comme elle ment ?')",1.0,Deletion
53,"('#leandre', 'Contre ce système attrayant Ne fais pas de sortie ; Car nous devons, en les voyant, Croire à la sympathie.')","('#cassandre', 'Mais certainement tu me charmes. Et toi confirme moi ce gracieux aveu, Si tu veux sans retour dissiper mes alarmes. À Isabelle.')",0.78,Substitution
54,,"('#isabelle', 'Colombine exagère un peu.')",1.0,Deletion
55,"('#colombine', ""Je vois en tête du tableau, Certain homme d'affaire ; Et sous le même numéro, La danseuse Glycère. À son étoile il est lié, Tellement pour la vie, Qu'un jour il lèvera le pied, Le tout par sympathie. Par ordre, on a placé sous lui Un Gascon parasite, Dont l'Astre est soumis à celui Du richard qui l'invite. À la diète, quand ce dernier Est mis pour maladie, Le Gascon jeûne en son grenier, Le tout par sympathie. Même air. Même air."")",,1.0,Insertion
56,"('#pierrot', 'Par son nom chacun est placé » Si je puis bien comprendre AIR : De Joconde.')",,1.0,Insertion
57,"('#leandre', ""Cherche donc à la lettre C L'article de Cassandre."")",,1.0,Insertion
58,"('#pierrot', ""Dans mon petit particulier, Permettez-moi de rire, D'un horoscope singulier, Que je m'en vais vous dire. C'est celui d'un célèbre auteur De l'Opéra-Comique , Qui doublé d'un compositeur, Fameux par sa musique, Ne craint jamais de succomber, Quand ce dernier sait plaire ; Mais qui s'il venait à tomber, Serait bientôt par terre. AIR : Du pas redoublé de l'Infanterie."")","('#colombine', ""Pures façons.. la modestie... Vous savez ce que c'est, Monsieur, et quels combats Éprouve dans son coeur une fille attendrie, Qui voudrait s'exprimer et qui ne l'ose pas. "")",0.65,Substitution
59,"('#leandre', ""Encore un coup laisseras-tu, traître, Tous ces inconnus mis deux à deux ? Passe à l'horoscope de ton maître. AIR : Chantons les matines de Cythère."")","('#cassandre', ""Mais à la fin. Il vient un temps où l'honneur même L'oblige à confesser qu'elle aime, Et ce temps va bientôt venir. Tel que le loup pressé qu'une faim dévorante, L'hymen guette déjà la brebis innocente. Et sous sa dent cruelle est prêt à la saisir... Tu ris... tu ne crains pas ce loup-là..."")",0.8,Substitution
60,,"('#colombine', ""Je vous jure Qu'il ne lui fera point de mal. "")",1.0,Deletion
61,"('#pierrot', 'Ma foi, je le tiens.')","('#cassandre', ""Non je t'assure. Ainsi nous voilà donc d'accord. Tu consens de t'unir à moi par mariage ?"")",0.79,Substitution
62,"('#leandre', 'Lis donc, si tu le peux.')","('#isabelle', 'Tout comme vous voudrez.')",1.62,Substitution
63,,"('#colombine', 'Eh bien ! Avais-je tort ? Appuyez encore davantage. À Isabelle.')",1.0,Deletion
64,"('#pierrot', ""Depuis longtemps je me suis aperçu Que mon destin tient au sort d'un bossu ; Lequel d'un oeil aussi ne voyant pas, À chaque instant par le moindre faux-pas, Peut avec lui m'entraîner au trépas. Quand ce Bossu regorge de santé, Je deviens gras aussi de mon côté ; Si je maigris, c'est qu'il perd l'embonpoint ; Et quoiqu'ainsi je le suive en tout point, Pour mon malheur je ne le connais point. HOROSCOPE DE MONSIEUR CASSANDRE, Tiré par lui-même. AIR : Des Bossus."")","('#cassandre', ""Cet aveu charmant Répand dans mon âme Une vive flamme, Un feu ravissant. L'enfant de Cythère, Vois-tu bien, ma chère ; L'enfant de Cythère Veut être caressé : La moindre contrainte Lui porte une atteinte, Dont il est offensé : Mais il prend l'essor Dès qu'il se voit maître. Je le sens au transport Qu'en moi tu fais naître. Cet aveu charmant Répand dans mon âme, etc. Ariette."")",0.56,Substitution
65,,"('#colombine', 'Faites-lui donc quelque caresse,  À ce petit enfant.')",1.0,Deletion
66,,"('#cassandre', 'Hom ! hom ! La bonne pièce ! Ah ! Ça, tout est dit là-dessus. ')",1.0,Deletion
67,,"('#colombine', ""C'est de bon coeur, je vous assure."")",1.0,Deletion
68,"('#leandre', ""Puisqu'il croit que ses années, Par l'effet D'un pouvoir secret, Dépendent des destinées D'un inconnu Borgne et bossu, Reprenons tous deux courage , On peut tromper le barbon ; Et, non, non, non, Je n'en dis pas davantage. AIR : Non, non, je n'en dis pas davantage."")","('#cassandre', ""Plus j'en vois, plus je veux poursuivre l'aventure Et les projets que j'ai conçus.  Je vais vous causer de la peine, Et j'en suis affligé tout le premier. Haut."")",0.97,Substitution
69,"('#isabelle', ""Mais, qu'est-ce qu'on entend ? AIR : Je suis un bon Soldat, ti, ta, ta."")",,1.0,Insertion
70,"('#cassandre', 'Pata pan.')","('#colombine', 'Comment !')",0.75,Substitution
71,"('#leandre', 'Le Diable les emporte.')","('#cassandre', 'Il faut pour la ville prochaine, Que je parte dans le moment.')",1.93,Substitution
72,,"('#isabelle', ""À l'heure même ?"")",1.0,Deletion
73,"('#colombine', 'On frappe insolemment !')","('#cassandre', ""Dans l'instant. C'est pour une pressante affaire. Tous les notables du pays Y sont mandés pour donner leur avis. Vous voyez bien..."")",1.68,Substitution
74,"('#cassandre', 'Pata pan ! ')","('#colombine', 'Oui, oui. ')",0.7,Substitution
75,"('#pierrot', ""Je m'en vais à la porte."")","('#cassandre', ""Que j'y suis nécessaire, J'ai toujours différé ; mais enfin, l'on m'attend ; Et je ne puis faire autrement. "")",1.34,Substitution
76,,"('#colombine', ""À la veille d'un mariage Vous allez vous mettre en voyage !"")",1.0,Deletion
77,,"('#cassandre', ""Dans trois jours au plus tard je serai de retour, Pour ne plus m'occuper que de mon seul amour. Dans nos adieux du moins une chose me flatte, C'est que votre tendresse éclate."")",1.0,Deletion
78,,"('#colombine', 'Vous nous jouez un vilain tour. Allons donc vous. Quelque douce parole. Vous êtes là comme une idole.  À Isabelle.')",1.0,Deletion
79,"('#colombine', ""Grands Dieux, c'est Monsieur Cassandre... Craignons son courroux ; Ne nous laissons pas surprendre ; Moi par là, je vais descendre, Vous, renfermez-vous... AIR : Voici les Dragons."")","('#isabelle', 'Laissez-moi faire. La circonstance... Qui me suffoque... Assurément Le tourment... Et puis les craintes À Colombine. À Cassandre.')",0.43,Substitution
80,,"('#colombine', 'Bien, bien. ')",1.0,Deletion
81,"('#cassandre', 'Eh ! Quoi, pendant une heure entière, Chez moi je frappe vainement. AIR : De la Catacoua.')","('#cassandre', ""Fille pleure, je crois. Chère petite calme-toi. Tu m'attendris trop par tes plaintes. TRIO."")",0.87,Substitution
82,,"('#cassandre', 'Il faut partir, ô peine extrême !')",1.0,Deletion
83,,"('#colombine', ""S'éloigne-t-on de ce qu'on aime ?"")",1.0,Deletion
84,,"('#isabelle', 'Hélas ! Que faire seule ici !')",1.0,Deletion
85,"('#pierrot', ""J'étais là-haut sur la gouttière, À contempler le firmament."")","('#cassandre', 'Console-toi, ma toute belle. ')",1.27,Substitution
86,,"('#colombine', 'Que je la plains, pauvre Isabelle !')",1.0,Deletion
87,,"('#isabelle', 'Pouvez-vous me quitter ainsi ?')",1.0,Deletion
88,"('#cassandre', 'Ouvre donc, pour me satisfaire, Ces lieux où je soupçonne un amant.')","('#cassandre', 'Ma toute belle ! ')",1.61,Substitution
89,"('#pierrot', ""Plaît-il ? Comment ! La peur me prend ! Depuis que j'ai l'honneur d'être un savant, Ce qui se passe sur la terre, Ne m'intéresse aucunement."")","('#colombine', ""Pauvre Isabelle ! Pouvez-vous l'affliger ainsi !"")",1.64,Substitution
90,,"('#isabelle', 'Pouvez-vous me quitter ainsi ?')",1.0,Deletion
91,"('#cassandre', ""Il a raison, sur ma foi ; Ta frayeur m'éclaire, Et la prudence est, je crois, Ici nécessaire : Décampe vite en secret ; Et pour pincer ce muguet, Joins un Commissaire Au guet , Joins un Commissaire. AIR : J'aime mieux ma mie."")","('#cassandre', 'Quel bonheur de te plaire ainsi ! Rassure-toi, chère Isabelle : De ton amant le coeur fidèle Auprès de toi toujours sera.')",0.74,Substitution
92,"('#pierrot', ""Comme à l'intelligence  Je joins la diligence,  Demeurez-là toujours, Vous aurez du secours. AIR : De la romance de Titon. Pierrot sort, et Cassandre, sa petite épée à la main, se promène à grands pas dans le vestibule du salon."")","('#isabelle', ""En proie à ma douleur mortelle, Pendant votre absence cruelle, Le noir chagrin m'accablera."")",1.21,Substitution
93,"('#leandre', ""Si j'en croyais mon courage, D'un grand coup dans le visage Je lui ferais voir, je gage, Mainte étoile en plein midi. AIR : Des Trembleurs."")","('#colombine', ""La friponne ! L'entend-elle ? Pour le peu qu'elle s'en mêle. Des maris elle trompera, Tout autant qu'elle en trouvera. "")",1.18,Substitution
94,"('#isabelle', ""Mon ami, point de tapage : Songez qu'une fille sage A besoin qu'on la ménage ; Ne faites point l'étourdi."")",,1.0,Insertion
95,"('#leandre', ""Si jamais nous nous en tirons, Et que Cassandre aux environs, Aille encore lorgner sur la brune Ces planètes dont il est fou, N'oublions pas de faire un trou À la lune. AIR : Comment faire ?"")","('#cassandre', 'Il faut partir ! etc. ')",1.32,Substitution
96,,"('#colombine', 'Et cette affaire-là ne saurait se remettre ?')",1.0,Deletion
97,"('#isabelle', ""Croyez-vous qu'une fille, Une fille d'honneur , Puisse ainsi quitter son tuteur ? AIR : Il était une fille."")","('#isabelle', 'Tais-toi donc, laisse-le partir.')",1.43,Substitution
98,"('#cassandre', ""C'est fait de moi... je grille : Mais enfin, Dieu merci,  Je crois que les voici."")","('#cassandre', 'Eh bien ! Pour vous faire plaisir Je vais envoyer une lettre Comme si ma santé....')",1.19,Substitution
99,"('#pierrot', 'Oui.')","('#colombine', 'Non, non.')",0.4,Substitution
100,"('#cassandre', ""Morbleu ! Monsieur le Commissaire, Seul ici vous ne ferez rien : Votre présence est nécessaire ; Mais un peu d'aide eût fait grand bien AIR : Tout roule aujourd'hui dans le monde."")","('#isabelle', ""Non ; j'appréhenderais que cette complaisance Ne fit tort à votre prudence, Et l'amour doit se taire où parle la raison."")",1.37,Substitution
101,"('#pierrot', 'Monsieur, pour faire sa capture, A placé là-bas ses recors.')","('#cassandre', 'Croyez-vous ? Il faut donc se foire violence. ')",1.29,Substitution
102,"('#colombine', ""Soyez tranquille ; je vous jure Qu'on vous en répond corps pour corps. Je pense qu'en effet, Il faut établir avant tout, le forfait ; Ce préliminaire étant fait, Nous prendrons après le quidam sur le fait. Est-ce un voleur tenté par quelqu'effet ? AIR : Jupin dès le matin."")","('#isabelle', 'Oui, partez.')",1.22,Substitution
103,"('#cassandre', ""Et non, morbleu, je vais vous mettre au fait ; C'est un galant apparemment bien fait, Qu'incognito ma pupille aura fait. J'ai trouvé ce billet, Qu'elle avait fait ; C'était un préjugé de leur méfait ; Mais dans ce cabinet, J'en ai le témoignage parfait."")","('#cassandre', 'Si pourtant.. ')",1.13,Substitution
104,,"('#colombine', 'Pars donc, maudit barbon. ')",1.0,Deletion
105,,"('#isabelle', 'Et revenez en diligence.')",1.0,Deletion
106,"('#colombine', ""Faites l'arrière-garde, Sans vous avancer. D'ouvrir pour peu qu'on tarde, Je vais enfoncer. AIR : C'est Suson la camarde. Elle entre dans le cabinet."")","('#cassandre', ""J'entrevois du mic-mac, mais voyons jusqu'au bout, Dans votre appartement rentrez, ma chère amie ; Rentre avec elle aussi, Colombine et surtout, Tiens lui fidèle compagnie. À Isabelle."")",0.75,Substitution
107,,"('#isabelle', 'Allons.... adieu, Monsieur.')",1.0,Deletion
108,,"('#cassandre', 'Adieu, consolez-vous.')",1.0,Deletion
109,"('#pierrot', 'Mais, Monsieur, mais prenez donc garde, On peut vous percer.')","('#isabelle', 'Prenez bien garde aux voleurs. ')",0.92,Substitution
110,"('#cassandre', 'Approchons donc à petits pas ? AIR : Je te casserai la gueule et la mâchoire.')","('#colombine', 'Aux filous. ')",1.45,Substitution
111,,"('#isabelle', ""On dit que l'on en voit tant et plus sur la route. "")",1.0,Deletion
112,,"('#colombine', 'Vos pistolets sont-ils en bon état ?')",1.0,Deletion
113,"('#pierrot', ""Et non, Monsieur, n'approchons pas ; Craignez-vous qu'il ne se dérobe ?"")","('#cassandre', ""Sans doute. J'ai tout ce qu'il me faut."")",1.67,Substitution
114,,"('#colombine', 'Adieu Monsieur.')",1.0,Deletion
115,"('#cassandre', ""Ton homme a l'air d'être indulgent ; Et je crains qu'en ce cas urgent, En donnant De l'argent, On ne s'accommode Avec sa robe. Pendant ce Couplet, Colombine passe sa robe dans les bras de Léandre, et Isabelle l'aide."")","('#cassandre', 'Adieu. Colombine et Isabelle rentrent dans leurs chambres.')",1.51,Substitution
116,"('#leandre', 'Parbleu, ce ne sont que deux femmes ; Ouvrez les yeux, si vous en doutez. AIR : Vaudeville des femmes vengées.')","('#cassandre', ""J'en reviens toujours là. Tout ceci n'est qu'un jeu. Un changement si promet cache quelque mystère. Après tant de rigueur, de rebuts, de mépris, Si cette douleur est sincère, Oh ! Pour le coup je serais bien surpris. Mais à quoi bon cette maudite ruse ? Eh ! N'est-ce pas assez que cela les amuse ? Elles font jeunes toutes deux, Et d'un sexe... moi je suis vieux... Cela suffit. Il faut que je sois leur victime, Et m'épargner serait un crime. Pour tromper un pauvre vieillard, Il n'est détour que l'on n'invente ; Il n'est effort que l'on ne tente. Enfants, neveux, valet, servante, Chacun brûle d'y prendre part On le dorlote, on le mitonne... Tout cela n'est que trahison. Tantôt c'est une main friponne Qu'on lui passe sous le menton... Le bon homme enchanté s'écrie, « Ah ! Quel bonheur ! ma chère amie... Encor... Encor... »  Tu ne vois, pas pauvre butor, Que cette main qui te caresse,  Qui de plaisir sait t'enivrer.  Cachant le fer dont elle blesse? Te flatte pour te déchirer. Pour tromper un pauvre vieillard? Il n'est détours que l'on n'invente, Il n'est effort que l'on ne tente. Enfants, neveux, valet, servante, Chacun brûle d'y prendre part. Pour mol qui, grâce au Ciel, ai vécu plus d'un jour ; Je connais les ruses d'amour, Et malgré mon air imbécile. Peut-être qu'à tromper je serai difficile. Déjà par un voyage à plaisir inventé Je leur laisse à dessein liberté toute entière. Et dans ce cabinet secrètement posté, Je verrai de quelle manière... Qu'entends-je... des ris, des éclats ! Ah ! Tant mieux, le chagrin ne les maigriras pas. Mais pourquoi ce nouveau délire ?... Colombine... ARIETTE. Il appelle."")",0.78,Substitution
117,"('#colombine #isabelle', 'Ah ! Fi, quels procédés infâmes ! Par où les avons-nous mérités ?')","('#colombine', 'Monsieur... comment ! Encore ici ? Nous vous croyons déjà parti.')",1.25,Substitution
118,,"('#cassandre', 'Je le pense. Est-ce là ce qui vous faisait rire !')",1.0,Deletion
