cubieres-palmezeaux-mort-de-moliere-3a,cubieres-palmezeaux-mort-de-moliere-4a,Score
"('#chapelle', ""Je n'ai pas, comme vous, l'art de peindre à grands traits, J'en conviens ; cependant il faut être équitable. Votre genre peut-être est le seul véritable. Si j'en crois néanmoins de célèbres auteurs, De plus d'une manière on corrige les mours, Et, sans vous ressembler ou marcher sur vos traces, J'ai pu, tout comme vous, sacrifier aux grâces."")","('#chapelle', ""Je n'ai pas, comme vous, l'art de peindre à grands traits,  J'en conviens ; cependant il faut être équitable.  Votre genre peut-être est le seul véritable :  Si j'en crois néanmoins de célèbres auteurs,  De plus d'une manière on corrige les mours ;  Et, sans vous ressembler, ou marcher sur vos traces,  J'ai pu, tout comme vous, sacrifier aux grâces. "")",0.9967144131660461
"('#moliere', ""D'accord ; et puisqu'enfin vous ne me croyez pas, Voulez-vous essayer, pour sortir d'embarras, Un moyen des plus sûrs ? À ma bonne servante Je lis tous mes écrits. Elle n'est point savante, Elle n'a point d'esprit ; mais un jugement sain."")","('#moliere', ""D'accord ; et puisqu'enfin vous ne me croyez pas,  Voulez-vous essayer, pour sortir d'embarras,  Un moyen des plus sûrs ? À ma bonne servante  Je lis tous mes écrits. Elle n'est point savante,  Elle n'a point d'esprit, mais un jugement sain. "")",0.9987592101097107
"('#chapelle', 'Consulter Laforêt ! Quel bizarre dessein !')","('#chapelle', 'Consulter Laforêt ! Quel bizarre dessein ! ')",0.9999998807907104
"('#moliere', ""Mon ami, la nature est son guide fidèle, Et, pour plaire toujours, il faut n'écouter qu'elle. Je vais, si vous voulez, lui lire un acte ou deux De votre Comédie."")","('#moliere', ""Mon ami, la nature est son guide fidèle ; Et pour plaire toujours, il faut n'écouter qu'elle.  Je vais, si vous voulez, lui lire un acte ou deux  De votre comédie."")",0.9826232194900513
"('#chapelle', 'Il serait hasardeux De tenter cette épreuve : elle est accoutumée À ce qui vient de vous, et votre renommée, Quand vous la consultez, lui fait trouver tout bien. Ne peut-on réussir par un autre moyen.')","('#chapelle', 'Il serait hasardeux  De tenter cette épreuve : elle est accoutumée  À ce qui vient de vous ; et votre renommée,  Quand vous la consultez, lui fait trouver tout bien.  Ne peut-on réussir par un autre moyen ?')",0.9866526126861572
"('#moliere', 'Disons-lui que la pièce est de moi.')","('#moliere', 'Disons-lui que la pièce est de moi. ')",0.9999998807907104
"('#chapelle', ""Cette ruse Me plaît infiniment, et je n'ai plus d'excuse."")","('#chapelle', ""Cette ruse  Me plaît infiniment, et je n'ai plus d'excuse. "")",0.9999999403953552
"('#moliere', 'Laforêt ! Laforêt !')","('#moliere', 'Laforêt ! Laforêt ! ')",0.9999998211860657
"('#laforet', ""Qu'est-ce ?"")","('#laforet', ""Qu'est-ce ?"")",1.0
"('#moliere', 'Tenez-vous là . Je vais lire une pièce.')","('#moliere', 'Mettez-vous-là.  Je vais lire une pièce. ')",0.9269993305206299
"('#laforet', ""Oh ! J'aimons bien cela. Quand vous nous en montrais, je rions tant ! J'écoute Déjà de tout mon coeur. Alle est de vous ?"")","('#laforet', ""Oh ! J'aimons bien cela !  Quand vous nous en montrais, je rions tant! J'écoute  Déjà de tout mon coeur. Alle est de vous ? "")",0.9942010641098022
"('#moliere', 'Sans doute. Elle est nouvelle même, et je voudrais savoir Ce que vous en pensez.')","('#moliere', 'Sans doute.  Elle est nouvelle, même, et je voudrais savoir  Ce que vous en pensez. ')",0.9941219091415405
"('#laforet', 'Je grillons de la voir. Lisais.')","('#laforet', 'Je grillons de la voir.  Lisais.')",1.0
"('#moliere', ""« L'Insouciant, Comédie en cinq Actes »."")","('#moliere', ""« L'INSOUCIANT, Comédie en cinq actes »."")",0.912612795829773
"('#chapelle', 'Ne vous pressez pas trop : par des chutes exactes Marquez bien chaque vers.')","('#chapelle', 'Ne vous pressez pas trop : par des chutes exactes  Marquez bien chaque vers. ')",0.9999998211860657
"('#moliere', ""D'accord. À son maintien, Je vois déjà qu'au titre elle ne comprend rien. Ton Maître est-il ici ? Non, il vient de sortir. Tant pis ! Pourquoi cela ? Je venais l'avertir. Que Madame l'attend à souper. Oh ! je pense Qu'il ne s'y rendra pas : il n'est pas d'homme en France Qui soit plus invité. Chez nous, chaque matin, Trottent les billets doux. C'est un tapage, un train... Mais dans notre antichambre on a beau se morfondre, À personne jamais nous ne daignons répondre ; Et lorsque nous sortons, s'il faut ne rien celer, Nous ne savons encore où nous devons aller. Le hasard nous conduit selon sa fantaisie : Nous visitons Eglé, Célimene, Julie. Et notre seule étude est celle du plaisir. Vrais papillons, en vain on nous voudrait saisir ; Nous choisissons parfois la fleur la mieux éclose, Et nous volons toujours de l'oillet à la rose. Ton maître est singulier, à ce qu'il me paraît, Et je crois mal aisé de faire son portrait. J'espère cependant esquisser son image : Il est insouciant, on ne peut davantage, C'est-à-dire, insensible à la peine, au bonheur, Cherchant la vérité, courant après l'erreur, Et n'écoutant jamais l'amour ni la nature... » « ACTE PREMIER. SCÈNE PREMIÈRE. Lafleur, Rosette. ROSETTE. LAFLEUR. ROSETTE. LAFLEUR. ROSETTE. LAFLEUR. ROSETTE. LAFLEUR. Lisant. Laforêt, quoiqu'elle soit debout, s'endort peu à peu pendant cette lecture."")","('#moliere', ""D'accord. À son maintien, Je vois déjà qu'au titre elle ne comprend rien.  Ton maître est-il ici ? Non, il vient de sortir. Tant pis. Pourquoi cela ? Je venais l'avertir. Que madame l'attend à souper.  Oh ! Je pense Qu'il ne s'y rendra pas : il n'est pas d'homme en France Qui soit plus invité. Chez nous, chaque matin,  Trottent les billets doux. C'est un tapage, un train... Mais dans notre antichambre on a beau se morfondre, À personne jamais nous ne daignons répondre ; Et lorsque nous sortons, s'il faut ne rien celer, Nous ne savons encore où nous devons aller.  Le hasard nous conduit selon sa fantaisie :  Nous visitons Eglé, Célimène, Julie.  Et notre seule étude est celle du plaisir.  Vrais papillons, en vain on nous voudrait saisir ;  Nous choisissons par fois la fleur la mieux éclose,  Et nous volons toujours de l'oillet à la rose.  Ton maître est singulier, à ce qu'il me paraît,  Et je crois mal aisé de faire son portrait.  J'espère cependant esquisser son image :  Il est insouciant, on ne peut davantage,  C'est-à-dire insensible à la peine, au bonheur,  Cherchant la vérité, courant après l'erreur,  Et n'écoutant jamais l'amour ni la nature. » Laforêt !  Vous voyez l'effet de la lecture : Elle dort tout debout. Ah ! Ah ! Ah ! Laforêt ! « ACTE PREMIER. SCÈNE PREMIÈRE. La Fleur, Rosette. ROSETTE. LA FLEUR. ROSETTE. LA FLEUR. ROSETTE. LA FLEUR. ROSETTE. LA FLEUR. Lisant. Laforêt, quoique debout, s'endort pendant cette lecture. Molière s'interrompant en voyant Laforêt dormir et l'appelant. À Chapelle. Riant."")",0.9932703971862793
"('#moliere', ""Laforêt !  Vous voyez l'effet de la lecture : Elle dort tout debout. Ah ! ah ! ah !  Laforêt ! À Chapelle. Riant.  Appelant."")","('#moliere', ""D'accord. À son maintien, Je vois déjà qu'au titre elle ne comprend rien.  Ton maître est-il ici ? Non, il vient de sortir. Tant pis. Pourquoi cela ? Je venais l'avertir. Que madame l'attend à souper.  Oh ! Je pense Qu'il ne s'y rendra pas : il n'est pas d'homme en France Qui soit plus invité. Chez nous, chaque matin,  Trottent les billets doux. C'est un tapage, un train... Mais dans notre antichambre on a beau se morfondre, À personne jamais nous ne daignons répondre ; Et lorsque nous sortons, s'il faut ne rien celer, Nous ne savons encore où nous devons aller.  Le hasard nous conduit selon sa fantaisie :  Nous visitons Eglé, Célimène, Julie.  Et notre seule étude est celle du plaisir.  Vrais papillons, en vain on nous voudrait saisir ;  Nous choisissons par fois la fleur la mieux éclose,  Et nous volons toujours de l'oillet à la rose.  Ton maître est singulier, à ce qu'il me paraît,  Et je crois mal aisé de faire son portrait.  J'espère cependant esquisser son image :  Il est insouciant, on ne peut davantage,  C'est-à-dire insensible à la peine, au bonheur,  Cherchant la vérité, courant après l'erreur,  Et n'écoutant jamais l'amour ni la nature. » Laforêt !  Vous voyez l'effet de la lecture : Elle dort tout debout. Ah ! Ah ! Ah ! Laforêt ! « ACTE PREMIER. SCÈNE PREMIÈRE. La Fleur, Rosette. ROSETTE. LA FLEUR. ROSETTE. LA FLEUR. ROSETTE. LA FLEUR. ROSETTE. LA FLEUR. Lisant. Laforêt, quoique debout, s'endort pendant cette lecture. Molière s'interrompant en voyant Laforêt dormir et l'appelant. À Chapelle. Riant."")",1.0
"('#chapelle', ""J'en veux rire à mon tour ; c'est un excellent trait. Ah ! ah ! ah !  Laforêt ! Riant.  Appelant."")","('#chapelle', ""J'en veux rire à mon tour ; c'est un excellent trait.  Ah ! Ah ! Ah ! Ah ! Ah ! Ah !  Laforêt !  Riant. Appelant."")",0.9600407481193542
"('#laforet', ""Eh bien ! qu'est-ce ?"")","('#laforet', ""Eh bien ! Qu'est-ce ?"")",0.9808480739593506
"('#moliere', 'Quoi ! vous dormez debout, lorsque je lis ma pièce !')","('#moliere', 'Quoi ! Vous dormez debout, lorsque je lis ma pièce ! ')",0.9934368133544922
"('#laforet', ""Pardonnez-nous, Monsieur ; mais je n'ons rien compris À tous ces biaux discours, et je sommes d'avis Que vous jetiez au feu toutes ces fariboles. Il faut, pour m'égayer des choses qui soient drôles, Et ce Monsieur Lafleur a trop d'esprit pour moi."")","('#laforet', ""Pardonnez-nous, monsieur ; mais je n'ons rien compris  A tous ces beaux discours, et je sommes d'avis  Que vous jetiez au feu toutes ces fariboles.  Il faut, pour m'égayer, des choses qui soient drôles,  Et ce Monsieur Lafleur a trop d'esprit pour moi. "")",0.9779103994369507
"('#moliere', ""Eh bien, vous l'entendez ?"")","('#moliere', ""Eh bien, vous l'entendez ? "")",1.0000001192092896
"('#chapelle', ""Elle a raison, ma foi ! Tu n'admires donc pas l'ouvrage de ton maître ? À Laforêt."")","('#chapelle', ""Elle a raison, ma foi !  Tu n'admires donc pas l'ouvrage de ton maître ?  À Laforêt."")",1.000000238418579
"('#laforet', 'Oh ! Pour celui-là, non.')","('#laforet', 'Oh ! Pour celui-là, non. ')",0.9999998807907104
"('#chapelle', ""Elle l'a fait paraître."")","('#chapelle', 'Elle le fait paraître. ')",0.8755335211753845
"('#chapelle', ""Elle l'a fait paraître."")","('#laforet', ""Ce valet qui reçoit tant de coups de bâton, Par un dieu goguenard qui lui vole son nom Et même son visage, et puis ce maître Jacques Qui change de métier en changeant de casaque ; Ce bon monsieur Jourdain, de noblesse entêté, Dont Nicole se moque avec tant de gaîté, Qui vouliont de la coeur imiter les usages : Et Covielle et Scapin voilà les personnages Qui m'amusiont toujours."")",1.0
"('#chapelle', ""Elle l'a fait paraître."")","('#chapelle', 'Mais Rosette et Lafleur Sont de la même main.')",1.0
"('#laforet', ""Encore un coup, Monsieur, excusez si j'avons Un tantinet dormi : je nous y connaissons, Et vous n'avez rien fait qui soit moins agréable."")","('#laforet', ""Eh ! Pardine, monsieur Pourquoi le répéter ? J'en sommes bien fâchée, C'est le culot qu'on trouve au fond de la nichée. Encore un coup, monsieur, excusez si j'avons Un tantinet dormi : je nous y connaissons, Et vous n'avez rien fait qui soit moins agréable. À Molière."")",0.6945337653160095
"('#laforet', ""Encore un coup, Monsieur, excusez si j'avons Un tantinet dormi : je nous y connaissons, Et vous n'avez rien fait qui soit moins agréable."")","('#moliere', 'Dites mieux, mon enfant, qui soit plus détestable.')",1.0
"('#moliere', ""Dites mieux, mon enfant, qui soit plus détestable : Mon dialogue est faux, et mes vers précieux, Entrelacés de mots prétendus gracieux, N'offrent rien à l'esprit que des billevesées, Que des phrases déjà sur le théâtre usées. De quel style surtout s'exprime mon valet ! Il parle comme un maître ; enfin tout m'en déplaît, Et déjà partageant votre fatigue extrême, Quand vous avez dormi, j'allais dormir moi-même. Le sommeil reviendrait : allez vous reposer, Seul avec mon ami je veux ici causer."")","('#chapelle', 'Ce jugement est dur : quelque facilité Brille dans un endroit que vous avez cité ; Et vos rimes surtout ont charmé mon oreille.')",0.5821590423583984
"('#moliere', ""Dites mieux, mon enfant, qui soit plus détestable : Mon dialogue est faux, et mes vers précieux, Entrelacés de mots prétendus gracieux, N'offrent rien à l'esprit que des billevesées, Que des phrases déjà sur le théâtre usées. De quel style surtout s'exprime mon valet ! Il parle comme un maître ; enfin tout m'en déplaît, Et déjà partageant votre fatigue extrême, Quand vous avez dormi, j'allais dormir moi-même. Le sommeil reviendrait : allez vous reposer, Seul avec mon ami je veux ici causer."")","('#moliere', 'Oui, je rime si bien que Laforêt sommeille. Vous dormiriez encore, allez vous reposer, Seul avec mon ami je veux ici causer. À Laforêt.')",1.0
"('#moliere', ""Eh bien, vous l'avez vu. C'est la simple nature Qui vient de vous juger. Après cette lecture Prétendez-vous encore à mon suffrage ?"")","('#moliere', ""Eh bien, vous l'avez vu. C'est la simple nature  Qui vient de vous juger. Après cette lecture  Prétendez-vous encore à mon suffrage ? "")",0.9999998807907104
"('#chapelle', ""Non. Qu'on se moque de moi je sens qu'on a raison. Vous ne l'ignorez pas, Molière ; ma paresse Ne m'a jamais permis de soigner une pièce, Et d'en approfondir l'intrigue, les tableaux : Je n'ai pas vos talents et surtout vos pinceaux."")","('#chapelle', ""Non. Qu'on se moque de moi, je sens qu'on a raison.  Vous ne l'ignorez pas, Molière, ma paresse  Ne m'a jamais permis de soigner une pièce,  Et d'en approfondir l'intrigue, les tableaux :  Je n'ai pas vos talents et surtout vos pinceaux."")",0.9951140880584717
"('#moliere', ""Vous pourriez, comme un autre, avec du temps, des peines, Arranger une intrigue et filer quelques scènes ; Mais il faudrait d'abord choisir mieux vos sujets. C'est de là seulement que dépend le succès. L'insouciant ! Quel titre ! Un pareil caractère Peut fournir tout au plus une esquisse légère. Il n'est qu'épisodique, et pour le bien traiter, C'est au fond du tableau qu'il faut le présenter. Voulez-vous réussir ? Peignez dans vos ouvrages L'homme de tous les lieux, celui de tous les âges Dessinez largement : que de tous vos portraits À Paris, comme à Londres, on admire les traits. Aux Peintres des boudoirs laissez la miniature, Et soyez, s'il se peut, grand comme la nature."")","('#moliere', ""Vous pourriez, comme un autre, avec du temps, des peines,  Arranger une intrigue et filer quelques scènes ;  Mais il faudrait d'abord choisir mieux vos sujets :  C'est de là seulement que dépend le succès.  L'Insouciant ! Quel titre ! Un pareil caractère  Peut fournir tout au plus une esquisse légère.  Il n'est qu'épisodique, et pour le bien traiter,  C'est au fond du tableau qu'il faut le présenter.  Voulez-vous réussir ? Peignez dans vos ouvrages  L'homme de tous les lieux, celui de tous les âges  Dessinez largement : que de tous vos portraits  À Paris, comme à Londres, on admire les traits.  Aux Peintres des boudoirs laissez la miniature ; Et soyez, s'il se peut, grand comme la nature. "")",0.9930123090744019
"('#chapelle', ""Je suivrais ces conseils par la raison dictés ; Mais les sujets majeurs vous les avez traités. Un caractère neuf est devenu si rare ! Les pédants, les fâcheux, l'hypocrite, l'avare, Le bourgeois gentilhomme et les tuteurs jaloux Le misanthrope enfin qui les surpasse tous, Que reste-t-il encore après de tels modèles ?"")","('#chapelle', ""Je suivrai ces conseils, par la raison dictés,  Mais les sujets majeurs vous les avez traités.  Un caractère neuf est devenu si rare !  Les pédants, les fâcheux, l'hypocrite, l'avare,  Le Bourgeois Gentilhomme et les tuteurs jaloux,  Le Misanthrope enfin, qui les surpasse tous. Que reste-t-il encore après de tels modèles ? "")",0.9760651588439941
"('#moliere', ""Ce qu'il reste ? Du beau les sources immortelles Ne s'épuisent jamais, et l'esprit créateur Moissonne où glanerait un médiocre auteur. Ai-je peint l'envieux à l'oeil cave, au teint blême, Qui se meurt des poisons qu'il distille lui-même ? Et ces nobles altiers, qui tyrans sous nos Rois, De l'humanité sainte ont usurpé les droits, Qui traînent dans les cours des noms qu'ils déshonorent, Et, pour mieux s'illustrer, l'un l'autre se dévorent ? Ai-je peint ces traitants qu'on voit avec éclat, Enfler leurs coffres-forts des trésors de l'État, Et qui meurent du luxe et martyrs et victimes ? De l'avide joueur ai-je tracé les crimes ? Ceux de l'ambitieux ? Ceux du vil séducteur, De l'adroit courtisan, de l'ingrat, du flatteur, De mille autres encor, qui brillent, disparaissent, Et, tous les cinquante ans expirent et renaissent, Pareils à ces essaims d'insectes qu'au printemps La chaleur renaissante éveille dans les champs ?"")","('#moliere', ""Ce qu'il reste ? Du beau les sources immortelles  Ne s'épuisent jamais, et l'esprit créateur  Moissonne où glanerait un médiocre auteur.  Ai-je peint l'envieux à l'oeil cave, au teint blême,  Qui se meurt des poisons qu'il distille lui-même ?  Et ces nobles altiers, qui, tyrans sous nos rois,  De l'humanité sainte ont usurpé les droits ;  Qui traînent dans les cours des noms qu'ils déshonorent, Et, pour mieux s'illustrer, l'un l'autre se dévorent ?  Ai-je peint ces traitants qu'on voit avec éclat,  Enfler leur coffre-fort des trésors de l'état,  Et qui meurent du luxe et martyrs et victimes ?  De l'avide joueur ai-je tracé les crimes ?  Ceux de l'ambitieux ? Ceux du vil séducteur,  De l'adroit courtisan, de l'ingrat, du flatteur,  De mille autres encore, qui brillent, disparaissent,  Et tous les cinquante ans expirent et renaissent,  Pareils à ces essaims d'insectes qu'au printemps  La chaleur renaissante éveille dans les champs ? "")",0.9971553087234497
"('#le-garçon-de-theatre', ""Pour répéter, Monsieur, votre nouvelle pièce, On n'attend plus que vous."")","('#le-garçon', ""Pour répéter, monsieur, votre nouvelle pièce,  On n'attend plus que vous. "")",0.9916791915893555
"('#moliere', 'Il faut que je vous laisse.')","('#moliere', 'Il faut que je vous laisse. ')",1.0000001192092896
"('#le-garçon-de-theatre', ""Du manuscrit aussi le souffleur a besoin, Et de le demander on m'a commis le soin."")","('#le-garçon', ""Du manuscrit aussi le souffleur a besoin,  Et de le demander on m'a commis le soin. "")",0.9999999403953552
