,quinault-isis,voltaire-pandore,Cost,Operation Type
31,"('#io', ""M'aimez vous ? puis-je m'en flatter ?"")",,1.0,Insertion
32,"('#hierax', ""Cruelle, en voulez vous douter ? En vain votre inconstance éclate, En vain elle m'anime à briser tous les noeuds Je vous aime toujours ingrate, Plus que vous ne voulez Et plus que je ne veux Je crains un funeste présage, Un aigle dévorant Vient de fondre à mes yeux, Sur un oiseau qui dans ces lieux M'entretenait d'un doux ramage Différez votre hymen, Suivons l'avis des Cieux. Notre hymen me déplaît qu'à votre coeur volage: Répondez moi de vous, je vous répond des Dieux. Vous juriez autrefois Que cette onde rebelle Se ferait vers sa source une route nouvelle Plutôt qu'on ne verrait votre coeur dégagé; Voyez couler ces flots dans cette vaste plaine C'est le même penchant qui toujours les entraîne. Leurs cours ne change point et vous avez changé"")","('#promethee', ""Je le ravis aux dieux, je l'apporte à la terre,  Ce feu sacré du tendre Amour,  Plus puissant mille fois que celui du tonnerre,  Et que les feux du dieu du jour. "")",0.15,Substitution
33,"('#io', ""Laissez moi revenir de mes frayeurs secrètes; J'attends de votre amour cet effort généreux."")","('#choeur-des-nymphes', ""Fille du ciel, âme du monde,  Passez dans tous les coeurs :  L'air, la terre, et l'onde  Attendent vos faveurs. "")",0.54,Substitution
34,"('#hierax', ""Je veux ce qui vous plaît, cruelle que vous êtes, Vous n'abusez que trop d'un amour malheureux !"")","('#promethee', ""Que ce feu précieux, l'astre de la nature,  Que cette flamme pure  Te mette au nombre des vivants.  Terre, sois attentive à ces heureux instants :  Lève-toi, cher objet, c'est l'Amour qui l'ordonne :  A sa voix obéis toujours :  Lève-toi, l'Amour te donne  La vie, un coeur, et de beaux jours.  Pandore se lève sur son estrade, et marche sur la scène."")",1.07,Substitution
35,"('#io', 'Non, je vous aime encor !')","('#choeur', ""Ciel ! Ô ciel ! Elle respire !  Dieu d'amour, quel est ton empire ! "")",0.79,Substitution
36,"('#hierax', ""Quelle froideur extrême !  Inconstante, est-ce ainsi qu'on doit dire qu'on aime."")",,1.0,Insertion
37,"('#io', ""C'est à tort que vous m'accusez, Vous avez vu toujours vos rivaux méprisés"")",,1.0,Insertion
38,"('#hierax', ""Le mal de mes rivaux N'égale point ma peine, La douce illusion d'une espérance vaine Ne les fait point tomber du faite du bonheur Aucun d'eux comme moi n'a perdu votre coeur; Je ne suis point accoutumé Quel tourment de cesser de plaire Lorsqu'on a fait l'essai du plaisir d'être aimé. Je ne le sens que trop Votre coeur se détache Et je ne sais qui me l'arrache"")","('#pandore', ""Où suis-je ?et qu'est-ce que je vois ?  Je n'ai jamais été : quel pouvoir m'a fait naître ?  J'ai passé du néant à l'être.  Quels objets ravissants semblent nés avec moi  Ces sons harmonieux enchantent mes oreilles :  Mes yeux sont éblouis de l'amas des merveilles  Que l'auteur de mes jours prodigue sur mes pas.  Ah ! D'où vient qu'il ne paraît pas ?  De moment en moment je pense et je m'éclaire.  Terre qui me portez, vous n'êtes point ma mère :  Un dieu sans doute est mon auteur :  Je le sens, il me parle, il respire en mon coeur.  Ciel ! Est-ce moi que j'envisage ?  Le cristal de cette onde est le miroir des cieux :  La nature s'y peint : plus j'y vois mon image,  Plus je dois rendre grâce aux dieux.  On entend une symphonie. Elle s'assied au bord d'une fontaine."")",0.65,Substitution
39,"('#hierax', ""Je cherche en vain l'heureux amant Qui me dérobe un bien charmant Où j'ai cru devoir seul prétendre Je sentirais moins mon tourment Si je trouvais à qui m'en prendre Vous fuyez mes regards, Vous ne me dites rien; Il faut vous délivrer d'un fâcheux entretiens; Ma présence vous blesse et c'est trop vous contraindre."")","('#nymphes #titans', ""Pandore, fille de l'Amour,  Charmes naissants, beauté nouvelle,  Inspirez à jamais, sentez à votre tour  Cette flamme immortelle  Dont vous tenez le jour.  On danse autour d'elle. On danse."")",1.17,Substitution
40,"('#io', 'Jaloux sombre et chagrin, Partout où je vous vois, Vous ne cessez de vous plaindre Je voudrais vous aimer Autant que je le dois, Et vous me forcez à vous craindre.')","('#pandore', ""Quel objet attire mes yeux !  De tout ce que je vois, dans ces aimables lieux,  C'est vous, c'est vous, sans doute, à qui je dois la vie.  Du feu de vos regards que mon âme est remplie !  Vous semblez encor m'animer. "")",0.51,Substitution
