,quinault-isis,voltaire-pandore,Cost,Operation Type
89,"('#mercure #iris', 'Promettez moi de constantes amours, Je vous promets de vous aimer toujours.')","('#choeur-des-dieux', ""Que les astres se réjouissent !  Que tous les dieux applaudissent  Au dieu de l'univers !  Devant lui les soleils pâlissent. "")",1.6,Substitution
90,"('#mercure', 'Que la feinte entre nous finisse')","('#neptune', 'Que le sein des mers, ')",1.54,Substitution
91,"('#iris', 'Parlons sans mystère en ce jour;')","('#pluton', 'Le fond des enfers, ')",1.31,Substitution
92,"('#mercure #iris', ""Le moindre artifice Offense l'amour."")",,1.0,Insertion
93,"('#iris', 'Quel soin presse ici-bas Jupiter de descendre.')",,1.0,Insertion
94,"('#mercure', 'Le seul bien des mortels lui fait quitter les cieux; Mais quel soupçons nouveau Junon peut elle prendre ? Ne suivrait elle pas Jupiter en ces lieux.')",,1.0,Insertion
95,"('#iris', ""Dans les jardins d'Hébé Junon vient de descendre."")",,1.0,Insertion
96,"('#mercure', ""Un nuage entrouvert la découvre à mes yeux ; Iris parle ainsi sans mystère ! C'est ainsi que je puis me fier à ta foi."")",,1.0,Insertion
97,"('#iris', ""Ne me reprochez pas que je suis peu sincère, Vous ne l'êtes pas plus que moi. Junon paraît au milieu d'un nuage qui s'avance."")",,1.0,Insertion
98,"('#mercure #iris', 'Gardez pour quelque autre Votre amour trompeur, Je reprends mon coeur,  Reprenez le vôtre.')","('#choeur-des-dieux', ""Les mondes divers,  Retentissent  D'éternels concerts.  Que les astres se réjouissent !  Que tous les dieux applaudissent  Au dieu de l'univers !  Devant lui les soleils pâlissent. "")",1.23,Substitution
99,"('#iris', ""J'ai cherché vainement la fille d'Inachus."")",,1.0,Insertion
100,"('#junon', ""Ah ! Je n'ai pas besoin d'en savoir davantage, Non, Isis, ne la cherchons plus. Jupiter dans ces lieux m'a donné de l'ombrage, J'ai traversé les airs, j'ai percé le nuage Qu'il opposait à mes regards ; Mais en vain j'ai tourné les yeux de toutes parts, Ce Dieu par son pouvoir suprême M'a caché la nymphe qu'il aime, Et ne m'a laissé voir que des troupeaux épars ! Non, non, je ne suis pas une incrédule épouse Qu'un puisse tromper aisément; Voyons qui feindra mieux de Jupiter amant Ou de Junon jalouse. Il est maître des Cieux, la terre suit sa loi; Sous sa toute puissance, il faut que tout fléchisse; Mais puisqu'il ne prétend s'armer que d'artifice Tout Jupiter qu'il est, il est moins fort que moi. Dans ces lieux écartés, vois que la terre est belle."")","('#pandore', ""Que tout ce que j'entends conspire à m'effrayer !  Je crains, je hais, je fuis cette grandeur suprême.  Qu'il est dur d'entendre louer  Un autre dieu que ce que j'aime ! "")",0.35,Substitution
101,"('#iris', 'Elle honore son maître et brille sous ses pas.')",,1.0,Insertion
102,"('#junon', ""L'amour cet amour infidèle, Qui du plus haut des cieux l'appelle, Fait que tout lui rit ici-bas. Près d'une maîtresse nouvelle  Dans le fond des déserts, on trouve des appas. Et le ciel même ne plaît pas Avec une épouse immortelle."")",,1.0,Insertion
103,"('#jupiter', ""Dans les jardins d'Hébé vous deviez en ce jour  D'une nouvelle nymphe  Augmenter votre cour; Quel dessein si pressant dans ces lieux vous amène."")","('#les-trois-graces', 'Fille du charmant Amour,  Régnez dans son empire :  La terre vous désire,  Le ciel est votre cour. ')",0.56,Substitution
104,"('#junon', ""Je ne vous suivrai pas plus loin. Je viens de votre amour Attendre un nouveau soin : Ne vous étonnez pas qu'on vous quitte avec peine, Et que de Jupiter on ait toujours besoin. Vous m'aimez, et j'en suis certaine."")","('#pandore', ""Mes yeux sont offensés du jour qui m'environne :  Rien ne me plaît, et tout m'étonne.  Mes déserts avaient plus d'appas.  Disparaissez, ô splendeur infinie !  Mon amant ne vous voit pas.  Cessez, inutile harmonie !  Il ne vous entend pas.  On entend un symphonie. Le choeur recommence. Jupiter sort d'un nuage."")",0.35,Substitution
105,"('#jupiter', 'Souhaitez, je promets que vos voeux seront satisfaits.')",,1.0,Insertion
106,"('#junon', ""J'ai fait choix d'une nymphe et déjà la Déesse De l'aimable Jeunesse Se prépare à la recevoir; Mais je n'ose, sans vous, disposer de personne. Si j'ai quelque pouvoir, Je n'en prétends avoir Qu'autant que votre amour m'en donne Ce don de votre main me sera précieux."")","('#jupiter', ""Nouveau charme de la nature,  Digne d'être éternel,  Vous tenez de la terre un corps faible et mortel,  Et vous devez cette âme inaltérable et pure  Au feu sacré du ciel.  C'est pour les dieux que vous venez de naître :  Commencez à jouir de la divinité :  Goûtez auprès de votre maître  L'heureuse immortalité. "")",0.14,Substitution
107,"('#jupiter', ""J'approuve vos désirs ; Que rien n'y soit contraire; Mercure ayez soin de lui plaire, Et portez à son gré, mes ordres en tous lieux; Que tout suive les lois de la reine des cieux."")","('#pandore', ""Le néant d'où je sors à peine  Est cent fois préférable à ce présent cruel :  Votre immortalité, sans l'objet qui m'enchaîne,  N'est rien qu'un supplice immortel. "")",0.96,Substitution
108,"('#iris #mercure', 'Que tout suive les lois de la reine des Cieux.')","('#jupiter', 'Quoi ! Méconnaissez-vous le maître du tonnerre ?  Dans les palais des dieux regrettez-vous la terre. ')",1.34,Substitution
109,"('#jupiter', ""Parlez, et qu'hautement votre choix se déclare."")","('#pandore', ""La terre était mon vrai séjour :  C'est là que j'ai senti l'amour. "")",1.43,Substitution
110,"('#junon', ""La nymphe qui me plaît ne vous déplaira pas, Vous ne verrez pas ici-bas De mérite plus grand ni beauté plus rare; Les honneurs que je lui prépare Ne lui sont que trop dûs, Enfin, Junon choisit la fille d'Inachus."")","('#jupiter', ""Non, vous n'en connaissez qu'une image infidèle,  Dans un monde indigne de lui.  Que l'amour tout entier, que sa flamme éternelle,  Dont vous sentiez une étincelle,  De tous ses traits de feu nous embrase aujourd'hui "")",0.87,Substitution
111,"('#jupiter', ""La fille d'Inachus."")",,1.0,Insertion
112,"('#junon', ""Déclarez pour elle. Peut-on voir à ma suite une nymphe plus belle, Plus capable d'orner ma cour, Et de marquer pour moi,  Le soin de votre amour; Vous me l'avez promise et je vous le demande."")","('#pandore', ""Je les ai tous sentis, du moins j'ose le croire :  Ils ont égalé mes tourments.  Ah ! Vous avez pour vous la grandeur et la gloire :  Laissez les plaisirs aux amants.  Vous êtes dieu, l'encens doit vous suffire :  Vous êtes dieu, comblez mes voeux.  Consolez tout ce qui respire :  Un dieu doit faire des heureux. "")",0.13,Substitution
113,"('#jupiter', ""Vous ne sauriez combler d'une gloire trop grande La nymphe que vous choisissez; Junon commande  Allez, allez, Mercure obéissez."")","('#jupiter', ""Je veux vous rendre heureuse, et par vous je veux l'être.  Plaisirs, qui suivez votre maître,  Ministres plus puissants que tous les autres dieux,  Déployez vos attraits, enchantez ses beaux yeux :  Plaisirs, vous triomphez dès qu'on peut vous connaître.  Les Plaisirs dansent autour de Pandore en chantant ce qui suit."")",0.19,Substitution
114,"('#junon', 'Junon commande Allez, allez, Mercure obéissez.')","('#choeur', 'Aimez, aimez, et régnez avec nous :  Le dieu des dieux est seul digne de vous. ')",1.14,Substitution
115,"('#hebe', ""Les plaisirs les plus doux Sont faits pour la jeunesse. Venez, venez jeux charmants, venez tous; Cardez vous bien d'amener avec vous La sévère Sagesse. Fuyez, fuyez, sombre tristesse Noirs chagrins, fuyez loin de nous Vous êtes destinés pour l'affreuse vieillesse Les plaisirs les plus doux Sont faits pour la jeunesse."")","('#une-voix', ""Sur la terre on poursuit avec peine  Des plaisirs l'ombre légère et vaine :  Elle échappe, et le dégoût la suit.  Si Zéphire un moment plaît à Flore,  Il flétrit les fleurs qu'il fait éclore :  Un seul jour les forme et les détruit. "")",0.61,Substitution
116,"('#le-choeur', 'Les plaisirs les plus doux Sont faits pour la jeunesse. Les jeux, les plaisirs et les nymphes de Junon se divertissent par des danses et par des chansons, en attendant la nouvelle nymphe dont Junon vont faire choix.')",,1.0,Insertion
117,"('#deux-nymphes', ""Aimez, profitez du temps, Jeunesse charmante Rendez vos désirs contents. Tout rit tout enchante Dans les plus beaux ans: L'amour vous éclaire Marchez sur ses pas Cherchez à vous faire Des noeuds pleins d'appas. Que vous sert de plaire, Si vous n'aimez pas ?"")","('#choeur', 'Aimez, aimez, et régnez avec nous :  Le dieu des dieux est seul digne de vous.')",0.74,Substitution
118,"('#choeurs', ""Que ces lieux ont d'attraits ! Goûtons-en bien les charmes, L'Amour n'y fait jamais verser de tristes larmes Les soins et les alarmes,  N'en troublent point la paix. Jouissons dans ces retraites Des douceurs les plus parfaites; Suivez-nous, charmants plaisirs, Comblez tous nos désirs."")","('#une-voix', ""Les fleurs immortelles  Ne sont qu'en nos champs.  L'Amour et le Temps  Ici n'ont point d'ailes. "")",0.75,Substitution
119,"('#mercure', 'Servez, Nymphe, servez avec un soin fidèle, La puissante reine des Cieux. Suivez dans ces aimables lieux La jeunesse immortelle Tout plaît et tout rit avec elle. Hébé et les nymphes reçoivent Io.')","('#choeur', 'Aimez, aimez, et régnez avec nous :  Le dieu des dieux est seul digne de vous. ')",0.52,Substitution
120,"('#hebe', ""Que c'est un plaisir charmant  D'être jeune et belle ! Triomphez à tout moment D'une conquête nouvelle. Que c'est un plaisir charmant  D'être jeune et belle !"")","('#pandore', ""Oui, j'aime, oui, doux plaisirs, vous redoublez ma flamme :  Mais vous redoublez ma douleur.  Dieux charmants, si c'est vous qui faites le bonheur,  Allez au maître de mon âme. "")",0.25,Substitution
121,"('#argus', 'Dans ce solitaire séjour Vous êtes sous ma garde, Junon vous y laisse: Mes yeux veilleront tour à tour Et vous observeront sans cesse.')","('#jupiter', ""Ciel ! Ô ciel ! Quoi ! Mes soins ont ce succès fatal ?  Quoi ! J'attendris son âme, et c'est pour mon rival ! "")",1.27,Substitution
122,"('#io', ""Est-ce là le bonheur que Junon m'a promis. Argus apprenez-moi quel crime j'ai commis."")","('#mercure', 'Jupiter, arme-toi du foudre :  Prends tes feux, va réduire en poudre  Tes ennemis audacieux.  Prométhée est armé : les Titans furieux  Menacent les voûtes des cieux :  Ils entassent des monts la masse épouvantable :  Déjà leur foule impitoyable  Approche de ces lieux. ')",1.01,Substitution
123,,"('#jupiter', 'Je les punirai tous... Seul, je suffis contre eux. ')",1.0,Deletion
124,"('#argus', ""Vous êtes aimable Vos yeux devaient moins charmer. Vous êtes coupable De faire trop aimer Ne me déguisez rien, de quoi m'accuse-t-elle Quelle offenses à ses yeux me rend si criminelle ? Ne pourrai-je apaiser son funeste courroux."")","('#pandore', ""Quoi ! Vous le puniriez, vous qui causez sa peine ?  Vous n'êtes qu'un tyran jaloux et tout-puissant.  Aimez-moi d'un amour encor plus violent,  Je vous punirai par ma haine. "")",0.26,Substitution
125,"('#argus', ""C'est une offense cruelle De paraître belle À ses yeux jaloux L'amour de Jupiter a trop paru pour vous"")","('#jupiter', 'Marchons, et que la foudre éclate devant moi. ')",1.76,Substitution
126,"('#io', 'Je suis perdue, ô ciel ! si Junon est jalouse.')","('#pandore', 'Cruel ! Ayez pitié de mon mortel effroi :  Jugez de mon amour, puisque je vous implore. ')",0.96,Substitution
127,"('#argus', ""On ne plaît guère à l'épouse Lorsqu'on plaît trop à l'époux. Vous n'en serez pas mieux d'être ingrate et volage Vous quittez un fidèle amant, Pour recevoir un plus brillant hommage Mais c'est un avantage Que vous payerez chèrement. J'ai l'ordre d'enfermer vos dangereux appas La Déesse se défend que vous voyez personne"")","('#jupiter', ""Prends soin de conduire Pandore.  Dieux, que mon coeur est désolé !  J'éprouve les horreurs qui menacent le monde.  L'univers reposait dans une paix profonde : Une beauté parait, l'univers est troublé.  Il sort."")",0.82,Substitution
128,"('#io', ""Aux rigueurs de Junon Jupiter m'abandonne. Non, non Jupiter ne m'aime pas."")",,1.0,Insertion
129,"('#hierax', ""La perfide craint ma présence Elle me fuit en vain et j'irai la chercher."")","('#pandore', ""Ô jours de ma naissance ! ô charmes trop funestes !  Désirs naissants, que vous étiez trompeurs !  Quoi ! la beauté, l'amour, et les faveurs célestes,  Tous les biens ont fait mes malheurs !  Amour, qui m'as fait naître, apaise tant d'alarmes :  N'es-tu pas souverain des dieux ?  Viens sécher mes larmes,  Enchaîne et désarmes  La terre et les cieux. "")",1.08,Substitution
130,"('#argus', 'Non !')",,1.0,Insertion
131,"('#hierax', 'Laissez moi lui reprocher  Sa cruelle inconstance')","('#encelade', 'Oui, nos frères et nous, et toute la nature,  Ont senti ta cruelle injure.  La terrible vengeance est déjà dans nos mains : Vois-tu ces monts pendants en précipices ?  Vois-tu ces rochers entassés ?  Ils seront bientôt renversés  Sur les barbares dieux qui nous ont offensés.  Nous punirons les injustices  De nos tyrans jaloux, par nos mains terrassés. ')",1.5,Substitution
132,"('#argus', 'Non, non, on ne la doit point voir')",,1.0,Insertion
133,"('#hierax', 'Quoi ! Junon me devient contraire ?')",,1.0,Insertion
134,"('#argus', ""L'ordre est exprès pour tous, perdez un vain espoir."")",,1.0,Insertion
135,"('#hierax', ""L'amitié fraternelle a si peur de pouvoir ?"")","('#promethee', 'Terre, contre le ciel apprends à te défendre.  Trompettes et tambours, organes des combats,  Pour la première fois vos sons se font entendre :  Éclatez, guidez nos pas.  Le ciel sera le prix de votre heureux courage.  Amis, je ne prétends que Pandore et sa foi.  Laissez-moi ce juste partage :  Marchez, Titans, et suivez-moi.  On sort au son des trompettes.')",1.52,Substitution
136,"('#argus', ""Non, je ne connais plus ni d'ami, ni de frère, Je ne connais que mon devoir Laissez la nymphe en paix, Ce n'est plus vous qu'elle aime."")","('#choeur-de-titans', 'Courons aux armes  Contre ces dieux cruels :  Répandons les alarmes  Dans les coeurs immortels.  Courons aux armes  Contre ces dieux cruels. ')",1.44,Substitution
137,"('#hierax', ""Quel est l'heureux amant qui s'en est fait aimer ? Nommez le moi."")",,1.0,Insertion
138,"('#argus', ""Tremblez à l'entendre nommer.  C'est un Dieu tout puissant, c'est Jupiter lui-même."")","('#promethee', 'Le tonnerre en éclats répond à nos trompettes.  Jupiter quitte ses retraites :  La foudre a donné le signal :  Commençons ce combat fatal.  Un char, qui porte les dieux, descend sur les montagnes, au bruit du tonnerre. Pandore est auprès de Jupiter. Prométhée continue. Les géants montent.')",1.02,Substitution
139,"('#hierax', 'Ô Dieux !')","('#choeurs-des-nymphes', 'Tambours, trompettes, et tonnerre,  Dieux et Titans, que faites-vous ?  Vous confondez, par vos terribles coups,  Les enfers, le ciel et la terre.  Bruit du tonnerre et des trompettes.')",0.9,Substitution
140,"('#argus', ""Dégagez vous d'un amour si fatal Sans balancer il faut vous y résoudre C'est un redoutable rival Qu'un amant qui lance la foudre."")","('#les-titans', ""Cédez, tyrans de l'univers :  Soyez punis de vos fureurs cruelles :  Tombez, tyrans. "")",0.79,Substitution
141,,"('#les-dieux', 'Mourez, rebelles. ')",1.0,Deletion
142,,"('#les-titans', 'Tombez, descendez dans nos fers. ')",1.0,Deletion
143,,"('#les-dieux', 'Précipitez-vous aux enfers. ')",1.0,Deletion
144,"('#hierax', ""Dieux tout puissants ! ah ! vous étiez jaloux De la félicité que vous m'avez ravie, Dieux tout puissants ! ah ! vous étiez jaloux De me voir plus heureux que vous. Vous n'avez pu souffrir le bonheur de la vie Et je voyais vos grandeurs sans envie. J'aimais, j'étais aimé.  Mon sort était trop doux."")","('#pandore', ""Terre, ciel, ô douleur profonde !  Dieux, Titans, calmez mou effroi.  J'ai causé les malheurs du monde :  Terre, ciel, tout périt pour moi. "")",0.42,Substitution
145,"('#argus', ""Heureux qui peut briser Qui peut briser sa chaîne Finissez une plainte vaine Méritez l'infidélité; Un coeur ingrat vaut-il la peine D'être tant regretté."")",,1.0,Insertion
146,"('#hierax #argus', 'Heureux qui peut briser Qui peut briser sa chaîne')",,1.0,Insertion
147,"('#argus', 'Liberté, liberté.')","('#les-titans', 'Lançons nos traits. ')",0.99,Substitution
148,"('#syrinx #choeurs', 'Liberté, liberté ! Une partie des nymphes dansent dans le temps que les autres chantent.')",,1.0,Insertion
149,"('#hierax #argus', 'Quelles danses ! quels chants et quelle nouveauté !')","('#les-dieux', 'Frappez, tonnerre. ')",1.27,Substitution
150,"('#syrinx #choeurs', ""S'il est quelque bien au monde C'est la liberté."")",,1.0,Insertion
151,"('#hierax #argus', 'Que voulez-vous ?')","('#les-titans', 'Renversons les dieux. ')",1.83,Substitution
152,"('#choeur-des-nymphes', 'Liberté, liberté.')","('#les-dieux', 'Détruisons la terre. ')",1.61,Substitution
153,"('#hierax #argus', ""Que voulez-vous ? il faut qu'on nous réponde."")",,1.0,Insertion
154,"('#syrinx #choeurs', ""S'il est quelque bien au monde, C'est la liberté."")","('#dieux-titans', 'Tombez, descendez dans nos fers :  Précipitez-vous aux enfers.  Il se fait un grand silence : un nuage brillant descend : le Destin paraît un milieu des nuages.')",1.72,Substitution
155,"('#mercure #choeurs-de-nymphes #bergers #satyres #sylvains', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté. Liberté, liberté"")",,1.0,Insertion
156,"('#mercure', ""De la Nymphe Syrinx l'on chérit la mémoire, Il en regrette encor la perte chaque jour; Pour célébrer une fête à sa gloire Ce Dieu lui même assemble ici sa cour Il veut que du malheur de son fidèle amour. Un spectacle touchant représente l'histoire"")","('#le-destin', 'Arrêtez : le Destin, qui vous commande à tous,  Veut suspendre vos coups.  Il se fait encore un silence.')",0.99,Substitution
157,"('#argus', ""C'est un plaisir pour nous; poursuivez j'y consens Je ne m'oppose point à ces jeux innocents. Argus va prendre place sur un siège de gazon proche de l'endroit où Io est enfermée et fait planer Hiérax de l'autre côté."")","('#promethee', 'Être inaltérable,  Souverain des temps,  Dicte à nos tyrans  Ton ordre irrévocable. ')",1.13,Substitution
158,,"('#choeur', 'Ô Destin, parle, explique-toi :  Les dieux fléchiront sous ta loi. ')",1.0,Deletion
159,"('#mercure', ""Il donne dans le piège, achevez sans remise Achevez de surprendre Argus et tous ses yeux. Si vous tentez une grande entreprise, Mercure vous conduit, l'amour vous favorise Et vous servez le plus puissant des Dieux. Mercure, les berges, les satyres, et les sylvains rentrent derrière le théâtre."")","('#le-destin', ""Cessez, cessez, guerre funeste :  Ce jour forme un autre univers.  Souverains du séjour céleste,  Rendez Pandore à ses déserts.  Dieux, comblez cet objet de tous vos dons divers.  Titans, qui jusqu'au ciel avez porté la guerre,  Malheureux, soyez terrassés :  À jamais gémissez  Sous ces monts renversés,  Qui vont retomber sur la terre.  Les rochers se détachent et retombent. Le char des dieux descend sur la terre. On remet Pandore à Prométhée."")",0.18,Substitution
160,"('#syrinx', ""Liberté, liberté S'il est quelque bien au monde C'est la liberté."")",,1.0,Insertion
161,"('#syrinx', ""L'empire de l'Amour n'est pas moins agité Que l'empire de l'onde Ne cherchons point d'autre félicité Qu'un doux loisir dans une paix profonde S'il est quelque bien au monde  C'est la liberté. Liberté, liberté ! Dans le temps qu'une partie des Nymphes chante, le reste de la troupe danse."")","('#jupiter', ""Ô Destin ! Le maître des dieux  Est l'esclave de la puissance.  Eh bien ! sois obéi : mais que ce jour commence  Le divorce éternel de la terre et des cieux.  Némésis, sors des sombres lieux.  Séduis le coeur, trompe les yeux  De la beauté qui m'offense.  Pandore, connais ma vengeance  Jusque dans mes dons précieux.  Que cet instant commence  Le divorce éternel de la terre et des cieux.  Némésis sort du fond du théâtre, et Jupiter continue."")",0.75,Substitution
162,"('#deux-bergers', ""Quel bien devez-vous attendre Beautés qui chassez dans ces lieux Que pouvez-vous prendre Qui vaille un coeur tendre Soumis à vos lois ? Ce n'est qu'en aimant Qu'on trouve un sort charmant Aimez enfin à votre tour Il faut que tout cède à l'amour. Il sait frapper d'un coup certain Le cerf léger qui fuit en vain  Jusque dans les antres secrets Au fond des forêts  Tout doit sentir ses traits. Lorsque l'amour vous appelle, Pourquoi fuyez-vous ses plaisirs ? La Rose nouvelle N'en est que plus belle D'aimer les Zéphirs. Ce n'est qu'en aimant Qu'on trouve un sort charmant, Aimez enfin, à votre tour; Il faut que tout cède à l'amour : Il sait frapper d'un coup certain Le cerf léger qui fuit en vain : Jusques dans les antres secrets Au fonds des forêts, Tout doit sentir ses traits,"")","('#pandore', ""Eh quoi ! Vous me quittez, cher amant que j'adore ?  Êtes-vous soumis ou vainqueur ? "")",0.72,Substitution
163,"('#pan', 'Je vous aime Nymphe charmante; Un amant, un mortel cherche à plaire à vos yeux ')","('#promethee', ""La victoire est à moi, si vous m'aimez encore.  L'Amour et le Destin parlent en ma faveur. "")",0.74,Substitution
164,"('#syrinx', ""Pan est un Dieu puissant, je révère les Dieux; Mais le nom d'amour m'épouvante."")",,1.0,Insertion
165,"('#pan', ""Pour vous faire retrouver le nom d'amant plus doux. J'y joindrai le titre d'époux. Je n'aurai pas de peine  A m'engager dans une aimable chaîne Pour ne jamais changer. Aimez un Dieu qui vous adore."")","('#pandore', ""Eh quoi ! Vous me quittez, cher amant que j'adore ? "")",0.81,Substitution
166,"('#syrinx', ""Un époux doit être encore Plus à craindre qu'un amant"")",,1.0,Insertion
167,"('#pan', ""Dissipez de vaines alarmes, Éprouvez l'amour et ses charmes Connaissez les plus doux appas. Non, ce ne peut être  que faute de la connaître Qu'il ne vous plaît pas."")",,1.0,Insertion
168,"('#syrinx', ""Les maux d'autrui me rendront sage. Ah ! Quel malheur  De laisser engager son coeur ! Pourquoi faut-il le plus beau de son âge Dans une mortelle langueur ? Ah, quel malheur !  Pourquoi n'avoir pas le courage De s'affranchir de la rigueur D'un funeste esclavage ? Ah ! Quel malheur De laisser engager son coeur !"")","('#promethee', 'Les Titans sont tombés : plaignez leur sort affreux.  Je dois soulager leur chaîne.  Apprenons à la race humaine  À secourir les malheureux. ')",1.12,Substitution
169,"('#pan', ""Ah ! Quel dommage Que vous ne sachiez pas aimer ! Que vous sert-il d'avoir tant d'attraits en partage, Si vous en négligez le plus grand avantage ? Que vous sert-il de savoir tout charmer ? Ah, quel dommage Que vous ne sachiez pas aimer !"")",,1.0,Insertion
170,"('#choeurs', 'Aimons sans cesse.')",,1.0,Insertion
171,"('#choeur-des-nymphes', ""N'aimons jamais."")",,1.0,Insertion
172,"('#choeur-de-silvains #satyres #bergers', ""Pour vivre en paix. N'aimons jamais."")",,1.0,Insertion
173,"('#syrinx', ""Le chagrin suit toujours les coeurs que l'amour blesse."")",,1.0,Insertion
174,"('#pan', ""La tranquille sagesse N'a que des plaisirs imparfaits."")",,1.0,Insertion
175,"('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')",,1.0,Insertion
176,"('#choeur-des-nymphes', ""N'aimons jamais."")",,1.0,Insertion
177,"('#syrinx', 'On ne peut aimer sans faiblesse.')",,1.0,Insertion
178,"('#pan', ""Que cette faiblesse a d'attraits !"")",,1.0,Insertion
179,"('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')",,1.0,Insertion
180,"('#choeur-des-nymphes', ""N'aimons jamais."")",,1.0,Insertion
181,"('#choeur-de-silvains #satyres #bergers', ""Cédons à l'Amour qui nous presse Pour vivre heureux aimons sans cesse"")","('#pandore', 'Demeurez un moment. Voyez votre victoire.  Ouvrons ce don charmant du souverain des dieux :  Ouvrons. ')",0.72,Substitution
182,"('#choeur-des-nymphes', ""Pour vivre en paix N'aimons jamais"")",,1.0,Insertion
183,"('#choeur-de-silvains #satyres #bergers', 'Aimons sans cesse.')",,1.0,Insertion
184,"('#choeur-des-nymphes', ""N'aimons jamais Pour vivre en paix"")",,1.0,Insertion
185,"('#syrinx', ""Faut-il qu'en vain discours un si beau jour se passe ? Mes compagnes courons dans le fond des forêts. Voyons qui d'entre nous se sert mieux de ses traits Courons à la chasse."")","('#promethee', ""Que faites-vous ? Hélas ! Daignez me croire.  Je crains tout d'un rival : et ces soins curieux  Sont des pièges nouveaux que vous tendent les dieux. "")",0.93,Substitution
186,"('#double-choeurs', 'À la chasse ! Courons à la chasse, à la chasse.')",,1.0,Insertion
187,"('#syrinx', 'Pourquoi me suivre de si près.')",,1.0,Insertion
188,"('#pan', 'Pourquoi fuir qui vous aime ?')","('#pandore', 'Quoi ! Vous pensez... ? ')",1.48,Substitution
189,"('#syrinx', ""Un amant m'embarrasse."")",,1.0,Insertion
190,"('#syrinx #choeurs', 'Courons à la chasse, à la chasse.')",,1.0,Insertion
191,"('#pan', ""Je ne puis vous quitter, mon coeur s'attacher à vous Par des noeuds trop forts et trop deux."")",,1.0,Insertion
192,"('#syrinx', ""Mes compagnes, venez... C'est en vain que j'appelle."")","('#promethee', ""Songez à ma prière,  Songez à l'intérêt de la nature entière,  Et du moins attendez mon retour en ces lieux. "")",0.75,Substitution
193,"('#pan', 'Écoutez, ingrate, écoutez  Un Dieu charmé de vos beautés; Qui vous jure un amour fidèle.')","('#pandore', 'Eh bien ! Vous le voulez : il faut vous satisfaire.  Je soumets ma raison : je ne veux que vous plaire.  Je jure, je promets à mes tendres amours  De vous croire toujours. ')",0.1,Substitution
194,"('#syrinx', ""Je déclare à l'Amour une guerre immortelle."")",,1.0,Insertion
195,"('#troupe-de-bergers', 'Cruelle, arrêtez !')","('#promethee', 'Vous me le promettez ? ')",0.9,Substitution
196,"('#troupe-de-sylvains-et-de-satyres', 'Arrêtez cruelle.')",,1.0,Insertion
197,"('#syrinx', 'On me retient de tous côtés')",,1.0,Insertion
198,"('#troupe-de-sylvains-et-de-satyres', 'Cruelle, arrêtez !')","('#pandore', ""J'en jure par vous-même.  On obéit dès que l'on aime. "")",1.46,Substitution
199,"('#syrinx', ""Dieux, protecteurs de l'innocence,  Naïades, Nymphes des eaux. J'implore ici votre assistance. Syrinx se jette dans les eaux."")",,1.0,Insertion
200,"('#pan', ""Où vous exposez-vous ? Quels prodiges nouveaux La nymphe est changée en roseaux ! Hélas ! hélas ! Quel bruit ! Qu'entends-je ! Ah ! Quelle voix nouvelle ! La Nymphe tâche encor d'exprimer ses regrets. Que son murmure est doux ! Que sa plainte a d'attraits. Ne cessons point de nous plaindre avec elle. Ranimons les restes charmants D'un nymphe qui fut si belle, Elle répond encore à nos gémissements, Ne cessons point de nous plaindre avec elle. Le vent pénètre dans les roseaux, et leur fait former un bruit plaintif. Pan donne des roseaux aux bergers, aux satyres et aux sylvains qui en forment un concert de flûtes."")","('#promethee', ""C'en est assez, je pars, et je suis rassuré.  Nymphes des bois, redoublez votre zèle :  Chantez cet univers détruit et réparé.  Que tout s'embellisse à son gré,  Puisque tout est formé pour elle.  Il sort."")",0.27,Substitution
201,"('#pan', ""Les yeux qui m'ont charmé ne verront plus le jour Était-ce ainsi, cruelle amour, Qu'il fallait te venger d'une beauté rebelle, N'aurait-il pas suffi de t'en rendre vainqueur  Et de voir dans les fers son insensible coeur, Brûler avec le mien d'une ardeur éternelle ? Que tout ressente mes tourments."")","('#une-nymphe', ""Voici le siècle d'or, voici le temps de plaire.  Doux loisir, ciel pur, heureux jours,  Tendres amours,  La nature est votre mère.  Comme elle durez toujours. "")",0.56,Substitution
202,"('#pan #deux-bergers', ""Ranimons les restes charmants D'un nymphe qui fut si belle, Elle répond encore à nos gémissements, Ne cessons point de nous plaindre avec elle. Argus commence à s'assoupir, Mercure déguisé en berger s'approche de lui, et achève de l'endormir en la touchant de son caducée."")","('#une-autre-nymphe', ""La discorde, la triste guerre,  Ne viendront plus nous affliger :  Le bonheur est né sur la terre.  Le malheur était étranger.  Les fleurs commencent à paraître :  Quelle main pourrait les flétrir ?  Les plaisirs s'empressent de naître :  Quels tyrans les feraient périr ? "")",0.86,Substitution
203,"('#pan', 'Que ces roseaux plaintifs soient à jamais aimés.')","('#le-choeur', ""Voici le siècle d'or, voici le temps de plaire.  Doux loisir, ciel pur, heureux jours,  Tendres amours,  La nature est votre mère.  Comme elle durez toujours. "")",0.97,Substitution
204,"('#mercure', ""Il suffit Argus dort, tous ses yeux sont fermés, Allons, que rien ne nous retarde Délivrons la nymphe qu'il garde."")",,1.0,Insertion
