la-fontaine-daphne,la-motte-carnaval-folie,Score
"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",-,0.0
"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")",-,0.0
"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",-,0.0
"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")",-,0.0
"('#minerve', 'Moi, la vertu.')",-,0.0
"('#venus', ""Moi, l'agrément."")",-,0.0
"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")",-,0.0
"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")",-,0.0
"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')",-,0.0
"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")",-,0.0
"('#chloris', 'Viens, ma soeur.')",-,0.0
"('#aminte', 'Je te suis.')",-,0.0
"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")",-,0.0
"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")",-,0.0
"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")",-,0.0
"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")",-,0.0
"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')",-,0.0
"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")",-,0.0
"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')",-,0.0
"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",-,0.0
"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')",-,0.0
"('#daphne', 'Déployons nos trésors.')",-,0.0
"('#chloris', ""J'ai cueilli les plus belles."")",-,0.0
"('#aminte', 'Et moi, les plus nouvelles.')",-,0.0
"('#meroe', 'Moi, les plus vives en couleur.')",-,0.0
"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")",-,0.0
"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")",-,0.0
"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')",-,0.0
"('#clymene', 'Amour,')",-,0.0
"('#daphne', 'Si jamais sous ta loi Je respire,')",-,0.0
"('#clymene', 'Si jamais sous ta loi Je respire,')",-,0.0
"('#daphne', 'Je consens de mourir.')",-,0.0
"('#clymene', ""Mourir ? c'est beaucoup dire."")",-,0.0
"('#daphne', 'Je consens de mourir, si jamais je soupire.')",-,0.0
"('#clymene', 'Je consens de mourir, si jamais je soupire.')",-,0.0
"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')",-,0.0
"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")",-,0.0
"('#daphne', 'Méroé, poursuivez nos divertissements.')",-,0.0
"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")",-,0.0
"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")",-,0.0
"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")",-,0.0
"('#apollon', 'Mais que dis-tu de ma victoire ?')",-,0.0
"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")",-,0.0
"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")",-,0.0
"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")",-,0.0
"('#apollon', 'Et que crains-tu pour moi ?')",-,0.0
"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")",-,0.0
"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",-,0.0
"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')",-,0.0
"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")",-,0.0
"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")",-,0.0
"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")",-,0.0
"('#momus', 'Elle fuit.')",-,0.0
"('#apollon', 'Mille amours avec elle ont paru.')",-,0.0
"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")",-,0.0
"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")",-,0.0
"('#momus', 'Passerons-nous pour dieux ?')",-,0.0
"('#apollon', 'Et pour qui donc passer')",-,0.0
"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")",-,0.0
"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",-,0.0
"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")",-,0.0
"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")",-,0.0
"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")",-,0.0
"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")",-,0.0
"('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")",-,0.0
"('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')",-,0.0
"('#fleuves', 'Commandez.')",-,0.0
"('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")",-,0.0
"('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")",-,0.0
"('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')",-,0.0
"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')",-,0.0
"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",-,0.0
"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")",-,0.0
"('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")",-,0.0
"('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")",-,0.0
"('#daphne', 'Ah, Clymène ! Plains-moi.')",-,0.0
"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')",-,0.0
"('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")",-,0.0
"('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")",-,0.0
"('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")",-,0.0
"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",-,0.0
"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')",-,0.0
"('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")",-,0.0
"('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")",-,0.0
"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")",-,0.0
"('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")",-,0.0
"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")",-,0.0
"('#tharsis', 'Je vous verrai.')",-,0.0
-,"('#jupiter #venus #le-choeur', ""Qu'à nos voeux ici tout réponde ; Versez-nous, versez-nous la céleste liqueur. Versez, que le Nectar enchante notre coeur, Qu'il y porte une paix profonde."")",0.0
-,"('#venus', ""C'en est assez ; goûtons des plaisirs plus parfaits, Et que le tendre Amour à son tour nous inspire. Régnez, Amour, régnez, rassemblez vos attraits; Triomphez, sur nos coeurs étendez votre empire. Mais, qu'à son gré chacun soupire ; Laissez-nous le choix de vos traits."")",0.0
-,"('#choeur', 'Régnez, Amour, régnez, rassemblez vos attraits ; Triomphez, sur nos coeurs étendez votre empire.')",0.0
-,"('#jupiter #venus', ""Mais, qu'à son gré chacun soupire ; Laissez-nous le choix de vos traits."")",0.0
-,"('#momus', 'Ne vous faites point violence : Junon est encor à Samos, Profitez bien de son absence.')",0.0
-,"('#jupiter', ""Téméraire Censeur, laisse-nous en repos. Que l'on chante ici, que l'on danse. Livrons-nous à tous nos désirs ; Sur notre puissance Réglons nos plaisirs. NEPTUNE danse avec THETIS, APOLLON avec DIANE, MARS avec PALLAS, et BACCHUS avec CÉRÉS."")",0.0
-,"('#venus', ""Heureux un coeur que l'Amour blesse. Ah ! Que ses chaînes ont d'appas ! Mettons tous nos plaisirs à lui céder sans cesse : Le pouvoir des Dieux ne vaut pas Une si charmante faiblesse."")",0.0
-,"('#momus', ""Vous ne vous lassez point de plaisirs, ni d'amour; Quand cesserez-vous donc de suivre leur empire !"")",0.0
-,"('#venus', 'Quand vous cesserez de médire.')",0.0
-,"('#momus', 'Ah ! Vous voulez aimer toujours.')",0.0
-,"('#jupiter #venus', ""Que de nos chants tous les Cieux retentissent. Que les Jeux, que les Ris signalent ce beau jour. Chantons Bacchus, chantons l'Amour ; Qu'ils sont charmants quand ils s'unissent ! On danse."")",0.0
-,"('#venus', ""Dieu d'Amour, réserve-nous tes charmes, C'est pour nos coeurs que tes plaisirs sont faits ; Fais-nous sans alarmes Goûter leurs attraits. Doux moments, Doux transports des amants, Ne pouvez-vous naître Qu'après les tourments ? Aimons tous. Tendre Amour, blesse-nous : Qui peut craindre pour maître Un Vainqueur si doux ? Tes biens trop aimables Sont trop peu durables ; Fixe-les pour nous."")",0.0
-,"('#choeur-des-deesses', ""Viens, Amour, avec tous tes charmes, Que les Jeux viennent sur tes pas. Nous aimons tes douces alarmes ; Tes chaînes, tes feux sont remplis d'appas. Prends tes traits, prépare tes armes, Et viens te venger des coeurs qui n'aiment pas. VÉNUS danse avec MARS, et VULCAIN se mêle avec eux pour les observer."")",0.0
-,"('#mercure', ""Quittez, quittez ces Jeux, en faveur de l'Amour : Que de nouveaux soins les suspendent. Dans un moins superbe séjour De plus doux plaisirs vous attendent. J'ai volé, j'ai servi vos feux ; Et mille charmantes mortelles N'aspirent qu'au moment heureux De vous voir soupirer près d'elles."")",0.0
-,"('#momus', ""Suivez, suivez Mercure, abandonnez les Cieux. Livrez-vous aux plaisirs ; qu'en vain la Gloire gronde, L'Amour est un plus digne objet : Aimez ; il est un Roi qui prend le soin du monde ; Jouissez du loisir qu'un mortel vous a fait."")",0.0
-,"('#jupiter', ""De tes ris outrageants c'est trop souffrir l'injure, Cesse, Momus, de troubler nos désirs ; FuiS, va chez les mortels exercer ta censure , Et laisse ici les Dieux maîtres de leurs plaisirs."")",0.0
-,"('#momus', ""Le Destin m'a soumis au Maître du tonnerre, J'obéis à ses lois, et je vous quitte tous ; Mais j'espère bientôt vous revoir sur la terre, Sous des formes dignes de vous."")",0.0
-,"('#le-choeur-des-dieux', 'Allez, Amours, conduisez-nous ; Sous divers changements, trompons les yeux jaloux. Les Amours volent pour conduire les Dieux.')",0.0
-,"('#momus', ""Cessez, Mortels, cessez l'honneur que vous nous faites, Ne perdez plus d'encens pour nous. Vous adorez, insensés que vous êtes, Des Dieux encor plus insensés que vous. Ils n'ont pu soutenir ma censure importune, Ils m'ont chassé de leur séjour ; Cherchons le Carnaval, c'est lui qui dès ce jour Peut réparer mon infortune. Mais il paraît."")",0.0
-,"('#le-carnaval', ""Bacchus, laisse-moi soupirer ; Amour, laisse-moi boire Mon coeur entre vos mains se plaît à se livrer ; Entre vous deux partagez la victoire. De tendresse et de vin je me veux enivrer, L'Amour fait mes plaisirs, et Bacchus fait ma gloire. Bacchus, laisse-moi soupirer ; Amour,laisse moi boire."")",0.0
-,"('#momus', ""Tu vois l'Objet de la haine des Dieux, Dans le Censeur de leurs caprices ; Ils m'ont banni du Ciel, et le Maître des Cieux Veut jouir en paix de ses vices. C'est toi désormais que je sers. Souffre que sur tes pas pour jamais je m'engage ; Et que du Nectar que je perds, Ton vin charmant me dédommage."")",0.0
-,"('#le-carnaval', ""Que mes biens désormais soient communs entre nous, Qu'à jamais l'amitié nous lie. Pour commencer des noeuds si doux, Écoute, c'est à toi que mon coeur se confie. Tu vois ce séjour enchanté : Le Repos règne sur ces rives. L'Abondance y nourrit la molle Volupté. Du rocher que tu vois le paisible Léthé Répand jusqu'aux Enfers ses ondes fugitives. Plutus et la Jeunesse en ce charmant séjour Goûtent un sort exempt de peines : Dès longtemps le fidèle Amour Les a liés de ses plus douces chaînes, Et l'aimable Folie en a reçu le jour."")",0.0
-,"('#momus', 'Quoi ! Quel secret enfin va suivre cette image ?')",0.0
-,"('#le-carnaval', ""Cher Momus, la Folie est l'Objet qui m'engage."")",0.0
-,"('#momus', ""Que votre choix est beau ! Que vos liens sont doux. Vous ne pouviez trouver de Maîtresse plus belle : Elle seule est digne de vous, Et vous seule êtes digne d'elle."")",0.0
-,"('#le-carnaval', ""Tel se moque de mes ardeurs, Qui suit ses lois sans la connaître ; Par des charmes secrets elle enchante les coeurs, Et j'ai mille rivaux qui ne pensent pas l'être."")",0.0
-,"('#momus', ""Malgré tous vos rivaux, l'Amour doit réunir Deux coeurs où le Destin mit tant de ressemblance ; Trop digne de la préférence, Vous êtes sûr de l'obtenir."")",0.0
-,"('#le-carnaval', ""Momus, je suis aimé de l'objet qui me blesse, Et l'Hymen va bientôt par ses aimables noeuds Achever de me rendre heureux, Si j'y fais consentir Plutus et la Jeunesse. Mais ils viennent au bruit de ces concerts charmants. Le temps n'affaiblit point leur flamme : Il semble que l'Amour lance à tous les moments Quelque trait nouveau dans leur âme. On entend une symphonie."")",0.0
-,"('#plutus #la-jeunesse', ""Vous m'aimez, je vous aime, à Que notre sort est doux !"")",0.0
-,"('#plutus', 'Pour vous ma constance est extrême.')",0.0
-,"('#la-jeunesse', ""Je n'aimerai jamais que vous."")",0.0
-,"('#plutus #la-jeunesse', ""Vous m'aimez, je vous aime, Que notre sort est doux ! Non , non, l'Amour lui-même, Ne peut aimer plus tendrement que nous."")",0.0
-,"('#plutus', ""Jeunesse brillante, Tous les plaisirs suivent vos pas ; Sans vous rien ne me contente, r Vous donnez à tout mille appas : Il n'est point dans les Cieux de Déesses si belles. Le charme de la nouveauté Accompagne toujours vos grâces immortelles ; Vous êtes la seule beauté, Qui peut faire des coeurs fidèles."")",0.0
-,"('#la-jeunesse', 'Aimable Dieu, de qui la main dispense Ce qui rend les mortels heureux, Votre vaste puissance Réunit pour vous tous les voeux : En vous cherchant la peine devient chère, On se fait de vous voir le plus charmant plaisir ; Le bonheur même de vous plaire En irrite encor le désir.')",0.0
-,"('#plutus #la-jeunesse', ""Amour, de notre flamme accroît la violence, Vole, viens resserrer nos noeuds ; Pour le prix de notre constance, Nous ne voulons qu'être plus amoureux."")",0.0
-,"('#plutus', ""Que tout vous parle ici de l'ardeur qui m'enchante : Déesse, voyez en ces lieux S'élever à ma voix puissante Un Palais digne de vos yeux. Le Théâtre change, et représente le Palais à Plutus."")",0.0
-,"('#plutus', ""Vous,qui suivez mes pas, servez l'amour extrême Où mon coeur s'est abandonné ; Venez offrir à ce que j'aime Tout ce que le Sort m'a donné. Les suivants de PLUTUS viennent offrir de riches présents à LA JEUNESSE. Ils lui rendent leurs hommages, et la suite de LA JEUNESSE se mêle avec eux."")",0.0
-,"('#la-folie', ""Cessez, Jeux indiscrets, ou manquait la Folie ; Qu'ici tout se taise à ma voix. Je ne veux point souffrir de Fête où l'on m'oublie, Et l'on ne doit ici rire que sous mes lois."")",0.0
-,"('#plutus #la-jeunesse', 'Quoi ! Vous osez....')",0.0
-,"('#la-folie', ""En vain ce discours vous offense. Je dois la vie à votre amour, Mais ne me comptez pas sous votre obéissance ; L'honneur de m'avoir mise au jour Vous paye assez de ma naissance. Abandonnez cette île, ou m'y laissez régner."")",0.0
-,"('#plutus #la-jeunesse', ""Enfin il faut céder à votre violence ; Puisque de vous guérir nous perdons l'espérance, La raison doit nous éloigner."")",0.0
-,"('#la-folie', ""Demeurez, il suffit de votre obéissance. Rappelons les plaisirs que j'avais écartés, Que tout à m'obéir s'apprête ; Ne craignez rien ; loin de troubler la Fête, Je veux vous attendrir par mes chants ; écoutez ; Que votre règne commence ; Revenez, doux Plaisirs ; Plaisirs, revenez tous ; Mais revenez encor plus doux ; Vous languissiez sans moi, brillez par ma présence. On danse."")",0.0
