id,Name,id_similar,Name_similar,Intersection,Distances,Renamings,Alignment Pair frequencies
fre000326,corneillep-cinna,fre000327,corneillep-cinna-43,"[""emilie"", ""fulvie"", ""cinna"", ""evandre"", ""auguste"", ""maxime"", ""euphorbe"", ""polyclete"", ""livie""]",100.88095620274544,"{('cinna1', 'cinna2'), ('evandre1', 'evandre2'), ('maxime1', 'maxime2'), ('livie1', 'livie2'), ('auguste1', 'auguste2'), ('polyclete1', 'polyclete2'), ('fulvie1', 'fulvie2'), ('euphorbe1', 'euphorbe2'), ('emilie2', 'emilie1')}","defaultdict(<class 'int'>, {('emilie1', 'emilie2'): 53, ('fulvie1', 'fulvie2'): 8, ('cinna1', 'cinna2'): 50, ('cinna1', 'emilie2'): 1, ('evandre1', 'evandre2'): 2, ('auguste1', 'auguste2'): 33, ('maxime1', 'maxime2'): 44, ('euphorbe1', 'euphorbe2'): 12, ('polyclete1', 'polyclete2'): 1, ('livie1', 'livie2'): 13})"
fre000334,corneillep-medee,fre000335,corneillep-medee-39,"[""pollux"", ""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon"", ""aegee"", ""theudas""]",88.43778565526009,"{('cleone1', 'cleone2'), ('medee2', 'medee1'), ('pollux1', 'pollux2'), ('jason1', 'jason2'), ('creuse1', 'creuse2'), ('creon1', 'creon2'), ('nerine1', 'nerine2'), ('aegee1', 'aegee2'), ('theudas1', 'theudas2')}","defaultdict(<class 'int'>, {('pollux1', 'pollux2'): 20, ('jason1', 'jason2'): 44, ('creuse1', 'creuse2'): 17, ('cleone1', 'cleone2'): 8, ('medee1', 'medee2'): 56, ('nerine1', 'nerine2'): 21, ('creon1', 'creon2'): 25, ('aegee1', 'aegee2'): 9, ('creuse1', 'aegee2'): 1, ('aegee1', 'medee2'): 1, ('theudas1', 'theudas2'): 5, ('medee1', 'creon2'): 1, ('creon1', 'creuse2'): 3, ('creuse1', 'creon2'): 2})"
fre000334,corneillep-medee,fre000381,corneillet-medee,"[""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon""]",0.9465127885341644,"{('medee1', 'arcas2'), ('pollux1', 'medee2'), ('jason2', 'aegee1')}","defaultdict(<class 'int'>, {('pollux1', 'medee2'): 1, ('creon1', 'jason2'): 1, ('aegee1', 'medee2'): 1, ('aegee1', 'jason2'): 3, ('medee1', 'arcas2'): 2, ('medee1', 'le-choeur-de-corinthiens2'): 1, ('aegee1', 'creon2'): 2, ('medee1', 'oronte2'): 1})"
fre000335,corneillep-medee-39,fre000381,corneillet-medee,"[""jason"", ""creuse"", ""cleone"", ""medee"", ""nerine"", ""creon""]",0.9114996492862701,"{('medee1', 'arcas2'), ('pollux1', 'medee2'), ('jason2', 'aegee1')}","defaultdict(<class 'int'>, {('pollux1', 'medee2'): 1, ('creon1', 'jason2'): 1, ('aegee1', 'medee2'): 1, ('aegee1', 'jason2'): 3, ('medee1', 'arcas2'): 2, ('medee1', 'le-choeur-de-corinthiens2'): 1, ('aegee1', 'creon2'): 2, ('medee1', 'oronte2'): 1})"
fre000336,corneillep-melite,fre000337,corneillep-melite-33,"[""eraste"", ""melite"", ""philandre"", ""cloris"", ""cliton"", ""lanourrice"", ""lisis""]",136.8053766489029,"{('eraste1', 'eraste2'), ('tirsis2', 'tircis1'), ('cliton1', 'cliton2'), ('lisis1', 'lisis2'), ('melite1', 'melite2'), ('philandre1', 'philandre2'), ('la-nourrice1', 'la-nourrice2'), ('cloris1', 'cloris2')}","defaultdict(<class 'int'>, {('eraste1', 'eraste2'): 83, ('tircis1', 'tirsis2'): 104, ('melite1', 'melite2'): 72, ('philandre1', 'philandre2'): 64, ('cloris1', 'cloris2'): 82, ('philandre1', 'cloris2'): 8, ('tircis1', 'philandre2'): 2, ('cloris1', 'philandre2'): 9, ('cloris1', 'tirsis2'): 4, ('philandre1', 'tirsis2'): 6, ('eraste1', 'cliton2'): 5, ('cliton1', 'cliton2'): 21, ('tircis1', 'melite2'): 2, ('la-nourrice1', 'cloris2'): 2, ('melite1', 'philandre2'): 1, ('la-nourrice1', 'la-nourrice2'): 28, ('lisis1', 'lisis2'): 6, ('nourrice1', 'la-nourrice2'): 2, ('cliton1', 'eraste2'): 1, ('la-nourrice1', 'eraste2'): 1, ('cloris1', 'melite2'): 2, ('melite1', 'tirsis2'): 3, ('tircis1', 'cloris2'): 2, ('melite1', 'cloris2'): 1, ('la-nourrice1', 'melite2'): 1, ('la-nourrice1', 'tirsis2'): 2, ('tircis1', 'la-nourrice2'): 2})"
fre000356,corneillep-veuve,fre000357,corneillep-veuve-34,"[""alcidon"", ""philiste"", ""lanourrice"", ""chrysante"", ""doris"", ""geron"", ""clarice"", ""celidan"", ""polymas"", ""doraste"", ""lycas"", ""listor""]",201.79786875098944,"{('alcidon1', 'alcidon2'), ('celidan1', 'celidan2'), ('geron1', 'geron2'), ('philiste2', 'philiste1'), ('clarice1', 'clarice2'), ('polymas1', 'polymas2'), ('doraste1', 'doraste2'), ('lycas1', 'lycas2'), ('chrysante1', 'chrysante2'), ('doris1', 'doris2'), ('la-nourrice1', 'la-nourrice2'), ('listor1', 'listor2')}","defaultdict(<class 'int'>, {('alcidon1', 'alcidon2'): 94, ('philiste1', 'philiste2'): 96, ('philiste1', 'alcidon2'): 2, ('alcidon1', 'la-nourrice2'): 1, ('la-nourrice1', 'la-nourrice2'): 74, ('chrysante1', 'chrysante2'): 56, ('doris1', 'doris2'): 39, ('geron1', 'geron2'): 11, ('clarice1', 'clarice2'): 48, ('philiste1', 'la-nourrice2'): 1, ('alcidon1', 'doris2'): 1, ('celidan1', 'celidan2'): 76, ('celidan1', 'alcidon2'): 3, ('chrysante1', 'lycas2'): 1, ('polymas1', 'polymas2'): 5, ('doraste1', 'doraste2'): 4, ('lycas1', 'lycas2'): 3, ('listor1', 'listor2'): 1, ('la-nourrice1', 'celidan2'): 1, ('philiste1', 'chrysante2'): 1})"
fre000366,corneillet-circe,fre001168,quinault-cadmus-hermione,"[""mars"", ""lamour"", ""tousensemble"", ""melisse"", ""venus"", ""lesoleil"", ""jupiter""]",0.4937859773635864,"{('cadmus2', 'palemon1')}","defaultdict(<class 'int'>, {('palemon1', 'cadmus2'): 1})"
fre000374,corneillet-festin-pierre,fre001003,moliere-dom-juan,"[""sganarelle"", ""gusman"", ""donjuan"", ""charlotte"", ""pierrot"", ""laramee"", ""doncarlos"", ""laviolette"", ""donlouis"", ""monsieurdimanche"", ""lastatue""]",9.43790539354086,"{('sganarelle1', 'sganarelle2'), ('maturine1', 'mathurine2'), ('pierrot1', 'pierrot2'), ('charlotte2', 'charlotte1'), ('don-juan1', 'don-juan2')}","defaultdict(<class 'int'>, {('pierrot1', 'pierrot2'): 38, ('charlotte1', 'charlotte2'): 43, ('don-juan1', 'don-juan2'): 36, ('sganarelle1', 'sganarelle2'): 6, ('sganarelle1', 'charlotte2'): 3, ('charlotte1', 'don-juan2'): 1, ('don-juan1', 'sganarelle2'): 1, ('charlotte1', 'sganarelle2'): 1, ('maturine1', 'mathurine2'): 2})"
fre000374,corneillet-festin-pierre,fre001009,moliere-festin-de-pierre,"[""sganarelle"", ""gusman"", ""donjuan"", ""charlotte"", ""pierrot"", ""laramee"", ""doncarlos"", ""laviolette"", ""donlouis"", ""monsieurdimanche"", ""lastatue""]",9.959123775362968,"{('sganarelle1', 'sganarelle2'), ('maturine1', 'mathurine2'), ('charlotte1', 'charlotte2'), ('pierrot1', 'pierrot2'), ('don-juan2', 'don-juan1'), ('elvire1', 'dona-elvire2')}","defaultdict(<class 'int'>, {('don-juan1', 'don-juan2'): 67, ('sganarelle1', 'sganarelle2'): 33, ('sganarelle1', 'don-juan2'): 4, ('don-juan1', 'sganarelle2'): 3, ('elvire1', 'dona-elvire2'): 9, ('sganarelle1', 'dona-elvire2'): 1, ('charlotte1', 'charlotte2'): 45, ('pierrot1', 'charlotte2'): 1, ('pierrot1', 'pierrot2'): 38, ('sganarelle1', 'charlotte2'): 3, ('charlotte1', 'don-juan2'): 1, ('charlotte1', 'sganarelle2'): 1, ('maturine1', 'mathurine2'): 2})"
fre000378,corneillet-inconnu,fre000457,dancourt-inconnu,"[""thalie"", ""lemarquis"", ""lamontagne"", ""virgine"", ""olimpe"", ""lacomtesse"", ""lamour"", ""lajeunesse"", ""lechevalier"", ""comus"", ""labohemienne"", ""petitbohemien"", ""levicomte"", ""cascaret"", ""lecomedien"", ""alcidon"", ""aminte""]",13.756472542881966,"{('olimpe1', 'olimpe2'), ('la-jeunesse1', 'la-jeunesse2'), ('la-comtesse2', 'la-comtesse1'), ('virgine1', 'virgine2'), ('l-amour2', 'l-amour1')}","defaultdict(<class 'int'>, {('l-amour1', 'l-amour2'): 10, ('la-comtesse1', 'la-comtesse2'): 10, ('virgine1', 'virgine2'): 2, ('olimpe1', 'olimpe2'): 8, ('la-jeunesse1', 'la-jeunesse2'): 9, ('l-amour1', 'la-jeunesse2'): 2, ('la-jeunesse1', 'l-amour2'): 1, ('la-comtesse1', 'un-indien2'): 1})"
