id,Name,id_similar,Name_similar,Intersection,Matching weight,Distances,Renamings,Percent of matches,Average cost of operations
fre000187,boyer-amours-jupiter-semele,fre000819,la-fontaine-daphne,"[""melpomene"", ""thalie"", ""apollon"", ""lamour"", ""jupiter"", ""momus"", ""venus""]",0.039101497504159734,370.14673244953167,"{('jupiter1', 'leucippe2'), ('dimas1', 'un-poete-heroïque2'), ('dirce1', 'clymene2'), ('thalie1', 'minerve2'), ('euterpe1', 'venus2'), ('aurore1', 'aminte2'), ('apollon1', 'amour2'), ('junon1', 'telamon2'), ('semele1', 'daphne2'), ('hymenee1', 'penee2'), ('momus1', 'amphrise2'), ('alcmeon1', 'momus2'), ('un-des-amours1', 'tharsis2'), ('la-reine1', 'le-choeur2'), ('les-heures1', 'choeur2'), ('le-roi1', 'apollon2'), ('melpomene1', 'jupiter2')}",0.012315270935960592,0.9117733990147782
fre000187,boyer-amours-jupiter-semele,fre000536,dufresny-adieux-des-officiers,"[""lamour"", ""jupiter"", ""momus"", ""junon"", ""venus"", ""undesamours""]",0.04124748490945674,368.0195924152026,"{('alcmeon1', 'mars2'), ('jupiter1', 'cupidon2'), ('thalie1', 'le-tambour2'), ('la-reine1', 'junon2'), ('semele1', 'vulcain2'), ('venus1', 'le-laquais2'), ('junon1', 'venus2'), ('momus1', 'momus2'), ('melpomene1', 'l-amour2'), ('dirce1', 'un-amour2'), ('le-roi1', 'jupiter2')}",0.013297872340425532,0.9788829787234045
fre000207,cadet-gassicourt-souper-de-moliere,fre000296,chazet-dubois-moliere-chez-ninon,"[""laforet"", ""tous"", ""moliere"", ""boileau"", ""chapelle"", ""lafontaine""]",0.031407035175879394,447.94136338342327,"{('boileau1', 'racine2'), ('lulli1', 'la-fontaine2'), ('antoine1', 'laforet2'), ('moliere1', 'moliere2'), ('mignard1', 'un-seigneur2'), ('tous1', 'un-valet2'), ('la-fontaine1', 'ninon2'), ('mathurin1', 'corneille2'), ('le-choeur1', 'le-prince2'), ('madelon1', 'saint-alban2'), ('laforet1', 'chapelle2'), ('chapelle1', 'tous2')}",0.009732360097323601,1.0898053527980536
fre000213,campistron-achille,fre000322,corneillep-andromede,"[""mercure"", ""melpomene"", ""lechoeur"", ""jupiter"", ""venus"", ""junon""]",0.05799151343705799,213.87604475021357,"{('polixene1', 'phinee2'), ('arcas1', 'timante2'), ('mercure1', 'melpomene2'), ('achille1', 'persee2'), ('un-berger une-bergere1', 'cephalie2'), ('deux-graces un-plaisir1', 'liriope2'), ('le-choeur1', 'cephee2'), ('deux-troyens1', 'ammon2'), ('priam1', 'eole2'), ('thalie1', 'soleil2'), ('trois-bergers1', 'aglante2'), ('melpomene thalie terpsicore1', 'melpomene soleil2'), ('briseis1', 'cassiope2'), ('agamemnon1', 'le-choeur2'), ('junon1', 'neptune2'), ('diomede1', 'andromede2'), ('une-des-graces1', 'page liriope2'), ('venus1', 'page2'), ('patrocle1', 'venus2')}",0.051094890510948905,0.7807664233576641
fre000213,campistron-achille,fre000819,la-fontaine-daphne,"[""mercure"", ""melpomene"", ""thalie"", ""lechoeur"", ""jupiter"", ""venus"", ""unberger""]",0.06596701649175413,251.21301739866075,"{('priam1', 'le-mechant-poete2'), ('une-des-graces1', 'sperchee2'), ('mercure1', 'minerve2'), ('priam achille polixene1', 'un-poete-heroïque2'), ('melpomene thalie terpsicore1', 'amour2'), ('deux-graces un-plaisir1', 'apidame2'), ('briseis1', 'penee2'), ('achille polixene1', 'thalie2'), ('jupiter1', 'aminte2'), ('capitaines-grecs1', 'deux-bergers2'), ('achille1', 'apollon2'), ('terpsicore1', 'venus2'), ('priam andromaque polixene1', 'telamon2'), ('patrocle1', 'clymene2'), ('un-plaisir1', 'amphrise2'), ('junon1', 'ismele2'), ('melpomene1', 'jupiter2'), ('un-grec deux-troyennes1', 'un-poete-satirique2'), ('thalie1', 'promethee2'), ('un-grec1', 'daphnis2'), ('agamemnon1', 'daphne2'), ('le-choeur1', 'momus2'), ('diomede1', 'tharsis2'), ('arcas1', 'le-sacrificateur2'), ('andromaque1', 'leucippe2'), ('polixene1', 'le-choeur2')}",0.0071174377224199285,0.8939857651245551
fre000213,campistron-achille,fre001176,quinault-isis,"[""mercure"", ""melpomene"", ""thalie"", ""lechoeur"", ""jupiter"", ""junon""]",0.05282112845138055,266.93708779595124,"{('polixene1', 'pan2'), ('un-berger une-bergere1', 'choeur-de-silvains satyres bergers2'), ('priam andromaque polixene1', 'iris2'), ('briseis1', 'hierax2'), ('priam1', 'mercure2'), ('thalie1', 'calliope thalie apollon2'), ('patrocle1', 'pirante2'), ('arcas1', 'jupiter junon2'), ('achille polixene1', 'junon2'), ('diomede1', 'jupiter2'), ('jupiter1', 'apollon2'), ('choeur-de-genies1', 'calliope2'), ('une-troyenne1', 'la-furie2'), ('melpomene thalie terpsicore1', 'le-choeur2'), ('melpomene1', 'deux-tritons2'), ('mercure1', 'thalie2'), ('agamemnon1', 'deux-nymphes2'), ('trois-bergers1', 'choeur-des-nymphes2'), ('andromaque1', 'mercure iris2'), ('deux-graces un-plaisir1', 'isis2'), ('junon1', 'deux-bergers2'), ('melpomeme terpsicore1', 'neptune2'), ('achille1', 'io2'), ('un-troyen1', 'second-conducteur-chabyles2'), ('le-choeur1', 'choeur-des-peuples2'), ('priam achille polixene1', 'l-incendie2'), ('terpsicore1', 'la-renommee2'), ('une-des-graces1', 'choeur-des-divinites2')}",0.010101010101010102,0.8986531986531986
fre000243,carmontelle-condamnez-sans-entendre,fre000274,carmontelle-statue,"[""lemarquis"", ""lebaron"", ""lacomtesse"", ""mademoiselledericheviere"", ""lechevalier"", ""lelaquais""]",1.0,1.0,"{('mademoiselle-de-richeviere1', 'mademoiselle-de-richeviere2'), ('le-marquis1', 'le-marquis2'), ('le-baron1', 'le-baron2'), ('la-comtesse1', 'la-comtesse2'), ('le-laquais1', 'le-laquais2'), ('le-chevalier1', 'le-chevalier2')}",0.9942196531791907,0.005780346820809248
fre000287,chabanon-toison-d-or,fre001258,rousseaujb-jason,"[""medee"", ""jason"", ""orphee"", ""choeur"", ""lamour"", ""venus""]",0.05172413793103448,174.2728502316908,"{('medee1', 'medee2'), ('aetes1', 'la-paix2'), ('choeur1', 'le-roi2'), ('medee aetes jason1', 'orphee2'), ('jason1', 'jason2'), ('medee jason1', 'hypsipile jason orphee2'), ('l-amour1', 'le-choeur2'), ('idamas1', 'combattants2')}",0.03015075376884422,0.8754773869346735
fre000301,chevalier-amours-de-calotin,fre001778,palaprat-le-muet,"[""lemarquis"", ""lebaron"", ""lechevalier"", ""lelaquais"", ""lacomtesse"", ""lisette""]",0.028392330383480827,1146.6268868121228,"{('clarimond1', 'zaïde2'), ('julie1', 'timante2'), ('ragotin1', 'la-comtesse2'), ('rosette1', 'marine2'), ('boniface1', 'le-laquais2'), ('le-marquis1', 'simon2'), ('le-chevalier1', 'le-chevalier2'), ('le-baron-de-la-crasse1', 'gusman2'), ('le-baron1', 'frontin2'), ('climene1', 'le-capitaine2'), ('tersandre1', 'le-baron2'), ('guillot1', 'le-marquis2')}",0.00272975432211101,1.0433303002729752
fre000301,chevalier-amours-de-calotin,fre000302,chevalier-barbons-amoureux,"[""ragotin"", ""guillot"", ""lisette"", ""beatrix"", ""policarpe"", ""boniface""]",0.027858386535113175,498.5081422870811,"{('le-baron1', 'policarpe2'), ('le-marquis1', 'clidamant2'), ('ragotin1', 'guillot2'), ('climene1', 'ragotin2'), ('le-chevalier1', 'boniface2'), ('julie1', 'polixene2'), ('guillot1', 'aminte2'), ('clarimond1', 'beatrix2'), ('tersandre1', 'lucidor2')}",0.00641025641025641,1.0652350427350428
