piis-cassandre-astrologue,anseaume-tableau-parlant,Score
"('#colombine', ""Grands Dieux, c'est Monsieur Cassandre... Craignons son courroux ; Ne nous laissons pas surprendre ; Moi par là, je vais descendre, Vous, renfermez-vous... AIR : Voici les Dragons."")",-,0.0
"('#cassandre', 'Eh ! Quoi, pendant une heure entière, Chez moi je frappe vainement. AIR : De la Catacoua.')",-,0.0
"('#pierrot', ""J'étais là-haut sur la gouttière, À contempler le firmament."")",-,0.0
"('#cassandre', 'Ouvre donc, pour me satisfaire, Ces lieux où je soupçonne un amant.')",-,0.0
"('#pierrot', ""Plaît-il ? Comment ! La peur me prend ! Depuis que j'ai l'honneur d'être un savant, Ce qui se passe sur la terre, Ne m'intéresse aucunement."")",-,0.0
"('#cassandre', ""Il a raison, sur ma foi ; Ta frayeur m'éclaire, Et la prudence est, je crois, Ici nécessaire : Décampe vite en secret ; Et pour pincer ce muguet, Joins un Commissaire Au guet , Joins un Commissaire. AIR : J'aime mieux ma mie."")",-,0.0
"('#pierrot', ""Comme à l'intelligence  Je joins la diligence,  Demeurez-là toujours, Vous aurez du secours. AIR : De la romance de Titon. Pierrot sort, et Cassandre, sa petite épée à la main, se promène à grands pas dans le vestibule du salon."")",-,0.0
"('#leandre', ""Si j'en croyais mon courage, D'un grand coup dans le visage Je lui ferais voir, je gage, Mainte étoile en plein midi. AIR : Des Trembleurs."")",-,0.0
"('#isabelle', ""Mon ami, point de tapage : Songez qu'une fille sage A besoin qu'on la ménage ; Ne faites point l'étourdi."")",-,0.0
"('#leandre', ""Si jamais nous nous en tirons, Et que Cassandre aux environs, Aille encore lorgner sur la brune Ces planètes dont il est fou, N'oublions pas de faire un trou À la lune. AIR : Comment faire ?"")",-,0.0
"('#isabelle', ""Croyez-vous qu'une fille, Une fille d'honneur , Puisse ainsi quitter son tuteur ? AIR : Il était une fille."")",-,0.0
"('#cassandre', ""C'est fait de moi... je grille : Mais enfin, Dieu merci,  Je crois que les voici."")",-,0.0
"('#pierrot', 'Oui.')",-,0.0
"('#cassandre', ""Morbleu ! Monsieur le Commissaire, Seul ici vous ne ferez rien : Votre présence est nécessaire ; Mais un peu d'aide eût fait grand bien AIR : Tout roule aujourd'hui dans le monde."")",-,0.0
"('#pierrot', 'Monsieur, pour faire sa capture, A placé là-bas ses recors.')",-,0.0
"('#colombine', ""Soyez tranquille ; je vous jure Qu'on vous en répond corps pour corps. Je pense qu'en effet, Il faut établir avant tout, le forfait ; Ce préliminaire étant fait, Nous prendrons après le quidam sur le fait. Est-ce un voleur tenté par quelqu'effet ? AIR : Jupin dès le matin."")",-,0.0
"('#cassandre', ""Et non, morbleu, je vais vous mettre au fait ; C'est un galant apparemment bien fait, Qu'incognito ma pupille aura fait. J'ai trouvé ce billet, Qu'elle avait fait ; C'était un préjugé de leur méfait ; Mais dans ce cabinet, J'en ai le témoignage parfait."")",-,0.0
"('#colombine', ""Faites l'arrière-garde, Sans vous avancer. D'ouvrir pour peu qu'on tarde, Je vais enfoncer. AIR : C'est Suson la camarde. Elle entre dans le cabinet."")",-,0.0
"('#pierrot', 'Mais, Monsieur, mais prenez donc garde, On peut vous percer.')",-,0.0
"('#cassandre', 'Approchons donc à petits pas ? AIR : Je te casserai la gueule et la mâchoire.')",-,0.0
"('#pierrot', ""Et non, Monsieur, n'approchons pas ; Craignez-vous qu'il ne se dérobe ?"")",-,0.0
"('#cassandre', ""Ton homme a l'air d'être indulgent ; Et je crains qu'en ce cas urgent, En donnant De l'argent, On ne s'accommode Avec sa robe. Pendant ce Couplet, Colombine passe sa robe dans les bras de Léandre, et Isabelle l'aide."")",-,0.0
"('#leandre', 'Parbleu, ce ne sont que deux femmes ; Ouvrez les yeux, si vous en doutez. AIR : Vaudeville des femmes vengées.')",-,0.0
"('#colombine #isabelle', 'Ah ! Fi, quels procédés infâmes ! Par où les avons-nous mérités ?')",-,0.0
"('#leandre', ""La jalousie et le caprice Ont bien pu vous rendre aveugle : mais Avant d'appeler la Justice, Il y faut regarder de près."")",-,0.0
"('#cassandre', 'Je ne reviens pas de cela ; Mais le billet que je tiens là, Voyons, que veut-il dire ? AIR : Des billets doux.')",-,0.0
"('#colombine', ""Ne s'adresse-t-il pas à moi ? Pour mettre fin à votre effroi, Daignez donc le relire."")",-,0.0
"('#cassandre', ""Mon Tuteur s'absente aujourd'hui, Venez, pour calmer mon ennui... AIR : Vous m'entendez bien."")",-,0.0
"('#isabelle', ""C'est tout ce que ma lettre Contient :"")",-,0.0
"('#colombine', ""Avec j'ai l'honneur d'être, Vous m'entendez bien."")",-,0.0
"('#cassandre', 'Mais pourquoi forcer cette porte, Et fuir ainsi devant votre Tuteur ? AIR : Tout au beau milieu des Ardennes.')",-,0.0
"('#isabelle', ""Vous avez frappé d'une sorte, Nous avons cru que c'était un voleur. Dans la frayeur Qui serra notre coeur, Nous fîmes ce malheur ; Encore même en-dedans avions-nous peur."")",-,0.0
"('#colombine', ""Ma voisine, je suis fâchée De ce tracas, Car je vous suis fort attachée ; Mais en tout cas Vous devez à présent, bonhomme, Baiser ses pas : Et vous, plaignez un Astronome Qui n'y voit pas. AIR : Quoi, ma voisine, es-tu fâchée ? À Cassandre. À Isabelle."")",-,0.0
"('#cassandre', 'Je veux devant vous, À deux genoux, Demander grâce, Et de mon soupçon Attendre la punition. AIR : De la Confession.')",-,0.0
"('#isabelle', 'Levez-vous ; cette fois je le passe, Mais plus de menace.')",-,0.0
"('#cassandre', ""Oui, plus de transport, Car je me mets à votre place : C'est pis qu'une mort, D'être grondé sans avoir tort. Pour sceller ma paix Au fond je voudrais Conclure notre hyménée ;  Mais fais-moi quartier Pour Décembre entier, Jusqu'à la nouvelle année. Matthieu Lansberg, dont ma mémoire s'orne, Et dont la vogue est à Liège sans borne, Dit qu'il n'est pas sain de se marier Au signe du Capricorne. AIR : Nous nous marierons Dimanche."")",-,0.0
"('#isabelle', ""Votre raison sans doute, A quelque fondement ; Mais loin que je la goûte,  J'en pleure amèrement ; Car plus je vous écoute, Et plus en ce moment Je sens ce qu'il en coûte D'attendre son Amant. Mais comme à la science J'ai livré mon esprit, Dans mon impatience L'avenir me sourit ; De vos talents insignes Je tiens l'art d'observer Et je lis dans les Signes Ce qui doit arriver. AIR : De mon Berger volage. Pierrot paraît dans le fond de la scène, et fait signe à Isabelle que Léandre va venir. Second couplet."")",-,0.0
"('#pierrot', ""Certain bossu qui voudrait vous connaître, Demande, mon maître, S'il pourrait avoir Le bonheur de vous voir. AIR : Un Cordelier d'une riche encolure."")",-,0.0
"('#cassandre', 'Certain bossu ! Fais vite entrer, pécore.')",-,0.0
"('#pierrot', 'Il est borgne encore.')",-,0.0
"('#cassandre', ""Ah ! C'est mon destin Qui me l'amène enfin."")",-,0.0
"('#leandre', ""Votre serviteur ; AIR : Moi de même, (de l'Amoureux de quinze ans.)"")",-,0.0
"('#cassandre', 'Moi de même ;')",-,0.0
"('#leandre', 'Moi de même ;')",-,0.0
"('#isabelle', 'Moi de même.')",-,0.0
"('#leandre', ""J'éprouve une joie extrême ;"")",-,0.0
"('#cassandre', 'Moi de même ;')",-,0.0
"('#isabelle', 'Moi de même.')",-,0.0
"('#leandre', ""Quel bonheur C'est de voir ce qu'on aime ! C'est de tout mon coeur ;"")",-,0.0
"('#cassandre #isabelle', 'Moi de même.')",-,0.0
"('#leandre', ""Un instinct secret M'y portait ;"")",-,0.0
"('#cassandre', 'Moi de même.')",-,0.0
"('#leandre', 'Je prends à vous grand intérêt ;')",-,0.0
"('#cassandre', 'Moi de même.')",-,0.0
"('#leandre', 'Je suis enchanté;')",-,0.0
"('#cassandre', 'Et moi de même ;')",-,0.0
"('#leandre', 'Je suis transporté ;')",-,0.0
"('#cassandre', 'Et moi de même ;')",-,0.0
"('#leandre', ""Que j'ai de plaisir ;"")",-,0.0
"('#cassandre', 'Moi de même ;')",-,0.0
"('#leandre', 'De nous réunir ;')",-,0.0
"('#cassandre #isabelle', 'Moi de même.')",-,0.0
"('#leandre', ""Je viens pour vous consulter, Comme un fameux astrologue. AIR : J'aime une ingrate Beauté."")",-,0.0
"('#cassandre', ""Vraiment, sans trop me vanter, J'ai toujours eu de la vogue ; Mais avant d'agiter Le point qui nous rassemble, Il faut sans hésiter, Que nous dînions ensemble."")",-,0.0
"('#pierrot', 'Monsieur, je vais mettre la table. AIR : Nous quitterons-nous sans boire ?')",-,0.0
"('#leandre', ""J'accepte votre offre agréable ; Car ici petit à petit, Je sens croître mon appétit. Mais à propos, est-il vrai qu'on annonce Une éclipse en ce mois ? AIR : Je suis Carmélite, moi."")",-,0.0
"('#cassandre', ""Assurément, Monsieur, et je prononce Que c'est pour le vingt-trois ; Mais elle n'est, ma foi , Qu'orientale."")",-,0.0
"('#pierrot', 'Je la crois totale, Moi, Je la crois totale.')",-,0.0
"('#leandre', 'Votre Valet est un compère. AIR : Vantez vous-en.')",-,0.0
"('#cassandre', 'Mais, vraiment il connaît la sphère. Bientôt il sera dans le cas De composer des Almanachs.')",-,0.0
"('#pierrot', ""Oh ! ne vous embarrassez pas, Car si je me mêlois d'en faire, On n'y verrait que du beau temps, Vantez vous-en."")",-,0.0
"('#cassandre', 'Pierrot, sers-nous, de grâce, Diligemment. AIR : O gué lan la, lanlaire.')",-,0.0
"('#pierrot', 'Monsieur, je me surpasse En mouvement ; Mais placez-vous en attendant.')",-,0.0
-,"('#isabelle', ""Je suis jeune, je suis fille ; On me trouve allez gentille ;  Je possède quelque bien, On me courtise, on me vante. Je devrais être contente : Mais, hélas ! Il n'en est rien. En secret mon coeur soupire : J'entends bien ce qu'il veut dire ;  Mais je n'en fais pas semblant. La maudite bienséance M'impose un cruel silence. Quelle gêne ; quel tourment ! Je suis jeune, etc. Sans contredit je suis dans l'âge Où l'on porte aisément le joug du mariage ;  J'en ai tout_à_la_fois et désir et besoin. Mais depuis que Monsieur Léandre, Le seul homme pour qui j'ai pu devenir rendre  Est parti, pour aller je ne sais où... bien loin ;  Un funeste trépas me ravit père et mère. Le vieux Cassandre mon Tuteur, Malgré ses cheveux gris, entreprend de me plaire Et prétend m'engager dans un hymen trompeur.  Pour sortir d'embarras, je ne fais comment faire. Il faut pourtant prendre un parti. Mais Colombine, ma suivante Est une fille intelligente. Il faut la consulter... Jugement, la voici. ARIETTE."")",0.0
-,"('#colombine', ""Il nous faut au village Un mari jeune et dodu. À cela près, femme sage Fragment d'une Ariette de la Veuve indécise."")",0.0
-,"('#isabelle', ""Prend le premier venu.  De grâce, modérez ces transports d'allégresse ;  Vous voyez que votre maîtresse À la tristesse dans la coeur ;  Respectez du moins sa douleur."")",0.0
-,"('#colombine', 'Est-ce ma faute si vous soupirez sans cesse ? Que ne faites-vous comme moi ? Je ris toujours, je chante, je badine... Elle chante.')",0.0
-,"('#isabelle', ""Encore ! En vérité ; ma chère Colombine,  Dans l'état ou je suis, j'attendais mieux de toi. "")",0.0
-,"('#colombine', ""Eh bien ! Qu'est-ce qui vous chagrine ?"")",0.0
-,"('#isabelle', ""Je t'ai confié mes secrets. Dans mon coeur comme moi tu sais ce qui se passe.  Tu sais pour qui l'amour me fait sentir ses traits  Conseille-moi, voyons. Que faut-il que je fasse ?"")",0.0
-,"('#colombine', ""Restez. Courez. Prenez. C'est tout ce que je vois."")",0.0
-,"('#isabelle', 'Explique-toi. Restez...')",0.0
-,"('#colombine', 'Restez fille. ')",0.0
-,"('#isabelle', ""Qui ? Moi ! Je te le dis en confidence, Mais, mon enfant, cela n'est pas en ma puissance."")",0.0
-,"('#colombine', ""Courez les champs. Allez par voie et par chemin Chercher votre amoureux. Peut-être qu'à la fin. "")",0.0
-,"('#isabelle', ""Colombine, je suis une fille bien née ; Malgré mon inclination  Je me souviens toujours de l'éducation Que mes chers parents m'ont donnée."")",0.0
-,"('#colombine', 'Prenez Cassandre pour époux.')",0.0
-,"('#isabelle', 'Il est bien vieux.')",0.0
-,"('#colombine', ""Mais entre nous, Vous n'avez rien de mieux à faire ;  Il est riche, il pourrait... "")",0.0
-,"('#isabelle', 'Ma chère, Il est bien vieux. ')",0.0
-,"('#colombine', ""Nous y voilà. On a tout dit quand on a dit cela. Faut-il donc pour si peu lui faire une querelle ? Allez, allez, Mademoiselle.  Il est certains barbons Qui sont encore très bons. Il n'ont pas le caquet D'un jeune freluquet ; Ils n'en ont pas les mines, Les grâces enfantines ; Ils ont je ne fais quoi, Qui vaut mieux, selon moi. Et ne vaut-il pas mieux Être Dame et Maîtresse, Et commander sans cesse, Avec un mari vieux, Que de se voir l'esclave D'un pimpant qui vous brave,  Qui promène en tous lieux Sa tendresse et ses voeux, Tandis que sa moitié Pleure et sèche sur pied. Il est certains barbons Qui sont encore très bons. Ariette."")",0.0
-,"('#isabelle', ""Mais ce je ne fais quoi, du moins il faut l'avoir, Et... regarde Monsieur Cassandre Et dis-moi si on peut s'attendre..."")",0.0
-,"('#colombine', 'Patience donc, il faut voir. ')",0.0
-,"('#isabelle', 'Tiens, voilà son portrait, considère examine, Peux-tu penser que cette mine... ')",0.0
-,"('#colombine', 'Oui, le voilà...')",0.0
-,"('#isabelle', ""Prends garde ; il est encore tout frais. Demain, pour le finir, le Peintre vient exprès. Jusques-là, le bon homme a demandé par grâce, Que l'on n'y touche point, et qu'on le laisse en place."")",0.0
-,"('#colombine', ""Il a raison, c'est un chef-d'oeuvre sur ma foi."")",0.0
-,"('#isabelle', ""Tu badines toujours. Mais, parlons vrai, dis-moi ; Supposons, c'est toi qu'on marie ; L'original dont voilà la copie, Serait-il à tes yeux un objet bien tentant ? "")",0.0
-,"('#colombine', ""Oh bien ! Tentant, c'est autre chose. C'est un époux qui se propose. Il faudrait l'aimer, mais.... je n'exige pas tant. Sachez feindre, il sera content. "")",0.0
-,"('#isabelle', ""Je le sais, puisqu'enfin c'est un point nécessaire ; Depuis quelques jours moins sévère, J'écoute ses propos galants, Et j'affecte pour lui de plus doux sentiments."")",0.0
-,"('#colombine', 'Pas encore assez bien.')",0.0
-,"('#isabelle', ""C'est que l'on a beau faire ; Quand naturellement on a le coeur sincère, Et qu'il faut en venir à cette extrémité..."")",0.0
-,"('#colombine', 'Je vous plains bien en vérité.')",0.0
-,"('#isabelle', ""Mais je ne suis point à mon aise. Déjà tout occupé du bonheur qu'il attend, Le bonhomme devient plus vif et plus ardent. Si tu savais combien cela me pèse, Combien je prends sur moi, dans de certains instants, Pour résister à mon impatience, Quand il vient me conter d'un air de complaisance, Tout le fade jargon des amours du vieux temps. Tiens, ma Reine, je soupire ; Vois l'excès de mon amour. Si tu ne veux que j'expire, Sois donc sensible à ton tour. Quelquefois d'un pas incertain, Et d'un allure chancelante,  Il m'aborde, il me prend la main, Que par pitié je lui présente ; Alors ce sont des transports, Des transports à faire rire : Il fait les plus grands efforts, Pour me prouver son martyre; Tiens, ma Reine, etc.  ARIETTE."")",0.0
-,"('#colombine', 'Eh !... Que lui dites-vous ? ')",0.0
-,"('#isabelle', ""Je demeure interdite,  Je veux répondre et je ne puis. Il croit qu'amour pour lui m'agite,  Quand je succombe à mes ennuis."")",0.0
-,"('#colombine', ""À tout cela, je n'ai qu'un mot à dire. C'est l'arrêt du destin, c'est à vous d'y souscrire. Quand on n'a pas le choix... Le voici. Taisons-nous. "")",0.0
-,"('#isabelle', 'Qui donc ?...')",0.0
-,"('#colombine', 'Votre futur époux, Qui vient vous rendre son hommage. ')",0.0
-,"('#isabelle', ""Monsieur Cassandre ! Ô Ciel ! L'ennuyeux personnage !"")",0.0
-,"('#colombine', 'Songez à suivre ma leçon.')",0.0
-,"('#cassandre', 'Bonjour ma charmante Isabelle ! Comment vous portez-vous ?')",0.0
-,"('#colombine', 'Fort bien. Répondez donc.')",0.0
-,"('#cassandre', ""Colombine... Vois qu'elle est belle ! Ses beaux yeux dans mon coeur, font naître le plaisir Et rien qu'en la voyant, je me sens rajeunir... Mais elle ne dit rien ! Qu'avez-vous donc ? Qu'a-t-elle ! À Isabelle. À Colombine."")",0.0
-,"('#colombine', ""Beaucoup d'amour pour vous, Monsieur, certainement."")",0.0
-,"('#cassandre', 'Quoi ! Tout de bon !')",0.0
-,"('#isabelle', 'Comme elle ment ?')",0.0
-,"('#cassandre', 'Mais certainement tu me charmes. Et toi confirme moi ce gracieux aveu, Si tu veux sans retour dissiper mes alarmes. À Isabelle.')",0.0
-,"('#isabelle', 'Colombine exagère un peu.')",0.0
-,"('#colombine', ""Pures façons.. la modestie... Vous savez ce que c'est, Monsieur, et quels combats Éprouve dans son coeur une fille attendrie, Qui voudrait s'exprimer et qui ne l'ose pas. "")",0.0
-,"('#cassandre', ""Mais à la fin. Il vient un temps où l'honneur même L'oblige à confesser qu'elle aime, Et ce temps va bientôt venir. Tel que le loup pressé qu'une faim dévorante, L'hymen guette déjà la brebis innocente. Et sous sa dent cruelle est prêt à la saisir... Tu ris... tu ne crains pas ce loup-là..."")",0.0
-,"('#colombine', ""Je vous jure Qu'il ne lui fera point de mal. "")",0.0
-,"('#cassandre', ""Non je t'assure. Ainsi nous voilà donc d'accord. Tu consens de t'unir à moi par mariage ?"")",0.0
-,"('#isabelle', 'Tout comme vous voudrez.')",0.0
-,"('#colombine', 'Eh bien ! Avais-je tort ? Appuyez encore davantage. À Isabelle.')",0.0
-,"('#cassandre', ""Cet aveu charmant Répand dans mon âme Une vive flamme, Un feu ravissant. L'enfant de Cythère, Vois-tu bien, ma chère ; L'enfant de Cythère Veut être caressé : La moindre contrainte Lui porte une atteinte, Dont il est offensé : Mais il prend l'essor Dès qu'il se voit maître. Je le sens au transport Qu'en moi tu fais naître. Cet aveu charmant Répand dans mon âme, etc. Ariette."")",0.0
-,"('#colombine', 'Faites-lui donc quelque caresse,  À ce petit enfant.')",0.0
-,"('#cassandre', 'Hom ! hom ! La bonne pièce ! Ah ! Ça, tout est dit là-dessus. ')",0.0
-,"('#colombine', ""C'est de bon coeur, je vous assure."")",0.0
-,"('#cassandre', ""Plus j'en vois, plus je veux poursuivre l'aventure Et les projets que j'ai conçus.  Je vais vous causer de la peine, Et j'en suis affligé tout le premier. Haut."")",0.0
-,"('#colombine', 'Comment !')",0.0
-,"('#cassandre', 'Il faut pour la ville prochaine, Que je parte dans le moment.')",0.0
-,"('#isabelle', ""À l'heure même ?"")",0.0
-,"('#cassandre', ""Dans l'instant. C'est pour une pressante affaire. Tous les notables du pays Y sont mandés pour donner leur avis. Vous voyez bien..."")",0.0
-,"('#colombine', 'Oui, oui. ')",0.0
-,"('#cassandre', ""Que j'y suis nécessaire, J'ai toujours différé ; mais enfin, l'on m'attend ; Et je ne puis faire autrement. "")",0.0
-,"('#colombine', ""À la veille d'un mariage Vous allez vous mettre en voyage !"")",0.0
-,"('#cassandre', ""Dans trois jours au plus tard je serai de retour, Pour ne plus m'occuper que de mon seul amour. Dans nos adieux du moins une chose me flatte, C'est que votre tendresse éclate."")",0.0
-,"('#colombine', 'Vous nous jouez un vilain tour. Allons donc vous. Quelque douce parole. Vous êtes là comme une idole.  À Isabelle.')",0.0
