moissy-gourmandes,moissy-poupee,Score
"('#josephine', ""Non, mon Papa a défendu qu'on ouvre le buffet, quand vous n'y êtes pas, ma Mie."")","('#josephine', ""Non, mon Papa a défendu qu'on ouvre le buffet, quand vous n'y êtes pas, ma Mie."")",0.9999999403953552
"('#fanchette', ""Allons, je m'en vais vous en donner, attendez un moment. Elle entend le bruit du chat dans le buffet.  Mais, qu'est-ce que j'entends donc là, dans ce buffet ?"")","('#fanchette', ""Allons, je m'en vais vous en donner, attendez un moment. Elle entend le bruit du chat dans le buffet.  Mais, qu'est-ce que j'entends donc là, dans ce buffet ?"")",0.9999998211860657
"('#caroline', 'Dame, nous ne savons pas.')","('#caroline', 'Dame, nous ne savons pas.')",1.000000238418579
"('#dulac', ""C'est le chat qui est enfermé dans le buffet, je gage."")","('#dulac', ""C'est le chat qui est enfermé dans le buffet, je gage."")",1.0000001192092896
"('#josephine', 'Peut-être bien : oh !  Cela serait drôle.')","('#josephine', 'Peut-être bien : oh !  Cela serait drôle.')",1.0
"('#fanchette', ""Peste soit du chat, il m'a fait peur."")","('#fanchette', ""Peste soit du chat, il m'a fait peur."")",1.000000238418579
"('#dulac', 'Ma Mie, il a cassé le pot de confitures ; bon, il a mangé le reste de la tourte de diner.')","('#dulac', 'Ma Mie, il a cassé le pot de confitures ; bon, il a mangé le reste de la tourte de diner.')",1.000000238418579
"('#caroline', ""Ah !  Le vilain chat, il faut le battre ; attendez, je m'en vais tâcher de l' attraper."")","('#caroline', ""Ah !  Le vilain chat, il faut le battre ; attendez, je m'en vais tâcher de l' attraper."")",0.9999998807907104
"('#fanchette', ""Mais, comment se fait-il que ce chat s'est trouvé enfermé dans le buffet, Mesdemoiselles ?"")","('#fanchette', ""Mais, comment se fait-il que ce chat s'est trouvé enfermé dans le buffet, Mesdemoiselles ?"")",1.0
"('#josephine', ""Ma Bonne, ce n'est pas notre faute, c'est vous, peut être, avant de vous en aller..."")","('#josephine', ""Ma Bonne, ce n'est pas notre faute, c'est vous, peut être, avant de vous en aller..."")",1.0
"('#caroline', 'Vous étiez bien pressée, ma Bonne, et vous aurez enfermé ce maudit chat, sans y prendre garde : il se fourre partout.')","('#caroline', 'Vous étiez bien pressée, ma Bonne, et vous aurez enfermé ce maudit chat, sans y prendre garde : il se fourre partout.')",1.0
"('#fanchette', 'Mesdemoiselles, il y a quelque chose là dessous ; regardez moi.')","('#fanchette', 'Mesdemoiselles, il y a quelque chose là dessous ; regardez moi.')",0.9999997615814209
"('#josephine', ""Eh bien ! Ma bonne, n'allez-vous pas croire que c'est nous à présent."")","('#josephine', ""Eh bien ! Ma bonne, n'allez-vous pas croire que c'est nous à présent."")",1.0000001192092896
"('#fanchette', ""Oui, c'est quelque nouveau tour de votre façon, car vous êtes si gourmandes !"")","('#fanchette', ""Oui, c'est quelque nouveau tour de votre façon, car vous êtes si gourmandes !"")",1.000000238418579
"('#caroline', 'Ah !  Ma Bonne, je vous assure...  Demandez plutôt à mon frère.')","('#caroline', 'Ah !  Ma Bonne, je vous assure...  Demandez plutôt à mon frère.')",1.0
"('#fanchette', 'Oui, demandez à mon camarade, qui est aussi malin que moi.')","('#fanchette', 'Oui, demandez à mon camarade, qui est aussi malin que moi.')",1.0000001192092896
"('#monsieur-dulac', ""Mais, qu'est-ce donc que ce train là ?"")","('#monsieur-dulac', ""Mais, qu'est-ce donc que ce train là ?"")",1.0000001192092896
"('#dulac', ""Ce n'est rien, mon Papa ; c'est le chat qui était enfermé dans le buffet, qui a mangé le reste de la tourte et des confitures, et qui a cassé le pot."")","('#dulac', ""Ce n'est rien, mon Papa ; c'est le chat qui était enfermé dans le buffet, qui a mangé le reste de la tourte et des confitures, et qui a cassé le pot."")",1.0000004768371582
"('#fanchette', ""C'est ce que Monsieur et ces Demoiselles veulent me faire croire ; ils ont tout mangé apparemment, et ont tâché de tout mettre sur le compte du pauvre chat, qu'ils ont enfermé dans le buffet."")","('#fanchette', ""C'est ce que Monsieur et ces Demoiselles veulent me faire croire ; ils ont tout mangé apparemment, et ont tâché de tout mettre sur le compte du pauvre chat, qu'ils ont enfermé dans le buffet."")",1.0000001192092896
"('#monsieur-dulac', ""C'est-il vrai, Mesdemoiselles ?"")","('#monsieur-dulac', ""C'est-il vrai, Mesdemoiselles ?"")",1.0
"('#caroline', 'Non, je vous assure, mon Papa.')","('#caroline', 'Non, je vous assure, mon Papa.')",0.9999997615814209
"('#josephine', ""Oh !  Pour ça non, ce n'est pas nous."")","('#josephine', ""Oh !  Pour ça non, ce n'est pas nous."")",0.9999998807907104
"('#monsieur-dulac', ""Ce n'est pas vous. Et vous, Monsieur, vous ne dites rien. Au petit Dulac."")","('#monsieur-dulac', ""Ce n'est pas vous. Et vous, Monsieur, vous ne dites rien. Au petit Dulac."")",0.9999998807907104
"('#dulac', ""Dame, mon Papa, si je ne dis rien, c'est que je n'en sais rien ; je sais seulement que je n'ai pas gouté, et que j'ai bien faim."")","('#dulac', ""Dame, mon Papa, si je ne dis rien, c'est que je n'en sais rien ; je sais seulement que je n'ai pas gouté, et que j'ai bien faim."")",1.0000001192092896
"('#josephine', 'Et moi aussi.')","('#josephine', 'Et moi aussi.')",1.0
"('#caroline', 'Et moi aussi...')","('#caroline', 'Et moi aussi...')",0.9999997615814209
"('#fanchette', 'Les vilains enfants !  On ne peut pas tourner le dos un moment.')","('#fanchette', 'Les vilains enfants !  On ne peut pas tourner le dos un moment.')",1.0
"('#monsieur-dulac', 'Voilà qui est bien, Fanchette, une autre fois vous prendrez garde à fermer votre buffet.')","('#monsieur-dulac', 'Voilà qui est bien, Fanchette, une autre fois vous prendrez garde à fermer votre buffet.')",1.0
"('#fanchette', ""Monsieur, je vous assure qu'il était fermé, et que le chat n'était pas dedans quand je suis sortie, car il dormait sur une chaise."")","('#fanchette', ""Monsieur, je vous assure qu'il était fermé, et que le chat n'était pas dedans quand je suis sortie, car il dormait sur une chaise."")",1.000000238418579
"('#monsieur-dulac', ""Allons, en voilà assez de dit : il est trop tard maintenant pour faire gourer des enfants, il n'y a qu'à tout de suite leur donner à souper."")","('#monsieur-dulac', ""Allons, en voilà assez de dit : il est trop tard maintenant pour faire gourer des enfants, il n'y a qu'à tout de suite leur donner à souper."")",0.9999998807907104
"('#fanchette', ""Eh bien !  Leur souper est tout prêt, c'est un morceau de boeuf à la mode."")","('#fanchette', ""Eh bien !  Leur souper est tout prêt, c'est un morceau de boeuf à la mode."")",0.9999998807907104
"('#monsieur-dulac', ""Soit, faites-les souper, puisqu'ils n'ont pas goûté."")","('#monsieur-dulac', ""Soit, faites-les souper, puisqu'ils n'ont pas goûté."")",1.0000001192092896
"('#dulac', 'Oh !  Tant mieux.  On cogne à la boutique, Monsieur Dulac y va.')","('#dulac', 'Oh !  Tant mieux.  On cogne à la boutique, Monsieur Dulac y va.')",1.0
"('#fanchette', 'Allons, Monsieur et Mesdemoiselles, voilà votre souper, prenez vos serviettes. Les trois enfants se mettent à table.')","('#fanchette', 'Allons, Monsieur et Mesdemoiselles, voilà votre souper, prenez vos serviettes. Les trois enfants se mettent à table.')",0.9999998211860657
"('#fanchette', 'Tenez, voilà chacun un bon morceau sur votre assiette ; tâchez de manger proprement.')","('#fanchette', 'Tenez, voilà chacun un bon morceau sur votre assiette ; tâchez de manger proprement.')",0.9999998807907104
"('#caroline #josephine', 'Oui, ma Mie.')","('#caroline #josephine', 'Oui, ma Mie.')",0.9999998807907104
"('#josephine', 'Ce coquin de chat !  Oh !  Si je le tenais, comme je le battrais !')","('#josephine', 'Ce coquin de chat !  Oh !  Si je le tenais, comme je le battrais !')",1.000000238418579
"('#monsieur-dulac', 'Allons, Mesdemoiselles, mangez, puisque vous avez si faim.')","('#monsieur-dulac', 'Allons, Mesdemoiselles, mangez, puisque vous avez si faim.')",1.0
"('#caroline #josephine', 'Aussi nous mangeons bien, mon Papa.')","('#caroline #josephine', 'Aussi nous mangeons bien, mon Papa.')",1.0
"('#le-petit-dulac', ""Pour moi, je n'ai jamais eu tant faim."")","('#le-petit-dulac', ""Pour moi, je n'ai jamais eu tant faim."")",1.0
"('#caroline', ""Mon frère, tu n'as plus rien, veux-tu mon morceau ?"")","('#caroline', ""Mon frère, tu n'as plus rien, veux-tu mon morceau ?"")",1.000000238418579
"('#dulac', 'Oui, donne.')","('#dulac', 'Oui, donne.')",1.0
"('#josephine', ""Oh !  Tiens, je t'en prie, prends le mien aussi, et mange le vite."")","('#josephine', ""Oh !  Tiens, je t'en prie, prends le mien aussi, et mange le vite."")",1.0
"('#dulac', 'Donne, mais dame, je ne peux pas manger tout à la fois.')","('#dulac', 'Donne, mais dame, je ne peux pas manger tout à la fois.')",1.0000001192092896
"('#monsieur-dulac', ""Ah !  Ah !  Mesdemoiselles, je vous y prends ; voilà donc l'appétit que vous avez ; vous faites manger tout votre souper à votre frère, et vous avez fait semblant d'avoir faim pour me tromper..."")","('#monsieur-dulac', ""Ah !  Ah !  Mesdemoiselles, je vous y prends ; voilà donc l'appétit que vous avez ; vous faites manger tout votre souper à votre frère, et vous avez fait semblant d'avoir faim pour me tromper..."")",1.000000238418579
"('#caroline', ""Mais, mon Papa, c'est que..."")","('#caroline', ""Mais, mon Papa, c'est que..."")",1.0000004768371582
"('#monsieur-dulac', ""Vous accusez le chat d'avoir mangé la frangipane et les confitures, et vous n'avez pas faim : allons, allons, je dais maintenant à quoi m'en tenir, et vous serez punies comme deux insignes gourmandes."")","('#monsieur-dulac', ""Vous accusez le chat d'avoir mangé la frangipane et les confitures, et vous n'avez pas faim : allons, allons, je dais maintenant à quoi m'en tenir, et vous serez punies comme deux insignes gourmandes."")",1.000000238418579
"('#caroline', 'Ah !  Mon Papa, je vous assure.')","('#caroline', 'Ah !  Mon Papa, je vous assure.')",1.0
"('#monsieur-dulac', ""Chansons que tout cela, les chats peuvent manger de la frangipane, mais les chats ne mangent pas de confitures : vous n'avez pas pensé à cela, mais il faut vous l'apprendre : allons, montez toutes deux dans votre chambre, et je donne ordre à Fanchette, de vous corriger.  Comme vous le méritez."")","('#monsieur-dulac', ""Chansons que tout cela, les chats peuvent manger de la frangipane, mais les chats ne mangent pas de confitures : vous n'avez pas pensé à cela, mais il faut vous l'apprendre : allons, montez toutes deux dans votre chambre, et je donne ordre à Fanchette, de vous corriger.  Comme vous le méritez."")",1.0
"('#josephine', ""Ah !  Mon Papa, eh bien, c'est vrai ; nous vous demandons pardon, cela ne nous arrivera plus."")","('#josephine', ""Ah !  Mon Papa, eh bien, c'est vrai ; nous vous demandons pardon, cela ne nous arrivera plus."")",1.000000238418579
"('#caroline', 'Non, mon Papa, plus jamais.')","('#caroline', 'Non, mon Papa, plus jamais.')",1.0000001192092896
"('#monsieur-dulac', ""Cela est inutile ; allons, partez, partez vite.  Fanchette, vous m'entendez bien."")","('#monsieur-dulac', ""Cela est inutile ; allons, partez, partez vite.  Fanchette, vous m'entendez bien."")",1.0
"('#fanchette', ""Oui, Monsieur, je vous réponds que je ne les épargnerai pas, car c'est tous les jours la même chose ; ce sont deux gourmandes fieffées. Elle emmène Joséphine et Caroline."")","('#fanchette', ""Oui, Monsieur, je vous réponds que je ne les épargnerai pas, car c'est tous les jours la même chose ; ce sont deux gourmandes fieffées. Elle emmène Joséphine et Caroline."")",0.9999999403953552
"('#caroline', 'Ah !  Ma mie.')","('#caroline', 'Ah !  Ma mie.')",0.9999997615814209
"('#josephine', 'Ma petite Bonne...')","('#josephine', 'Ma petite Bonne...')",0.9999998807907104
