Nom,check_rule_1_play,check_rule_2_play,check_rule_4_play,check_rule_5_play
L'Epreuve,,,0,"(1.0, 6.0)"
Dorothée,100.0,,18,
La Musicomanie,,,0,"(0.5555555555555556, 5.0)"
"Dipné, Infante D'Irlande. Tragédie",,,1,"(0.4, 1.2)"
Geneviève ou L'Innocence Reconnue Tragédie Chrétienne,6.896551724137931,,4,"(0.3333333333333333, 0.8)"
Geneviève ou L'Innocence Reconnue Tragédie,,,1,"(0.6666666666666666, 2.0)"
Le Coligny,8.333333333333334,,3,"(0.05, 0.3333333333333333)"
Ancien Pierrot,,,0,
Mascarade de la Foire Saint-Germain,88.88888888888889,,0,
Arlequin Misanthrope,15.789473684210526,50.0,8,"(0.13793103448275862, 1.5)"
Les Fées ou Les Contes de ma Mère L'Oye.,33.333333333333336,,0,"(0.38461538461538464, 5.0)"
Pasquin et Marforio.,23.529411764705884,66.66666666666667,3,"(0.1875, 2.3333333333333335)"
Le Faucon,,,0,"(1.0, 4.0)"
La Mort de César,,33.333333333333336,4,"(0.1, 0.3333333333333333)"
L'Ombre de Molière,7.6923076923076925,,13,"(0.18181818181818182, 2.0)"
Clarimonde,9.523809523809524,60.0,6,"(0.6666666666666666, 1.8)"
La Clorise,13.636363636363637,60.0,3,"(0.5555555555555556, 1.8)"
La Parthénie,12.5,40.0,3,"(0.375, 0.6)"
Le Prince Fugitif,5.0,60.0,2,"(0.45454545454545453, 1.2)"
Saint Eustache Martyr,22.22222222222222,,3,"(0.36363636363636365, 1.6)"
La Rapinière,12.820512820512821,40.0,1,"(0.3125, 2.2)"
"Candide Marié, ou Il Faut Cultiver son Jardin.",,,0,"(0.44, 6.5)"
Le Mariage de Scarron,4.0,,0,"(0.5, 7.0)"
Molière au Théâtre,8.333333333333334,,0,"(0.8888888888888888, 8.0)"
L'Autre Tartuffe,13.636363636363637,40.0,16,"(0.6153846153846154, 5.2)"
Le Barbier de Séville ou La Précaution Inutile,20.0,50.0,10,"(0.5, 3.5)"
L'Amour Quêteur,33.333333333333336,50.0,7,"(0.7142857142857143, 3.5)"
La Cacophonie,15.789473684210526,,0,"(0.6, 6.0)"
Les Libellistes,2.5641025641025643,,5,"(0.46153846153846156, 2.0)"
"Le Ramoneur Prince, et le Prince Ramoneur",10.714285714285714,,0,"(0.6666666666666666, 6.0)"
Le Sculpteur,,,1,"(0.625, 3.0)"
Vénus Pélerine,22.22222222222222,,0,"(0.2, 2.0)"
Les Corbeaux Drame en Quatre Actes et en Prose,2.380952380952381,50.0,3,"(0.6470588235294118, 5.75)"
Domino à Quatre Comédie en un Acte et en Prose,,,0,"(0.14285714285714285, 1.0)"
L'Enlèvement Comédie en Trois Actes,,66.66666666666667,3,"(0.42857142857142855, 1.6666666666666667)"
Une Exécution,,,0,"(0.2, 1.0)"
Les Honnêtes Femmes Comédie en un Acte,11.11111111111111,,0,"(1.0, 4.0)"
La Mère,100.0,,4,
Veuve !,,,0,
Docteur Cornibus,,,0,"(0.2, 1.0)"
Guignol en Enfer,,,0,"(0.16666666666666666, 1.0)"
Guignol et la Cabaretière,14.285714285714286,,0,"(0.75, 3.0)"
"L'Oiseau Bleu, Saynète",14.285714285714286,,0,"(1.0, 3.0)"
"La Nuit de Noël, Comédie",,,0,"(0.3333333333333333, 1.0)"
Le Baptême d'une Rose,,,0,
"Les Deux Pigeonnes, Comédie",,,0,"(0.5, 1.0)"
"Ma Soeur Claire, Comédie",,,0,"(1.0, 4.0)"
"Un Bon Placement, Comédie",,,0,"(0.6666666666666666, 2.0)"
Cléopâtre,40.90909090909091,20.0,5,"(0.6363636363636364, 1.8)"
La Mort d'Achille et la Dispute de ses Armes,35.294117647058826,60.0,5,"(0.4166666666666667, 1.2)"
La Journée des Dupes,9.090909090909092,,3,"(0.037037037037037035, 0.25)"
Brutus,6.451612903225806,20.0,5,"(0.4166666666666667, 1.0)"
"Laodamie, Reine D'Epire.",5.714285714285714,40.0,5,"(0.625, 1.6)"
Madame de Valdaunaie,,50.0,3,"(1.0, 4.5)"
"Antoinette ou Le Retour du Marquis, Saynète",,,0,
"Un Dramaturge en Plein Labeur, Comédie",,,0,
"L'Ecole du Piston, Comédie",,,0,"(0.4166666666666667, 5.0)"
"L'Etrangleuse, Pièce en un Acte",,,0,"(0.3333333333333333, 2.0)"
"Un Garçon de Dix-Huit Ans, Saynète",,,0,
"Un Homme dans la Maison, Comédie",,,0,
"Le Cambrioleur, Saynète",50.0,,0,"(0.25, 1.0)"
La Maison du Crime,,,0,
"Un Mystère sans Importance, Comédie",,,0,
Le Narcotique,,,0,"(0.2, 1.0)"
Une Opération Magistrale,,,0,
"La Partie de Bridge, Comédie",,,0,
Les Pieds Nickelés,8.695652173913043,,0,"(0.6666666666666666, 6.0)"
"Les Plaisirs du Dimanche, Comédie",,,0,
"Le Prétendant, Pièce en un Acte",,,0,
Le Jugement de Job et d'Uranie,50.0,,0,
A la Mer !,,,0,
L'Homme qui A Tué la Mort,,50.0,2,"(0.3, 2.5)"
Céline ou Les Frères Rivaux.,37.5,,5,"(0.5454545454545454, 1.2)"
Abraham Sacrifiant,66.66666666666667,,0,"(0.875, 7.0)"
L'Ecole Galante,35.13513513513514,,3,"(0.8, 5.333333333333333)"
Les Comédiens Esclaves,,,0,
Les Enfants Trouvés,,,0,"(0.7142857142857143, 5.0)"
Agnès de Chaillot,,,0,"(0.5555555555555556, 5.0)"
Arlequin Gentilhomme par Hasard,33.333333333333336,66.66666666666667,8,"(0.7857142857142857, 8.0)"
La Foire Galante le Mariage d'Arlequin,23.529411764705884,,1,"(0.4166666666666667, 2.3333333333333335)"
Oedipe Travesti,8.333333333333334,,0,"(0.4, 4.0)"
Arcagambis,,,0,"(0.8333333333333334, 5.0)"
La Bonne Femme,29.41176470588235,,0,"(0.3125, 5.0)"
Sémiramis,,40.0,4,"(0.6, 1.2)"
Le Séducteur,9.090909090909092,80.0,4,"(0.7777777777777778, 2.8)"
Vercingentorixe,16.666666666666668,,0,"(0.6666666666666666, 6.0)"
Gustave !,,,0,
Premier Amour,,,0,
Le Pleureur Malgré Lui,,,0,"(0.5, 4.0)"
Hirza,13.043478260869565,20.0,3,"(0.8, 1.6)"
Washington ou La Liberté du Nouveau Monde,,25.0,4,"(0.25, 1.5)"
"Les Boîtes, ou La Conspiration des Mouchoirs, Divertissement-Vaudeville",37.5,,0,"(0.8181818181818182, 9.0)"
Gilles Tout Seul,,,0,
Les Druides,,,3,"(1.0, 2.2)"
Lou Supplice d'un Paysan,,,0,
Molière en Bonne Fortune,,,0,"(0.8571428571428571, 6.0)"
La Petite Rosange,,,0,"(0.3076923076923077, 4.0)"
Le Barbier de Pézenas,,,0,"(0.5555555555555556, 5.0)"
Visite à Corneille,,,0,
Jésus-Christ,53.84615384615385,40.0,7,"(0.47619047619047616, 3.4)"
Le Siège de Paris,31.818181818181817,20.0,3,"(0.35714285714285715, 1.0)"
Les Héros de Roman,,,0,
L'Amant Ridicule,,,0,"(0.5, 2.0)"
La Belle Invisible,9.375,80.0,8,"(0.3684210526315789, 2.6)"
Cassandre,6.451612903225806,40.0,5,"(0.7, 2.6)"
Les Rivaux Amis,36.36363636363637,40.0,3,"(0.47058823529411764, 2.2)"
L'Apologie du Siècle,33.333333333333336,,0,
L'Auteur Superstitieux,,,0,"(0.5, 2.0)"
Le Babillard,6.666666666666667,,0,"(0.5333333333333333, 8.0)"
Le Comte de Neuilly,16.0,20.0,3,"(0.8333333333333334, 1.4)"
La Critique,,,0,
Les Dehors Trompeurs,4.545454545454546,60.0,12,"(0.7777777777777778, 3.0)"
Le Français à Londres,15.384615384615385,,0,"(1.0, 7.0)"
La Frivolité,,,0,
L'Homme du Jour,4.444444444444445,60.0,12,"(0.7777777777777778, 3.0)"
Le je ne Sais quoi,21.428571428571427,,0,"(0.14285714285714285, 2.0)"
Le Médecin par Occasion,,40.0,7,"(0.8571428571428571, 3.2)"
Le Plagiaire,,33.333333333333336,3,"(0.4, 2.3333333333333335)"
Le Rival Favorable,2.857142857142857,66.66666666666667,7,"(0.75, 3.6666666666666665)"
La Vie Est un Songe,15.384615384615385,33.333333333333336,7,"(0.875, 3.6666666666666665)"
L'Obelixe,,,0,
Après le Divorce,,,0,
Ma Poupée,,,0,
Le Quinze Janvier,,,0,
Hommage à Racine,,,0,
Champagne le Coiffeur,,,0,"(1.0, 6.0)"
René-Descartes.,18.51851851851852,50.0,3,"(0.75, 5.0)"
La Comédie sans Titre,,80.0,6,"(0.18181818181818182, 1.2)"
Les Deux Frères Gémeaux,,,2,"(0.6363636363636364, 2.0)"
Esope à la Cour,6.0606060606060606,20.0,6,"(0.375, 1.4)"
La Fête de la Seine,,,0,
Germanicus,,80.0,3,"(0.14285714285714285, 0.4)"
Le Jaloux Endormi,,,0,"(1.0, 5.0)"
Marie Stuard,3.7037037037037037,60.0,6,"(0.6666666666666666, 1.2)"
Le Médecin Volant,20.0,,0,"(0.7142857142857143, 5.0)"
Le Mort Vivant,5.882352941176471,33.333333333333336,1,"(0.375, 2.0)"
Les Mots à la Mode,,,0,"(0.6428571428571429, 9.0)"
Le Portrait du Peintre,,,0,"(0.5555555555555556, 5.0)"
La Satire des Satires,,,0,"(0.25, 2.0)"
Agamemnon,71.42857142857143,20.0,1,"(0.09090909090909091, 0.2)"
Les Amours de Jupiter et de Sémélé,9.67741935483871,20.0,6,"(0.3888888888888889, 1.4)"
Aristodème,,20.0,3,"(0.2222222222222222, 0.4)"
Artaxerce,12.5,20.0,2,"(0.42857142857142855, 1.2)"
Clotilde,8.823529411764707,,3,"(0.625, 1.6)"
Fédéric,,20.0,4,"(0.3333333333333333, 0.6)"
Le Jeune Marius,4.3478260869565215,60.0,8,"(0.4444444444444444, 0.8)"
Judith,,20.0,2,"(0.45454545454545453, 1.8)"
Lisimène ou La Jeune Bergère,12.121212121212121,,3,"(0.4666666666666667, 1.8)"
La Mort des Enfants de Brute,,80.0,4,"(0.3, 0.6)"
Oropaste ou Le Faux Tonaxare,8.0,20.0,4,"(0.6, 1.2)"
La Porcie Romaine,5.2631578947368425,40.0,2,"(0.2222222222222222, 0.4)"
Porus,4.545454545454546,40.0,4,"(0.5, 1.8)"
Tyridate,7.407407407407407,20.0,5,"(0.5555555555555556, 1.4)"
Caton,18.42105263157895,20.0,7,"(0.6153846153846154, 2.4)"
Compter sans son Hôte,,,0,"(1.0, 3.0)"
Qui Femme A Guerre A,,,0,"(0.3333333333333333, 1.0)"
L'Aveugle Clairvoyant,17.857142857142858,,4,"(0.5555555555555556, 2.0)"
Le Turne de Virgile,4.166666666666667,60.0,2,"(0.7777777777777778, 2.0)"
Les Empiriques,3.5714285714285716,33.333333333333336,1,"(0.9, 4.666666666666667)"
L'Avocat Patelin,13.043478260869565,33.333333333333336,3,"(0.7777777777777778, 3.3333333333333335)"
Racine chez Corneille,,,0,"(0.5454545454545454, 6.0)"
Le Souper de Molière,,,0,"(0.6428571428571429, 9.0)"
Zoroastre,31.25,,2,"(0.2, 1.6)"
L'Egoïsme,4.081632653061225,20.0,9,"(0.5384615384615384, 2.6)"
Les Tragédies de M. de Voltaire,,,0,"(0.9375, 15.0)"
Les Deux Educations,,,0,"(0.125, 0.5)"
La Ferme Partagée,20.0,,0,"(0.14285714285714285, 1.0)"
Achille et Polixène,35.714285714285715,16.666666666666668,8,"(0.08108108108108109, 0.6666666666666666)"
Acis et Galatée,29.166666666666668,25.0,9,"(0.2608695652173913, 2.25)"
Adrien,3.5714285714285716,,6,"(0.42857142857142855, 1.0)"
Aétius,5.555555555555555,25.0,4,"(0.2857142857142857, 0.5)"
Alcibiade,7.6923076923076925,20.0,5,"(0.5555555555555556, 1.8)"
Andronic,17.5,,5,"(0.5384615384615384, 1.8)"
Arminius,16.129032258064516,20.0,2,"(0.6, 1.8)"
"Juba, Roi de Mauritanie",,60.0,4,"(0.5714285714285714, 0.8)"
Phocion,11.538461538461538,40.0,7,"(0.3333333333333333, 0.6)"
Pompeia,18.75,,6,"(0.36363636363636365, 1.4)"
Tachmas,,50.0,1,
Tiridate,6.451612903225806,20.0,3,"(0.5, 1.4)"
Virginie,3.8461538461538463,,2,"(0.4, 0.8)"
Le Mari Directeur ou Le Déménagement du Couvent,,,0,"(0.8461538461538461, 11.0)"
Le Réveil d'Epiménide à Paris.,10.526315789473685,,0,"(0.5555555555555556, 10.0)"
Le Compliment,,,0,"(0.3333333333333333, 2.0)"
La Dame en Noir,,,0,"(0.6666666666666666, 2.0)"
Le Docteur Sourabaya,,,0,"(0.2222222222222222, 2.0)"
Le Mariage des Fleurs,20.0,,0,"(0.34782608695652173, 8.0)"
Le Petit Prétentieux,33.333333333333336,,0,"(0.2857142857142857, 2.0)"
Le Rondeau,40.0,,0,"(0.8333333333333334, 5.0)"
Les Défauts de Paul,,,0,"(0.4, 2.0)"
Les Heures,,,0,"(0.5, 1.0)"
Roi et Reine,,,0,"(0.5, 1.0)"
Rose et Rosette,,,0,
Un Duel,,,0,"(0.4444444444444444, 4.0)"
A Bon Chat Bon Rat,,,0,"(0.25, 1.0)"
"A Trompeur, Trompeur et Demi",,,0,"(0.5, 2.0)"
L'Abbé de Coure-Dîner.,41.666666666666664,,0,"(0.14285714285714285, 2.0)"
L'Abbé de Plâtre,,,0,"(0.7777777777777778, 7.0)"
Alménorade,,,0,"(0.3333333333333333, 2.0)"
L'Après-Dinée,,,0,"(0.16666666666666666, 1.0)"
L'Auteur Avantageux.,,,0,
L'Aveugle Avare,,,0,"(0.3333333333333333, 1.0)"
L'Avocat Chansonnier.,,,0,"(0.5, 2.0)"
L'Avocat Consultant.,,,0,
Le Bal,,,0,"(0.6428571428571429, 9.0)"
Les Bons,,,0,"(0.2, 2.0)"
Le Boudoir.,,,0,"(0.4, 2.0)"
Le Café Borgne,,,0,
Le Chanteur Italien,,,0,"(0.2, 1.0)"
Le Chapon au Gros Sel.,,,0,
Le Chasseur et les Joueurs.,33.333333333333336,,0,"(0.25, 1.0)"
Condamner sans Entendre. ou La Statue.,10.0,,0,"(0.6666666666666666, 4.0)"
Les Désespérés de l'Opéra,,,0,
Les Deux Amis,,,0,
Les Deux Anglais,,,0,
