ID,Raw Name,Title,Normalized author,Author,wikidataId Author,yearPrinted,datePremiered,dateWriting,Genre,Type,in_TD,in_BD,in_Dracor
1,abbe_augustin_theodore_vincent_lebeau_de_schosne-assemblee,L’Assemblée,Abbé Augustin-Théodore-Vincent Lebeau de Schosne,Abbé Augustin-Théodore-Vincent LEBEAU DE SCHOSNE,ID0003,,1773-02-17,,Comédie,vers,TD1,,fre000855
2125,aubignac-pucelle,La Pucelle d'Orléans,Abbé D' Aubignac,Abbé D' Aubignac,Q714015,1642,,,Tragedy,,,,fre000059
2126,aubignac-pucelle-prose,La Pucelle d'Orléans,Abbé D' Aubignac,Abbé D' Aubignac,Q714015,1642,,,Tragedy,,,,fre000060
2,abbe_de_voisenon-retour_de_l_ombre_de_moliere,Le Retour de l’ombre de Molière,Abbé de Voisenon,Abbé de VOISENON,Q2976734,,1739-11-21,,Comédie,vers,TD2,,
2993,lebardin-au-clair-de-la-lune,"Au Clair de la Lune Historiette en un Acte à l'Usage des Collèges, Petits-Séminaires, Sociétés de Persévérance, Etc. Prix : 75 Centimes.",Abbé Lebardin,Abbé Lebardin,,1858,,,Comedy,,,,fre001552
2713,pellegrin-tibere,Tibère,"Abbé Pellegrin, Simon Joseph","Abbé Pellegrin, Simon-Joseph",Q3484170,1727,1726-12-13,,Tragedy,,,,fre001105
2202,boyera-caton,Caton,Abel Boyer,Abel Boyer,Q2821489,1713,,,Tragedy,,,,fre000185
3,abel_jannet-moliere_en_menage,Molière en ménage,Abel Jannet,Abel JANNET,ID0004,,1855-11-11,,Comédie,vers,TD3,,fre000785
3103,dreyfus-un-crane-sous-une-tempete,Un Crâne sous une Tempête,Abraham Dreyfus,Abraham Dreyfus,Q94825445,1887,,,Comedy,,,,fre001682
3104,dreyfus-la-gifle,La Gifle,Abraham Dreyfus,Abraham Dreyfus,Q94825445,1878,,,Comedy,,,,fre001683
3105,dreyfus-un-homme-en-habit-noir,Un Homme en Habit Noir,Abraham Dreyfus,Abraham Dreyfus,Q94825445,1887,,,Comedy,,,,fre001684
2629,melandri-halle-aux-baisers,La Halle aux Baisers,Achille Mélandri,Achille Mélandri,Q25391711,1883,,,,,,,fre000961
4,adele_regnauld_de_prebois-chien_et_chat,Chien et chat,Adèle Regnauld de Prébois,Adèle REGNAULD DE PRÉBOIS,Q108664365,,1852-11-20,,Comédie,,TD4,,
5,adele_regnauld_de_prebois-marion,Marion,Adèle Regnauld de Prébois,Adèle REGNAULD DE PRÉBOIS,Q108664365,,1851-03-22,,Comédie,,TD5,,
7,adele_regnauld_de_prebois-infidelites_conjugales,Les Infidélités conjugales,Adèle Regnauld de Prébois,Adèle REGNAULD DE PRÉBOIS,Q108664365,,1850-10-26,,Comédie,,TD7,,
8,adele_regnauld_de_prebois-moulin_de_l_ermitage,Le Moulin de l’Ermitage,Adèle Regnauld de Prébois,Adèle REGNAULD DE PRÉBOIS,Q108664365,,1855-11-22,,,,TD8,,
6,adele_regnauld_de_prebois_theodore_barriere-pecheresse,Une Pécheresse,Adèle-Théodore Regnauld de Prébois Barrière,Adèle - Théodore REGNAULD DE PRÉBOIS BARRIÈRE,Q108664365,,1860-05-25,,,,TD6,,
2965,carcassonne-compliment,Le Compliment,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1889,,,Comedy,,,,fre001520
2966,carcassonne-le-dame-en-noir,La Dame en Noir,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1889,,,Comedy,,,,fre001521
2967,carcassonne-les-defauts-de-paul,Les Défauts de Paul,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1889,,,Comedy,,,,fre001522
2968,carcassonne-le-docteur-sourabaya,Le Docteur Sourabaya,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1889,,,Comedy,,,,fre001523
2969,carcassonne-un-duel,Un Duel,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1889,,,Comedy,,,,fre001524
2970,carcassonne-les-heures,Les Heures,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1889,,,Comedy,,,,fre001525
2971,carcassonne-le-mariage-des-fleurs,Le Mariage des Fleurs,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1887,,,Comedy,,,,fre001526
2972,carcassonne-le-petit-pretentieux,Le Petit Prétentieux,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1889,,,Comedy,,,,fre001527
2973,carcassonne-roi-et-reine,Roi et Reine,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1889,,,Comedy,,,,fre001528
2974,carcassonne-le-rondeau,Le Rondeau,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1889,,,Comedy,,,,fre001529
2975,carcassonne-rose-et-rosette,Rose et Rosette,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1889,,,Comedy,,,,fre001530
3051,carcassonne-en-chine,En Chine,Adolphe Carcassonne,Adolphe Carcassonne,Q2824848,1887,,,Comedy,,,,fre001626
17,adolphe_d_ennery-changement_d_uniforme,Changement d'uniforme,Adolphe d’Ennery,Adolphe D&#039;ENNERY,Q137819,,1835-06-02,,Comédie,,TD17,,
18,adolphe_d_ennery-grisette_au_vert,La Grisette au vert,Adolphe d’Ennery,Adolphe D’ENNERY,Q137819,,1840-07-08,,,,TD18,,
19,adolphe_d_ennery-marchesa_ou_la_courtisane_de_rome,La Marchesa,Adolphe d’Ennery,Adolphe D&#039;ENNERY,Q137819,,1834-06-03,,,,TD19,,
20,adolphe_d_ennery-marche_de_londres,Le Marché de Londres,Adolphe d’Ennery,Adolphe D’ENNERY,Q137819,,1846-07-06,,,,TD20,,
21,adolphe_d_ennery-tremblement_de_terre_de_la_martinique,Le Tremblement de terre de la Martinique,Adolphe d’Ennery,Adolphe D’ENNERY,Q137819,,1840-01-23,,,,TD21,,
25,adolphe_d_ennery_albert-porteur_d_eau,Le Porteur d’eau,Adolphe d’Ennery Albert,Adolphe - D’ENNERY ALBERT,Q137819,,1845-03-06,,Vaudeville,,TD25,,
30,adolphe_d_ennery_dumanoir-bal_d_enfants,Le Bal d’enfants,Adolphe d’Ennery Dumanoir,Adolphe - D’ENNERY DUMANOIR,Q137819,,1845-01-24,,Comédie,,TD30,,
31,adolphe_d_ennery_dumanoir-capitaine_roquefinette,Le Capitaine Roquefinette,Adolphe d’Ennery Dumanoir,Adolphe - D’ENNERY DUMANOIR,Q137819,,1843-10-27,,Comédie,,TD31,,
32,adolphe_d_ennery_dumanoir-fargeau_le_nourrisseur,Fargeau le nourrisseur,Adolphe d’Ennery Dumanoir,Adolphe - D’ENNERY DUMANOIR,Q137819,,1842-10-18,,Comédie,,TD32,,
33,adolphe_d_ennery_dumanoir-ma_maitresse_et_ma_femme,Ma Maîtresse et ma femme,Adolphe d’Ennery Dumanoir,Adolphe - D’ENNERY DUMANOIR,Q137819,,1842-11-25,,Comédie,,TD33,,
34,adolphe_d_ennery_dumanoir-nuit_aux_soufflets,La Nuit aux soufflets,Adolphe d’Ennery Dumanoir,Adolphe - D’ENNERY DUMANOIR,Q137819,,1842-03-23,,Comédie,,TD34,,
35,adolphe_d_ennery_dumanoir_clairville-chemin_de_traverse,Le Chemin de traverse,Adolphe d’Ennery Dumanoir Clairville,Adolphe - - D’ENNERY DUMANOIR CLAIRVILLE,Q137819,,1848-09-30,,Vaudeville,,TD35,,
16,adolphe_dumas-mademoiselle_de_la_valliere,Mademoiselle de La Vallière,Adolphe Dumas,Adolphe DUMAS,Q2824811,,1843-05-15,,,vers,TD16,,
2552,joly-adrienne-lecouvreur,Adrienne Legouvreur,Adolphe Joly,Adolphe Joly,Q111530676,1863,,,,,,,fre000790
2553,joly-cinq-mars,Cinq Mars et Richelieu,Adolphe Joly,Adolphe Joly,Q111530676,1863,1817-09-16,,,,,,fre000791
2554,joly-fouquet-a-la-bastille,Fouquet à la Bastille,Adolphe Joly,Adolphe Joly,Q111530676,1863,,,,,,,fre000792
2555,joly-salomon,Salomon de Caus A Bicêtre,Adolphe Joly,Adolphe Joly,Q111530676,1863,,,,,,,fre000794
14,adolphe_de_leuven__armand_d_artois_philippe_auguste_alfred_pittaud_de_forges-brigand_napolitain,Le Brigand Napolitain,Adolphe- Armand-Philippe-Auguste-Alfred de Leuven d’Artois Pittaud de Forges,Adolphe - Armand - Philippe-Auguste-Alfred DE LEUVEN D&#039;ARTOIS PITTAUD DE FORGES,Q2087458,,1829-09-25,,Vaudeville,,TD14,,
15,adolphe_de_leuven__armand_d_artois_philippe_auguste_alfred_pittaud_de_forges-portefeuille,Le Portefeuille,Adolphe- Armand-Philippe-Auguste-Alfred de Leuven d’Artois Pittaud de Forges,Adolphe - Armand - Philippe-Auguste-Alfred DE LEUVEN D&#039;ARTOIS PITTAUD DE FORGES,Q2087458,,1827-12-29,,Comédie,,TD15,,
22,adolphe_d_ennery_achille_d_artois_edmond_burat_de_gurgy-trois_coeurs_de_femmes,Trois cœurs de femmes,Adolphe-Achille-Edmond d’Ennery d’Artois Burat de Gurgy,Adolphe - Achille - Edmond D’ENNERY D’ARTOIS BURAT DE GURGY,Q137819,,1836-11-17,,Vaudeville,,TD22,,
23,adolphe_d_ennery_adolphe_de_leuven_dumanoir-hotel_des_haricots_ou_il_vaut_mieux_monter_sa_garde,L’Hôtel des Haricots,Adolphe-Adolphe d’Ennery de Leuven Dumanoir,Adolphe - Adolphe - D&#039;ENNERY DE LEUVEN DUMANOIR,Q2087458,,1837-08-09,,,,TD23,,
24,adolphe_d_ennery_adolphe_de_leven_leon_levy_brunswick-amour_en_commandite,L’Amour en commandite,Adolphe-Adolphe-Léon-Lévy d’Ennery de Leven Brunswick,Adolphe - Adolphe - Léon-Lévy D’ENNERY DE LEVEN BRUNSWICK,Q137819,,1840-11-08,,Comédie,,TD24,,
26,adolphe_d_ennery_aristide_letorzec-parlez_au_portier,Parlez au portier,Adolphe-Aristide d’Ennery Letorzec,Adolphe - Aristide D’ENNERY LETORZEC,Q137819,,1845-03-02,,Vaudeville,,TD26,,
9,adolphe_de_leuven_armand_d_artois_philippe_auguste_alfred_pittaud_de_forges-mon_ami_pierre,Mon ami Pierre,Adolphe-Armand-Philippe-Auguste-Alfred de Leuven d’Artois Pittaud de Forges,Adolphe - Armand - Philippe-Auguste-Alfred DE LEUVEN D&#039;ARTOIS PITTAUD DE FORGES,Q2087458,,1827-09-08,,Comédie,,TD9,,
27,adolphe_d_ennery_auguste_anicet_bourgeois-portefeuille_ou_deux_familles,Le Portefeuille,Adolphe-Auguste d’Ennery Anicet-Bourgeois,Adolphe - Auguste D&#039;ENNERY ANICET-BOURGEOIS,Q137819,,1837-03-07,,,,TD27,,
28,adolphe_d_ennery_charles_desnoyers-soufflet,Un Soufflet,Adolphe-Charles d’Ennery Desnoyers,Adolphe - Charles D&#039;ENNERY DESNOYERS,Q2087458,,1834-03-22,,Comédie,,TD28,,
29,adolphe_d_ennery_charles_edmond_chojecki-aieule,L’Aïeule,Adolphe-Charles-Edmond d’Ennery Chojecki,Adolphe - Charles-Edmond D’ENNERY CHOJECKI,Q137819,,1863-10-17,,,,TD29,,
36,adolphe_d_ennery_elie_berthet-garcons_de_recette,Les Garçons de recette,Adolphe-Élie d’Ennery Berthet,Adolphe - Élie D’ENNERY BERTHET,Q137819,,1840-05-23,,,,TD36,,
10,adolphe_de_leuven_emmanuel_theaulon_philippe_auguste_alfred_pittaud_de_forges-perle_de_marienbourg,La Perle de Marienbourg,Adolphe-Emmanuel-Philippe-Auguste-Alfred de Leuven Théaulon Pittaud de Forges,Adolphe - Emmanuel - Philippe-Auguste-Alfred DE LEUVEN THÉAULON PITTAUD DE FORGES,Q2087458,,1828-10-11,,Comédie,,TD10,,
37,adolphe_d_ennery_eugene_cormon-1814_ou_le_pensionnat_de_montereau,1814,Adolphe-Eugène d’Ennery Cormon,Adolphe - Eugène D&#039;ENNERY CORMON,Q137819,,1836-01-19,,Vaudeville,,TD37,,
38,adolphe_d_ennery_eugene_cormon-compagnons_ou_la_mansarde_de_la_cite,Les Compagnons,Adolphe-Eugène d’Ennery Cormon,Adolphe - Eugène D’ENNERY CORMON,Q137819,,1846-02-14,,,,TD38,,
39,adolphe_d_ennery_eugene_cormon-femmes_et_pirates,Femmes et pirates,Adolphe-Eugène d’Ennery Cormon,Adolphe - Eugène D’ENNERY CORMON,Q137819,,1838-03-18,,Vaudeville,,TD39,,
40,adolphe_d_ennery_eugene_cormon-idee_du_mari,L'Idée du mari,Adolphe-Eugène d’Ennery Cormon,Adolphe - Eugène D&#039;ENNERY CORMON,Q137819,,1834-07-12,,Comédie,,TD40,,
41,adolphe_d_ennery_eugene_cormon-marjolaine,Marjolaine,Adolphe-Eugène d’Ennery Cormon,Adolphe - Eugène D’ENNERY CORMON,Q137819,,1844-01-18,,Vaudeville,,TD41,,
43,adolphe_d_ennery_eugene_grange-donjon_de_vincennes,Le Donjon de Vincennes,Adolphe-Eugène d’Ennery Grangé,Adolphe - Eugène D’ENNERY GRANGÉ,Q137819,,1855-11-08,,,,TD43,,
44,adolphe_d_ennery_eugene_grange-femme_de_lettres,Une Femme de lettres,Adolphe-Eugène d’Ennery Grangé,Adolphe - Eugène D&#039;ENNERY GRANGÉ,Q137819,,1837-11-14,,Vaudeville,,TD44,,
45,adolphe_d_ennery_eugene_grange-gras_et_maigre,Gras et maigre,Adolphe-Eugène d’Ennery Grangé,Adolphe - Eugène D&#039;ENNERY GRANGÉ,Q137819,,1838-02-25,,,,TD45,,
46,adolphe_d_ennery_eugene_grange-tour_de_faction,Le Tour de faction,Adolphe-Eugène d’Ennery Grangé,Adolphe - Eugène D&#039;ENNERY GRANGÉ,Q137819,,1837-07-20,,Vaudeville,,TD46,,
42,adolphe_d_ennery_eugene_cormon_romain_chapelain-roman_comique,Le Roman comique,Adolphe-Eugène-Romain d’Ennery Cormon Chapelain,Adolphe - Eugène - Romain D’ENNERY CORMON CHAPELAIN,Q137819,,1846-04-04,,Vaudeville,,TD42,,
47,adolphe_d_ennery_gustave_lemoine-article_213_ou_le_mari_doit_protection,L’Article 213,Adolphe-Gustave d’Ennery Lemoine,Adolphe - Gustave D’ENNERY LEMOINE,Q137819,1502.0,1846-11-16,,Comédie,,TD47,,
48,adolphe_d_ennery_gustave_lemoine-citerne_d_albi,La Citerne d’Albi,Adolphe-Gustave d’Ennery Lemoine,Adolphe - Gustave D’ENNERY LEMOINE,Q137819,,1841-09-20,,,,TD48,,
49,adolphe_d_ennery_gustave_lemoine-grace_de_dieu_ou_la_nouvelle_fanchon,La Grâce de Dieu,Adolphe-Gustave d’Ennery Lemoine,Adolphe - Gustave D’ENNERY LEMOINE,Q137819,,1841-01-16,,,,TD49,,
50,adolphe_d_ennery_gustave_lemoine-sentinelle_ou_huit_ans_de_faction,La Sentinelle,Adolphe-Gustave d’Ennery Lemoine,Adolphe - Gustave D&#039;ENNERY LEMOINE,Q2824866,,1837-05-14,,Comédie,,TD50,,
51,adolphe_d_ennery_jean_baptiste_pierre_lafitte-angelus,L’Angélus,Adolphe-Jean-Baptiste-Pierre d’Ennery Lafitte,Adolphe - Jean-Baptiste-Pierre D’ENNERY LAFITTE,Q137819,,1846-11-10,,,,TD51,,
52,adolphe_d_ennery_jean_francois_bayard_dumanoir-suzette,Suzette,Adolphe-Jean-François d’Ennery Bayard Dumanoir,Adolphe - Jean-François - D&#039;ENNERY BAYARD DUMANOIR,Q137819,,1837-12-18,,Comédie,,TD52,,
53,adolphe_d_ennery_julien_de_mallian-marie_jeanne,Marie-Jeanne,Adolphe-Julien d’Ennery de Mallian,Adolphe - Julien D’ENNERY DE MALLIAN,Q137819,,1845-11-11,,,,TD53,,
11,adolphe_de_leuven_louis_emile_vanderburch-marie_michon,Marie Michon,Adolphe-Louis-Émile de Leuven Vanderburch,Adolphe - Louis-Émile DE LEUVEN VANDERBURCH,Q2087458,,1846-03-11,,Comédie,,TD11,,
54,adolphe_d_ennery_marc_fournier-paillasse,Paillasse,Adolphe-Marc d’Ennery Fournier,Adolphe - Marc D’ENNERY FOURNIER,Q137819,,1850-11-09,,,,TD54,,
12,adolphe_de_leuven_theophile_marion_dumersan-biribi_le_mazourkiste,Biribi le mazourkiste,Adolphe-Théophile Marion de Leuven Dumersan,Adolphe - Théophile Marion DE LEUVEN DUMERSAN,Q2087458,,1845-02-02,,Vaudeville,,TD12,,
13,adolphe_de_leuven_victor_lherie-mistriss_siddons_ou_une_actrice_anglaise,Mistriss Siddons,Adolphe-Victor de Leuven Lhérie,Adolphe - Victor DE LEUVEN LHÉRIE,Q2087458,,1836-08-01,,Comédie,,TD13,,
2878,subligny-folle-querelle,La Folle Querelle ou La Critique d'Andromaque,Adrien Thomas Perdou De Subligny,Adrien-Thomas Perdou De Subligny,Q2825111,1668,1668-05-25,,Comedy,,,,fre001375
3137,leroy-moliere-et-les-deux-thalies,"Molière et les Deux Thalies, Dialogue",Aimé Leroy,Aimé Leroy,,1816,,,,,,,fre001722
2438,fuzelier-lesage-tableau-du-mariage,Le Tableau du Mariage,Alain René Lesage,Alain-René Lesage,Q267962,1712,1716-02-03,,,,,,fre000655
2602,lesage-crispin-rival-de-son-maitre,Crispin un Rival de son Maitre,Alain René Lesage,Alain-René Lesage,Q267962,1707,1707-03-12,,Comedy,,,,fre000879
2603,lesage-mariages-de-canada,Les Mariages de Canada,Alain René Lesage,Alain-René Lesage,Q267962,1737,,,Comedy,,,,fre000880
3288,lesage-turcaret,Turcaret,Alain René Lesage,Alain-René Lesage,Q267962,1709,1709-02-14,,Comedy,,,,fre001893
3119,glatigny-vers-les-saules,"Vers les Saules, Comédie",Albert Glatigny,Albert Glatigny,Q2622119,1931,,,Comedy,,,,fre001702
2429,fiot-amour-fantasque,L'Amour Fantasque ou Le Juge de Soi Même,Albert Henri Fiot,Albert Henri Fiot,,1682,,,Comedy,,,,fre000644
55,albert_lambert_pere-collaboration,Une Collaboration,Albert Père Lambert,Albert père LAMBERT,Q132229028,,1888-01-15,,Comédie,vers,TD55,,fre000842
59,alexandre_dumas_fils-dame_aux_camelias,La Dame aux Camélias,Alexandre Dumas Fils,Alexandre Dumas Fils,Q169150,,1852-02-02,,Vaudeville,,TD59,,
57,alexandre_dumas_fils-ami_des_femmes,L'Ami des femmes,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1864-03-05,,Comédie,,TD57,,
58,alexandre_dumas_fils-bijou_de_la_reine,Le Bijou de la reine,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1855,,Comédie,,TD58,,
60,alexandre_dumas_fils-demi_monde,Le Demi-Monde,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1835-03-20,,Comédie,prose,TD60,,
61,alexandre_dumas_fils-diane_de_lys,Diane de Lys,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1853-11-15,,,,TD61,,
62,alexandre_dumas_fils-etrangere,L'Étrangère,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1876-02-14,,Comédie,,TD62,,
63,alexandre_dumas_fils-fils_naturel,Le Fils naturel,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1858-01-16,,Comédie,,TD63,,
64,alexandre_dumas_fils-francillon,Francillon,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1887-01-17,,,,TD64,,
65,alexandre_dumas_fils-idees_de_madame_aubray,Les idées de madame Aubray,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1867-03-16,,Comédie,,TD65,,
66,alexandre_dumas_fils-monsieur_alphonse,Monsieur Alphonse,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1873-11-26,,,,TD66,,
67,alexandre_dumas_fils-pere_prodigue,Un Père prodigue,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1859-11-30,,Comédie,,TD67,,
68,alexandre_dumas_fils-princesse_de_bagdad,La Princesse de Bagdad,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1881-01-31,,,,TD68,,
69,alexandre_dumas_fils-princesse_georges,La princesse Georges,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1871-12-02,,,,TD69,,
70,alexandre_dumas_fils-question_d_argent,La Question d'argent,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1857-01-31,,Comédie,,TD70,,
71,alexandre_dumas_fils-visite_de_noces,Une visite de noces,Alexandre Fils Dumas,Alexandre Fils DUMAS,Q169150,,1871-10-10,,Comédie,,TD71,,
2638,moissy-comedie,La Comédie,Alexandre Guillaume De Moissy,Alexandre-Guillaume De Moissy,Q2833352,1769,,,,,,,fre000973
2639,moissy-deux-medecines,Les Deux Médecines,Alexandre Guillaume De Moissy,Alexandre-Guillaume De Moissy,Q2833352,1769,,,,,,,fre000974
2640,moissy-duel,Le Duel,Alexandre Guillaume De Moissy,Alexandre-Guillaume De Moissy,Q2833352,1769,,,,,,,fre000975
2641,moissy-gourmandes,Les Gourmandes,Alexandre Guillaume De Moissy,Alexandre-Guillaume De Moissy,Q2833352,1769,,,,,,,fre000976
2642,moissy-goute,Le Goûté. les Jeux de la Petite Thalie.,Alexandre Guillaume De Moissy,Alexandre-Guillaume De Moissy,Q2833352,1769,,,,,,,fre000977
2643,moissy-habit-sans-galons,L'Habit sans Galons,Alexandre Guillaume De Moissy,Alexandre-Guillaume De Moissy,Q2833352,1769,,,,,,,fre000978
2644,moissy-heureux-naturel,L'Heureux Naturel.,Alexandre Guillaume De Moissy,Alexandre-Guillaume De Moissy,Q2833352,1769,,,,,,,fre000979
2645,moissy-liaisons-dangereuses,Les Liaisons Dangereuses,Alexandre Guillaume De Moissy,Alexandre-Guillaume De Moissy,Q2833352,1769,,,,,,,fre000980
