,Title,Author,title,firstAuthor
176,Laure Persécutée,Rotrou,Laure Persécutée,Rotrou
177,Les Occasions Perdues,Rotrou,Les Occasions Perdues,Rotrou
178,Les Sosies,Rotrou,Les Sosies,Rotrou
179,Venceslas,Rotrou,Venceslas,Rotrou
180,Les Amours Du Soleil,Donneau De Visé,Les Amours Du Soleil,Donneau De Visé
181,Le Gentilhomme Guespin,Donneau De Visé,Le Gentilhomme Guespin,Donneau De Visé
182,Les Intrigues De La Loterie,Donneau De Visé,Les Intrigues De La Loterie,Donneau De Visé
183,La Mère Coquette,Donneau De Visé,La Mère Coquette,Donneau De Visé
184,La Veuve À La Mode,Donneau De Visé,La Veuve À La Mode,Donneau De Visé
185,Zélinde,Donneau De Visé,Zélinde,Donneau De Visé
186,Le Bal,Regnard,Le Bal,Regnard
187,Démocrite,Regnard,Démocrite,Regnard
188,Les Folies Amoureuses,Regnard,Les Folies Amoureuses,Regnard
189,Le Joueur,Regnard,Le Joueur,Regnard
190,Le Retour Imprévu,Regnard,Le Retour Imprévu,Regnard
191,Adrien,Campistron,Adrien,Campistron
192,Alcibiade,Campistron,Alcibiade,Campistron
193,Andronic,Campistron,Andronic,Campistron
194,Arminius,Campistron,Arminius,Campistron
195,Phocion,Campistron,Phocion,Campistron
196,Tiridate,Campistron,Tiridate,Campistron
197,Virginie,Campistron,Virginie,Campistron
198,Amphitryon 38,Giraudoux,Amphitryon 38,Giraudoux
199,Cantique Des Cantiques,Giraudoux,Cantique Des Cantiques,Giraudoux
200,Ondine,Giraudoux,Ondine,Giraudoux
201,Artaxerxe,Magnon,Artaxerxe,Magnon
202,Jeanne De Naples,Magnon,Jeanne De Naples,Magnon
203,Josaphat,Magnon,Josaphat,Magnon
204,Séjanus,Magnon,Séjanus,Magnon
205,Alexandre Le Grand,Racine,Alexandre Le Grand,Racine
206,Alexandre Le Grand,Racine,Alexandre Le Grand,Racine
207,Andromaque,Racine,Andromaque,Racine
208,Andromaque,Racine,Andromaque,Racine
209,Athalie,Racine,Athalie,Racine
210,Bajazet,Racine,Bajazet,Racine
211,Bérénice,Racine,Bérénice,Racine
212,Britannicus,Racine,Britannicus,Racine
213,Esther,Racine,Esther,Racine
214,Iphigénie,Racine,Iphigénie,Racine
215,Mithridate,Racine,Mithridate,Racine
216,Les Plaideurs,Racine,Les Plaideurs,Racine
217,Les Plaideurs,Racine,Les Plaideurs,Racine
218,La Thébaïde,Racine,La Thébaïde,Racine
219,La Thébaïde,Racine,La Thébaïde,Racine
220,La Famille Extravagante,Legrand,La Famille Extravagante,Legrand
221,La Nouveauté,Legrand,La Nouveauté,Legrand
222,Plutus,Legrand,Plutus,Legrand
223,Les Acteurs De Bonne Foi,Marivaux,Les Acteurs De Bonne Foi,Marivaux
224,Annibal,Marivaux,Annibal,Marivaux
225,La Colonie,Marivaux,La Colonie,Marivaux
226,La Commère,Marivaux,La Commère,Marivaux
227,Le Dénouement Imprévu,Marivaux,Le Dénouement Imprévu,Marivaux
228,La Dispute,Marivaux,La Dispute,Marivaux
229,La Double Inconstance,Marivaux,La Double Inconstance,Marivaux
230,Les Fausses Confidences,Marivaux,Les Fausses Confidences,Marivaux
231,Félicie,Marivaux,Félicie,Marivaux
232,La Femme Fidèle,Marivaux,La Femme Fidèle,Marivaux
233,La Joie Imprévue,Marivaux,La Joie Imprévue,Marivaux
234,Le Legs,Marivaux,Le Legs,Marivaux
235,La Méprise,Marivaux,La Méprise,Marivaux
236,La Mère Confidente,Marivaux,La Mère Confidente,Marivaux
237,Le Prince Travesti,Marivaux,Le Prince Travesti,Marivaux
238,La Provinciale,Marivaux,La Provinciale,Marivaux
239,La Réunion Des Amours,Marivaux,La Réunion Des Amours,Marivaux
240,Les Serments Indiscrets,Marivaux,Les Serments Indiscrets,Marivaux
241,Les Sincères,Marivaux,Les Sincères,Marivaux
242,Le Triomphe De Plutus,Marivaux,Le Triomphe De Plutus,Marivaux
243,Molière Et Sa Servante,Millot,Molière Et Sa Servante,Millot
244,Les Bracelets,Cubièrespalmézeaux,Les Bracelets,Cubièrespalmézeaux
245,La Diligence De Lyon,Cubièrespalmézeaux,La Diligence De Lyon,Cubièrespalmézeaux
246,La Lacrymanie,Cubièrespalmézeaux,La Lacrymanie,Cubièrespalmézeaux
247,Oreste Et Les Furies,Cubièrespalmézeaux,Oreste Et Les Furies,Cubièrespalmézeaux
248,Les Amants Magnifiques,Molière,Les Amants Magnifiques,Molière
249,Amphitryon,Molière,Amphitryon,Molière
250,Le Bourgeois Gentilhomme,Molière,Le Bourgeois Gentilhomme,Molière
251,Le Dépit Amoureux,Molière,Le Dépit Amoureux,Molière
252,Don Garcie De Navarre,Molière,Don Garcie De Navarre,Molière
253,Don Juan,Molière,Don Juan,Molière
254,Les Fâcheux,Molière,Les Fâcheux,Molière
255,Les Femmes Savantes,Molière,Les Femmes Savantes,Molière
256,Les Fourberies De Scapin,Molière,Les Fourberies De Scapin,Molière
257,George Dandin,Molière,George Dandin,Molière
258,La Jalousie Du Barbouillé,Molière,La Jalousie Du Barbouillé,Molière
259,Le Malade Imaginaire,Molière,Le Malade Imaginaire,Molière
260,Le Mariage Forcé,Molière,Le Mariage Forcé,Molière
261,Le Médecin Malgré Lui,Molière,Le Médecin Malgré Lui,Molière
262,Le Médecin Volant,Molière,Le Médecin Volant,Molière
263,Mélicerte,Molière,Mélicerte,Molière
264,Le Misanthrope,Molière,Le Misanthrope,Molière
265,Monsieur De Pourceaugnac,Molière,Monsieur De Pourceaugnac,Molière
266,Les Précieuses Ridicules,Molière,Les Précieuses Ridicules,Molière
267,Sganarelle Ou Le Cocu Imaginaire,Molière,Sganarelle Ou Le Cocu Imaginaire,Molière
268,Le Sicilien,Molière,Le Sicilien,Molière
269,Le Tartuffe,Molière,Le Tartuffe,Molière
270,Le Mariage De Rien,Montfleury,Le Mariage De Rien,Montfleury
271,Phèdre Et Hippolyte,Pradon,Phèdre Et Hippolyte,Pradon
272,Vieux Ménage,Mirbeau,Vieux Ménage,Mirbeau
273,Molière Chez Ninon,Gouges,Molière Chez Ninon,Gouges
274,La Fausse Apparence,Scarron,La Fausse Apparence,Scarron
275,Le Gardien De Soimême,Scarron,Le Gardien De Soimême,Scarron
276,Le Marquis Ridicule,Scarron,Le Marquis Ridicule,Scarron
277,Le Prince Corsaire,Scarron,Le Prince Corsaire,Scarron
278,La Boîte De Pandore,Poisson,La Boîte De Pandore,Poisson
279,Amalasonte,Quinault,Amalasonte,Quinault
280,Bellérophon,Quinault,Bellérophon,Quinault
281,La Comédie Sans Comédie,Quinault,La Comédie Sans Comédie,Quinault
282,Le Feint Alcibiade,Quinault,Le Feint Alcibiade,Quinault
283,La Généreuse Ingratitude,Quinault,La Généreuse Ingratitude,Quinault
284,La Mère Coquette,Quinault,La Mère Coquette,Quinault
285,Les Rivales,Quinault,Les Rivales,Quinault
286,Stratonice,Quinault,Stratonice,Quinault
287,Amour Pour Amour,Nivelle De La Chaussée,Amour Pour Amour,Nivelle De La Chaussée
288,La Fausse Antipathie,Nivelle De La Chaussée,La Fausse Antipathie,Nivelle De La Chaussée
289,La Gouvernante,Nivelle De La Chaussée,La Gouvernante,Nivelle De La Chaussée
290,Le Préjugé À La Mode,Nivelle De La Chaussée,Le Préjugé À La Mode,Nivelle De La Chaussée
291,Andromède,Corneille,Andromède,Corneille
292,Attila,Corneille,Attila,Corneille
293,Le Cid,Corneille,Le Cid,Corneille
294,Le Cid,Corneille,Le Cid,Corneille
295,Cinna,Corneille,Cinna,Corneille
296,Clitandre,Corneille,Clitandre,Corneille
297,La Galerie Du Palais,Corneille,La Galerie Du Palais,Corneille
298,Horace,Corneille,Horace,Corneille
299,Médée,Corneille,Médée,Corneille
300,Médée,Corneille,Médée,Corneille
301,Mélite,Corneille,Mélite,Corneille
302,Le Menteur,Corneille,Le Menteur,Corneille
303,La Mort De Pompée,Corneille,La Mort De Pompée,Corneille
304,Nicomède,Corneille,Nicomède,Corneille
305,Othon,Corneille,Othon,Corneille
306,Pertharite,Corneille,Pertharite,Corneille
307,La Place Royale,Corneille,La Place Royale,Corneille
308,Pulchérie,Corneille,Pulchérie,Corneille
309,Sertorius,Corneille,Sertorius,Corneille
310,Sophonisbe,Corneille,Sophonisbe,Corneille
311,La Suite Du Menteur,Corneille,La Suite Du Menteur,Corneille
312,La Suivante,Corneille,La Suivante,Corneille
313,Tite Et Bérénice,Corneille,Tite Et Bérénice,Corneille
314,Alcionée,Du Ryer,Alcionée,Du Ryer
315,Anaxandre,Du Ryer,Anaxandre,Du Ryer
316,Bérénice,Du Ryer,Bérénice,Du Ryer
317,Clarigène,Du Ryer,Clarigène,Du Ryer
318,Cléomédon,Du Ryer,Cléomédon,Du Ryer
319,Clitophon,Du Ryer,Clitophon,Du Ryer
320,Dynamis,Du Ryer,Dynamis,Du Ryer
321,Esther,Du Ryer,Esther,Du Ryer
322,Lisandre Et Caliste,Du Ryer,Lisandre Et Caliste,Du Ryer
323,Lucrèce,Du Ryer,Lucrèce,Du Ryer
324,Saül,Du Ryer,Saül,Du Ryer
325,Scévole,Du Ryer,Scévole,Du Ryer
326,Thémistocle,Du Ryer,Thémistocle,Du Ryer
327,Idoménée,Crébillon,Idoménée,Crébillon
328,Atrée Et Thyeste,Crébillon,Atrée Et Thyeste,Crébillon
329,Catilina,Crébillon,Catilina,Crébillon
330,Pyrrhus,Crébillon,Pyrrhus,Crébillon
331,Sémiramis,Crébillon,Sémiramis,Crébillon
332,Le Triumvirat,Crébillon,Le Triumvirat,Crébillon
333,Lamour À La Mode,Corneille,Lamour À La Mode,Corneille
334,Antiochus,Corneille,Antiochus,Corneille
335,Ariane,Corneille,Ariane,Corneille
336,Le Baron Dalbikrac,Corneille,Le Baron Dalbikrac,Corneille
337,Bérénice,Corneille,Bérénice,Corneille
338,Le Berger Extravagant,Corneille,Le Berger Extravagant,Corneille
339,Le Charme De La Voix,Corneille,Le Charme De La Voix,Corneille
340,La Comtesse Dorgueil,Corneille,La Comtesse Dorgueil,Corneille
341,Le Comte Dessex,Corneille,Le Comte Dessex,Corneille
342,Darius,Corneille,Darius,Corneille
343,Don Bertran De Cigarral,Corneille,Don Bertran De Cigarral,Corneille
344,Don César Davalos,Corneille,Don César Davalos,Corneille
345,Les Engagements Du Hasard,Corneille,Les Engagements Du Hasard,Corneille
346,Le Feint Astrologue,Corneille,Le Feint Astrologue,Corneille
347,Le Festin De Pierre,Corneille,Le Festin De Pierre,Corneille
348,Le Galant Doublé,Corneille,Le Galant Doublé,Corneille
349,Le Geôlier De Soimême,Corneille,Le Geôlier De Soimême,Corneille
350,Les Illustres Ennemis,Corneille,Les Illustres Ennemis,Corneille
351,Maximian,Corneille,Maximian,Corneille
352,La Mort Dachille,Corneille,La Mort Dachille,Corneille
353,La Mort Dannibal,Corneille,La Mort Dannibal,Corneille
354,Persée Et Démétrius,Corneille,Persée Et Démétrius,Corneille
355,Stilicon,Corneille,Stilicon,Corneille
356,Théodat,Corneille,Théodat,Corneille
357,Timocrate,Corneille,Timocrate,Corneille
358,Les Pieds Nickelés,Bernard,Les Pieds Nickelés,Bernard
359,Les Gueux,Hugo,Les Gueux,Hugo
360,Ruy Blas,Hugo,Ruy Blas,Hugo
361,Sur La Lisière Dun Bois,Hugo,Sur La Lisière Dun Bois,Hugo
362,Adélaïde Du Guesclin,Voltaire,Adélaïde Du Guesclin,Voltaire
363,Agathocle,Voltaire,Agathocle,Voltaire
364,Alzire,Voltaire,Alzire,Voltaire
365,Le Comte De Boursoufle,Voltaire,Le Comte De Boursoufle,Voltaire
366,Le Droit Du Seigneur,Voltaire,Le Droit Du Seigneur,Voltaire
367,Le Fanatisme,Voltaire,Le Fanatisme,Voltaire
368,La Femme Qui A Raison,Voltaire,La Femme Qui A Raison,Voltaire
369,Les Guèbres,Voltaire,Les Guèbres,Voltaire
370,Irène,Voltaire,Irène,Voltaire
371,Mariamne,Voltaire,Mariamne,Voltaire
372,Mérope,Voltaire,Mérope,Voltaire
373,La Mort De César,Voltaire,La Mort De César,Voltaire
374,Nanine,Voltaire,Nanine,Voltaire
375,Olympie,Voltaire,Olympie,Voltaire
376,Oreste,Voltaire,Oreste,Voltaire
377,Rome Sauvée,Voltaire,Rome Sauvée,Voltaire
378,Saül,Voltaire,Saül,Voltaire
379,Les Scythes,Voltaire,Les Scythes,Voltaire
380,Sémiramis,Voltaire,Sémiramis,Voltaire
381,Socrate,Voltaire,Socrate,Voltaire
382,Sophonisbe,Voltaire,Sophonisbe,Voltaire
383,Tancrède,Voltaire,Tancrède,Voltaire
384,Tanis Et Zélide,Voltaire,Tanis Et Zélide,Voltaire
385,Zaïre,Voltaire,Zaïre,Voltaire
386,Zulime,Voltaire,Zulime,Voltaire
