Raw Name,Title,Author,Date impression,Date premiere,Date ecriture,Genre,Type
adolphe_d_ennery_adolphe_de_leven_leon_levy_brunswick-amour_en_commandite ,L’Amour en commandite,Adolphe - Adolphe - Léon-Lévy D’ENNERY DE LEVEN BRUNSWICK,[vide],1840-11-08,[vide],Comédie,[indéfini]
adolphe_d_ennery_albert-porteur_d_eau ,Le Porteur d’eau,Adolphe - D’ENNERY ALBERT,[vide],1845-03-06,[vide],Vaudeville,[indéfini]
adolphe_d_ennery_aristide_letorzec-parlez_au_portier ,Parlez au portier,Adolphe - Aristide D’ENNERY LETORZEC,[vide],1845-03-02,[vide],Vaudeville,[indéfini]
adolphe_d_ennery_auguste_anicet_bourgeois-portefeuille_ou_deux_familles ,Le Portefeuille,Adolphe - Auguste D&#039;ENNERY ANICET-BOURGEOIS,[vide],1837-03-07,[vide],[indéfini],[indéfini]
adolphe_d_ennery_charles_desnoyers-soufflet ,Un Soufflet,Adolphe - Charles D&#039;ENNERY DESNOYERS,[vide],1834-03-22,[vide],Comédie,[indéfini]
adolphe_d_ennery_charles_edmond_chojecki-aieule ,L’Aïeule,Adolphe - Charles-Edmond D’ENNERY CHOJECKI,[vide],1863-10-17,[vide],[indéfini],[indéfini]
adolphe_d_ennery_dumanoir-bal_d_enfants ,Le Bal d’enfants,Adolphe - D’ENNERY DUMANOIR,[vide],1845-01-24,[vide],Comédie,[indéfini]
adolphe_d_ennery_dumanoir-capitaine_roquefinette ,Le Capitaine Roquefinette,Adolphe - D’ENNERY DUMANOIR,[vide],1843-10-27,[vide],Comédie,[indéfini]
adolphe_d_ennery_dumanoir-fargeau_le_nourrisseur ,Fargeau le nourrisseur,Adolphe - D’ENNERY DUMANOIR,[vide],1842-10-18,[vide],Comédie,[indéfini]
adolphe_d_ennery_dumanoir-ma_maitresse_et_ma_femme ,Ma Maîtresse et ma femme,Adolphe - D’ENNERY DUMANOIR,[vide],1842-11-25,[vide],Comédie,[indéfini]
adolphe_d_ennery_dumanoir-nuit_aux_soufflets ,La Nuit aux soufflets,Adolphe - D’ENNERY DUMANOIR,[vide],1842-03-23,[vide],Comédie,[indéfini]
adolphe_d_ennery_dumanoir_clairville-chemin_de_traverse ,Le Chemin de traverse,Adolphe - - D’ENNERY DUMANOIR CLAIRVILLE,[vide],1848-09-30,[vide],Vaudeville,[indéfini]
adolphe_d_ennery_elie_berthet-garcons_de_recette ,Les Garçons de recette,Adolphe - Élie D’ENNERY BERTHET,[vide],1840-05-23,[vide],[indéfini],[indéfini]
adolphe_d_ennery_eugene_cormon-1814_ou_le_pensionnat_de_montereau ,1814,Adolphe - Eugène D&#039;ENNERY CORMON,[vide],1836-01-19,[vide],Vaudeville,[indéfini]
adolphe_d_ennery_eugene_cormon-compagnons_ou_la_mansarde_de_la_cite ,Les Compagnons,Adolphe - Eugène D’ENNERY CORMON,[vide],1846-02-14,[vide],[indéfini],[indéfini]
adolphe_d_ennery_eugene_cormon-femmes_et_pirates ,Femmes et pirates,Adolphe - Eugène D’ENNERY CORMON,[vide],1838-03-18,[vide],Vaudeville,[indéfini]
adolphe_d_ennery_eugene_cormon-idee_du_mari ,L&#039;Idée du mari,Adolphe - Eugène D&#039;ENNERY CORMON,[vide],1834-07-12,[vide],Comédie,[indéfini]
adolphe_d_ennery_eugene_cormon-marjolaine ,Marjolaine,Adolphe - Eugène D’ENNERY CORMON,[vide],1844-01-18,[vide],Vaudeville,[indéfini]
adolphe_d_ennery_eugene_cormon_romain_chapelain-roman_comique ,Le Roman comique,Adolphe - Eugène - Romain D’ENNERY CORMON CHAPELAIN,[vide],1846-04-04,[vide],Vaudeville,[indéfini]
adolphe_d_ennery_eugene_grange-donjon_de_vincennes ,Le Donjon de Vincennes,Adolphe - Eugène D’ENNERY GRANGÉ,[vide],1855-11-08,[vide],[indéfini],[indéfini]
adolphe_d_ennery_eugene_grange-femme_de_lettres ,Une Femme de lettres,Adolphe - Eugène D&#039;ENNERY GRANGÉ,[vide],1837-11-14,[vide],Vaudeville,[indéfini]
adolphe_d_ennery_eugene_grange-gras_et_maigre ,Gras et maigre,Adolphe - Eugène D&#039;ENNERY GRANGÉ,[vide],1838-02-25,[vide],[indéfini],[indéfini]
adolphe_d_ennery_eugene_grange-tour_de_faction ,Le Tour de faction,Adolphe - Eugène D&#039;ENNERY GRANGÉ,[vide],1837-07-20,[vide],Vaudeville,[indéfini]
adolphe_d_ennery_gustave_lemoine-article_213_ou_le_mari_doit_protection ,L’Article 213,Adolphe - Gustave D’ENNERY LEMOINE,1502,1846-11-16,[vide],Comédie,[indéfini]
adolphe_d_ennery_gustave_lemoine-citerne_d_albi ,La Citerne d’Albi,Adolphe - Gustave D’ENNERY LEMOINE,[vide],1841-09-20,[vide],[indéfini],[indéfini]
adolphe_d_ennery_gustave_lemoine-grace_de_dieu_ou_la_nouvelle_fanchon ,La Grâce de Dieu,Adolphe - Gustave D’ENNERY LEMOINE,[vide],1841-01-16,[vide],[indéfini],[indéfini]
adolphe_d_ennery_gustave_lemoine-sentinelle_ou_huit_ans_de_faction ,La Sentinelle,Adolphe - Gustave D&#039;ENNERY LEMOINE,[vide],1837-05-14,[vide],Comédie,[indéfini]
adolphe_d_ennery_jean_baptiste_pierre_lafitte-angelus ,L’Angélus,Adolphe - Jean-Baptiste-Pierre D’ENNERY LAFITTE,[vide],1846-11-10,[vide],[indéfini],[indéfini]
adolphe_d_ennery_jean_francois_bayard_dumanoir-suzette ,Suzette,Adolphe - Jean-François - D&#039;ENNERY BAYARD DUMANOIR,[vide],1837-12-18,[vide],Comédie,[indéfini]
adolphe_d_ennery_julien_de_mallian-marie_jeanne ,Marie-Jeanne,Adolphe - Julien D’ENNERY DE MALLIAN,[vide],1845-11-11,[vide],[indéfini],[indéfini]
